Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
20,13	27,62	12,64	0,00	27,04	0,00	15,23	0,00	22,29	0,00	12,58	0,00	30,05	0,00	13,36	0,00	13,40	0,00	17,88	0,00	25,54	0,00	11,29	0,00	25,51	0,00	17,10	0,00	19,37	0,00	21,85	0,00	12,82	0,00	29,48	0,00	15,37	0,00	32,56	0,00	34,48	0,00	30,05	0,00	16,75	0,00	22,85	0,00	13,00	0,00	29,47	0,00	31,40	0,00	22,47	0,00	33,09	0,00	29,03	0,00	33,99	0,00	21,80	0,00	22,58
20,13	27,62	12,64	0,02	27,04	0,02	15,22	0,02	22,29	0,02	12,58	0,02	30,05	0,02	13,36	0,02	13,40	0,02	17,88	0,02	25,54	0,02	11,29	0,02	25,51	0,02	17,10	0,02	19,36	0,02	21,85	0,02	12,82	0,02	29,48	0,02	15,38	0,02	32,56	0,02	34,46	0,02	30,05	0,02	16,75	0,02	22,85	0,02	13,00	0,02	29,47	0,02	31,39	0,02	22,47	0,02	33,08	0,02	29,03	0,02	33,99	0,02	21,80	0,02	22,58
20,13	27,62	12,64	0,03	27,04	0,03	15,21	0,03	22,29	0,03	12,58	0,03	30,05	0,03	13,36	0,03	13,40	0,03	17,88	0,03	25,54	0,03	11,30	0,03	25,51	0,03	17,10	0,03	19,36	0,03	21,85	0,03	12,82	0,03	29,48	0,03	15,38	0,03	32,55	0,03	34,45	0,03	30,05	0,03	16,75	0,03	22,85	0,03	13,01	0,03	29,47	0,03	31,39	0,03	22,46	0,03	33,08	0,03	29,03	0,03	34,00	0,03	21,81	0,03	22,59
20,13	27,61	12,64	0,05	27,03	0,05	15,21	0,05	22,28	0,05	12,58	0,05	30,05	0,05	13,36	0,05	13,40	0,05	17,88	0,05	25,53	0,05	11,30	0,05	25,51	0,05	17,10	0,05	19,31	0,05	21,82	0,05	12,82	0,05	29,48	0,05	15,38	0,05	32,54	0,05	34,44	0,05	30,05	0,05	16,75	0,05	22,84	0,05	13,01	0,05	29,46	0,05	31,39	0,05	22,46	0,05	33,07	0,05	29,02	0,05	34,02	0,05	21,83	0,05	22,60
20,12	27,61	12,64	0,07	27,03	0,07	15,20	0,07	22,28	0,07	12,57	0,07	30,05	0,07	13,36	0,07	13,39	0,07	17,88	0,07	25,53	0,07	11,31	0,07	25,50	0,07	17,10	0,07	19,26	0,07	21,78	0,07	12,82	0,07	29,47	0,07	15,38	0,07	32,53	0,07	34,43	0,07	30,07	0,07	16,75	0,07	22,84	0,07	13,01	0,07	29,46	0,07	31,38	0,07	22,46	0,07	33,06	0,07	29,02	0,07	34,05	0,07	21,85	0,07	22,62
20,12	27,60	12,64	0,08	26,99	0,08	15,19	0,08	22,25	0,08	12,57	0,08	30,05	0,08	13,36	0,08	13,39	0,08	17,88	0,08	25,52	0,08	11,32	0,08	25,50	0,08	17,10	0,08	19,21	0,08	21,74	0,08	12,82	0,08	29,46	0,08	15,38	0,08	32,49	0,08	34,42	0,08	30,07	0,08	16,75	0,08	22,83	0,08	13,01	0,08	29,45	0,08	31,37	0,08	22,45	0,08	33,05	0,08	29,01	0,08	34,08	0,08	21,87	0,08	22,64
20,12	27,59	12,64	0,10	26,95	0,10	15,18	0,10	22,22	0,10	12,57	0,10	30,06	0,10	13,36	0,10	13,39	0,10	17,88	0,10	25,51	0,10	11,34	0,10	25,49	0,10	17,10	0,10	19,16	0,10	21,70	0,10	12,83	0,10	29,45	0,10	15,39	0,10	32,48	0,10	34,40	0,10	30,07	0,10	16,75	0,10	22,83	0,10	13,02	0,10	29,45	0,10	31,36	0,10	22,44	0,10	33,03	0,10	29,00	0,10	34,12	0,10	21,91	0,10	22,66
20,11	27,58	12,64	0,12	26,91	0,12	15,17	0,12	22,18	0,12	12,56	0,12	30,06	0,12	13,36	0,12	13,38	0,12	17,87	0,12	25,50	0,12	11,35	0,12	25,48	0,12	17,08	0,12	19,10	0,12	21,65	0,12	12,77	0,12	29,44	0,12	15,39	0,12	32,46	0,12	34,39	0,12	30,07	0,12	16,75	0,12	22,82	0,12	13,02	0,12	29,44	0,12	31,35	0,12	22,43	0,12	33,01	0,12	28,98	0,12	34,17	0,12	21,94	0,12	22,70
20,11	27,57	12,65	0,13	26,87	0,13	15,16	0,13	22,15	0,13	12,56	0,13	30,07	0,13	13,36	0,13	13,38	0,13	17,87	0,13	25,49	0,13	11,37	0,13	25,47	0,13	17,06	0,13	19,04	0,13	21,60	0,13	12,71	0,13	29,42	0,13	15,40	0,13	32,45	0,13	34,37	0,13	30,06	0,13	16,76	0,13	22,82	0,13	13,03	0,13	29,43	0,13	31,33	0,13	22,42	0,13	32,99	0,13	28,97	0,13	34,22	0,13	21,99	0,13	22,73
20,10	27,55	12,64	0,15	26,83	0,15	15,15	0,15	22,11	0,15	12,55	0,15	30,07	0,15	13,36	0,15	13,37	0,15	17,87	0,15	25,48	0,15	11,39	0,15	25,46	0,15	17,04	0,15	18,98	0,15	21,55	0,15	12,66	0,15	29,41	0,15	15,40	0,15	32,43	0,15	34,35	0,15	30,06	0,15	16,75	0,15	22,81	0,15	13,03	0,15	29,42	0,15	31,31	0,15	22,40	0,15	32,96	0,15	28,95	0,15	34,27	0,15	22,04	0,15	22,78
