Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,59	7,25	3,93	0,00	5,68	0,00	5,45	0,00	7,50	0,00	7,61	0,00	10,09	0,00	6,12	0,00	4,88	0,00	6,01	0,00	9,66	0,00	6,55	0,00	7,25	0,00	6,93	0,00	5,99	0,00	6,74	0,00	3,04	0,00	5,34	0,00	3,26	0,00	6,39	0,00	5,77	0,00	9,53	0,00	4,62	0,00	5,59	0,00	6,49	0,00	8,26	0,00	6,65	0,00	7,99	0,00	6,19	0,00	8,33	0,00	6,55	0,00	7,80	0,00	2,90
5,59	7,25	3,93	0,02	5,69	0,02	5,45	0,02	7,50	0,02	7,61	0,02	10,09	0,02	6,12	0,02	4,88	0,02	6,00	0,02	9,66	0,02	6,55	0,02	7,25	0,02	6,93	0,02	5,99	0,02	6,74	0,02	3,04	0,02	5,34	0,02	3,26	0,02	6,39	0,02	5,77	0,02	9,53	0,02	4,62	0,02	5,59	0,02	6,49	0,02	8,26	0,02	6,65	0,02	7,99	0,02	6,19	0,02	8,33	0,02	6,55	0,02	7,80	0,02	2,91
5,59	7,25	3,93	0,03	5,69	0,03	5,45	0,03	7,50	0,03	7,61	0,03	10,10	0,03	6,12	0,03	4,88	0,03	6,00	0,03	9,66	0,03	6,55	0,03	7,25	0,03	6,93	0,03	5,99	0,03	6,74	0,03	3,04	0,03	5,34	0,03	3,26	0,03	6,39	0,03	5,77	0,03	9,53	0,03	4,62	0,03	5,59	0,03	6,49	0,03	8,26	0,03	6,65	0,03	8,00	0,03	6,19	0,03	8,33	0,03	6,56	0,03	7,80	0,03	2,91
5,58	7,24	3,92	0,05	5,70	0,05	5,45	0,05	7,50	0,05	7,61	0,05	10,10	0,05	6,12	0,05	4,87	0,05	6,00	0,05	9,65	0,05	6,55	0,05	7,25	0,05	6,93	0,05	5,99	0,05	6,73	0,05	3,04	0,05	5,34	0,05	3,25	0,05	6,40	0,05	5,77	0,05	9,53	0,05	4,62	0,05	5,58	0,05	6,49	0,05	8,26	0,05	6,65	0,05	8,01	0,05	6,19	0,05	8,32	0,05	6,56	0,05	7,80	0,05	2,91
5,58	7,24	3,92	0,07	5,71	0,07	5,45	0,07	7,50	0,07	7,61	0,07	10,10	0,07	6,11	0,07	4,87	0,07	6,00	0,07	9,64	0,07	6,55	0,07	7,25	0,07	6,93	0,07	5,99	0,07	6,73	0,07	3,04	0,07	5,34	0,07	3,25	0,07	6,40	0,07	5,77	0,07	9,53	0,07	4,62	0,07	5,58	0,07	6,49	0,07	8,25	0,07	6,65	0,07	8,02	0,07	6,19	0,07	8,32	0,07	6,56	0,07	7,80	0,07	2,91
5,58	7,24	3,92	0,08	5,72	0,08	5,46	0,08	7,50	0,08	7,61	0,08	10,10	0,08	6,11	0,08	4,86	0,08	6,00	0,08	9,63	0,08	6,55	0,08	7,25	0,08	6,93	0,08	5,99	0,08	6,72	0,08	3,05	0,08	5,34	0,08	3,25	0,08	6,40	0,08	5,78	0,08	9,53	0,08	4,63	0,08	5,58	0,08	6,48	0,08	8,25	0,08	6,65	0,08	8,03	0,08	6,19	0,08	8,32	0,08	6,57	0,08	7,80	0,08	2,91
5,57	7,23	3,91	0,10	5,73	0,10	5,47	0,10	7,50	0,10	7,61	0,10	10,11	0,10	6,10	0,10	4,85	0,10	6,00	0,10	9,62	0,10	6,55	0,10	7,25	0,10	6,93	0,10	5,99	0,10	6,71	0,10	3,05	0,10	5,34	0,10	3,25	0,10	6,40	0,10	5,78	0,10	9,52	0,10	4,63	0,10	5,58	0,10	6,48	0,10	8,25	0,10	6,66	0,10	8,04	0,10	6,19	0,10	8,31	0,10	6,57	0,10	7,80	0,10	2,91
5,56	7,22	3,91	0,12	5,74	0,12	5,48	0,12	7,50	0,12	7,61	0,12	10,10	0,12	6,10	0,12	4,84	0,12	5,99	0,12	9,60	0,12	6,55	0,12	7,25	0,12	6,93	0,12	5,99	0,12	6,70	0,12	3,06	0,12	5,33	0,12	3,25	0,12	6,40	0,12	5,78	0,12	9,52	0,12	4,63	0,12	5,57	0,12	6,48	0,12	8,24	0,12	6,67	0,12	8,05	0,12	6,19	0,12	8,30	0,12	6,58	0,12	7,80	0,12	2,92
5,56	7,21	3,91	0,13	5,75	0,13	5,49	0,13	7,50	0,13	7,61	0,13	10,09	0,13	6,10	0,13	4,84	0,13	5,97	0,13	9,59	0,13	6,55	0,13	7,24	0,13	6,93	0,13	5,98	0,13	6,69	0,13	3,06	0,13	5,33	0,13	3,25	0,13	6,41	0,13	5,79	0,13	9,52	0,13	4,63	0,13	5,57	0,13	6,48	0,13	8,24	0,13	6,68	0,13	8,06	0,13	6,19	0,13	8,29	0,13	6,58	0,13	7,80	0,13	2,92
5,56	7,22	3,91	0,15	5,75	0,15	5,50	0,15	7,50	0,15	7,61	0,15	10,08	0,15	6,09	0,15	4,83	0,15	5,96	0,15	9,57	0,15	6,55	0,15	7,24	0,15	6,93	0,15	5,98	0,15	6,67	0,15	3,06	0,15	5,33	0,15	3,26	0,15	6,41	0,15	5,79	0,15	9,52	0,15	4,63	0,15	5,56	0,15	6,48	0,15	8,23	0,15	6,69	0,15	8,07	0,15	6,19	0,15	8,30	0,15	6,59	0,15	7,80	0,15	2,93
