Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,60	6,15	5,05	0,00	4,20	0,00	5,52	0,00	5,71	0,00	4,69	0,00	6,90	0,00	5,89	0,00	4,65	0,00	4,53	0,00	9,52	0,00	5,98	0,00	5,09	0,00	6,42	0,00	4,31	0,00	6,25	0,00	3,07	0,00	5,91	0,00	5,33	0,00	5,53	0,00	4,24	0,00	-999,0	0,00	-999,0	0,00	5,92	0,00	3,81	0,00	5,69	0,00	2,43	0,00	6,11	0,00	6,58	0,00	6,20	0,00	6,20	0,00	5,65	0,00	4,65
5,60	6,15	5,05	0,02	4,20	0,02	5,52	0,02	5,71	0,02	4,69	0,02	6,90	0,02	5,89	0,02	4,65	0,02	4,53	0,02	9,52	0,02	5,98	0,02	5,09	0,02	6,42	0,02	4,31	0,02	6,24	0,02	3,07	0,02	5,91	0,02	5,33	0,02	5,53	0,02	4,24	0,02	-999,0	0,02	-999,0	0,02	5,92	0,02	3,81	0,02	5,69	0,02	2,43	0,02	6,11	0,02	6,58	0,02	6,20	0,02	6,21	0,02	5,65	0,02	4,65
5,59	6,14	5,05	0,03	4,20	0,03	5,52	0,03	5,71	0,03	4,69	0,03	6,90	0,03	5,89	0,03	4,66	0,03	4,53	0,03	9,52	0,03	5,98	0,03	5,09	0,03	6,42	0,03	4,31	0,03	6,24	0,03	3,07	0,03	5,90	0,03	5,33	0,03	5,53	0,03	4,24	0,03	-999,0	0,03	-999,0	0,03	5,92	0,03	3,81	0,03	5,69	0,03	2,43	0,03	6,11	0,03	6,58	0,03	6,19	0,03	6,22	0,03	5,65	0,03	4,65
5,59	6,13	5,05	0,05	4,20	0,05	5,52	0,05	5,72	0,05	4,69	0,05	6,90	0,05	5,89	0,05	4,66	0,05	4,53	0,05	9,52	0,05	5,98	0,05	5,09	0,05	6,42	0,05	4,31	0,05	6,24	0,05	3,07	0,05	5,89	0,05	5,33	0,05	5,53	0,05	4,24	0,05	-999,0	0,05	-999,0	0,05	5,92	0,05	3,81	0,05	5,69	0,05	2,43	0,05	6,10	0,05	6,58	0,05	6,19	0,05	6,22	0,05	5,65	0,05	4,65
5,59	6,13	5,05	0,07	4,20	0,07	5,52	0,07	5,72	0,07	4,70	0,07	6,89	0,07	5,89	0,07	4,66	0,07	4,53	0,07	9,51	0,07	5,98	0,07	5,09	0,07	6,42	0,07	4,31	0,07	6,24	0,07	3,07	0,07	5,89	0,07	5,33	0,07	5,53	0,07	4,24	0,07	-999,0	0,07	-999,0	0,07	5,92	0,07	3,81	0,07	5,68	0,07	2,43	0,07	6,10	0,07	6,57	0,07	6,18	0,07	6,23	0,07	5,65	0,07	4,65
5,59	6,13	5,05	0,08	4,21	0,08	5,53	0,08	5,72	0,08	4,70	0,08	6,89	0,08	5,90	0,08	4,66	0,08	4,52	0,08	9,51	0,08	5,98	0,08	5,09	0,08	6,42	0,08	4,31	0,08	6,24	0,08	3,07	0,08	5,88	0,08	5,32	0,08	5,53	0,08	4,24	0,08	-999,0	0,08	-999,0	0,08	5,92	0,08	3,81	0,08	5,68	0,08	2,43	0,08	6,10	0,08	6,57	0,08	6,19	0,08	6,24	0,08	5,65	0,08	4,65
5,59	6,13	5,05	0,10	4,21	0,10	5,53	0,10	5,72	0,10	4,70	0,10	6,88	0,10	5,90	0,10	4,66	0,10	4,52	0,10	9,50	0,10	5,98	0,10	5,09	0,10	6,42	0,10	4,31	0,10	6,23	0,10	3,07	0,10	5,87	0,10	5,32	0,10	5,53	0,10	4,24	0,10	-999,0	0,10	-999,0	0,10	5,91	0,10	3,81	0,10	5,68	0,10	2,43	0,10	6,10	0,10	6,56	0,10	6,19	0,10	6,25	0,10	5,66	0,10	4,64
5,59	6,13	5,04	0,12	4,21	0,12	5,54	0,12	5,72	0,12	4,71	0,12	6,87	0,12	5,90	0,12	4,66	0,12	4,52	0,12	9,50	0,12	5,99	0,12	5,09	0,12	6,42	0,12	4,31	0,12	6,23	0,12	3,07	0,12	5,87	0,12	5,31	0,12	5,53	0,12	4,24	0,12	-999,0	0,12	-999,0	0,12	5,91	0,12	3,81	0,12	5,68	0,12	2,43	0,12	6,10	0,12	6,55	0,12	6,19	0,12	6,26	0,12	5,66	0,12	4,64
5,58	6,13	5,04	0,13	4,22	0,13	5,54	0,13	5,73	0,13	4,71	0,13	6,87	0,13	5,90	0,13	4,66	0,13	4,52	0,13	9,49	0,13	5,99	0,13	5,10	0,13	6,43	0,13	4,31	0,13	6,22	0,13	3,07	0,13	5,86	0,13	5,30	0,13	5,53	0,13	4,24	0,13	-999,0	0,13	-999,0	0,13	5,90	0,13	3,81	0,13	5,68	0,13	2,43	0,13	6,09	0,13	6,55	0,13	6,19	0,13	6,26	0,13	5,67	0,13	4,64
5,58	6,12	5,03	0,15	4,23	0,15	5,55	0,15	5,73	0,15	4,71	0,15	6,86	0,15	5,91	0,15	4,66	0,15	4,52	0,15	9,48	0,15	5,99	0,15	5,10	0,15	6,43	0,15	4,31	0,15	6,20	0,15	3,07	0,15	5,85	0,15	5,28	0,15	5,53	0,15	4,24	0,15	-999,0	0,15	-999,0	0,15	5,90	0,15	3,81	0,15	5,68	0,15	2,43	0,15	6,09	0,15	6,54	0,15	6,18	0,15	6,27	0,15	5,67	0,15	4,64
