Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,77	7,59	5,95	0,00	4,84	0,00	6,26	0,00	7,93	0,00	5,42	0,00	9,82	0,00	7,46	0,00	6,16	0,00	5,67	0,00	14,05	0,00	6,54	0,00	7,48	0,00	8,24	0,00	7,89	0,00	9,22	0,00	7,16	0,00	7,71	0,00	5,52	0,00	7,38	0,00	9,17	0,00	10,20	0,00	7,06	0,00	7,53	0,00	5,06	0,00	7,80	0,00	5,97	0,00	6,24	0,00	8,25	0,00	7,00	0,00	7,10	0,00	8,04	0,00	6,20
6,77	7,59	5,95	0,02	4,84	0,02	6,26	0,02	7,93	0,02	5,42	0,02	9,82	0,02	7,46	0,02	6,16	0,02	5,67	0,02	14,05	0,02	6,54	0,02	7,48	0,02	8,24	0,02	7,89	0,02	9,22	0,02	7,16	0,02	7,71	0,02	5,52	0,02	7,38	0,02	9,17	0,02	10,20	0,02	7,06	0,02	7,53	0,02	5,06	0,02	7,80	0,02	5,97	0,02	6,24	0,02	8,25	0,02	7,00	0,02	7,10	0,02	8,04	0,02	6,20
6,77	7,59	5,95	0,03	4,84	0,03	6,27	0,03	7,93	0,03	5,42	0,03	9,82	0,03	7,46	0,03	6,15	0,03	5,67	0,03	14,05	0,03	6,54	0,03	7,48	0,03	8,24	0,03	7,89	0,03	9,20	0,03	7,16	0,03	7,71	0,03	5,52	0,03	7,38	0,03	9,17	0,03	10,20	0,03	7,06	0,03	7,52	0,03	5,06	0,03	7,80	0,03	5,98	0,03	6,24	0,03	8,24	0,03	7,00	0,03	7,11	0,03	8,04	0,03	6,19
6,77	7,59	5,95	0,05	4,85	0,05	6,27	0,05	7,93	0,05	5,42	0,05	9,82	0,05	7,47	0,05	6,14	0,05	5,67	0,05	14,04	0,05	6,54	0,05	7,48	0,05	8,24	0,05	7,89	0,05	9,19	0,05	7,15	0,05	7,71	0,05	5,52	0,05	7,38	0,05	9,17	0,05	10,20	0,05	7,06	0,05	7,52	0,05	5,06	0,05	7,80	0,05	5,98	0,05	6,24	0,05	8,24	0,05	7,00	0,05	7,11	0,05	8,04	0,05	6,19
6,77	7,59	5,94	0,07	4,86	0,07	6,27	0,07	7,93	0,07	5,42	0,07	9,83	0,07	7,47	0,07	6,13	0,07	5,66	0,07	14,04	0,07	6,54	0,07	7,48	0,07	8,24	0,07	7,89	0,07	9,17	0,07	7,15	0,07	7,71	0,07	5,52	0,07	7,39	0,07	9,17	0,07	10,20	0,07	7,05	0,07	7,52	0,07	5,06	0,07	7,80	0,07	5,99	0,07	6,25	0,07	8,24	0,07	7,00	0,07	7,11	0,07	8,04	0,07	6,19
6,76	7,58	5,93	0,08	4,88	0,08	6,28	0,08	7,93	0,08	5,42	0,08	9,83	0,08	7,47	0,08	6,11	0,08	5,66	0,08	14,03	0,08	6,54	0,08	7,48	0,08	8,24	0,08	7,88	0,08	9,16	0,08	7,15	0,08	7,70	0,08	5,52	0,08	7,39	0,08	9,17	0,08	10,20	0,08	7,05	0,08	7,52	0,08	5,06	0,08	7,79	0,08	5,99	0,08	6,25	0,08	8,24	0,08	6,99	0,08	7,12	0,08	8,04	0,08	6,19
6,75	7,58	5,93	0,10	4,90	0,10	6,29	0,10	7,93	0,10	5,42	0,10	9,84	0,10	7,46	0,10	6,10	0,10	5,65	0,10	14,02	0,10	6,54	0,10	7,48	0,10	8,24	0,10	7,87	0,10	9,14	0,10	7,15	0,10	7,70	0,10	5,52	0,10	7,39	0,10	9,17	0,10	10,19	0,10	7,05	0,10	7,51	0,10	5,06	0,10	7,80	0,10	6,00	0,10	6,26	0,10	8,23	0,10	6,99	0,10	7,12	0,10	8,03	0,10	6,18
6,75	7,58	5,93	0,12	4,91	0,12	6,29	0,12	7,93	0,12	5,42	0,12	9,85	0,12	7,46	0,12	6,09	0,12	5,64	0,12	14,01	0,12	6,55	0,12	7,48	0,12	8,24	0,12	7,86	0,12	9,12	0,12	7,14	0,12	7,70	0,12	5,52	0,12	7,40	0,12	9,18	0,12	10,19	0,12	7,05	0,12	7,50	0,12	5,06	0,12	7,80	0,12	6,00	0,12	6,26	0,12	8,23	0,12	6,99	0,12	7,13	0,12	8,02	0,12	6,18
6,74	7,57	5,92	0,13	4,93	0,13	6,31	0,13	7,93	0,13	5,42	0,13	9,86	0,13	7,45	0,13	6,08	0,13	5,63	0,13	13,99	0,13	6,55	0,13	7,48	0,13	8,23	0,13	7,86	0,13	9,10	0,13	7,14	0,13	7,70	0,13	5,51	0,13	7,40	0,13	9,18	0,13	10,19	0,13	7,05	0,13	7,50	0,13	5,06	0,13	7,80	0,13	6,01	0,13	6,27	0,13	8,23	0,13	6,98	0,13	7,14	0,13	8,02	0,13	6,18
6,74	7,57	5,91	0,15	4,95	0,15	6,33	0,15	7,92	0,15	5,42	0,15	9,87	0,15	7,45	0,15	6,07	0,15	5,63	0,15	13,96	0,15	6,55	0,15	7,48	0,15	8,22	0,15	7,85	0,15	9,07	0,15	7,13	0,15	7,69	0,15	5,51	0,15	7,41	0,15	9,18	0,15	10,18	0,15	7,04	0,15	7,49	0,15	5,05	0,15	7,81	0,15	6,01	0,15	6,27	0,15	8,23	0,15	6,98	0,15	7,15	0,15	8,01	0,15	6,17
