Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
20,88	29,47	12,28	0,00	26,28	0,00	13,28	0,00	24,09	0,00	-999,0	0,00	31,86	0,00	13,31	0,00	12,83	0,00	18,23	0,00	23,77	0,00	9,82	0,00	24,10	0,00	13,90	0,00	19,59	0,00	22,29	0,00	13,45	0,00	29,31	0,00	15,80	0,00	32,44	0,00	32,56	0,00	27,86	0,00	18,59	0,00	26,40	0,00	12,07	0,00	29,32	0,00	29,87	0,00	26,45	0,00	33,26	0,00	33,13	0,00	41,32	0,00	26,10	0,00	24,42
20,88	29,47	12,28	0,02	26,28	0,02	13,28	0,02	24,07	0,02	-999,0	0,02	31,86	0,02	13,31	0,02	12,83	0,02	18,23	0,02	23,77	0,02	9,82	0,02	24,10	0,02	13,90	0,02	19,58	0,02	22,26	0,02	13,45	0,02	29,31	0,02	15,80	0,02	32,44	0,02	32,56	0,02	27,86	0,02	18,59	0,02	26,40	0,02	12,07	0,02	29,32	0,02	29,87	0,02	26,45	0,02	33,25	0,02	33,13	0,02	41,33	0,02	26,10	0,02	24,42
20,87	29,46	12,29	0,03	26,27	0,03	13,28	0,03	24,05	0,03	-999,0	0,03	31,86	0,03	13,31	0,03	12,83	0,03	18,23	0,03	23,77	0,03	9,82	0,03	24,10	0,03	13,90	0,03	19,58	0,03	22,23	0,03	13,45	0,03	29,31	0,03	15,80	0,03	32,43	0,03	32,58	0,03	27,85	0,03	18,59	0,03	26,40	0,03	12,08	0,03	29,32	0,03	29,87	0,03	26,45	0,03	33,25	0,03	33,12	0,03	41,33	0,03	26,11	0,03	24,43
20,87	29,45	12,28	0,05	26,27	0,05	13,28	0,05	24,02	0,05	-999,0	0,05	31,86	0,05	13,31	0,05	12,82	0,05	18,22	0,05	23,76	0,05	9,83	0,05	24,09	0,05	13,90	0,05	19,57	0,05	22,20	0,05	13,45	0,05	29,30	0,05	15,80	0,05	32,42	0,05	32,60	0,05	27,83	0,05	18,59	0,05	26,40	0,05	12,08	0,05	29,31	0,05	29,86	0,05	26,44	0,05	33,24	0,05	33,11	0,05	41,34	0,05	26,12	0,05	24,44
20,87	29,45	12,29	0,07	26,26	0,07	13,27	0,07	23,99	0,07	-999,0	0,07	31,87	0,07	13,31	0,07	12,82	0,07	18,22	0,07	23,76	0,07	9,84	0,07	24,09	0,07	13,91	0,07	19,56	0,07	22,16	0,07	13,45	0,07	29,29	0,07	15,81	0,07	32,45	0,07	32,61	0,07	27,82	0,07	18,58	0,07	26,40	0,07	12,09	0,07	29,31	0,07	29,85	0,07	26,43	0,07	33,23	0,07	33,10	0,07	41,36	0,07	26,13	0,07	24,46
20,86	29,43	12,28	0,08	26,25	0,08	13,27	0,08	23,96	0,08	-999,0	0,08	31,87	0,08	13,31	0,08	12,81	0,08	18,22	0,08	23,75	0,08	9,85	0,08	24,08	0,08	13,91	0,08	19,51	0,08	22,12	0,08	13,40	0,08	29,28	0,08	15,81	0,08	32,47	0,08	32,63	0,08	27,81	0,08	18,57	0,08	26,39	0,08	12,09	0,08	29,31	0,08	29,84	0,08	26,42	0,08	33,22	0,08	33,08	0,08	41,38	0,08	26,15	0,08	24,48
20,85	29,42	12,29	0,10	26,24	0,10	13,26	0,10	23,92	0,10	-999,0	0,10	31,87	0,10	13,31	0,10	12,81	0,10	18,22	0,10	23,75	0,10	9,87	0,10	24,07	0,10	13,92	0,10	19,45	0,10	22,07	0,10	13,35	0,10	29,27	0,10	15,82	0,10	32,48	0,10	32,61	0,10	27,82	0,10	18,56	0,10	26,39	0,10	12,10	0,10	29,30	0,10	29,83	0,10	26,41	0,10	33,21	0,10	33,06	0,10	41,40	0,10	26,18	0,10	24,50
20,85	29,41	12,29	0,12	26,23	0,12	13,25	0,12	23,88	0,12	-999,0	0,12	31,86	0,12	13,32	0,12	12,80	0,12	18,22	0,12	23,74	0,12	9,88	0,12	24,06	0,12	13,92	0,12	19,39	0,12	22,02	0,12	13,30	0,12	29,26	0,12	15,82	0,12	32,50	0,12	32,60	0,12	27,84	0,12	18,54	0,12	26,38	0,12	12,11	0,12	29,29	0,12	29,81	0,12	26,40	0,12	33,19	0,12	33,04	0,12	41,42	0,12	26,21	0,12	24,53
20,85	29,39	12,31	0,13	26,22	0,13	13,24	0,13	23,84	0,13	-999,0	0,13	31,86	0,13	13,32	0,13	12,80	0,13	18,22	0,13	23,73	0,13	9,90	0,13	24,04	0,13	13,93	0,13	19,33	0,13	21,97	0,13	13,25	0,13	29,24	0,13	15,86	0,13	32,51	0,13	32,58	0,13	27,85	0,13	18,53	0,13	26,34	0,13	12,12	0,13	29,28	0,13	29,79	0,13	26,38	0,13	33,16	0,13	33,01	0,13	41,45	0,13	26,24	0,13	24,57
20,84	29,37	12,31	0,15	26,19	0,15	13,23	0,15	23,79	0,15	-999,0	0,15	31,85	0,15	13,32	0,15	12,79	0,15	18,21	0,15	23,72	0,15	9,93	0,15	24,03	0,15	13,91	0,15	19,27	0,15	21,91	0,15	13,20	0,15	29,22	0,15	15,89	0,15	32,52	0,15	32,56	0,15	27,87	0,15	18,51	0,15	26,31	0,15	12,13	0,15	29,27	0,15	29,77	0,15	26,36	0,15	33,14	0,15	32,98	0,15	41,48	0,15	26,28	0,15	24,61
