Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,94	8,55	7,33	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	7,44	0,00	8,36	0,00	6,39	0,00	8,55	0,00	7,33	0,00	7,78	0,00	10,73	0,00	9,87	0,00	8,32	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	8,41	0,00	-999,0
7,94	8,55	7,33	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	7,44	0,02	8,36	0,02	6,39	0,02	8,55	0,02	7,33	0,02	7,78	0,02	10,73	0,02	9,87	0,02	8,32	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	8,41	0,02	-999,0
7,94	8,55	7,33	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	7,44	0,03	8,35	0,03	6,39	0,03	8,55	0,03	7,33	0,03	7,78	0,03	10,73	0,03	9,87	0,03	8,32	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	8,41	0,03	-999,0
7,93	8,54	7,33	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	7,44	0,05	8,35	0,05	6,38	0,05	8,54	0,05	7,33	0,05	7,78	0,05	10,73	0,05	9,87	0,05	8,32	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	8,41	0,05	-999,0
7,92	8,52	7,33	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	7,44	0,07	8,34	0,07	6,38	0,07	8,52	0,07	7,33	0,07	7,78	0,07	10,74	0,07	9,87	0,07	8,32	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	8,41	0,07	-999,0
7,92	8,51	7,33	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	7,44	0,08	8,34	0,08	6,37	0,08	8,51	0,08	7,33	0,08	7,78	0,08	10,74	0,08	9,86	0,08	8,32	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	8,41	0,08	-999,0
7,92	8,50	7,33	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	7,44	0,10	8,33	0,10	6,37	0,10	8,50	0,10	7,33	0,10	7,78	0,10	10,74	0,10	9,86	0,10	8,32	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	8,41	0,10	-999,0
7,89	8,48	7,31	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	7,44	0,12	8,31	0,12	6,36	0,12	8,48	0,12	7,31	0,12	7,78	0,12	10,74	0,12	9,86	0,12	8,32	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	8,41	0,12	-999,0
7,88	8,47	7,30	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	7,44	0,13	8,29	0,13	6,36	0,13	8,47	0,13	7,30	0,13	7,78	0,13	10,74	0,13	9,86	0,13	8,32	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	8,41	0,13	-999,0
7,87	8,45	7,29	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	7,44	0,15	8,27	0,15	6,35	0,15	8,45	0,15	7,29	0,15	7,79	0,15	10,75	0,15	9,85	0,15	8,32	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	8,41	0,15	-999,0
