Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,08	7,92	6,24	0,00	5,28	0,00	6,50	0,00	7,15	0,00	5,99	0,00	8,71	0,00	7,48	0,00	5,59	0,00	5,46	0,00	12,30	0,00	6,68	0,00	6,30	0,00	6,86	0,00	6,86	0,00	8,42	0,00	6,33	0,00	7,86	0,00	6,73	0,00	6,01	0,00	9,73	0,00	8,64	0,00	6,85	0,00	7,03	0,00	4,76	0,00	6,91	0,00	6,52	0,00	7,35	0,00	8,13	0,00	7,73	0,00	7,92	0,00	7,35	0,00	5,62
7,08	7,92	6,24	0,02	5,28	0,02	6,50	0,02	7,15	0,02	5,99	0,02	8,71	0,02	7,47	0,02	5,59	0,02	5,46	0,02	12,30	0,02	6,68	0,02	6,30	0,02	6,86	0,02	6,86	0,02	8,42	0,02	6,33	0,02	7,86	0,02	6,73	0,02	6,01	0,02	9,73	0,02	8,64	0,02	6,85	0,02	7,03	0,02	4,76	0,02	6,91	0,02	6,51	0,02	7,35	0,02	8,13	0,02	7,73	0,02	7,92	0,02	7,35	0,02	5,62
7,07	7,91	6,24	0,03	5,28	0,03	6,51	0,03	7,15	0,03	5,99	0,03	8,71	0,03	7,46	0,03	5,59	0,03	5,46	0,03	12,30	0,03	6,68	0,03	6,30	0,03	6,86	0,03	6,86	0,03	8,41	0,03	6,33	0,03	7,85	0,03	6,73	0,03	6,01	0,03	9,73	0,03	8,64	0,03	6,85	0,03	7,03	0,03	4,76	0,03	6,91	0,03	6,51	0,03	7,35	0,03	8,13	0,03	7,73	0,03	7,93	0,03	7,35	0,03	5,62
7,07	7,90	6,23	0,05	5,28	0,05	6,52	0,05	7,15	0,05	5,99	0,05	8,71	0,05	7,45	0,05	5,59	0,05	5,46	0,05	12,30	0,05	6,68	0,05	6,30	0,05	6,86	0,05	6,86	0,05	8,41	0,05	6,33	0,05	7,84	0,05	6,73	0,05	6,01	0,05	9,73	0,05	8,64	0,05	6,85	0,05	7,03	0,05	4,76	0,05	6,91	0,05	6,51	0,05	7,35	0,05	8,14	0,05	7,72	0,05	7,93	0,05	7,35	0,05	5,63
7,06	7,89	6,23	0,07	5,29	0,07	6,53	0,07	7,15	0,07	5,99	0,07	8,71	0,07	7,44	0,07	5,59	0,07	5,46	0,07	12,29	0,07	6,68	0,07	6,30	0,07	6,86	0,07	6,86	0,07	8,40	0,07	6,32	0,07	7,83	0,07	6,73	0,07	6,01	0,07	9,73	0,07	8,64	0,07	6,85	0,07	7,03	0,07	4,76	0,07	6,91	0,07	6,51	0,07	7,36	0,07	8,14	0,07	7,72	0,07	7,93	0,07	7,35	0,07	5,63
7,05	7,88	6,23	0,08	5,30	0,08	6,54	0,08	7,15	0,08	5,99	0,08	8,70	0,08	7,43	0,08	5,58	0,08	5,45	0,08	12,28	0,08	6,68	0,08	6,30	0,08	6,87	0,08	6,86	0,08	8,40	0,08	6,32	0,08	7,82	0,08	6,73	0,08	6,02	0,08	9,73	0,08	8,64	0,08	6,85	0,08	7,02	0,08	4,76	0,08	6,91	0,08	6,51	0,08	7,37	0,08	8,15	0,08	7,71	0,08	7,93	0,08	7,35	0,08	5,63
7,05	7,88	6,22	0,10	5,32	0,10	6,55	0,10	7,15	0,10	5,99	0,10	8,69	0,10	7,42	0,10	5,58	0,10	5,45	0,10	12,27	0,10	6,69	0,10	6,30	0,10	6,87	0,10	6,86	0,10	8,39	0,10	6,31	0,10	7,80	0,10	6,73	0,10	6,02	0,10	9,74	0,10	8,63	0,10	6,85	0,10	7,02	0,10	4,76	0,10	6,90	0,10	6,50	0,10	7,37	0,10	8,15	0,10	7,72	0,10	7,94	0,10	7,35	0,10	5,63
7,04	7,87	6,21	0,12	5,33	0,12	6,56	0,12	7,16	0,12	5,99	0,12	8,68	0,12	7,41	0,12	5,57	0,12	5,45	0,12	12,26	0,12	6,69	0,12	6,30	0,12	6,87	0,12	6,86	0,12	8,38	0,12	6,31	0,12	7,79	0,12	6,71	0,12	6,02	0,12	9,74	0,12	8,63	0,12	6,85	0,12	7,02	0,12	4,76	0,12	6,90	0,12	6,50	0,12	7,38	0,12	8,15	0,12	7,72	0,12	7,94	0,12	7,36	0,12	5,63
7,03	7,86	6,20	0,13	5,34	0,13	6,57	0,13	7,17	0,13	5,99	0,13	8,67	0,13	7,40	0,13	5,56	0,13	5,45	0,13	12,24	0,13	6,69	0,13	6,29	0,13	6,87	0,13	6,86	0,13	8,36	0,13	6,30	0,13	7,77	0,13	6,70	0,13	6,02	0,13	9,74	0,13	8,63	0,13	6,85	0,13	7,01	0,13	4,76	0,13	6,90	0,13	6,50	0,13	7,39	0,13	8,15	0,13	7,72	0,13	7,94	0,13	7,36	0,13	5,64
7,02	7,85	6,19	0,15	5,36	0,15	6,59	0,15	7,18	0,15	5,99	0,15	8,66	0,15	7,39	0,15	5,55	0,15	5,44	0,15	12,23	0,15	6,69	0,15	6,29	0,15	6,88	0,15	6,86	0,15	8,34	0,15	6,29	0,15	7,76	0,15	6,69	0,15	6,03	0,15	9,74	0,15	8,62	0,15	6,85	0,15	7,00	0,15	4,76	0,15	6,89	0,15	6,50	0,15	7,39	0,15	8,15	0,15	7,72	0,15	7,95	0,15	7,36	0,15	5,63
