Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,11	10,44	7,78	0,00	8,51	0,00	8,44	0,00	10,86	0,00	7,57	0,00	12,29	0,00	9,85	0,00	6,98	0,00	9,12	0,00	17,02	0,00	8,75	0,00	10,67	0,00	9,77	0,00	10,18	0,00	11,04	0,00	8,49	0,00	8,62	0,00	9,13	0,00	8,98	0,00	10,78	0,00	11,31	0,00	9,84	0,00	9,14	0,00	7,34	0,00	11,67	0,00	9,71	0,00	9,40	0,00	10,37	0,00	10,97	0,00	11,09	0,00	10,53	0,00	10,32
9,11	10,44	7,78	0,02	8,51	0,02	8,44	0,02	10,87	0,02	7,57	0,02	12,29	0,02	9,85	0,02	6,98	0,02	9,12	0,02	17,02	0,02	8,74	0,02	10,67	0,02	9,77	0,02	10,18	0,02	11,04	0,02	8,49	0,02	8,62	0,02	9,13	0,02	8,98	0,02	10,78	0,02	11,31	0,02	9,84	0,02	9,15	0,02	7,34	0,02	11,67	0,02	9,71	0,02	9,40	0,02	10,37	0,02	10,97	0,02	11,09	0,02	10,53	0,02	10,34
9,11	10,44	7,78	0,03	8,51	0,03	8,44	0,03	10,87	0,03	7,57	0,03	12,29	0,03	9,85	0,03	6,97	0,03	9,12	0,03	17,02	0,03	8,73	0,03	10,67	0,03	9,77	0,03	10,17	0,03	11,03	0,03	8,49	0,03	8,62	0,03	9,13	0,03	8,98	0,03	10,78	0,03	11,31	0,03	9,84	0,03	9,16	0,03	7,34	0,03	11,67	0,03	9,71	0,03	9,40	0,03	10,37	0,03	10,97	0,03	11,08	0,03	10,53	0,03	10,37
9,10	10,43	7,78	0,05	8,51	0,05	8,43	0,05	10,87	0,05	7,56	0,05	12,29	0,05	9,84	0,05	6,97	0,05	9,12	0,05	17,01	0,05	8,72	0,05	10,67	0,05	9,77	0,05	10,17	0,05	11,03	0,05	8,49	0,05	8,62	0,05	9,12	0,05	8,98	0,05	10,78	0,05	11,31	0,05	9,84	0,05	9,17	0,05	7,34	0,05	11,67	0,05	9,71	0,05	9,39	0,05	10,37	0,05	10,97	0,05	11,08	0,05	10,53	0,05	10,40
9,10	10,43	7,78	0,07	8,51	0,07	8,43	0,07	10,87	0,07	7,56	0,07	12,30	0,07	9,84	0,07	6,97	0,07	9,12	0,07	17,01	0,07	8,71	0,07	10,66	0,07	9,77	0,07	10,17	0,07	11,03	0,07	8,49	0,07	8,63	0,07	9,12	0,07	8,98	0,07	10,78	0,07	11,31	0,07	9,84	0,07	9,18	0,07	7,34	0,07	11,68	0,07	9,72	0,07	9,39	0,07	10,37	0,07	10,96	0,07	11,07	0,07	10,54	0,07	10,43
9,10	10,42	7,78	0,08	8,50	0,08	8,43	0,08	10,88	0,08	7,55	0,08	12,30	0,08	9,84	0,08	6,97	0,08	9,12	0,08	16,98	0,08	8,70	0,08	10,63	0,08	9,77	0,08	10,16	0,08	11,02	0,08	8,49	0,08	8,63	0,08	9,12	0,08	8,98	0,08	10,78	0,08	11,30	0,08	9,84	0,08	9,19	0,08	7,35	0,08	11,68	0,08	9,72	0,08	9,39	0,08	10,37	0,08	10,94	0,08	11,07	0,08	10,57	0,08	10,46
9,10	10,41	7,78	0,10	8,50	0,10	8,43	0,10	10,88	0,10	7,55	0,10	12,30	0,10	9,83	0,10	6,97	0,10	9,13	0,10	16,95	0,10	8,70	0,10	10,59	0,10	9,77	0,10	10,15	0,10	11,01	0,10	8,49	0,10	8,63	0,10	9,12	0,10	8,99	0,10	10,78	0,10	11,30	0,10	9,85	0,10	9,20	0,10	7,36	0,10	11,68	0,10	9,72	0,10	9,39	0,10	10,37	0,10	10,93	0,10	11,08	0,10	10,61	0,10	10,48
9,09	10,41	7,78	0,12	8,52	0,12	8,43	0,12	10,89	0,12	7,54	0,12	12,31	0,12	9,83	0,12	6,96	0,12	9,13	0,12	16,91	0,12	8,69	0,12	10,56	0,12	9,76	0,12	10,15	0,12	11,01	0,12	8,48	0,12	8,63	0,12	9,12	0,12	8,99	0,12	10,78	0,12	11,29	0,12	9,86	0,12	9,21	0,12	7,37	0,12	11,69	0,12	9,73	0,12	9,39	0,12	10,37	0,12	10,92	0,12	11,08	0,12	10,64	0,12	10,51
9,08	10,39	7,78	0,13	8,54	0,13	8,43	0,13	10,89	0,13	7,53	0,13	12,32	0,13	9,82	0,13	6,96	0,13	9,13	0,13	16,87	0,13	8,69	0,13	10,53	0,13	9,75	0,13	10,14	0,13	11,00	0,13	8,48	0,13	8,63	0,13	9,11	0,13	8,99	0,13	10,78	0,13	11,29	0,13	9,86	0,13	9,21	0,13	7,38	0,13	11,70	0,13	9,73	0,13	9,39	0,13	10,37	0,13	10,90	0,13	11,09	0,13	10,67	0,13	10,54
9,08	10,38	7,78	0,15	8,56	0,15	8,43	0,15	10,90	0,15	7,52	0,15	12,33	0,15	9,82	0,15	6,96	0,15	9,12	0,15	16,82	0,15	8,68	0,15	10,51	0,15	9,73	0,15	10,13	0,15	10,98	0,15	8,48	0,15	8,63	0,15	9,11	0,15	9,00	0,15	10,78	0,15	11,29	0,15	9,87	0,15	9,22	0,15	7,39	0,15	11,71	0,15	9,74	0,15	9,39	0,15	10,36	0,15	10,88	0,15	11,13	0,15	10,70	0,15	10,57
