Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,18	6,41	3,96	0,00	3,71	0,00	4,67	0,00	5,43	0,00	4,18	0,00	7,28	0,00	5,06	0,00	4,10	0,00	4,21	0,00	10,33	0,00	5,24	0,00	4,99	0,00	5,38	0,00	4,69	0,00	5,83	0,00	4,37	0,00	5,13	0,00	4,16	0,00	5,04	0,00	6,80	0,00	6,37	0,00	5,60	0,00	4,70	0,00	3,73	0,00	6,56	0,00	5,22	0,00	6,70	0,00	6,07	0,00	7,47	0,00	7,07	0,00	5,58	0,00	5,38
5,18	6,40	3,96	0,02	3,71	0,02	4,67	0,02	5,43	0,02	4,18	0,02	7,28	0,02	5,05	0,02	4,10	0,02	4,21	0,02	10,33	0,02	5,24	0,02	4,99	0,02	5,38	0,02	4,69	0,02	5,83	0,02	4,36	0,02	5,13	0,02	4,16	0,02	5,04	0,02	6,80	0,02	6,37	0,02	5,60	0,02	4,70	0,02	3,73	0,02	6,56	0,02	5,22	0,02	6,70	0,02	6,07	0,02	7,47	0,02	7,07	0,02	5,58	0,02	5,38
5,18	6,40	3,96	0,03	3,71	0,03	4,67	0,03	5,43	0,03	4,18	0,03	7,28	0,03	5,04	0,03	4,10	0,03	4,21	0,03	10,33	0,03	5,24	0,03	4,99	0,03	5,38	0,03	4,70	0,03	5,83	0,03	4,36	0,03	5,13	0,03	4,16	0,03	5,04	0,03	6,80	0,03	6,37	0,03	5,60	0,03	4,69	0,03	3,73	0,03	6,56	0,03	5,22	0,03	6,70	0,03	6,07	0,03	7,47	0,03	7,07	0,03	5,58	0,03	5,38
5,18	6,40	3,95	0,05	3,72	0,05	4,68	0,05	5,43	0,05	4,18	0,05	7,28	0,05	5,04	0,05	4,09	0,05	4,21	0,05	10,32	0,05	5,24	0,05	4,99	0,05	5,38	0,05	4,70	0,05	5,83	0,05	4,36	0,05	5,13	0,05	4,16	0,05	5,04	0,05	6,80	0,05	6,37	0,05	5,59	0,05	4,69	0,05	3,73	0,05	6,56	0,05	5,22	0,05	6,71	0,05	6,07	0,05	7,47	0,05	7,07	0,05	5,58	0,05	5,37
5,17	6,40	3,95	0,07	3,73	0,07	4,69	0,07	5,43	0,07	4,18	0,07	7,28	0,07	5,03	0,07	4,09	0,07	4,21	0,07	10,31	0,07	5,24	0,07	4,99	0,07	5,38	0,07	4,70	0,07	5,82	0,07	4,36	0,07	5,13	0,07	4,15	0,07	5,04	0,07	6,80	0,07	6,37	0,07	5,59	0,07	4,69	0,07	3,73	0,07	6,55	0,07	5,22	0,07	6,72	0,07	6,08	0,07	7,47	0,07	7,07	0,07	5,58	0,07	5,37
5,17	6,40	3,94	0,08	3,74	0,08	4,70	0,08	5,43	0,08	4,18	0,08	7,27	0,08	5,02	0,08	4,08	0,08	4,20	0,08	10,29	0,08	5,25	0,08	4,99	0,08	5,39	0,08	4,70	0,08	5,82	0,08	4,36	0,08	5,13	0,08	4,15	0,08	5,04	0,08	6,80	0,08	6,37	0,08	5,59	0,08	4,69	0,08	3,73	0,08	6,55	0,08	5,22	0,08	6,73	0,08	6,09	0,08	7,47	0,08	7,08	0,08	5,58	0,08	5,37
5,16	6,39	3,93	0,10	3,76	0,10	4,71	0,10	5,42	0,10	4,18	0,10	7,25	0,10	5,02	0,10	4,06	0,10	4,20	0,10	10,28	0,10	5,25	0,10	4,99	0,10	5,39	0,10	4,71	0,10	5,81	0,10	4,36	0,10	5,12	0,10	4,15	0,10	5,04	0,10	6,80	0,10	6,37	0,10	5,59	0,10	4,68	0,10	3,73	0,10	6,55	0,10	5,22	0,10	6,74	0,10	6,09	0,10	7,46	0,10	7,08	0,10	5,58	0,10	5,37
5,16	6,39	3,93	0,12	3,77	0,12	4,72	0,12	5,43	0,12	4,18	0,12	7,24	0,12	5,01	0,12	4,05	0,12	4,20	0,12	10,26	0,12	5,25	0,12	4,99	0,12	5,39	0,12	4,71	0,12	5,80	0,12	4,35	0,12	5,12	0,12	4,15	0,12	5,04	0,12	6,80	0,12	6,36	0,12	5,59	0,12	4,68	0,12	3,73	0,12	6,55	0,12	5,23	0,12	6,76	0,12	6,10	0,12	7,47	0,12	7,08	0,12	5,58	0,12	5,36
5,16	6,40	3,91	0,13	3,78	0,13	4,73	0,13	5,44	0,13	4,17	0,13	7,22	0,13	5,01	0,13	4,04	0,13	4,20	0,13	10,24	0,13	5,25	0,13	4,98	0,13	5,39	0,13	4,71	0,13	5,79	0,13	4,35	0,13	5,11	0,13	4,14	0,13	5,04	0,13	6,80	0,13	6,36	0,13	5,59	0,13	4,68	0,13	3,73	0,13	6,54	0,13	5,24	0,13	6,77	0,13	6,10	0,13	7,48	0,13	7,08	0,13	5,58	0,13	5,36
5,15	6,40	3,91	0,15	3,80	0,15	4,74	0,15	5,45	0,15	4,16	0,15	7,21	0,15	5,01	0,15	4,02	0,15	4,19	0,15	10,21	0,15	5,26	0,15	4,99	0,15	5,40	0,15	4,71	0,15	5,78	0,15	4,36	0,15	5,11	0,15	4,14	0,15	5,04	0,15	6,80	0,15	6,36	0,15	5,59	0,15	4,67	0,15	3,73	0,15	6,54	0,15	5,24	0,15	6,78	0,15	6,10	0,15	7,48	0,15	7,08	0,15	5,58	0,15	5,36
5,15	6,40	3,90	0,17	3,83	0,17	4,75	0,17	5,45	0,17	4,15	0,17	7,19	0,17	5,00	0,17	4,01	0,17	4,18	0,17	10,19	0,17	5,26	0,17	4,99	0,17	5,40	0,17	4,71	0,17	5,77	0,17	4,36	0,17	5,10	0,17	4,14	0,17	5,04	0,17	6,80	0,17	6,36	0,17	5,59	0,17	4,67	0,17	3,73	0,17	6,54	0,17	5,25	0,17	6,79	0,17	6,11	0,17	7,49	0,17	7,08	0,17	5,58	0,17	5,36
5,14	6,40	3,89	0,18	3,85	0,18	4,77	0,18	5,46	0,18	4,15	0,18	7,18	0,18	5,00	0,18	3,99	0,18	4,17	0,18	10,16	0,18	5,26	0,18	4,99	0,18	5,41	0,18	4,71	0,18	5,76	0,18	4,36	0,18	5,10	0,18	4,13	0,18	5,04	0,18	6,80	0,18	6,35	0,18	5,59	0,18	4,66	0,18	3,73	0,18	6,54	0,18	5,26	0,18	6,80	0,18	6,11	0,18	7,49	0,18	7,09	0,18	5,58	0,18	5,36
5,14	6,40	3,88	0,20	3,87	0,20	4,78	0,20	5,47	0,20	4,15	0,20	7,17	0,20	5,00	0,20	3,98	0,20	4,16	0,20	10,13	0,20	5,26	0,20	4,99	0,20	5,41	0,20	4,72	0,20	5,75	0,20	4,37	0,20	5,09	0,20	4,13	0,20	5,05	0,20	6,80	0,20	6,35	0,20	5,59	0,20	4,66	0,20	3,73	0,20	6,55	0,20	5,27	0,20	6,81	0,20	6,11	0,20	7,49	0,20	7,10	0,20	5,59	0,20	5,35
5,13	6,39	3,87	0,22	3,90	0,22	4,80	0,22	5,46	0,22	4,15	0,22	7,15	0,22	5,00	0,22	3,96	0,22	4,15	0,22	10,08	0,22	5,27	0,22	4,99	0,22	5,41	0,22	4,71	0,22	5,73	0,22	4,37	0,22	5,08	0,22	4,12	0,22	5,05	0,22	6,80	0,22	6,35	0,22	5,59	0,22	4,65	0,22	3,73	0,22	6,56	0,22	5,28	0,22	6,82	0,22	6,11	0,22	7,49	0,22	7,11	0,22	5,59	0,22	5,35
5,13	6,39	3,86	0,23	3,93	0,23	4,83	0,23	5,46	0,23	4,15	0,23	7,14	0,23	5,00	0,23	3,95	0,23	4,14	0,23	10,04	0,23	5,28	0,23	4,99	0,23	5,42	0,23	4,71	0,23	5,72	0,23	4,37	0,23	5,08	0,23	4,12	0,23	5,05	0,23	6,80	0,23	6,34	0,23	5,59	0,23	4,64	0,23	3,73	0,23	6,56	0,23	5,29	0,23	6,83	0,23	6,11	0,23	7,49	0,23	7,13	0,23	5,59	0,23	5,35
5,12	6,38	3,85	0,25	3,95	0,25	4,85	0,25	5,45	0,25	4,15	0,25	7,13	0,25	5,00	0,25	3,93	0,25	4,13	0,25	9,99	0,25	5,28	0,25	4,99	0,25	5,42	0,25	4,71	0,25	5,70	0,25	4,38	0,25	5,07	0,25	4,11	0,25	5,05	0,25	6,80	0,25	6,34	0,25	5,59	0,25	4,64	0,25	3,73	0,25	6,57	0,25	5,29	0,25	6,84	0,25	6,11	0,25	7,48	0,25	7,14	0,25	5,60	0,25	5,35
5,11	6,38	3,84	0,27	3,98	0,27	4,88	0,27	5,45	0,27	4,14	0,27	7,12	0,27	5,00	0,27	3,92	0,27	4,11	0,27	9,94	0,27	5,29	0,27	4,99	0,27	5,42	0,27	4,71	0,27	5,68	0,27	4,38	0,27	5,07	0,27	4,10	0,27	5,05	0,27	6,80	0,27	6,34	0,27	5,59	0,27	4,63	0,27	3,74	0,27	6,57	0,27	5,30	0,27	6,85	0,27	6,11	0,27	7,48	0,27	7,16	0,27	5,61	0,27	5,35
5,11	6,38	3,83	0,28	4,01	0,28	4,89	0,28	5,45	0,28	4,14	0,28	7,11	0,28	5,00	0,28	3,90	0,28	4,10	0,28	9,90	0,28	5,29	0,28	4,99	0,28	5,43	0,28	4,71	0,28	5,66	0,28	4,38	0,28	5,06	0,28	4,10	0,28	5,05	0,28	6,81	0,28	6,33	0,28	5,59	0,28	4,62	0,28	3,75	0,28	6,57	0,28	5,31	0,28	6,86	0,28	6,11	0,28	7,48	0,28	7,17	0,28	5,63	0,28	5,35
5,10	6,38	3,82	0,30	4,03	0,30	4,91	0,30	5,45	0,30	4,14	0,30	7,10	0,30	5,00	0,30	3,88	0,30	4,09	0,30	9,85	0,30	5,29	0,30	4,99	0,30	5,43	0,30	4,71	0,30	5,64	0,30	4,38	0,30	5,06	0,30	4,09	0,30	5,06	0,30	6,81	0,30	6,33	0,30	5,59	0,30	4,61	0,30	3,76	0,30	6,58	0,30	5,31	0,30	6,87	0,30	6,11	0,30	7,47	0,30	7,18	0,30	5,64	0,30	5,35
5,09	6,37	3,82	0,32	4,06	0,32	4,92	0,32	5,45	0,32	4,13	0,32	7,09	0,32	5,00	0,32	3,87	0,32	4,08	0,32	9,80	0,32	5,29	0,32	4,99	0,32	5,44	0,32	4,70	0,32	5,62	0,32	4,39	0,32	5,05	0,32	4,08	0,32	5,06	0,32	6,81	0,32	6,32	0,32	5,59	0,32	4,62	0,32	3,77	0,32	6,58	0,32	5,32	0,32	6,88	0,32	6,10	0,32	7,46	0,32	7,20	0,32	5,65	0,32	5,35
5,09	6,37	3,81	0,33	4,08	0,33	4,94	0,33	5,45	0,33	4,13	0,33	7,07	0,33	5,01	0,33	3,85	0,33	4,07	0,33	9,74	0,33	5,29	0,33	4,99	0,33	5,44	0,33	4,70	0,33	5,60	0,33	4,39	0,33	5,05	0,33	4,08	0,33	5,06	0,33	6,81	0,33	6,32	0,33	5,59	0,33	4,62	0,33	3,77	0,33	6,59	0,33	5,33	0,33	6,88	0,33	6,10	0,33	7,46	0,33	7,21	0,33	5,66	0,33	5,36
5,08	6,36	3,80	0,35	4,09	0,35	4,96	0,35	5,45	0,35	4,13	0,35	7,06	0,35	5,01	0,35	3,83	0,35	4,06	0,35	9,69	0,35	5,29	0,35	4,98	0,35	5,45	0,35	4,70	0,35	5,57	0,35	4,39	0,35	5,04	0,35	4,07	0,35	5,07	0,35	6,81	0,35	6,31	0,35	5,59	0,35	4,62	0,35	3,78	0,35	6,59	0,35	5,33	0,35	6,89	0,35	6,10	0,35	7,45	0,35	7,23	0,35	5,68	0,35	5,37
5,08	6,36	3,80	0,37	4,11	0,37	4,97	0,37	5,45	0,37	4,13	0,37	7,05	0,37	5,02	0,37	3,82	0,37	4,05	0,37	9,63	0,37	5,29	0,37	4,96	0,37	5,45	0,37	4,69	0,37	5,55	0,37	4,39	0,37	5,04	0,37	4,06	0,37	5,07	0,37	6,81	0,37	6,31	0,37	5,59	0,37	4,62	0,37	3,79	0,37	6,59	0,37	5,34	0,37	6,90	0,37	6,10	0,37	7,44	0,37	7,25	0,37	5,69	0,37	5,37
5,07	6,35	3,78	0,38	4,12	0,38	4,99	0,38	5,45	0,38	4,13	0,38	7,03	0,38	5,02	0,38	3,80	0,38	4,05	0,38	9,57	0,38	5,30	0,38	4,95	0,38	5,46	0,38	4,69	0,38	5,52	0,38	4,39	0,38	5,03	0,38	4,05	0,38	5,08	0,38	6,81	0,38	6,30	0,38	5,59	0,38	4,63	0,38	3,80	0,38	6,60	0,38	5,35	0,38	6,91	0,38	6,09	0,38	7,43	0,38	7,26	0,38	5,70	0,38	5,38
5,06	6,34	3,78	0,40	4,13	0,40	5,00	0,40	5,45	0,40	4,13	0,40	7,02	0,40	5,03	0,40	3,78	0,40	4,04	0,40	9,52	0,40	5,30	0,40	4,94	0,40	5,46	0,40	4,68	0,40	5,49	0,40	4,39	0,40	5,03	0,40	4,04	0,40	5,09	0,40	6,80	0,40	6,30	0,40	5,60	0,40	4,63	0,40	3,80	0,40	6,60	0,40	5,35	0,40	6,92	0,40	6,09	0,40	7,42	0,40	7,28	0,40	5,72	0,40	5,38
5,05	6,34	3,77	0,42	4,15	0,42	5,02	0,42	5,45	0,42	4,14	0,42	7,01	0,42	5,03	0,42	3,77	0,42	4,03	0,42	9,46	0,42	5,30	0,42	4,93	0,42	5,46	0,42	4,68	0,42	5,46	0,42	4,39	0,42	5,02	0,42	4,03	0,42	5,10	0,42	6,80	0,42	6,29	0,42	5,61	0,42	4,63	0,42	3,81	0,42	6,60	0,42	5,36	0,42	6,92	0,42	6,09	0,42	7,41	0,42	7,29	0,42	5,73	0,42	5,39
5,05	6,33	3,76	0,43	4,16	0,43	5,03	0,43	5,44	0,43	4,14	0,43	7,00	0,43	5,04	0,43	3,76	0,43	4,02	0,43	9,39	0,43	5,31	0,43	4,92	0,43	5,46	0,43	4,67	0,43	5,43	0,43	4,39	0,43	5,01	0,43	4,02	0,43	5,10	0,43	6,80	0,43	6,28	0,43	5,61	0,43	4,63	0,43	3,82	0,43	6,60	0,43	5,36	0,43	6,93	0,43	6,08	0,43	7,40	0,43	7,31	0,43	5,74	0,43	5,40
