Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,00	5,69	4,30	0,00	5,14	0,00	5,57	0,00	6,73	0,00	3,31	0,00	5,33	0,00	4,55	0,00	5,05	0,00	4,37	0,00	10,67	0,00	6,13	0,00	6,56	0,00	5,13	0,00	7,12	0,00	6,48	0,00	5,25	0,00	6,32	0,00	4,45	0,00	4,32	0,00	4,64	0,00	4,21	0,00	5,64	0,00	4,05	0,00	2,80	0,00	4,54	0,00	3,77	0,00	6,62	0,00	4,38	0,00	4,61	0,00	5,52	0,00	4,55	0,00	3,19
5,00	5,69	4,30	0,02	5,14	0,02	5,57	0,02	6,73	0,02	3,31	0,02	5,31	0,02	4,55	0,02	5,05	0,02	4,37	0,02	10,67	0,02	6,13	0,02	6,56	0,02	5,13	0,02	7,12	0,02	6,48	0,02	5,25	0,02	6,32	0,02	4,45	0,02	4,32	0,02	4,64	0,02	4,21	0,02	5,64	0,02	4,05	0,02	2,80	0,02	4,54	0,02	3,77	0,02	6,62	0,02	4,38	0,02	4,61	0,02	5,52	0,02	4,55	0,02	3,19
5,00	5,69	4,30	0,03	5,15	0,03	5,57	0,03	6,73	0,03	3,31	0,03	5,30	0,03	4,55	0,03	5,05	0,03	4,37	0,03	10,66	0,03	6,13	0,03	6,56	0,03	5,13	0,03	7,11	0,03	6,48	0,03	5,25	0,03	6,32	0,03	4,45	0,03	4,32	0,03	4,64	0,03	4,21	0,03	5,64	0,03	4,05	0,03	2,80	0,03	4,54	0,03	3,77	0,03	6,62	0,03	4,38	0,03	4,61	0,03	5,52	0,03	4,55	0,03	3,19
5,00	5,69	4,31	0,05	5,16	0,05	5,57	0,05	6,73	0,05	3,31	0,05	5,30	0,05	4,56	0,05	5,05	0,05	4,37	0,05	10,66	0,05	6,13	0,05	6,55	0,05	5,13	0,05	7,11	0,05	6,48	0,05	5,25	0,05	6,32	0,05	4,45	0,05	4,32	0,05	4,64	0,05	4,21	0,05	5,64	0,05	4,05	0,05	2,80	0,05	4,54	0,05	3,78	0,05	6,62	0,05	4,38	0,05	4,61	0,05	5,52	0,05	4,55	0,05	3,19
5,00	5,69	4,31	0,07	5,17	0,07	5,58	0,07	6,73	0,07	3,31	0,07	5,30	0,07	4,57	0,07	5,05	0,07	4,37	0,07	10,65	0,07	6,13	0,07	6,55	0,07	5,13	0,07	7,11	0,07	6,48	0,07	5,25	0,07	6,32	0,07	4,45	0,07	4,32	0,07	4,64	0,07	4,21	0,07	5,64	0,07	4,05	0,07	2,80	0,07	4,54	0,07	3,78	0,07	6,63	0,07	4,38	0,07	4,61	0,07	5,52	0,07	4,55	0,07	3,21
5,00	5,69	4,31	0,08	5,18	0,08	5,59	0,08	6,73	0,08	3,30	0,08	5,30	0,08	4,57	0,08	5,04	0,08	4,37	0,08	10,64	0,08	6,13	0,08	6,55	0,08	5,12	0,08	7,11	0,08	6,47	0,08	5,24	0,08	6,32	0,08	4,45	0,08	4,32	0,08	4,64	0,08	4,21	0,08	5,63	0,08	4,05	0,08	2,80	0,08	4,54	0,08	3,79	0,08	6,63	0,08	4,38	0,08	4,61	0,08	5,52	0,08	4,55	0,08	3,23
5,00	5,68	4,31	0,10	5,19	0,10	5,60	0,10	6,73	0,10	3,30	0,10	5,30	0,10	4,58	0,10	5,04	0,10	4,37	0,10	10,63	0,10	6,14	0,10	6,55	0,10	5,12	0,10	7,10	0,10	6,47	0,10	5,24	0,10	6,31	0,10	4,45	0,10	4,32	0,10	4,63	0,10	4,21	0,10	5,63	0,10	4,04	0,10	2,80	0,10	4,54	0,10	3,80	0,10	6,63	0,10	4,38	0,10	4,61	0,10	5,52	0,10	4,55	0,10	3,24
4,99	5,68	4,31	0,12	5,19	0,12	5,61	0,12	6,73	0,12	3,29	0,12	5,29	0,12	4,58	0,12	5,04	0,12	4,37	0,12	10,62	0,12	6,14	0,12	6,54	0,12	5,12	0,12	7,10	0,12	6,46	0,12	5,24	0,12	6,31	0,12	4,44	0,12	4,32	0,12	4,63	0,12	4,21	0,12	5,62	0,12	4,04	0,12	2,79	0,12	4,54	0,12	3,80	0,12	6,63	0,12	4,38	0,12	4,60	0,12	5,52	0,12	4,55	0,12	3,25
5,00	5,69	4,31	0,13	5,20	0,13	5,62	0,13	6,74	0,13	3,29	0,13	5,29	0,13	4,59	0,13	5,05	0,13	4,36	0,13	10,61	0,13	6,14	0,13	6,54	0,13	5,12	0,13	7,09	0,13	6,46	0,13	5,24	0,13	6,31	0,13	4,44	0,13	4,31	0,13	4,63	0,13	4,21	0,13	5,61	0,13	4,04	0,13	2,79	0,13	4,54	0,13	3,81	0,13	6,64	0,13	4,39	0,13	4,60	0,13	5,53	0,13	4,56	0,13	3,26
4,99	5,68	4,31	0,15	5,21	0,15	5,63	0,15	6,73	0,15	3,29	0,15	5,29	0,15	4,59	0,15	5,04	0,15	4,36	0,15	10,59	0,15	6,15	0,15	6,54	0,15	5,11	0,15	7,08	0,15	6,45	0,15	5,23	0,15	6,30	0,15	4,44	0,15	4,31	0,15	4,62	0,15	4,21	0,15	5,61	0,15	4,04	0,15	2,79	0,15	4,55	0,15	3,82	0,15	6,64	0,15	4,40	0,15	4,60	0,15	5,53	0,15	4,57	0,15	3,27
4,99	5,67	4,31	0,17	5,22	0,17	5,65	0,17	6,72	0,17	3,29	0,17	5,29	0,17	4,59	0,17	5,03	0,17	4,36	0,17	10,58	0,17	6,15	0,17	6,53	0,17	5,11	0,17	7,08	0,17	6,44	0,17	5,23	0,17	6,30	0,17	4,43	0,17	4,31	0,17	4,62	0,17	4,20	0,17	5,60	0,17	4,04	0,17	2,79	0,17	4,56	0,17	3,82	0,17	6,64	0,17	4,40	0,17	4,60	0,17	5,53	0,17	4,58	0,17	3,28
4,99	5,67	4,31	0,18	5,23	0,18	5,66	0,18	6,72	0,18	3,28	0,18	5,29	0,18	4,60	0,18	5,02	0,18	4,36	0,18	10,56	0,18	6,16	0,18	6,53	0,18	5,10	0,18	7,07	0,18	6,43	0,18	5,22	0,18	6,29	0,18	4,43	0,18	4,30	0,18	4,62	0,18	4,20	0,18	5,59	0,18	4,04	0,18	2,79	0,18	4,56	0,18	3,83	0,18	6,64	0,18	4,41	0,18	4,60	0,18	5,53	0,18	4,59	0,18	3,29
4,98	5,67	4,30	0,20	5,24	0,20	5,67	0,20	6,72	0,20	3,28	0,20	5,28	0,20	4,60	0,20	5,01	0,20	4,37	0,20	10,54	0,20	6,16	0,20	6,52	0,20	5,09	0,20	7,06	0,20	6,42	0,20	5,21	0,20	6,29	0,20	4,42	0,20	4,30	0,20	4,61	0,20	4,20	0,20	5,58	0,20	4,04	0,20	2,79	0,20	4,57	0,20	3,83	0,20	6,64	0,20	4,41	0,20	4,60	0,20	5,55	0,20	4,59	0,20	3,30
