Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,33	7,95	6,71	0,00	7,29	0,00	7,62	0,00	7,13	0,00	6,97	0,00	9,04	0,00	7,02	0,00	6,31	0,00	6,10	0,00	11,52	0,00	7,26	0,00	6,86	0,00	7,46	0,00	6,27	0,00	8,13	0,00	6,28	0,00	7,90	0,00	7,40	0,00	7,17	0,00	10,26	0,00	10,04	0,00	8,26	0,00	8,38	0,00	6,71	0,00	7,06	0,00	5,73	0,00	6,61	0,00	6,97	0,00	8,02	0,00	7,24	0,00	7,51	0,00	6,66
7,33	7,95	6,71	0,02	7,29	0,02	7,62	0,02	7,13	0,02	6,97	0,02	9,04	0,02	7,02	0,02	6,31	0,02	6,10	0,02	11,52	0,02	7,26	0,02	6,86	0,02	7,46	0,02	6,27	0,02	8,13	0,02	6,28	0,02	7,89	0,02	7,40	0,02	7,17	0,02	10,26	0,02	10,04	0,02	8,26	0,02	8,38	0,02	6,71	0,02	7,06	0,02	5,73	0,02	6,61	0,02	6,97	0,02	8,02	0,02	7,24	0,02	7,51	0,02	6,66
7,33	7,95	6,71	0,03	7,29	0,03	7,63	0,03	7,12	0,03	6,97	0,03	9,04	0,03	7,02	0,03	6,31	0,03	6,10	0,03	11,52	0,03	7,26	0,03	6,86	0,03	7,47	0,03	6,27	0,03	8,13	0,03	6,28	0,03	7,89	0,03	7,40	0,03	7,17	0,03	10,26	0,03	10,04	0,03	8,26	0,03	8,38	0,03	6,71	0,03	7,06	0,03	5,73	0,03	6,61	0,03	6,98	0,03	8,01	0,03	7,24	0,03	7,51	0,03	6,66
7,32	7,94	6,70	0,05	7,28	0,05	7,64	0,05	7,13	0,05	6,97	0,05	9,03	0,05	7,01	0,05	6,31	0,05	6,10	0,05	11,51	0,05	7,26	0,05	6,86	0,05	7,47	0,05	6,27	0,05	8,13	0,05	6,28	0,05	7,89	0,05	7,40	0,05	7,17	0,05	10,25	0,05	10,04	0,05	8,26	0,05	8,38	0,05	6,71	0,05	7,06	0,05	5,73	0,05	6,61	0,05	6,98	0,05	8,01	0,05	7,25	0,05	7,51	0,05	6,66
7,32	7,94	6,70	0,07	7,27	0,07	7,64	0,07	7,13	0,07	6,97	0,07	9,02	0,07	7,01	0,07	6,31	0,07	6,10	0,07	11,51	0,07	7,26	0,07	6,85	0,07	7,47	0,07	6,28	0,07	8,12	0,07	6,28	0,07	7,89	0,07	7,40	0,07	7,16	0,07	10,23	0,07	10,04	0,07	8,26	0,07	8,37	0,07	6,71	0,07	7,06	0,07	5,73	0,07	6,60	0,07	6,99	0,07	8,01	0,07	7,25	0,07	7,51	0,07	6,66
7,32	7,94	6,70	0,08	7,28	0,08	7,65	0,08	7,13	0,08	6,98	0,08	9,02	0,08	7,01	0,08	6,31	0,08	6,10	0,08	11,50	0,08	7,26	0,08	6,85	0,08	7,47	0,08	6,28	0,08	8,11	0,08	6,28	0,08	7,89	0,08	7,40	0,08	7,16	0,08	10,22	0,08	10,03	0,08	8,26	0,08	8,37	0,08	6,71	0,08	7,06	0,08	5,73	0,08	6,60	0,08	6,99	0,08	8,01	0,08	7,25	0,08	7,50	0,08	6,66
7,33	7,94	6,71	0,10	7,28	0,10	7,66	0,10	7,13	0,10	6,98	0,10	9,01	0,10	7,01	0,10	6,32	0,10	6,09	0,10	11,49	0,10	7,26	0,10	6,85	0,10	7,47	0,10	6,28	0,10	8,10	0,10	6,27	0,10	7,89	0,10	7,40	0,10	7,16	0,10	10,20	0,10	10,03	0,10	8,26	0,10	8,37	0,10	6,71	0,10	7,06	0,10	5,73	0,10	6,60	0,10	6,99	0,10	8,01	0,10	7,25	0,10	7,50	0,10	6,66
7,32	7,94	6,71	0,12	7,29	0,12	7,66	0,12	7,14	0,12	6,97	0,12	9,00	0,12	7,01	0,12	6,32	0,12	6,09	0,12	11,48	0,12	7,26	0,12	6,85	0,12	7,47	0,12	6,28	0,12	8,09	0,12	6,27	0,12	7,89	0,12	7,39	0,12	7,15	0,12	10,19	0,12	10,01	0,12	8,26	0,12	8,36	0,12	6,70	0,12	7,05	0,12	5,72	0,12	6,60	0,12	7,00	0,12	8,00	0,12	7,26	0,12	7,50	0,12	6,67
7,32	7,93	6,70	0,13	7,29	0,13	7,67	0,13	7,15	0,13	6,96	0,13	8,99	0,13	7,00	0,13	6,31	0,13	6,09	0,13	11,46	0,13	7,27	0,13	6,84	0,13	7,47	0,13	6,28	0,13	8,08	0,13	6,27	0,13	7,89	0,13	7,38	0,13	7,15	0,13	10,18	0,13	10,00	0,13	8,25	0,13	8,36	0,13	6,70	0,13	7,05	0,13	5,72	0,13	6,61	0,13	7,00	0,13	8,00	0,13	7,27	0,13	7,50	0,13	6,67
7,31	7,93	6,69	0,15	7,30	0,15	7,68	0,15	7,16	0,15	6,95	0,15	8,98	0,15	7,00	0,15	6,30	0,15	6,09	0,15	11,45	0,15	7,27	0,15	6,84	0,15	7,47	0,15	6,28	0,15	8,06	0,15	6,26	0,15	7,89	0,15	7,37	0,15	7,15	0,15	10,16	0,15	9,98	0,15	8,25	0,15	8,35	0,15	6,70	0,15	7,05	0,15	5,72	0,15	6,61	0,15	7,00	0,15	7,99	0,15	7,28	0,15	7,50	0,15	6,67
