Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,20	6,42	3,97	0,00	4,21	0,00	5,67	0,00	5,94	0,00	5,17	0,00	7,61	0,00	5,09	0,00	3,86	0,00	4,24	0,00	10,14	0,00	5,04	0,00	4,69	0,00	5,19	0,00	4,34	0,00	5,67	0,00	4,21	0,00	5,21	0,00	4,39	0,00	5,95	0,00	6,70	0,00	7,09	0,00	5,72	0,00	5,68	0,00	4,46	0,00	6,59	0,00	5,51	0,00	6,36	0,00	6,10	0,00	7,44	0,00	6,90	0,00	5,92	0,00	4,08
5,20	6,42	3,97	0,02	4,21	0,02	5,67	0,02	5,94	0,02	5,17	0,02	7,61	0,02	5,09	0,02	3,86	0,02	4,24	0,02	10,13	0,02	5,04	0,02	4,69	0,02	5,19	0,02	4,34	0,02	5,67	0,02	4,21	0,02	5,21	0,02	4,39	0,02	5,95	0,02	6,70	0,02	7,09	0,02	5,72	0,02	5,68	0,02	4,46	0,02	6,59	0,02	5,51	0,02	6,36	0,02	6,11	0,02	7,44	0,02	6,90	0,02	5,92	0,02	4,08
5,20	6,42	3,97	0,03	4,21	0,03	5,67	0,03	5,94	0,03	5,17	0,03	7,62	0,03	5,08	0,03	3,86	0,03	4,24	0,03	10,13	0,03	5,04	0,03	4,69	0,03	5,19	0,03	4,34	0,03	5,67	0,03	4,22	0,03	5,21	0,03	4,39	0,03	5,95	0,03	6,71	0,03	7,08	0,03	5,72	0,03	5,68	0,03	4,46	0,03	6,59	0,03	5,51	0,03	6,36	0,03	6,12	0,03	7,44	0,03	6,90	0,03	5,92	0,03	4,08
5,19	6,42	3,97	0,05	4,21	0,05	5,68	0,05	5,94	0,05	5,16	0,05	7,62	0,05	5,07	0,05	3,86	0,05	4,24	0,05	10,13	0,05	5,04	0,05	4,69	0,05	5,19	0,05	4,34	0,05	5,66	0,05	4,22	0,05	5,21	0,05	4,39	0,05	5,95	0,05	6,71	0,05	7,08	0,05	5,72	0,05	5,67	0,05	4,46	0,05	6,59	0,05	5,51	0,05	6,36	0,05	6,13	0,05	7,44	0,05	6,90	0,05	5,93	0,05	4,08
5,19	6,42	3,97	0,07	4,21	0,07	5,69	0,07	5,94	0,07	5,16	0,07	7,60	0,07	5,06	0,07	3,86	0,07	4,24	0,07	10,12	0,07	5,04	0,07	4,69	0,07	5,19	0,07	4,34	0,07	5,66	0,07	4,23	0,07	5,21	0,07	4,39	0,07	5,95	0,07	6,71	0,07	7,08	0,07	5,72	0,07	5,67	0,07	4,46	0,07	6,59	0,07	5,50	0,07	6,36	0,07	6,13	0,07	7,44	0,07	6,90	0,07	5,93	0,07	4,09
5,19	6,42	3,97	0,08	4,22	0,08	5,69	0,08	5,94	0,08	5,16	0,08	7,59	0,08	5,06	0,08	3,86	0,08	4,24	0,08	10,11	0,08	5,04	0,08	4,69	0,08	5,19	0,08	4,34	0,08	5,65	0,08	4,23	0,08	5,21	0,08	4,39	0,08	5,95	0,08	6,71	0,08	7,08	0,08	5,72	0,08	5,67	0,08	4,46	0,08	6,59	0,08	5,50	0,08	6,37	0,08	6,14	0,08	7,44	0,08	6,90	0,08	5,93	0,08	4,09
5,19	6,42	3,96	0,10	4,24	0,10	5,70	0,10	5,95	0,10	5,16	0,10	7,57	0,10	5,05	0,10	3,85	0,10	4,24	0,10	10,09	0,10	5,05	0,10	4,69	0,10	5,19	0,10	4,34	0,10	5,65	0,10	4,23	0,10	5,21	0,10	4,39	0,10	5,95	0,10	6,71	0,10	7,08	0,10	5,72	0,10	5,66	0,10	4,46	0,10	6,59	0,10	5,50	0,10	6,38	0,10	6,15	0,10	7,45	0,10	6,91	0,10	5,94	0,10	4,09
5,19	6,42	3,95	0,12	4,25	0,12	5,71	0,12	5,95	0,12	5,16	0,12	7,56	0,12	5,04	0,12	3,85	0,12	4,24	0,12	10,08	0,12	5,05	0,12	4,69	0,12	5,19	0,12	4,34	0,12	5,64	0,12	4,24	0,12	5,20	0,12	4,38	0,12	5,95	0,12	6,71	0,12	7,08	0,12	5,73	0,12	5,66	0,12	4,46	0,12	6,58	0,12	5,50	0,12	6,39	0,12	6,15	0,12	7,46	0,12	6,91	0,12	5,94	0,12	4,09
5,18	6,42	3,94	0,13	4,26	0,13	5,72	0,13	5,95	0,13	5,15	0,13	7,54	0,13	5,03	0,13	3,84	0,13	4,23	0,13	10,06	0,13	5,05	0,13	4,69	0,13	5,20	0,13	4,34	0,13	5,63	0,13	4,24	0,13	5,20	0,13	4,38	0,13	5,95	0,13	6,72	0,13	7,07	0,13	5,73	0,13	5,66	0,13	4,46	0,13	6,58	0,13	5,49	0,13	6,40	0,13	6,15	0,13	7,46	0,13	6,92	0,13	5,94	0,13	4,09
5,18	6,42	3,94	0,15	4,27	0,15	5,73	0,15	5,96	0,15	5,15	0,15	7,52	0,15	5,03	0,15	3,83	0,15	4,23	0,15	10,05	0,15	5,05	0,15	4,69	0,15	5,20	0,15	4,34	0,15	5,62	0,15	4,24	0,15	5,20	0,15	4,38	0,15	5,95	0,15	6,72	0,15	7,07	0,15	5,73	0,15	5,65	0,15	4,46	0,15	6,58	0,15	5,50	0,15	6,41	0,15	6,15	0,15	7,46	0,15	6,93	0,15	5,95	0,15	4,10
