Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,28	9,84	6,72	0,00	7,98	0,00	9,01	0,00	10,15	0,00	7,17	0,00	10,91	0,00	9,08	0,00	6,80	0,00	6,63	0,00	16,47	0,00	8,12	0,00	9,68	0,00	9,28	0,00	9,61	0,00	10,12	0,00	7,69	0,00	8,28	0,00	6,49	0,00	7,81	0,00	10,93	0,00	10,42	0,00	8,84	0,00	7,80	0,00	7,33	0,00	9,79	0,00	9,79	0,00	9,95	0,00	-999,0	0,00	10,75	0,00	11,59	0,00	11,01	0,00	8,33
8,28	9,84	6,72	0,02	7,98	0,02	9,01	0,02	10,15	0,02	7,17	0,02	10,91	0,02	9,08	0,02	6,80	0,02	6,63	0,02	16,47	0,02	8,12	0,02	9,68	0,02	9,28	0,02	9,61	0,02	10,12	0,02	7,69	0,02	8,28	0,02	6,49	0,02	7,81	0,02	10,93	0,02	10,42	0,02	8,84	0,02	7,80	0,02	7,33	0,02	9,79	0,02	9,79	0,02	9,95	0,02	-999,0	0,02	10,75	0,02	11,59	0,02	11,01	0,02	8,33
8,28	9,83	6,72	0,03	7,98	0,03	9,01	0,03	10,15	0,03	7,17	0,03	10,91	0,03	9,08	0,03	6,80	0,03	6,63	0,03	16,47	0,03	8,12	0,03	9,68	0,03	9,28	0,03	9,61	0,03	10,12	0,03	7,69	0,03	8,28	0,03	6,49	0,03	7,81	0,03	10,93	0,03	10,42	0,03	8,84	0,03	7,80	0,03	7,33	0,03	9,79	0,03	9,79	0,03	9,95	0,03	-999,0	0,03	10,74	0,03	11,59	0,03	11,01	0,03	8,33
8,28	9,83	6,72	0,05	7,98	0,05	9,01	0,05	10,15	0,05	7,17	0,05	10,91	0,05	9,08	0,05	6,79	0,05	6,63	0,05	16,45	0,05	8,12	0,05	9,68	0,05	9,28	0,05	9,61	0,05	10,12	0,05	7,68	0,05	8,28	0,05	6,49	0,05	7,81	0,05	10,93	0,05	10,42	0,05	8,84	0,05	7,79	0,05	7,34	0,05	9,79	0,05	9,79	0,05	9,95	0,05	-999,0	0,05	10,74	0,05	11,59	0,05	11,01	0,05	8,33
8,28	9,83	6,72	0,07	7,97	0,07	9,01	0,07	10,15	0,07	7,16	0,07	10,92	0,07	9,08	0,07	6,79	0,07	6,63	0,07	16,43	0,07	8,11	0,07	9,67	0,07	9,27	0,07	9,61	0,07	10,11	0,07	7,68	0,07	8,28	0,07	6,49	0,07	7,81	0,07	10,93	0,07	10,42	0,07	8,84	0,07	7,80	0,07	7,35	0,07	9,79	0,07	9,79	0,07	9,95	0,07	-999,0	0,07	10,74	0,07	11,59	0,07	11,02	0,07	8,36
8,27	9,83	6,72	0,08	7,97	0,08	9,01	0,08	10,15	0,08	7,16	0,08	10,93	0,08	9,08	0,08	6,79	0,08	6,63	0,08	16,41	0,08	8,10	0,08	9,67	0,08	9,27	0,08	9,61	0,08	10,10	0,08	7,68	0,08	8,28	0,08	6,48	0,08	7,81	0,08	10,93	0,08	10,41	0,08	8,84	0,08	7,81	0,08	7,36	0,08	9,80	0,08	9,79	0,08	9,95	0,08	-999,0	0,08	10,74	0,08	11,60	0,08	11,02	0,08	8,38
8,27	9,83	6,72	0,10	7,97	0,10	9,01	0,10	10,15	0,10	7,15	0,10	10,93	0,10	9,08	0,10	6,79	0,10	6,63	0,10	16,38	0,10	8,09	0,10	9,67	0,10	9,26	0,10	9,60	0,10	10,09	0,10	7,68	0,10	8,28	0,10	6,48	0,10	7,81	0,10	10,93	0,10	10,41	0,10	8,84	0,10	7,81	0,10	7,37	0,10	9,80	0,10	9,80	0,10	9,95	0,10	-999,0	0,10	10,73	0,10	11,60	0,10	11,02	0,10	8,41
8,27	9,82	6,71	0,12	7,99	0,12	9,01	0,12	10,15	0,12	7,15	0,12	10,94	0,12	9,08	0,12	6,78	0,12	6,62	0,12	16,35	0,12	8,08	0,12	9,65	0,12	9,25	0,12	9,60	0,12	10,08	0,12	7,68	0,12	8,28	0,12	6,48	0,12	7,82	0,12	10,93	0,12	10,41	0,12	8,84	0,12	7,81	0,12	7,38	0,12	9,81	0,12	9,80	0,12	9,95	0,12	-999,0	0,12	10,72	0,12	11,61	0,12	11,02	0,12	8,43
8,27	9,82	6,71	0,13	8,01	0,13	9,01	0,13	10,15	0,13	7,14	0,13	10,95	0,13	9,08	0,13	6,78	0,13	6,61	0,13	16,32	0,13	8,08	0,13	9,63	0,13	9,24	0,13	9,59	0,13	10,07	0,13	7,68	0,13	8,28	0,13	6,48	0,13	7,82	0,13	10,92	0,13	10,41	0,13	8,84	0,13	7,82	0,13	7,39	0,13	9,83	0,13	9,80	0,13	9,95	0,13	-999,0	0,13	10,72	0,13	11,62	0,13	11,04	0,13	8,46
8,26	9,82	6,71	0,15	8,03	0,15	9,02	0,15	10,15	0,15	7,13	0,15	10,96	0,15	9,08	0,15	6,78	0,15	6,60	0,15	16,29	0,15	8,07	0,15	9,61	0,15	9,23	0,15	9,58	0,15	10,06	0,15	7,68	0,15	8,27	0,15	6,47	0,15	7,82	0,15	10,92	0,15	10,40	0,15	8,84	0,15	7,82	0,15	7,40	0,15	9,84	0,15	9,80	0,15	9,95	0,15	-999,0	0,15	10,71	0,15	11,64	0,15	11,07	0,15	8,48
