Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,59	7,16	4,02	0,00	4,51	0,00	5,48	0,00	6,29	0,00	4,74	0,00	7,85	0,00	4,96	0,00	3,95	0,00	4,54	0,00	10,78	0,00	5,40	0,00	5,10	0,00	5,57	0,00	4,65	0,00	5,95	0,00	4,39	0,00	5,29	0,00	-999,0	0,00	6,00	0,00	7,00	0,00	6,65	0,00	6,02	0,00	5,27	0,00	4,06	0,00	6,78	0,00	5,33	0,00	6,40	0,00	6,40	0,00	8,17	0,00	7,35	0,00	6,82	0,00	5,82
5,59	7,16	4,02	0,02	4,51	0,02	5,48	0,02	6,29	0,02	4,74	0,02	7,85	0,02	4,95	0,02	3,95	0,02	4,53	0,02	10,78	0,02	5,40	0,02	5,10	0,02	5,57	0,02	4,65	0,02	5,95	0,02	4,39	0,02	5,29	0,02	-999,0	0,02	6,00	0,02	7,00	0,02	6,65	0,02	6,02	0,02	5,27	0,02	4,06	0,02	6,78	0,02	5,33	0,02	6,40	0,02	6,40	0,02	8,17	0,02	7,35	0,02	6,82	0,02	5,82
5,59	7,16	4,02	0,03	4,51	0,03	5,48	0,03	6,29	0,03	4,74	0,03	7,86	0,03	4,94	0,03	3,95	0,03	4,53	0,03	10,78	0,03	5,40	0,03	5,10	0,03	5,58	0,03	4,65	0,03	5,95	0,03	4,39	0,03	5,29	0,03	-999,0	0,03	6,00	0,03	7,00	0,03	6,65	0,03	6,02	0,03	5,27	0,03	4,06	0,03	6,78	0,03	5,33	0,03	6,40	0,03	6,40	0,03	8,17	0,03	7,36	0,03	6,82	0,03	5,82
5,58	7,16	4,01	0,05	4,52	0,05	5,49	0,05	6,29	0,05	4,74	0,05	7,86	0,05	4,93	0,05	3,94	0,05	4,53	0,05	10,77	0,05	5,41	0,05	5,10	0,05	5,58	0,05	4,65	0,05	5,94	0,05	4,39	0,05	5,29	0,05	-999,0	0,05	6,00	0,05	7,00	0,05	6,65	0,05	6,02	0,05	5,27	0,05	4,06	0,05	6,78	0,05	5,33	0,05	6,41	0,05	6,40	0,05	8,17	0,05	7,36	0,05	6,82	0,05	5,82
5,58	7,15	4,01	0,07	4,52	0,07	5,49	0,07	6,28	0,07	4,74	0,07	7,86	0,07	4,93	0,07	3,94	0,07	4,53	0,07	10,76	0,07	5,41	0,07	5,09	0,07	5,58	0,07	4,65	0,07	5,94	0,07	4,39	0,07	5,28	0,07	-999,0	0,07	6,00	0,07	7,00	0,07	6,64	0,07	6,03	0,07	5,27	0,07	4,06	0,07	6,78	0,07	5,33	0,07	6,41	0,07	6,41	0,07	8,16	0,07	7,36	0,07	6,82	0,07	5,81
5,58	7,15	4,00	0,08	4,53	0,08	5,50	0,08	6,28	0,08	4,74	0,08	7,85	0,08	4,92	0,08	3,94	0,08	4,53	0,08	10,75	0,08	5,41	0,08	5,09	0,08	5,58	0,08	4,65	0,08	5,93	0,08	4,39	0,08	5,28	0,08	-999,0	0,08	6,01	0,08	7,00	0,08	6,64	0,08	6,03	0,08	5,27	0,08	4,06	0,08	6,78	0,08	5,33	0,08	6,42	0,08	6,41	0,08	8,16	0,08	7,36	0,08	6,82	0,08	5,81
5,57	7,15	4,00	0,10	4,54	0,10	5,51	0,10	6,28	0,10	4,74	0,10	7,84	0,10	4,92	0,10	3,93	0,10	4,52	0,10	10,74	0,10	5,41	0,10	5,09	0,10	5,58	0,10	4,65	0,10	5,93	0,10	4,40	0,10	5,28	0,10	-999,0	0,10	6,01	0,10	7,00	0,10	6,64	0,10	6,03	0,10	5,26	0,10	4,06	0,10	6,78	0,10	5,32	0,10	6,43	0,10	6,42	0,10	8,16	0,10	7,37	0,10	6,83	0,10	5,81
5,56	7,14	3,99	0,12	4,55	0,12	5,51	0,12	6,28	0,12	4,74	0,12	7,82	0,12	4,91	0,12	3,92	0,12	4,52	0,12	10,72	0,12	5,41	0,12	5,09	0,12	5,58	0,12	4,66	0,12	5,92	0,12	4,40	0,12	5,27	0,12	-999,0	0,12	6,01	0,12	7,00	0,12	6,64	0,12	6,03	0,12	5,26	0,12	4,06	0,12	6,78	0,12	5,33	0,12	6,44	0,12	6,42	0,12	8,16	0,12	7,37	0,12	6,82	0,12	5,80
5,56	7,15	3,98	0,13	4,56	0,13	5,52	0,13	6,29	0,13	4,74	0,13	7,81	0,13	4,91	0,13	3,91	0,13	4,52	0,13	10,71	0,13	5,41	0,13	5,08	0,13	5,58	0,13	4,66	0,13	5,91	0,13	4,41	0,13	5,27	0,13	-999,0	0,13	6,01	0,13	7,00	0,13	6,64	0,13	6,03	0,13	5,26	0,13	4,06	0,13	6,77	0,13	5,34	0,13	6,45	0,13	6,42	0,13	8,17	0,13	7,37	0,13	6,82	0,13	5,80
5,56	7,15	3,97	0,15	4,58	0,15	5,53	0,15	6,29	0,15	4,73	0,15	7,80	0,15	4,90	0,15	3,90	0,15	4,51	0,15	10,69	0,15	5,41	0,15	5,08	0,15	5,58	0,15	4,66	0,15	5,90	0,15	4,41	0,15	5,26	0,15	-999,0	0,15	6,01	0,15	7,00	0,15	6,63	0,15	6,03	0,15	5,25	0,15	4,06	0,15	6,77	0,15	5,34	0,15	6,46	0,15	6,42	0,15	8,18	0,15	7,38	0,15	6,82	0,15	5,79
