Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,79	8,81	4,76	0,00	3,95	0,00	6,40	0,00	8,00	0,00	5,01	0,00	8,40	0,00	6,73	0,00	4,38	0,00	5,54	0,00	13,57	0,00	6,50	0,00	7,37	0,00	6,63	0,00	7,04	0,00	7,52	0,00	6,24	0,00	7,01	0,00	5,44	0,00	6,75	0,00	7,93	0,00	6,57	0,00	6,27	0,00	6,34	0,00	4,54	0,00	7,42	0,00	7,32	0,00	-999,0	0,00	8,06	0,00	10,37	0,00	8,73	0,00	8,42	0,00	7,05
6,78	8,81	4,76	0,02	3,95	0,02	6,40	0,02	7,99	0,02	5,01	0,02	8,40	0,02	6,73	0,02	4,38	0,02	5,54	0,02	13,57	0,02	6,50	0,02	7,37	0,02	6,63	0,02	7,04	0,02	7,52	0,02	6,24	0,02	7,01	0,02	5,44	0,02	6,75	0,02	7,93	0,02	6,57	0,02	6,27	0,02	6,34	0,02	4,56	0,02	7,42	0,02	7,32	0,02	-999,0	0,02	8,06	0,02	10,36	0,02	8,73	0,02	8,42	0,02	7,05
6,78	8,81	4,76	0,03	3,95	0,03	6,40	0,03	7,99	0,03	5,01	0,03	8,40	0,03	6,73	0,03	4,38	0,03	5,54	0,03	13,55	0,03	6,51	0,03	7,37	0,03	6,63	0,03	7,04	0,03	7,51	0,03	6,24	0,03	7,01	0,03	5,44	0,03	6,75	0,03	7,93	0,03	6,57	0,03	6,26	0,03	6,34	0,03	4,57	0,03	7,42	0,03	7,32	0,03	-999,0	0,03	8,06	0,03	10,36	0,03	8,73	0,03	8,42	0,03	7,05
6,78	8,81	4,76	0,05	3,96	0,05	6,40	0,05	7,99	0,05	5,00	0,05	8,41	0,05	6,73	0,05	4,38	0,05	5,54	0,05	13,53	0,05	6,51	0,05	7,37	0,05	6,63	0,05	7,04	0,05	7,51	0,05	6,24	0,05	7,01	0,05	5,44	0,05	6,75	0,05	7,93	0,05	6,57	0,05	6,26	0,05	6,34	0,05	4,58	0,05	7,43	0,05	7,32	0,05	-999,0	0,05	8,06	0,05	10,36	0,05	8,73	0,05	8,42	0,05	7,08
6,78	8,80	4,76	0,07	3,97	0,07	6,40	0,07	7,99	0,07	5,00	0,07	8,41	0,07	6,73	0,07	4,38	0,07	5,53	0,07	13,50	0,07	6,51	0,07	7,37	0,07	6,62	0,07	7,04	0,07	7,50	0,07	6,24	0,07	7,01	0,07	5,44	0,07	6,76	0,07	7,92	0,07	6,57	0,07	6,26	0,07	6,34	0,07	4,59	0,07	7,43	0,07	7,33	0,07	-999,0	0,07	8,06	0,07	10,35	0,07	8,74	0,07	8,42	0,07	7,10
6,78	8,79	4,76	0,08	3,99	0,08	6,41	0,08	7,99	0,08	5,00	0,08	8,42	0,08	6,74	0,08	4,38	0,08	5,52	0,08	13,48	0,08	6,52	0,08	7,37	0,08	6,62	0,08	7,04	0,08	7,50	0,08	6,24	0,08	7,00	0,08	5,43	0,08	6,76	0,08	7,92	0,08	6,57	0,08	6,26	0,08	6,34	0,08	4,60	0,08	7,44	0,08	7,33	0,08	-999,0	0,08	8,06	0,08	10,34	0,08	8,74	0,08	8,42	0,08	7,12
6,78	8,79	4,76	0,10	4,00	0,10	6,41	0,10	7,99	0,10	5,00	0,10	8,43	0,10	6,74	0,10	4,38	0,10	5,51	0,10	13,45	0,10	6,51	0,10	7,38	0,10	6,62	0,10	7,03	0,10	7,49	0,10	6,24	0,10	7,00	0,10	5,43	0,10	6,76	0,10	7,92	0,10	6,57	0,10	6,25	0,10	6,35	0,10	4,61	0,10	7,45	0,10	7,33	0,10	-999,0	0,10	8,06	0,10	10,33	0,10	8,75	0,10	8,42	0,10	7,14
6,77	8,78	4,76	0,12	4,01	0,12	6,42	0,12	7,98	0,12	4,99	0,12	8,44	0,12	6,74	0,12	4,38	0,12	5,50	0,12	13,42	0,12	6,50	0,12	7,38	0,12	6,62	0,12	7,03	0,12	7,48	0,12	6,24	0,12	7,00	0,12	5,42	0,12	6,76	0,12	7,92	0,12	6,57	0,12	6,25	0,12	6,35	0,12	4,62	0,12	7,47	0,12	7,33	0,12	-999,0	0,12	8,06	0,12	10,32	0,12	8,76	0,12	8,45	0,12	7,16
6,77	8,78	4,76	0,13	4,03	0,13	6,43	0,13	7,98	0,13	4,99	0,13	8,45	0,13	6,74	0,13	4,38	0,13	5,49	0,13	13,39	0,13	6,49	0,13	7,39	0,13	6,61	0,13	7,02	0,13	7,47	0,13	6,24	0,13	7,00	0,13	5,42	0,13	6,77	0,13	7,92	0,13	6,57	0,13	6,25	0,13	6,36	0,13	4,63	0,13	7,48	0,13	7,33	0,13	-999,0	0,13	8,06	0,13	10,31	0,13	8,77	0,13	8,47	0,13	7,18
6,76	8,77	4,76	0,15	4,04	0,15	6,44	0,15	7,98	0,15	4,98	0,15	8,47	0,15	6,74	0,15	4,37	0,15	5,49	0,15	13,36	0,15	6,48	0,15	7,39	0,15	6,61	0,15	7,02	0,15	7,46	0,15	6,24	0,15	6,99	0,15	5,41	0,15	6,77	0,15	7,92	0,15	6,57	0,15	6,26	0,15	6,36	0,15	4,64	0,15	7,50	0,15	7,34	0,15	-999,0	0,15	8,05	0,15	10,30	0,15	8,78	0,15	8,49	0,15	7,21
