Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,29	7,22	5,36	0,00	4,95	0,00	5,70	0,00	5,85	0,00	-999,0	0,00	7,28	0,00	6,71	0,00	5,24	0,00	5,48	0,00	13,81	0,00	6,92	0,00	6,95	0,00	7,13	0,00	7,17	0,00	7,37	0,00	6,56	0,00	7,60	0,00	5,61	0,00	5,45	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0
6,29	7,22	5,36	0,02	4,95	0,02	5,70	0,02	5,85	0,02	-999,0	0,02	7,28	0,02	6,71	0,02	5,24	0,02	5,48	0,02	13,81	0,02	6,92	0,02	6,95	0,02	7,13	0,02	7,17	0,02	7,37	0,02	6,56	0,02	7,60	0,02	5,61	0,02	5,45	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0
6,29	7,21	5,36	0,03	4,96	0,03	5,70	0,03	5,85	0,03	-999,0	0,03	7,28	0,03	6,71	0,03	5,23	0,03	5,48	0,03	13,81	0,03	6,92	0,03	6,95	0,03	7,13	0,03	7,17	0,03	7,37	0,03	6,56	0,03	7,59	0,03	5,61	0,03	5,45	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0
6,29	7,21	5,36	0,05	4,97	0,05	5,71	0,05	5,85	0,05	-999,0	0,05	7,29	0,05	6,71	0,05	5,23	0,05	5,48	0,05	13,79	0,05	6,92	0,05	6,94	0,05	7,13	0,05	7,17	0,05	7,36	0,05	6,56	0,05	7,59	0,05	5,61	0,05	5,45	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0
6,28	7,21	5,35	0,07	4,98	0,07	5,72	0,07	5,85	0,07	-999,0	0,07	7,29	0,07	6,71	0,07	5,22	0,07	5,47	0,07	13,78	0,07	6,91	0,07	6,94	0,07	7,13	0,07	7,16	0,07	7,36	0,07	6,56	0,07	7,59	0,07	5,61	0,07	5,45	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0
6,28	7,21	5,34	0,08	5,00	0,08	5,73	0,08	5,85	0,08	-999,0	0,08	7,30	0,08	6,71	0,08	5,21	0,08	5,46	0,08	13,76	0,08	6,91	0,08	6,94	0,08	7,12	0,08	7,16	0,08	7,35	0,08	6,56	0,08	7,59	0,08	5,60	0,08	5,45	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0
6,27	7,20	5,34	0,10	5,02	0,10	5,74	0,10	5,85	0,10	-999,0	0,10	7,31	0,10	6,70	0,10	5,21	0,10	5,45	0,10	13,73	0,10	6,91	0,10	6,94	0,10	7,12	0,10	7,16	0,10	7,35	0,10	6,56	0,10	7,58	0,10	5,60	0,10	5,45	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0
6,27	7,20	5,34	0,12	5,05	0,12	5,75	0,12	5,84	0,12	-999,0	0,12	7,31	0,12	6,70	0,12	5,20	0,12	5,43	0,12	13,71	0,12	6,91	0,12	6,93	0,12	7,11	0,12	7,15	0,12	7,34	0,12	6,56	0,12	7,58	0,12	5,60	0,12	5,45	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0
6,26	7,19	5,33	0,13	5,07	0,13	5,77	0,13	5,84	0,13	-999,0	0,13	7,33	0,13	6,69	0,13	5,19	0,13	5,42	0,13	13,68	0,13	6,91	0,13	6,93	0,13	7,11	0,13	7,15	0,13	7,33	0,13	6,56	0,13	7,57	0,13	5,59	0,13	5,45	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0
6,26	7,19	5,33	0,15	5,09	0,15	5,79	0,15	5,85	0,15	-999,0	0,15	7,34	0,15	6,69	0,15	5,19	0,15	5,40	0,15	13,64	0,15	6,91	0,15	6,92	0,15	7,10	0,15	7,14	0,15	7,32	0,15	6,56	0,15	7,56	0,15	5,59	0,15	5,45	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0
6,25	7,18	5,32	0,17	5,11	0,17	5,81	0,17	-999,0	0,17	-999,0	0,17	7,34	0,17	6,68	0,17	5,18	0,17	5,39	0,17	13,61	0,17	6,91	0,17	6,92	0,17	7,10	0,17	7,14	0,17	7,31	0,17	6,56	0,17	7,56	0,17	5,58	0,17	5,45	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0
6,24	7,18	5,31	0,18	5,14	0,18	5,84	0,18	-999,0	0,18	-999,0	0,18	7,34	0,18	6,68	0,18	5,17	0,18	5,37	0,18	13,57	0,18	6,91	0,18	6,91	0,18	7,09	0,18	7,13	0,18	7,30	0,18	6,56	0,18	7,55	0,18	5,57	0,18	5,45	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0
