Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,23	9,44	7,02	0,00	6,96	0,00	8,13	0,00	8,05	0,00	6,85	0,00	9,91	0,00	8,19	0,00	6,13	0,00	6,34	0,00	14,20	0,00	7,74	0,00	7,95	0,00	8,69	0,00	8,19	0,00	9,91	0,00	7,89	0,00	9,62	0,00	8,02	0,00	8,30	0,00	10,24	0,00	11,48	0,00	8,53	0,00	8,11	0,00	5,54	0,00	8,78	0,00	7,51	0,00	8,04	0,00	9,18	0,00	9,19	0,00	8,73	0,00	7,91	0,00	7,99
8,23	9,44	7,02	0,02	6,96	0,02	8,13	0,02	8,05	0,02	6,85	0,02	9,91	0,02	8,19	0,02	6,12	0,02	6,34	0,02	14,20	0,02	7,74	0,02	7,95	0,02	8,69	0,02	8,19	0,02	9,90	0,02	7,89	0,02	9,62	0,02	8,02	0,02	8,30	0,02	10,24	0,02	11,48	0,02	8,53	0,02	8,11	0,02	5,53	0,02	8,78	0,02	7,51	0,02	8,04	0,02	9,18	0,02	9,19	0,02	8,73	0,02	7,91	0,02	7,99
8,23	9,44	7,02	0,03	6,97	0,03	8,13	0,03	8,05	0,03	6,85	0,03	9,91	0,03	8,19	0,03	6,12	0,03	6,34	0,03	14,19	0,03	7,74	0,03	7,95	0,03	8,69	0,03	8,19	0,03	9,90	0,03	7,89	0,03	9,62	0,03	8,02	0,03	8,30	0,03	10,24	0,03	11,48	0,03	8,53	0,03	8,11	0,03	5,53	0,03	8,78	0,03	7,51	0,03	8,05	0,03	9,18	0,03	9,19	0,03	8,74	0,03	7,91	0,03	7,99
8,22	9,43	7,01	0,05	6,98	0,05	8,13	0,05	8,05	0,05	6,85	0,05	9,92	0,05	8,20	0,05	6,12	0,05	6,34	0,05	14,19	0,05	7,75	0,05	7,95	0,05	8,69	0,05	8,19	0,05	9,90	0,05	7,89	0,05	9,60	0,05	8,00	0,05	8,30	0,05	10,24	0,05	11,48	0,05	8,53	0,05	8,11	0,05	5,53	0,05	8,78	0,05	7,50	0,05	8,06	0,05	9,18	0,05	9,19	0,05	8,74	0,05	7,91	0,05	7,99
8,21	9,42	7,01	0,07	6,99	0,07	8,13	0,07	8,05	0,07	6,85	0,07	9,93	0,07	8,20	0,07	6,11	0,07	6,34	0,07	14,19	0,07	7,75	0,07	7,95	0,07	8,69	0,07	8,19	0,07	9,89	0,07	7,89	0,07	9,59	0,07	7,99	0,07	8,30	0,07	10,24	0,07	11,48	0,07	8,52	0,07	8,11	0,07	5,53	0,07	8,78	0,07	7,50	0,07	8,06	0,07	9,18	0,07	9,18	0,07	8,74	0,07	7,91	0,07	7,99
8,21	9,41	7,00	0,08	7,01	0,08	8,14	0,08	8,05	0,08	6,84	0,08	9,93	0,08	8,19	0,08	6,11	0,08	6,33	0,08	14,18	0,08	7,75	0,08	7,95	0,08	8,69	0,08	8,19	0,08	9,88	0,08	7,89	0,08	9,58	0,08	7,98	0,08	8,30	0,08	10,24	0,08	11,48	0,08	8,52	0,08	8,10	0,08	5,53	0,08	8,78	0,08	7,50	0,08	8,07	0,08	9,18	0,08	9,18	0,08	8,75	0,08	7,91	0,08	7,99
8,19	9,40	6,99	0,10	7,01	0,10	8,14	0,10	8,05	0,10	6,84	0,10	9,94	0,10	8,18	0,10	6,10	0,10	6,32	0,10	14,17	0,10	7,76	0,10	7,95	0,10	8,69	0,10	8,19	0,10	9,87	0,10	7,89	0,10	9,56	0,10	7,96	0,10	8,31	0,10	10,25	0,10	11,48	0,10	8,52	0,10	8,10	0,10	5,53	0,10	8,77	0,10	7,50	0,10	8,07	0,10	9,18	0,10	9,17	0,10	8,76	0,10	7,91	0,10	8,00
8,19	9,39	6,98	0,12	7,02	0,12	8,15	0,12	8,05	0,12	6,84	0,12	9,95	0,12	8,17	0,12	6,10	0,12	6,31	0,12	14,16	0,12	7,76	0,12	7,95	0,12	8,69	0,12	8,19	0,12	9,86	0,12	7,88	0,12	9,55	0,12	7,95	0,12	8,31	0,12	10,25	0,12	11,48	0,12	8,52	0,12	8,09	0,12	5,52	0,12	8,77	0,12	7,50	0,12	8,08	0,12	9,18	0,12	9,16	0,12	8,76	0,12	7,92	0,12	8,00
8,17	9,37	6,97	0,13	7,03	0,13	8,16	0,13	8,05	0,13	6,84	0,13	9,97	0,13	8,16	0,13	6,09	0,13	6,30	0,13	14,14	0,13	7,76	0,13	7,95	0,13	8,70	0,13	8,19	0,13	9,85	0,13	7,86	0,13	9,53	0,13	7,94	0,13	8,31	0,13	10,25	0,13	11,48	0,13	8,51	0,13	8,09	0,13	5,52	0,13	8,77	0,13	7,50	0,13	8,08	0,13	9,19	0,13	9,15	0,13	8,77	0,13	7,92	0,13	8,00
8,17	9,36	6,97	0,15	7,04	0,15	8,18	0,15	8,05	0,15	6,84	0,15	9,96	0,15	8,16	0,15	6,09	0,15	6,30	0,15	14,12	0,15	7,77	0,15	7,94	0,15	8,70	0,15	8,19	0,15	9,83	0,15	7,85	0,15	9,52	0,15	7,92	0,15	8,30	0,15	10,26	0,15	11,47	0,15	8,51	0,15	8,08	0,15	5,52	0,15	8,77	0,15	7,50	0,15	8,09	0,15	9,19	0,15	9,14	0,15	8,78	0,15	7,92	0,15	8,00
