Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,53	11,82	7,25	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	9,93	0,00	-999,0	0,00	-999,0	0,00	15,77	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	10,43	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	6,56	0,00	-999,0	0,00	-999,0	0,00	17,07	0,00	-999,0	0,00	11,14	0,00	8,61	0,00	15,92	0,00	13,67	0,00	10,56	0,00	20,02	0,00	12,11	0,00	12,82	0,00	11,24	0,00	-999,0
9,53	11,82	7,25	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	9,93	0,02	-999,0	0,02	-999,0	0,02	15,77	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	10,43	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	6,56	0,02	-999,0	0,02	-999,0	0,02	17,07	0,02	-999,0	0,02	11,14	0,02	8,61	0,02	15,92	0,02	13,67	0,02	10,56	0,02	20,02	0,02	12,11	0,02	12,82	0,02	11,24	0,02	-999,0
9,53	11,82	7,25	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	9,93	0,03	-999,0	0,03	-999,0	0,03	15,77	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	10,43	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	6,56	0,03	-999,0	0,03	-999,0	0,03	17,06	0,03	-999,0	0,03	11,14	0,03	8,61	0,03	15,92	0,03	13,67	0,03	10,56	0,03	20,02	0,03	12,11	0,03	12,83	0,03	11,25	0,03	-999,0
9,53	11,82	7,25	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	9,93	0,05	-999,0	0,05	-999,0	0,05	15,76	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	10,43	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	6,56	0,05	-999,0	0,05	-999,0	0,05	17,06	0,05	-999,0	0,05	11,14	0,05	8,61	0,05	15,92	0,05	13,68	0,05	10,56	0,05	20,02	0,05	12,11	0,05	12,85	0,05	11,26	0,05	-999,0
9,54	11,82	7,26	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	9,93	0,07	-999,0	0,07	-999,0	0,07	15,75	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	10,42	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	6,57	0,07	-999,0	0,07	-999,0	0,07	17,06	0,07	-999,0	0,07	11,14	0,07	8,61	0,07	15,92	0,07	13,68	0,07	10,56	0,07	20,02	0,07	12,11	0,07	12,87	0,07	11,27	0,07	-999,0
9,54	11,82	7,26	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	9,93	0,08	-999,0	0,08	-999,0	0,08	15,74	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	10,42	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	6,57	0,08	-999,0	0,08	-999,0	0,08	17,05	0,08	-999,0	0,08	11,15	0,08	8,61	0,08	15,92	0,08	13,70	0,08	10,57	0,08	20,02	0,08	12,11	0,08	12,91	0,08	11,28	0,08	-999,0
9,55	11,82	7,27	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	9,93	0,10	-999,0	0,10	-999,0	0,10	15,73	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	10,41	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	6,59	0,10	-999,0	0,10	-999,0	0,10	17,06	0,10	-999,0	0,10	11,16	0,10	8,61	0,10	15,92	0,10	13,71	0,10	10,57	0,10	20,02	0,10	12,12	0,10	12,94	0,10	11,30	0,10	-999,0
9,55	11,82	7,28	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	9,92	0,12	-999,0	0,12	-999,0	0,12	15,71	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	10,37	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	6,60	0,12	-999,0	0,12	-999,0	0,12	17,06	0,12	-999,0	0,12	11,17	0,12	8,62	0,12	15,92	0,12	-999,0	0,12	10,57	0,12	20,02	0,12	12,12	0,12	12,99	0,12	11,32	0,12	-999,0
9,56	11,82	7,29	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	9,92	0,13	-999,0	0,13	-999,0	0,13	15,70	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	10,33	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	6,62	0,13	-999,0	0,13	-999,0	0,13	17,07	0,13	-999,0	0,13	11,18	0,13	8,62	0,13	15,92	0,13	-999,0	0,13	10,58	0,13	20,02	0,13	12,13	0,13	13,04	0,13	11,34	0,13	-999,0
9,56	11,82	7,30	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	9,91	0,15	-999,0	0,15	-999,0	0,15	15,68	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	10,29	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	6,64	0,15	-999,0	0,15	-999,0	0,15	17,07	0,15	-999,0	0,15	11,19	0,15	8,62	0,15	15,91	0,15	-999,0	0,15	10,58	0,15	20,02	0,15	12,14	0,15	13,10	0,15	11,37	0,15	-999,0
9,57	11,82	7,32	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	9,91	0,17	-999,0	0,17	-999,0	0,17	15,66	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	10,25	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	6,66	0,17	-999,0	0,17	-999,0	0,17	17,08	0,17	-999,0	0,17	11,19	0,17	8,63	0,17	15,91	0,17	-999,0	0,17	10,59	0,17	20,02	0,17	12,14	0,17	13,17	0,17	11,40	0,17	-999,0
9,58	11,83	7,33	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	9,91	0,18	-999,0	0,18	-999,0	0,18	15,60	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	10,21	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	6,68	0,18	-999,0	0,18	-999,0	0,18	17,08	0,18	-999,0	0,18	11,20	0,18	8,63	0,18	15,90	0,18	-999,0	0,18	10,59	0,18	20,02	0,18	12,15	0,18	13,24	0,18	11,44	0,18	-999,0
9,59	11,83	7,35	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	9,90	0,20	-999,0	0,20	-999,0	0,20	15,54	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	10,17	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	6,70	0,20	-999,0	0,20	-999,0	0,20	17,09	0,20	-999,0	0,20	11,21	0,20	8,63	0,20	15,90	0,20	-999,0	0,20	10,60	0,20	20,02	0,20	12,16	0,20	13,32	0,20	11,47	0,20	-999,0
9,59	11,83	7,36	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	9,89	0,22	-999,0	0,22	-999,0	0,22	15,48	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	10,14	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	6,72	0,22	-999,0	0,22	-999,0	0,22	17,09	0,22	-999,0	0,22	11,22	0,22	8,64	0,22	15,90	0,22	-999,0	0,22	10,61	0,22	20,01	0,22	12,17	0,22	13,40	0,22	11,51	0,22	-999,0
9,61	11,84	7,38	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	9,89	0,23	-999,0	0,23	-999,0	0,23	15,42	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	10,10	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	6,75	0,23	-999,0	0,23	-999,0	0,23	17,10	0,23	-999,0	0,23	11,23	0,23	8,64	0,23	15,91	0,23	-999,0	0,23	10,61	0,23	20,01	0,23	12,19	0,23	13,49	0,23	11,56	0,23	-999,0
9,62	11,84	7,39	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	9,88	0,25	-999,0	0,25	-999,0	0,25	15,35	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	10,06	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	6,77	0,25	-999,0	0,25	-999,0	0,25	17,10	0,25	-999,0	0,25	11,24	0,25	8,64	0,25	15,91	0,25	-999,0	0,25	10,62	0,25	20,01	0,25	12,20	0,25	13,59	0,25	11,59	0,25	-999,0
9,63	11,85	7,40	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	9,87	0,27	-999,0	0,27	-999,0	0,27	15,28	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	10,02	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	6,79	0,27	-999,0	0,27	-999,0	0,27	17,11	0,27	-999,0	0,27	11,25	0,27	8,65	0,27	15,92	0,27	-999,0	0,27	10,62	0,27	20,01	0,27	12,22	0,27	13,70	0,27	11,63	0,27	-999,0
9,64	11,85	7,43	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	9,87	0,28	-999,0	0,28	-999,0	0,28	15,21	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	9,99	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	6,82	0,28	-999,0	0,28	-999,0	0,28	17,11	0,28	-999,0	0,28	11,25	0,28	8,65	0,28	15,92	0,28	-999,0	0,28	10,63	0,28	20,01	0,28	12,23	0,28	13,81	0,28	11,68	0,28	-999,0
9,65	11,86	7,44	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	9,86	0,30	-999,0	0,30	-999,0	0,30	15,14	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	9,95	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	6,85	0,30	-999,0	0,30	-999,0	0,30	17,12	0,30	-999,0	0,30	11,26	0,30	8,65	0,30	15,92	0,30	-999,0	0,30	10,63	0,30	20,01	0,30	12,25	0,30	13,92	0,30	11,76	0,30	-999,0
9,66	11,87	7,45	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	9,85	0,32	-999,0	0,32	-999,0	0,32	15,06	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	9,91	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	6,87	0,32	-999,0	0,32	-999,0	0,32	17,12	0,32	-999,0	0,32	11,27	0,32	8,65	0,32	15,92	0,32	-999,0	0,32	10,64	0,32	20,00	0,32	12,27	0,32	14,03	0,32	11,85	0,32	-999,0
9,68	11,88	7,48	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	9,85	0,33	-999,0	0,33	-999,0	0,33	14,99	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	9,87	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	6,90	0,33	-999,0	0,33	-999,0	0,33	17,13	0,33	-999,0	0,33	11,28	0,33	8,66	0,33	15,93	0,33	-999,0	0,33	10,65	0,33	20,00	0,33	12,28	0,33	14,14	0,33	11,94	0,33	-999,0
9,69	11,88	7,50	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	9,84	0,35	-999,0	0,35	-999,0	0,35	14,91	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	9,83	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	6,94	0,35	-999,0	0,35	-999,0	0,35	17,14	0,35	-999,0	0,35	11,29	0,35	8,66	0,35	15,93	0,35	-999,0	0,35	10,66	0,35	20,00	0,35	12,30	0,35	14,26	0,35	12,04	0,35	-999,0
9,71	11,89	7,52	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	9,83	0,37	-999,0	0,37	-999,0	0,37	14,83	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	9,79	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	6,97	0,37	-999,0	0,37	-999,0	0,37	17,14	0,37	-999,0	0,37	11,30	0,37	8,66	0,37	15,93	0,37	-999,0	0,37	10,67	0,37	20,00	0,37	12,32	0,37	14,43	0,37	12,13	0,37	-999,0
9,70	11,89	7,51	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	9,81	0,38	-999,0	0,38	-999,0	0,38	14,75	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	9,74	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	6,96	0,38	-999,0	0,38	-999,0	0,38	17,15	0,38	-999,0	0,38	11,31	0,38	8,66	0,38	15,93	0,38	-999,0	0,38	10,68	0,38	20,00	0,38	12,33	0,38	14,61	0,38	12,23	0,38	-999,0
9,69	11,89	7,50	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	9,78	0,40	-999,0	0,40	-999,0	0,40	14,67	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	9,70	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	6,96	0,40	-999,0	0,40	-999,0	0,40	17,16	0,40	-999,0	0,40	11,32	0,40	8,66	0,40	15,93	0,40	-999,0	0,40	10,70	0,40	20,00	0,40	12,34	0,40	14,79	0,40	12,33	0,40	-999,0
9,69	11,89	7,48	0,42	-999,0	0,42	-999,0	0,42	-999,0	0,42	-999,0	0,42	-999,0	0,42	9,76	0,42	-999,0	0,42	-999,0	0,42	14,59	0,42	-999,0	0,42	-999,0	0,42	-999,0	0,42	9,66	0,42	-999,0	0,42	-999,0	0,42	-999,0	0,42	6,95	0,42	-999,0	0,42	-999,0	0,42	17,16	0,42	-999,0	0,42	11,33	0,42	8,66	0,42	15,93	0,42	-999,0	0,42	10,71	0,42	20,00	0,42	12,35	0,42	14,98	0,42	12,43	0,42	-999,0
9,69	11,91	7,47	0,43	-999,0	0,43	-999,0	0,43	-999,0	0,43	-999,0	0,43	-999,0	0,43	9,73	0,43	-999,0	0,43	-999,0	0,43	14,51	0,43	-999,0	0,43	-999,0	0,43	-999,0	0,43	9,62	0,43	-999,0	0,43	-999,0	0,43	-999,0	0,43	6,95	0,43	-999,0	0,43	-999,0	0,43	17,17	0,43	-999,0	0,43	11,33	0,43	8,66	0,43	15,93	0,43	-999,0	0,43	10,73	0,43	20,01	0,43	12,39	0,43	15,17	0,43	12,54	0,43	-999,0
9,69	11,93	7,46	0,45	-999,0	0,45	-999,0	0,45	-999,0	0,45	-999,0	0,45	-999,0	0,45	9,70	0,45	-999,0	0,45	-999,0	0,45	14,43	0,45	-999,0	0,45	-999,0	0,45	-999,0	0,45	9,57	0,45	-999,0	0,45	-999,0	0,45	-999,0	0,45	6,95	0,45	-999,0	0,45	-999,0	0,45	17,18	0,45	-999,0	0,45	11,34	0,45	8,66	0,45	15,92	0,45	-999,0	0,45	10,74	0,45	19,99	0,45	12,43	0,45	15,37	0,45	12,64	0,45	-999,0
9,70	11,95	7,44	0,47	-999,0	0,47	-999,0	0,47	-999,0	0,47	-999,0	0,47	-999,0	0,47	9,67	0,47	-999,0	0,47	-999,0	0,47	14,35	0,47	-999,0	0,47	-999,0	0,47	-999,0	0,47	9,53	0,47	-999,0	0,47	-999,0	0,47	-999,0	0,47	6,95	0,47	-999,0	0,47	-999,0	0,47	17,18	0,47	-999,0	0,47	11,35	0,47	8,66	0,47	15,92	0,47	-999,0	0,47	10,75	0,47	19,97	0,47	12,47	0,47	15,57	0,47	12,75	0,47	-999,0
9,70	11,96	7,44	0,48	-999,0	0,48	-999,0	0,48	-999,0	0,48	-999,0	0,48	-999,0	0,48	9,64	0,48	-999,0	0,48	-999,0	0,48	14,26	0,48	-999,0	0,48	-999,0	0,48	-999,0	0,48	9,49	0,48	-999,0	0,48	-999,0	0,48	-999,0	0,48	6,96	0,48	-999,0	0,48	-999,0	0,48	17,19	0,48	-999,0	0,48	11,36	0,48	8,66	0,48	15,92	0,48	-999,0	0,48	10,77	0,48	19,95	0,48	12,50	0,48	15,77	0,48	12,86	0,48	-999,0
9,70	11,97	7,43	0,50	-999,0	0,50	-999,0	0,50	-999,0	0,50	-999,0	0,50	-999,0	0,50	9,61	0,50	-999,0	0,50	-999,0	0,50	14,18	0,50	8,43	0,50	-999,0	0,50	-999,0	0,50	9,44	0,50	-999,0	0,50	-999,0	0,50	-999,0	0,50	6,96	0,50	-999,0	0,50	-999,0	0,50	17,20	0,50	-999,0	0,50	11,36	0,50	8,67	0,50	15,92	0,50	-999,0	0,50	10,78	0,50	19,96	0,50	12,53	0,50	15,98	0,50	12,97	0,50	-999,0
9,71	11,99	7,42	0,52	-999,0	0,52	-999,0	0,52	-999,0	0,52	-999,0	0,52	-999,0	0,52	9,58	0,52	-999,0	0,52	-999,0	0,52	14,10	0,52	8,44	0,52	-999,0	0,52	-999,0	0,52	9,40	0,52	-999,0	0,52	-999,0	0,52	-999,0	0,52	6,97	0,52	-999,0	0,52	-999,0	0,52	17,21	0,52	-999,0	0,52	11,37	0,52	8,67	0,52	15,92	0,52	-999,0	0,52	10,79	0,52	19,97	0,52	12,57	0,52	16,19	0,52	13,09	0,52	-999,0
9,71	12,01	7,40	0,53	-999,0	0,53	-999,0	0,53	-999,0	0,53	-999,0	0,53	-999,0	0,53	9,54	0,53	-999,0	0,53	-999,0	0,53	14,01	0,53	8,45	0,53	-999,0	0,53	-999,0	0,53	9,36	0,53	-999,0	0,53	-999,0	0,53	-999,0	0,53	6,97	0,53	-999,0	0,53	-999,0	0,53	17,22	0,53	9,64	0,53	11,38	0,53	8,67	0,53	15,92	0,53	-999,0	0,53	10,80	0,53	19,99	0,53	12,61	0,53	16,40	0,53	13,20	0,53	-999,0
