Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
11,93	16,25	7,61	0,00	10,15	0,00	8,59	0,00	7,64	0,00	-999,0	0,00	-999,0	0,00	15,64	0,00	16,69	0,00	12,19	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	8,84	0,00	8,11	0,00	10,74	0,00	7,14	0,00	-999,0	0,00	6,62	0,00	7,30	0,00	11,76	0,00	12,21	0,00	9,58	0,00	9,87	0,00	6,15	0,00	8,25	0,00	7,29	0,00	6,73	0,00	7,79	0,00	8,77	0,00	9,30	0,00	9,30	0,00	8,63
11,93	16,25	7,61	0,02	10,15	0,02	8,59	0,02	7,64	0,02	-999,0	0,02	-999,0	0,02	15,65	0,02	16,69	0,02	12,20	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	8,84	0,02	8,11	0,02	10,74	0,02	7,14	0,02	-999,0	0,02	6,62	0,02	7,30	0,02	11,76	0,02	12,21	0,02	9,58	0,02	9,87	0,02	6,14	0,02	8,25	0,02	7,29	0,02	6,73	0,02	7,79	0,02	8,77	0,02	9,30	0,02	9,30	0,02	8,63
11,93	16,25	7,61	0,03	10,16	0,03	8,58	0,03	7,64	0,03	-999,0	0,03	-999,0	0,03	15,65	0,03	16,69	0,03	12,21	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	8,84	0,03	8,11	0,03	10,73	0,03	7,14	0,03	-999,0	0,03	6,62	0,03	7,30	0,03	11,75	0,03	12,21	0,03	9,58	0,03	9,87	0,03	6,14	0,03	8,25	0,03	7,29	0,03	6,73	0,03	7,79	0,03	8,76	0,03	9,30	0,03	9,29	0,03	8,64
11,93	16,26	7,61	0,05	10,16	0,05	8,58	0,05	7,64	0,05	-999,0	0,05	-999,0	0,05	15,66	0,05	16,70	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	8,84	0,05	8,11	0,05	10,73	0,05	7,14	0,05	-999,0	0,05	6,62	0,05	7,30	0,05	11,74	0,05	12,21	0,05	9,58	0,05	9,87	0,05	6,14	0,05	8,26	0,05	7,29	0,05	6,73	0,05	7,79	0,05	8,76	0,05	9,31	0,05	9,29	0,05	8,64
11,94	16,27	7,60	0,07	10,16	0,07	8,57	0,07	7,64	0,07	-999,0	0,07	-999,0	0,07	15,67	0,07	16,71	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	8,84	0,07	8,11	0,07	10,72	0,07	7,13	0,07	-999,0	0,07	6,61	0,07	7,30	0,07	11,74	0,07	12,21	0,07	9,58	0,07	9,86	0,07	6,14	0,07	8,27	0,07	7,29	0,07	6,73	0,07	7,80	0,07	8,76	0,07	9,32	0,07	9,29	0,07	8,64
11,94	16,29	7,60	0,08	10,15	0,08	8,57	0,08	7,64	0,08	-999,0	0,08	-999,0	0,08	15,68	0,08	16,73	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	8,84	0,08	8,11	0,08	10,71	0,08	7,13	0,08	-999,0	0,08	6,61	0,08	7,31	0,08	11,73	0,08	12,21	0,08	9,58	0,08	9,86	0,08	6,14	0,08	8,27	0,08	7,29	0,08	6,73	0,08	7,81	0,08	8,75	0,08	9,33	0,08	9,29	0,08	8,65
11,95	16,30	7,60	0,10	10,14	0,10	8,56	0,10	7,63	0,10	-999,0	0,10	-999,0	0,10	15,69	0,10	16,75	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	8,84	0,10	8,11	0,10	10,70	0,10	7,13	0,10	-999,0	0,10	6,61	0,10	7,32	0,10	11,73	0,10	12,20	0,10	9,57	0,10	9,86	0,10	6,14	0,10	8,28	0,10	7,29	0,10	6,73	0,10	7,82	0,10	8,75	0,10	9,34	0,10	9,29	0,10	8,66
10,35	14,24	6,47	0,12	10,13	0,12	8,55	0,12	7,63	0,12	-999,0	0,12	-999,0	0,12	15,71	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	8,85	0,12	8,11	0,12	10,68	0,12	7,13	0,12	-999,0	0,12	6,61	0,12	7,33	0,12	11,72	0,12	12,19	0,12	9,57	0,12	9,85	0,12	6,15	0,12	8,29	0,12	7,29	0,12	6,73	0,12	7,83	0,12	8,74	0,12	9,35	0,12	9,29	0,12	8,67
10,36	14,26	6,46	0,13	10,13	0,13	8,55	0,13	7,62	0,13	-999,0	0,13	-999,0	0,13	15,74	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	8,85	0,13	8,11	0,13	10,67	0,13	7,12	0,13	-999,0	0,13	6,61	0,13	7,34	0,13	11,72	0,13	12,19	0,13	9,56	0,13	9,84	0,13	6,15	0,13	8,30	0,13	7,29	0,13	6,74	0,13	7,85	0,13	8,74	0,13	9,37	0,13	9,29	0,13	8,68
10,37	14,28	6,46	0,15	10,14	0,15	8,54	0,15	7,61	0,15	-999,0	0,15	-999,0	0,15	15,76	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	8,85	0,15	8,10	0,15	10,65	0,15	7,12	0,15	-999,0	0,15	6,61	0,15	7,35	0,15	11,71	0,15	12,18	0,15	9,55	0,15	9,84	0,15	6,16	0,15	8,32	0,15	7,28	0,15	6,74	0,15	7,86	0,15	8,73	0,15	9,39	0,15	9,29	0,15	8,69
10,37	14,30	6,44	0,17	10,15	0,17	8,54	0,17	7,60	0,17	-999,0	0,17	-999,0	0,17	15,79	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	8,85	0,17	8,10	0,17	10,63	0,17	7,12	0,17	-999,0	0,17	6,60	0,17	7,36	0,17	11,71	0,17	12,17	0,17	9,53	0,17	9,83	0,17	6,16	0,17	8,33	0,17	7,28	0,17	6,74	0,17	7,88	0,17	8,72	0,17	9,41	0,17	9,29	0,17	8,70
7,65	8,71	6,59	0,18	10,15	0,18	8,53	0,18	7,60	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	8,85	0,18	8,10	0,18	10,61	0,18	7,11	0,18	-999,0	0,18	6,59	0,18	7,37	0,18	11,70	0,18	12,17	0,18	9,52	0,18	9,83	0,18	6,16	0,18	8,34	0,18	7,28	0,18	6,75	0,18	7,90	0,18	8,71	0,18	9,43	0,18	9,29	0,18	8,72
7,64	8,70	6,59	0,20	10,16	0,20	8,54	0,20	7,59	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	8,86	0,20	8,09	0,20	10,58	0,20	7,11	0,20	-999,0	0,20	6,59	0,20	7,38	0,20	11,70	0,20	12,16	0,20	9,50	0,20	9,83	0,20	6,17	0,20	8,36	0,20	7,28	0,20	6,75	0,20	7,93	0,20	8,70	0,20	9,46	0,20	9,29	0,20	8,73
7,63	8,69	6,58	0,22	10,17	0,22	8,54	0,22	7,58	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	8,86	0,22	8,09	0,22	10,56	0,22	7,10	0,22	-999,0	0,22	6,58	0,22	7,39	0,22	11,69	0,22	12,15	0,22	9,49	0,22	9,81	0,22	6,17	0,22	8,37	0,22	7,27	0,22	6,75	0,22	7,96	0,22	8,69	0,22	9,49	0,22	9,29	0,22	8,75
7,63	8,68	6,58	0,23	10,18	0,23	8,54	0,23	7,58	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	8,86	0,23	8,08	0,23	10,53	0,23	7,10	0,23	-999,0	0,23	6,58	0,23	7,41	0,23	11,69	0,23	12,14	0,23	9,48	0,23	9,79	0,23	6,17	0,23	8,39	0,23	7,27	0,23	6,75	0,23	7,98	0,23	8,68	0,23	9,52	0,23	9,29	0,23	8,77
7,62	8,67	6,57	0,25	10,20	0,25	8,55	0,25	7,57	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	8,86	0,25	8,07	0,25	10,50	0,25	7,09	0,25	-999,0	0,25	6,57	0,25	7,42	0,25	11,68	0,25	12,14	0,25	9,46	0,25	9,78	0,25	6,18	0,25	8,41	0,25	7,26	0,25	6,76	0,25	8,01	0,25	8,67	0,25	9,55	0,25	9,29	0,25	8,80
7,61	8,66	6,56	0,27	10,21	0,27	8,55	0,27	7,58	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	8,86	0,27	8,07	0,27	10,47	0,27	7,09	0,27	-999,0	0,27	6,56	0,27	7,44	0,27	11,68	0,27	12,13	0,27	9,45	0,27	9,76	0,27	6,18	0,27	8,42	0,27	7,26	0,27	6,76	0,27	8,04	0,27	8,66	0,27	9,59	0,27	9,29	0,27	8,82
7,61	8,65	6,56	0,28	10,22	0,28	8,56	0,28	7,59	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	8,86	0,28	8,06	0,28	10,44	0,28	7,07	0,28	-999,0	0,28	6,56	0,28	7,45	0,28	11,67	0,28	12,12	0,28	9,44	0,28	9,74	0,28	6,18	0,28	8,44	0,28	7,25	0,28	6,76	0,28	8,07	0,28	8,65	0,28	9,62	0,28	9,29	0,28	8,85
7,59	8,63	6,55	0,30	10,24	0,30	8,56	0,30	7,60	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	8,87	0,30	8,05	0,30	10,40	0,30	7,06	0,30	-999,0	0,30	6,55	0,30	7,47	0,30	11,66	0,30	12,12	0,30	9,43	0,30	9,72	0,30	6,17	0,30	8,46	0,30	7,25	0,30	6,76	0,30	8,11	0,30	8,63	0,30	9,66	0,30	9,29	0,30	8,87
7,58	8,62	6,55	0,32	10,26	0,32	8,57	0,32	7,61	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	8,87	0,32	8,03	0,32	10,37	0,32	7,05	0,32	-999,0	0,32	6,55	0,32	7,49	0,32	11,66	0,32	12,12	0,32	9,41	0,32	9,70	0,32	6,17	0,32	8,48	0,32	7,24	0,32	6,76	0,32	8,14	0,32	8,62	0,32	9,71	0,32	9,29	0,32	8,90
7,57	8,60	6,54	0,33	10,27	0,33	8,57	0,33	7,61	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	8,87	0,33	8,01	0,33	10,33	0,33	7,03	0,33	-999,0	0,33	6,54	0,33	7,51	0,33	11,65	0,33	12,12	0,33	9,40	0,33	9,68	0,33	6,17	0,33	8,51	0,33	7,24	0,33	6,76	0,33	8,18	0,33	8,60	0,33	9,75	0,33	9,29	0,33	8,93
7,56	8,59	6,53	0,35	10,29	0,35	8,58	0,35	7,62	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	8,88	0,35	7,98	0,35	10,28	0,35	7,02	0,35	-999,0	0,35	6,53	0,35	7,53	0,35	11,64	0,35	12,13	0,35	9,38	0,35	9,66	0,35	6,16	0,35	8,53	0,35	7,23	0,35	6,76	0,35	8,22	0,35	8,59	0,35	9,80	0,35	9,29	0,35	8,97
7,55	8,57	6,53	0,37	10,31	0,37	8,58	0,37	7,63	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	8,88	0,37	7,96	0,37	10,23	0,37	7,00	0,37	-999,0	0,37	6,53	0,37	7,55	0,37	11,63	0,37	12,13	0,37	9,37	0,37	9,63	0,37	6,16	0,37	8,55	0,37	7,23	0,37	6,76	0,37	8,26	0,37	8,57	0,37	9,86	0,37	9,29	0,37	8,99
7,54	8,55	6,52	0,38	10,33	0,38	8,58	0,38	7,61	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	8,88	0,38	7,94	0,38	10,17	0,38	6,99	0,38	-999,0	0,38	6,52	0,38	7,57	0,38	11,63	0,38	12,13	0,38	9,35	0,38	9,61	0,38	6,16	0,38	8,58	0,38	7,23	0,38	6,76	0,38	8,30	0,38	8,55	0,38	9,91	0,38	9,29	0,38	9,01
7,52	8,53	6,51	0,40	10,36	0,40	8,59	0,40	7,60	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	8,89	0,40	7,92	0,40	10,11	0,40	6,97	0,40	-999,0	0,40	6,51	0,40	7,59	0,40	11,62	0,40	12,14	0,40	9,34	0,40	9,59	0,40	6,15	0,40	8,60	0,40	7,22	0,40	6,76	0,40	8,34	0,40	8,53	0,40	9,96	0,40	9,29	0,40	9,04
