Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,15	10,01	8,30	0,00	9,51	0,00	8,93	0,00	10,87	0,00	8,04	0,00	13,33	0,00	9,42	0,00	-999,0	0,00	8,58	0,00	18,53	0,00	8,68	0,00	10,73	0,00	9,69	0,00	11,04	0,00	12,28	0,00	9,30	0,00	10,04	0,00	8,00	0,00	9,90	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0
9,15	10,01	8,30	0,02	9,51	0,02	8,93	0,02	10,87	0,02	8,03	0,02	13,33	0,02	9,42	0,02	-999,0	0,02	8,58	0,02	18,53	0,02	8,68	0,02	10,73	0,02	9,68	0,02	11,04	0,02	12,28	0,02	9,30	0,02	10,04	0,02	8,00	0,02	9,90	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0
9,15	10,00	8,30	0,03	9,51	0,03	8,93	0,03	10,87	0,03	8,03	0,03	13,33	0,03	9,42	0,03	-999,0	0,03	8,59	0,03	18,53	0,03	8,67	0,03	10,73	0,03	9,67	0,03	11,04	0,03	12,28	0,03	9,30	0,03	10,03	0,03	8,00	0,03	9,90	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0
9,15	10,00	8,30	0,05	9,52	0,05	8,93	0,05	10,87	0,05	8,03	0,05	13,34	0,05	9,41	0,05	-999,0	0,05	8,59	0,05	18,52	0,05	8,65	0,05	10,73	0,05	9,66	0,05	11,04	0,05	12,27	0,05	9,30	0,05	10,03	0,05	8,00	0,05	9,90	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0
9,15	10,00	8,30	0,07	9,52	0,07	8,93	0,07	10,88	0,07	8,03	0,07	13,35	0,07	9,41	0,07	-999,0	0,07	8,59	0,07	18,51	0,07	8,64	0,07	10,68	0,07	9,64	0,07	11,03	0,07	12,27	0,07	9,30	0,07	10,03	0,07	8,00	0,07	9,90	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0
9,15	10,00	8,30	0,08	9,52	0,08	8,93	0,08	10,88	0,08	8,02	0,08	13,36	0,08	9,41	0,08	-999,0	0,08	8,59	0,08	18,51	0,08	8,63	0,08	10,64	0,08	9,63	0,08	11,03	0,08	12,27	0,08	9,30	0,08	10,03	0,08	8,00	0,08	9,90	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0
9,14	9,99	8,29	0,10	9,52	0,10	8,93	0,10	10,88	0,10	8,02	0,10	13,37	0,10	9,40	0,10	-999,0	0,10	8,59	0,10	18,47	0,10	8,62	0,10	10,60	0,10	9,62	0,10	11,02	0,10	12,26	0,10	9,30	0,10	10,03	0,10	8,00	0,10	9,91	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0
9,14	9,98	8,30	0,12	9,53	0,12	8,93	0,12	10,89	0,12	8,01	0,12	13,38	0,12	9,40	0,12	-999,0	0,12	8,59	0,12	18,44	0,12	8,61	0,12	10,56	0,12	9,61	0,12	11,00	0,12	12,25	0,12	9,29	0,12	10,02	0,12	8,00	0,12	9,91	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0
9,14	9,98	8,29	0,13	9,53	0,13	8,93	0,13	10,89	0,13	8,00	0,13	13,40	0,13	9,39	0,13	-999,0	0,13	8,60	0,13	18,40	0,13	8,60	0,13	10,53	0,13	9,59	0,13	10,99	0,13	12,24	0,13	9,29	0,13	10,02	0,13	8,00	0,13	9,91	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0
9,14	9,98	8,29	0,15	9,53	0,15	8,93	0,15	10,90	0,15	8,00	0,15	13,41	0,15	9,39	0,15	-999,0	0,15	8,60	0,15	18,36	0,15	8,59	0,15	10,49	0,15	9,57	0,15	10,98	0,15	12,23	0,15	9,29	0,15	10,02	0,15	8,00	0,15	9,92	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0
