Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,15	6,15	6,15	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	6,48	0,00	7,16	0,00	4,70	0,00	5,47	0,00	3,92	0,00	6,87	0,00	3,00	0,00	6,65	0,00	-999,0	0,00	6,15	0,00	7,21	0,00	6,30	0,00	4,15
6,15	6,15	6,15	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	6,48	0,02	7,16	0,02	4,70	0,02	5,47	0,02	3,92	0,02	6,87	0,02	3,00	0,02	6,65	0,02	-999,0	0,02	6,15	0,02	7,21	0,02	6,30	0,02	4,15
6,15	6,15	6,15	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	6,48	0,03	7,15	0,03	4,70	0,03	5,47	0,03	3,92	0,03	6,88	0,03	3,00	0,03	6,65	0,03	-999,0	0,03	6,15	0,03	7,21	0,03	6,30	0,03	4,15
6,14	6,14	6,14	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	6,48	0,05	7,15	0,05	4,70	0,05	5,47	0,05	3,92	0,05	6,90	0,05	3,00	0,05	6,64	0,05	-999,0	0,05	6,14	0,05	7,21	0,05	6,30	0,05	4,15
6,14	6,14	6,14	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	6,48	0,07	7,15	0,07	4,70	0,07	5,47	0,07	3,92	0,07	6,91	0,07	3,02	0,07	6,64	0,07	-999,0	0,07	6,14	0,07	7,21	0,07	6,30	0,07	4,17
6,14	6,14	6,14	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	6,48	0,08	7,15	0,08	4,70	0,08	5,47	0,08	3,92	0,08	6,92	0,08	3,03	0,08	6,64	0,08	-999,0	0,08	6,14	0,08	7,21	0,08	6,30	0,08	4,19
6,14	6,14	6,14	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	6,48	0,10	7,15	0,10	4,70	0,10	5,47	0,10	3,93	0,10	6,93	0,10	3,04	0,10	6,64	0,10	-999,0	0,10	6,14	0,10	7,21	0,10	6,30	0,10	4,22
6,14	6,14	6,14	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	6,48	0,12	7,15	0,12	4,69	0,12	5,46	0,12	3,93	0,12	6,94	0,12	3,05	0,12	6,63	0,12	-999,0	0,12	6,14	0,12	7,22	0,12	6,30	0,12	4,24
6,13	6,13	6,13	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	6,47	0,13	7,14	0,13	4,69	0,13	5,46	0,13	3,94	0,13	6,95	0,13	3,06	0,13	6,64	0,13	-999,0	0,13	6,13	0,13	7,22	0,13	6,31	0,13	4,26
6,13	6,13	6,13	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	6,47	0,15	7,14	0,15	4,69	0,15	5,46	0,15	3,95	0,15	6,95	0,15	3,06	0,15	6,64	0,15	-999,0	0,15	6,13	0,15	7,22	0,15	6,33	0,15	4,29
