Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,03	5,40	4,66	0,00	5,78	0,00	4,30	0,00	4,92	0,00	3,46	0,00	6,21	0,00	5,15	0,00	5,14	0,00	4,67	0,00	10,98	0,00	6,37	0,00	6,55	0,00	7,56	0,00	6,58	0,00	6,83	0,00	6,04	0,00	5,61	0,00	4,61	0,00	6,17	0,00	5,25	0,00	6,17	0,00	6,61	0,00	5,80	0,00	3,09	0,00	4,71	0,00	4,67	0,00	5,82	0,00	5,04	0,00	4,65	0,00	6,51	0,00	2,88	0,00	5,74
5,03	5,40	4,66	0,02	5,79	0,02	4,30	0,02	4,92	0,02	3,46	0,02	6,21	0,02	5,15	0,02	5,14	0,02	4,67	0,02	10,97	0,02	6,37	0,02	6,55	0,02	7,56	0,02	6,58	0,02	6,83	0,02	6,04	0,02	5,61	0,02	4,61	0,02	6,17	0,02	5,25	0,02	6,17	0,02	6,61	0,02	5,80	0,02	3,09	0,02	4,71	0,02	4,67	0,02	5,82	0,02	5,04	0,02	4,64	0,02	6,51	0,02	2,88	0,02	5,74
5,03	5,40	4,66	0,03	5,79	0,03	4,31	0,03	4,93	0,03	3,46	0,03	6,21	0,03	5,15	0,03	5,14	0,03	4,67	0,03	10,97	0,03	6,38	0,03	6,54	0,03	7,56	0,03	6,57	0,03	6,83	0,03	6,04	0,03	5,61	0,03	4,61	0,03	6,17	0,03	5,25	0,03	6,17	0,03	6,61	0,03	5,80	0,03	3,09	0,03	4,71	0,03	4,67	0,03	5,83	0,03	5,04	0,03	4,64	0,03	6,51	0,03	2,88	0,03	5,74
5,03	5,40	4,66	0,05	5,80	0,05	4,31	0,05	4,93	0,05	3,46	0,05	6,20	0,05	5,15	0,05	5,14	0,05	4,67	0,05	10,97	0,05	6,38	0,05	6,54	0,05	7,56	0,05	6,57	0,05	6,82	0,05	6,04	0,05	5,60	0,05	4,61	0,05	6,17	0,05	5,24	0,05	6,17	0,05	6,61	0,05	5,80	0,05	3,09	0,05	4,71	0,05	4,67	0,05	5,83	0,05	5,04	0,05	4,64	0,05	6,51	0,05	2,88	0,05	5,74
5,02	5,39	4,66	0,07	5,81	0,07	4,31	0,07	4,93	0,07	3,47	0,07	6,19	0,07	5,14	0,07	5,13	0,07	4,67	0,07	10,96	0,07	6,38	0,07	6,54	0,07	7,56	0,07	6,57	0,07	6,82	0,07	6,03	0,07	5,60	0,07	4,61	0,07	6,16	0,07	5,24	0,07	6,17	0,07	6,60	0,07	5,80	0,07	3,09	0,07	4,71	0,07	4,67	0,07	5,84	0,07	5,04	0,07	4,64	0,07	6,51	0,07	2,88	0,07	5,74
5,02	5,39	4,66	0,08	5,82	0,08	4,32	0,08	4,94	0,08	3,47	0,08	6,19	0,08	5,13	0,08	5,13	0,08	4,67	0,08	10,95	0,08	6,38	0,08	6,54	0,08	7,56	0,08	6,57	0,08	6,82	0,08	6,03	0,08	5,60	0,08	4,61	0,08	6,16	0,08	5,24	0,08	6,17	0,08	6,60	0,08	5,80	0,08	3,09	0,08	4,71	0,08	4,68	0,08	5,84	0,08	5,04	0,08	4,64	0,08	6,51	0,08	2,88	0,08	5,74
5,02	5,39	4,65	0,10	5,83	0,10	4,33	0,10	4,95	0,10	3,47	0,10	6,19	0,10	5,13	0,10	5,13	0,10	4,67	0,10	10,94	0,10	6,39	0,10	6,53	0,10	7,55	0,10	6,56	0,10	6,81	0,10	6,03	0,10	5,60	0,10	4,60	0,10	6,16	0,10	5,24	0,10	6,16	0,10	6,60	0,10	5,80	0,10	3,09	0,10	4,71	0,10	4,68	0,10	5,84	0,10	5,04	0,10	4,64	0,10	6,51	0,10	2,88	0,10	5,74
5,02	5,38	4,65	0,12	5,84	0,12	4,34	0,12	4,96	0,12	3,45	0,12	6,18	0,12	5,12	0,12	5,12	0,12	4,67	0,12	10,93	0,12	6,39	0,12	6,53	0,12	7,55	0,12	6,56	0,12	6,81	0,12	6,03	0,12	5,60	0,12	4,60	0,12	6,16	0,12	5,24	0,12	6,16	0,12	6,59	0,12	5,80	0,12	3,09	0,12	4,71	0,12	4,68	0,12	5,85	0,12	5,05	0,12	4,64	0,12	6,51	0,12	2,88	0,12	5,74
5,01	5,38	4,64	0,13	5,85	0,13	4,35	0,13	4,96	0,13	3,44	0,13	6,18	0,13	5,12	0,13	5,11	0,13	4,66	0,13	10,92	0,13	6,40	0,13	6,53	0,13	7,55	0,13	6,55	0,13	6,81	0,13	6,02	0,13	5,60	0,13	4,60	0,13	6,16	0,13	5,24	0,13	6,16	0,13	6,59	0,13	5,80	0,13	3,09	0,13	4,72	0,13	4,69	0,13	5,85	0,13	5,05	0,13	4,63	0,13	6,51	0,13	2,88	0,13	5,76
5,01	5,37	4,64	0,15	5,86	0,15	4,37	0,15	4,98	0,15	3,43	0,15	6,18	0,15	5,12	0,15	5,10	0,15	4,66	0,15	10,90	0,15	6,40	0,15	6,52	0,15	7,55	0,15	6,54	0,15	6,80	0,15	6,02	0,15	5,59	0,15	4,60	0,15	6,15	0,15	5,23	0,15	6,16	0,15	6,58	0,15	5,79	0,15	3,09	0,15	4,73	0,15	4,69	0,15	5,85	0,15	5,05	0,15	4,63	0,15	6,51	0,15	2,88	0,15	5,77
5,00	5,37	4,64	0,17	5,87	0,17	4,38	0,17	5,00	0,17	3,41	0,17	6,18	0,17	5,12	0,17	5,09	0,17	4,66	0,17	10,88	0,17	6,41	0,17	6,52	0,17	7,54	0,17	6,53	0,17	6,79	0,17	6,02	0,17	5,59	0,17	4,59	0,17	6,15	0,17	5,23	0,17	6,15	0,17	6,58	0,17	5,79	0,17	3,08	0,17	4,73	0,17	4,69	0,17	5,85	0,17	5,05	0,17	4,63	0,17	6,51	0,17	2,88	0,17	5,78
5,00	5,37	4,63	0,18	5,89	0,18	4,40	0,18	5,01	0,18	3,40	0,18	6,18	0,18	5,12	0,18	5,08	0,18	4,65	0,18	10,86	0,18	6,41	0,18	6,51	0,18	7,54	0,18	6,53	0,18	6,78	0,18	6,02	0,18	5,59	0,18	4,59	0,18	6,15	0,18	5,23	0,18	6,15	0,18	6,57	0,18	5,79	0,18	3,08	0,18	4,74	0,18	4,69	0,18	5,86	0,18	5,05	0,18	4,63	0,18	6,52	0,18	2,88	0,18	5,79
5,00	5,37	4,63	0,20	5,90	0,20	4,41	0,20	5,02	0,20	3,38	0,20	6,18	0,20	5,12	0,20	5,07	0,20	4,64	0,20	10,83	0,20	6,42	0,20	6,50	0,20	7,53	0,20	6,52	0,20	6,78	0,20	6,01	0,20	5,59	0,20	4,59	0,20	6,14	0,20	5,22	0,20	6,15	0,20	6,56	0,20	5,79	0,20	3,09	0,20	4,75	0,20	4,69	0,20	5,86	0,20	5,05	0,20	4,63	0,20	6,52	0,20	2,89	0,20	5,80
4,99	5,36	4,63	0,22	5,92	0,22	4,43	0,22	5,04	0,22	3,38	0,22	6,18	0,22	5,12	0,22	5,06	0,22	4,63	0,22	10,81	0,22	6,43	0,22	6,50	0,22	7,53	0,22	6,51	0,22	6,77	0,22	6,01	0,22	5,58	0,22	4,58	0,22	6,14	0,22	5,22	0,22	6,14	0,22	6,55	0,22	5,78	0,22	3,10	0,22	4,76	0,22	4,69	0,22	5,86	0,22	5,05	0,22	4,63	0,22	6,52	0,22	2,90	0,22	5,80
4,99	5,36	4,63	0,23	5,93	0,23	4,45	0,23	5,05	0,23	3,37	0,23	6,17	0,23	5,13	0,23	5,05	0,23	4,62	0,23	10,78	0,23	6,43	0,23	6,49	0,23	7,52	0,23	6,49	0,23	6,76	0,23	6,00	0,23	5,58	0,23	4,58	0,23	6,13	0,23	5,21	0,23	6,14	0,23	6,54	0,23	5,77	0,23	3,10	0,23	4,77	0,23	4,69	0,23	5,86	0,23	5,05	0,23	4,63	0,23	6,52	0,23	2,92	0,23	5,81
4,99	5,35	4,63	0,25	5,94	0,25	4,46	0,25	5,06	0,25	3,37	0,25	6,17	0,25	5,13	0,25	5,04	0,25	4,61	0,25	10,74	0,25	6,44	0,25	6,48	0,25	7,52	0,25	6,48	0,25	6,75	0,25	6,00	0,25	5,57	0,25	4,57	0,25	6,13	0,25	5,21	0,25	6,13	0,25	6,53	0,25	5,76	0,25	3,11	0,25	4,77	0,25	4,70	0,25	5,86	0,25	5,05	0,25	4,64	0,25	6,53	0,25	2,92	0,25	5,82
4,99	5,35	4,63	0,27	5,96	0,27	4,47	0,27	5,07	0,27	3,36	0,27	6,17	0,27	5,13	0,27	5,04	0,27	4,60	0,27	10,70	0,27	6,45	0,27	6,47	0,27	7,51	0,27	6,47	0,27	6,73	0,27	5,99	0,27	5,57	0,27	4,57	0,27	6,12	0,27	5,20	0,27	6,13	0,27	6,52	0,27	5,76	0,27	3,12	0,27	4,78	0,27	4,70	0,27	5,86	0,27	5,05	0,27	4,64	0,27	6,55	0,27	2,93	0,27	5,82
4,98	5,35	4,62	0,28	5,97	0,28	4,48	0,28	5,08	0,28	3,35	0,28	6,17	0,28	5,13	0,28	5,03	0,28	4,59	0,28	10,66	0,28	6,45	0,28	6,46	0,28	7,50	0,28	6,46	0,28	6,72	0,28	5,99	0,28	5,56	0,28	4,56	0,28	6,11	0,28	5,20	0,28	6,12	0,28	6,51	0,28	5,76	0,28	3,12	0,28	4,79	0,28	4,70	0,28	5,87	0,28	5,05	0,28	4,63	0,28	6,56	0,28	2,94	0,28	5,83
