Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,66	7,95	5,36	0,00	7,07	0,00	5,88	0,00	8,63	0,00	7,13	0,00	11,81	0,00	8,47	0,00	6,07	0,00	6,45	0,00	15,38	0,00	5,39	0,00	12,00	0,00	5,43	0,00	5,45	0,00	10,54	0,00	7,80	0,00	6,64	0,00	4,63	0,00	7,79	0,00	10,34	0,00	10,65	0,00	9,66	0,00	2,36	0,00	4,65	0,00	9,51	0,00	7,48	0,00	5,82	0,00	5,87	0,00	7,47	0,00	4,98	0,00	6,25	0,00	-999,0
6,66	7,95	5,36	0,02	7,07	0,02	5,88	0,02	8,63	0,02	7,13	0,02	11,81	0,02	8,47	0,02	6,07	0,02	6,45	0,02	15,37	0,02	5,39	0,02	12,00	0,02	5,43	0,02	5,45	0,02	10,54	0,02	7,80	0,02	6,64	0,02	4,63	0,02	7,79	0,02	10,34	0,02	10,65	0,02	9,66	0,02	2,36	0,02	4,65	0,02	9,51	0,02	7,48	0,02	5,82	0,02	5,87	0,02	7,47	0,02	4,98	0,02	6,25	0,02	-999,0
6,66	7,95	5,36	0,03	7,07	0,03	5,88	0,03	8,63	0,03	7,13	0,03	11,82	0,03	8,47	0,03	6,07	0,03	6,45	0,03	15,37	0,03	5,38	0,03	12,00	0,03	5,43	0,03	5,45	0,03	10,53	0,03	7,80	0,03	6,64	0,03	4,63	0,03	7,79	0,03	10,34	0,03	10,65	0,03	9,66	0,03	2,36	0,03	4,65	0,03	9,51	0,03	7,48	0,03	5,82	0,03	5,87	0,03	7,47	0,03	4,98	0,03	6,25	0,03	-999,0
6,65	7,95	5,36	0,05	7,08	0,05	5,88	0,05	8,63	0,05	7,13	0,05	11,82	0,05	8,47	0,05	6,07	0,05	6,45	0,05	15,37	0,05	5,37	0,05	12,00	0,05	5,43	0,05	5,45	0,05	10,52	0,05	7,80	0,05	6,64	0,05	4,63	0,05	7,79	0,05	10,34	0,05	10,65	0,05	9,66	0,05	2,36	0,05	4,67	0,05	9,51	0,05	7,49	0,05	5,82	0,05	5,88	0,05	7,46	0,05	4,99	0,05	6,25	0,05	-999,0
6,65	7,95	5,36	0,07	7,08	0,07	5,88	0,07	8,64	0,07	7,12	0,07	11,83	0,07	8,47	0,07	6,07	0,07	6,45	0,07	15,34	0,07	5,36	0,07	11,99	0,07	5,43	0,07	5,45	0,07	10,51	0,07	7,80	0,07	6,63	0,07	4,63	0,07	7,79	0,07	10,35	0,07	10,65	0,07	9,66	0,07	2,37	0,07	4,68	0,07	9,51	0,07	7,49	0,07	5,82	0,07	5,89	0,07	7,46	0,07	5,00	0,07	6,25	0,07	-999,0
6,65	7,95	5,35	0,08	7,09	0,08	5,88	0,08	8,64	0,08	7,12	0,08	11,85	0,08	8,47	0,08	6,06	0,08	6,46	0,08	15,30	0,08	5,35	0,08	11,99	0,08	5,43	0,08	5,45	0,08	10,50	0,08	7,80	0,08	6,63	0,08	4,63	0,08	7,80	0,08	10,35	0,08	10,65	0,08	9,66	0,08	2,38	0,08	4,69	0,08	9,51	0,08	7,49	0,08	5,82	0,08	5,90	0,08	7,46	0,08	5,02	0,08	6,26	0,08	-999,0
6,65	7,94	5,35	0,10	7,10	0,10	5,88	0,10	8,65	0,10	7,12	0,10	11,86	0,10	8,46	0,10	6,06	0,10	6,46	0,10	15,26	0,10	5,34	0,10	11,96	0,10	5,43	0,10	5,45	0,10	10,49	0,10	7,79	0,10	6,63	0,10	4,63	0,10	7,80	0,10	10,35	0,10	10,65	0,10	9,65	0,10	2,38	0,10	4,70	0,10	9,51	0,10	7,50	0,10	5,82	0,10	5,91	0,10	7,46	0,10	5,04	0,10	6,27	0,10	-999,0
6,64	7,93	5,35	0,12	7,11	0,12	5,87	0,12	8,65	0,12	7,12	0,12	11,88	0,12	8,46	0,12	6,05	0,12	6,47	0,12	15,23	0,12	5,33	0,12	11,92	0,12	5,44	0,12	5,44	0,12	10,47	0,12	7,79	0,12	6,62	0,12	4,63	0,12	7,81	0,12	10,35	0,12	10,65	0,12	9,65	0,12	2,39	0,12	4,71	0,12	9,53	0,12	7,50	0,12	5,82	0,12	5,93	0,12	7,45	0,12	5,06	0,12	6,27	0,12	-999,0
6,64	7,93	5,35	0,13	7,12	0,13	5,87	0,13	8,66	0,13	7,12	0,13	11,90	0,13	8,46	0,13	6,04	0,13	6,45	0,13	15,19	0,13	5,33	0,13	11,89	0,13	5,44	0,13	5,44	0,13	10,46	0,13	7,78	0,13	6,62	0,13	4,63	0,13	7,82	0,13	10,35	0,13	10,65	0,13	9,66	0,13	2,40	0,13	4,72	0,13	9,55	0,13	7,50	0,13	5,82	0,13	5,95	0,13	7,45	0,13	5,09	0,13	6,28	0,13	-999,0
6,63	7,93	5,34	0,15	7,13	0,15	5,87	0,15	8,67	0,15	7,12	0,15	11,92	0,15	8,46	0,15	6,03	0,15	6,44	0,15	15,14	0,15	5,32	0,15	11,86	0,15	5,44	0,15	5,44	0,15	10,44	0,15	7,78	0,15	6,61	0,15	4,63	0,15	7,83	0,15	10,35	0,15	10,65	0,15	9,67	0,15	2,41	0,15	4,73	0,15	9,57	0,15	7,51	0,15	5,82	0,15	5,97	0,15	7,44	0,15	5,12	0,15	6,29	0,15	-999,0
