Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,91	11,21	8,61	0,00	10,24	0,00	9,33	0,00	11,09	0,00	7,94	0,00	13,96	0,00	10,04	0,00	8,14	0,00	9,04	0,00	18,32	0,00	9,28	0,00	11,21	0,00	10,38	0,00	11,23	0,00	12,36	0,00	9,28	0,00	10,77	0,00	8,84	0,00	10,81	0,00	12,55	0,00	13,89	0,00	9,55	0,00	8,71	0,00	-999,0	0,00	12,90	0,00	10,37	0,00	8,50	0,00	12,06	0,00	11,76	0,00	9,08	0,00	9,07	0,00	9,27
9,91	11,21	8,61	0,02	10,24	0,02	9,33	0,02	11,09	0,02	7,94	0,02	13,96	0,02	10,04	0,02	8,14	0,02	9,04	0,02	18,32	0,02	9,28	0,02	11,21	0,02	10,38	0,02	11,22	0,02	12,36	0,02	9,28	0,02	10,77	0,02	8,84	0,02	10,81	0,02	12,55	0,02	13,89	0,02	9,55	0,02	8,71	0,02	-999,0	0,02	12,90	0,02	10,37	0,02	8,50	0,02	12,06	0,02	11,76	0,02	9,07	0,02	9,07	0,02	9,27
9,91	11,21	8,61	0,03	10,24	0,03	9,33	0,03	11,09	0,03	7,94	0,03	13,96	0,03	10,04	0,03	8,14	0,03	9,04	0,03	18,32	0,03	9,28	0,03	11,21	0,03	10,38	0,03	11,22	0,03	12,35	0,03	9,28	0,03	10,77	0,03	8,84	0,03	10,81	0,03	12,55	0,03	13,89	0,03	9,55	0,03	8,71	0,03	-999,0	0,03	12,90	0,03	10,37	0,03	8,50	0,03	12,06	0,03	11,75	0,03	9,07	0,03	9,07	0,03	9,31
9,90	11,20	8,61	0,05	10,24	0,05	9,33	0,05	11,09	0,05	7,94	0,05	13,97	0,05	10,03	0,05	8,14	0,05	9,04	0,05	18,31	0,05	9,27	0,05	11,16	0,05	10,38	0,05	11,22	0,05	12,35	0,05	9,28	0,05	10,76	0,05	8,84	0,05	10,82	0,05	12,55	0,05	13,88	0,05	9,56	0,05	8,72	0,05	-999,0	0,05	12,90	0,05	10,37	0,05	8,50	0,05	12,07	0,05	11,75	0,05	9,07	0,05	9,07	0,05	9,35
9,90	11,20	8,61	0,07	10,24	0,07	9,33	0,07	11,10	0,07	7,93	0,07	13,97	0,07	10,03	0,07	8,14	0,07	9,05	0,07	18,31	0,07	9,27	0,07	11,11	0,07	10,38	0,07	11,22	0,07	12,35	0,07	9,28	0,07	10,76	0,07	8,84	0,07	10,82	0,07	12,55	0,07	13,88	0,07	9,56	0,07	8,73	0,07	-999,0	0,07	12,91	0,07	10,37	0,07	8,50	0,07	12,07	0,07	11,75	0,07	9,08	0,07	9,12	0,07	9,39
9,90	11,20	8,60	0,08	10,24	0,08	9,32	0,08	11,10	0,08	7,93	0,08	13,98	0,08	10,03	0,08	8,13	0,08	9,05	0,08	18,30	0,08	9,25	0,08	11,06	0,08	10,37	0,08	11,22	0,08	12,35	0,08	9,28	0,08	10,76	0,08	8,83	0,08	10,82	0,08	12,55	0,08	13,87	0,08	9,56	0,08	8,73	0,08	-999,0	0,08	12,91	0,08	10,38	0,08	8,50	0,08	12,07	0,08	11,74	0,08	9,09	0,08	9,16	0,08	9,43
9,89	11,19	8,60	0,10	10,24	0,10	9,32	0,10	11,11	0,10	7,92	0,10	13,99	0,10	10,02	0,10	8,13	0,10	9,05	0,10	18,29	0,10	9,24	0,10	11,02	0,10	10,36	0,10	11,21	0,10	12,34	0,10	9,28	0,10	10,76	0,10	8,83	0,10	10,82	0,10	12,55	0,10	13,87	0,10	9,57	0,10	8,74	0,10	-999,0	0,10	12,91	0,10	10,39	0,10	8,50	0,10	12,07	0,10	11,73	0,10	9,10	0,10	9,21	0,10	9,47
9,89	11,18	8,60	0,12	10,24	0,12	9,33	0,12	11,11	0,12	7,92	0,12	14,00	0,12	10,02	0,12	8,13	0,12	9,05	0,12	18,26	0,12	9,23	0,12	10,98	0,12	10,34	0,12	11,21	0,12	12,33	0,12	9,27	0,12	10,76	0,12	8,83	0,12	10,83	0,12	12,55	0,12	13,86	0,12	9,57	0,12	8,74	0,12	-999,0	0,12	12,92	0,12	10,40	0,12	8,50	0,12	12,07	0,12	11,72	0,12	9,12	0,12	9,26	0,12	9,51
9,88	11,17	8,60	0,13	10,26	0,13	9,33	0,13	11,12	0,13	7,91	0,13	14,01	0,13	10,01	0,13	8,12	0,13	9,05	0,13	18,22	0,13	9,22	0,13	10,94	0,13	10,32	0,13	11,20	0,13	12,33	0,13	9,27	0,13	10,76	0,13	8,83	0,13	10,83	0,13	12,56	0,13	13,86	0,13	9,57	0,13	8,75	0,13	-999,0	0,13	12,92	0,13	10,40	0,13	8,50	0,13	12,08	0,13	11,70	0,13	9,19	0,13	9,30	0,13	9,55
9,88	11,17	8,59	0,15	10,29	0,15	9,33	0,15	11,12	0,15	7,90	0,15	14,02	0,15	10,00	0,15	8,11	0,15	9,05	0,15	18,17	0,15	9,21	0,15	10,91	0,15	10,30	0,15	11,19	0,15	12,32	0,15	9,27	0,15	10,76	0,15	8,82	0,15	10,83	0,15	12,56	0,15	13,85	0,15	9,57	0,15	8,76	0,15	-999,0	0,15	12,93	0,15	10,42	0,15	8,50	0,15	12,07	0,15	11,69	0,15	9,25	0,15	9,35	0,15	9,59
9,87	11,16	8,59	0,17	10,32	0,17	9,33	0,17	11,13	0,17	7,89	0,17	14,04	0,17	10,00	0,17	8,11	0,17	9,05	0,17	18,12	0,17	9,20	0,17	10,87	0,17	10,28	0,17	11,17	0,17	12,31	0,17	9,27	0,17	10,76	0,17	8,82	0,17	10,84	0,17	12,56	0,17	13,85	0,17	9,57	0,17	8,77	0,17	-999,0	0,17	12,94	0,17	10,43	0,17	8,50	0,17	12,06	0,17	11,68	0,17	9,33	0,17	9,40	0,17	9,64
9,86	11,15	8,58	0,18	10,35	0,18	9,33	0,18	11,14	0,18	7,89	0,18	14,06	0,18	9,99	0,18	8,10	0,18	9,04	0,18	18,07	0,18	9,19	0,18	10,84	0,18	10,26	0,18	11,15	0,18	12,30	0,18	9,26	0,18	10,75	0,18	8,81	0,18	10,84	0,18	12,57	0,18	13,84	0,18	9,57	0,18	8,77	0,18	-999,0	0,18	12,96	0,18	10,44	0,18	8,50	0,18	12,05	0,18	11,66	0,18	9,40	0,18	9,45	0,18	9,68
9,86	11,15	8,57	0,20	10,37	0,20	9,35	0,20	11,15	0,20	7,88	0,20	14,08	0,20	9,98	0,20	8,09	0,20	9,03	0,20	18,01	0,20	9,19	0,20	10,81	0,20	10,24	0,20	11,12	0,20	12,28	0,20	9,26	0,20	10,75	0,20	8,81	0,20	10,85	0,20	12,57	0,20	13,84	0,20	9,57	0,20	8,78	0,20	-999,0	0,20	12,98	0,20	10,46	0,20	8,50	0,20	12,05	0,20	11,68	0,20	9,48	0,20	9,50	0,20	9,73
9,86	11,16	8,56	0,22	10,40	0,22	9,36	0,22	11,15	0,22	7,87	0,22	14,10	0,22	9,97	0,22	8,08	0,22	9,01	0,22	17,95	0,22	9,18	0,22	10,78	0,22	10,22	0,22	11,09	0,22	12,26	0,22	9,26	0,22	10,75	0,22	8,80	0,22	10,86	0,22	12,58	0,22	13,83	0,22	9,57	0,22	8,79	0,22	-999,0	0,22	12,99	0,22	10,48	0,22	8,49	0,22	12,04	0,22	11,69	0,22	9,55	0,22	9,55	0,22	9,77
9,86	11,16	8,55	0,23	10,42	0,23	9,37	0,23	11,16	0,23	7,86	0,23	14,12	0,23	9,97	0,23	8,07	0,23	8,99	0,23	17,89	0,23	9,17	0,23	10,76	0,23	10,19	0,23	11,06	0,23	12,24	0,23	9,25	0,23	10,74	0,23	8,80	0,23	10,86	0,23	12,59	0,23	13,83	0,23	9,57	0,23	8,79	0,23	-999,0	0,23	13,01	0,23	10,50	0,23	8,48	0,23	12,03	0,23	11,71	0,23	9,63	0,23	9,61	0,23	9,82
9,85	11,17	8,53	0,25	10,45	0,25	9,38	0,25	11,17	0,25	7,85	0,25	14,15	0,25	9,96	0,25	8,04	0,25	8,97	0,25	17,82	0,25	9,17	0,25	10,73	0,25	10,17	0,25	11,02	0,25	12,18	0,25	9,25	0,25	10,74	0,25	8,79	0,25	10,88	0,25	12,59	0,25	13,82	0,25	9,57	0,25	8,80	0,25	-999,0	0,25	13,03	0,25	10,52	0,25	8,48	0,25	12,02	0,25	11,72	0,25	9,72	0,25	9,66	0,25	9,87
9,84	11,17	8,52	0,27	10,47	0,27	9,39	0,27	11,17	0,27	7,84	0,27	14,17	0,27	9,95	0,27	8,02	0,27	8,95	0,27	17,76	0,27	9,16	0,27	10,71	0,27	10,15	0,27	10,99	0,27	12,13	0,27	9,25	0,27	10,73	0,27	8,79	0,27	10,89	0,27	12,60	0,27	13,81	0,27	9,57	0,27	8,81	0,27	-999,0	0,27	13,05	0,27	10,55	0,27	8,47	0,27	12,05	0,27	11,73	0,27	9,80	0,27	9,72	0,27	9,92
9,84	11,17	8,50	0,28	10,50	0,28	9,40	0,28	11,19	0,28	7,82	0,28	14,20	0,28	9,94	0,28	7,99	0,28	8,93	0,28	17,69	0,28	9,16	0,28	10,69	0,28	10,12	0,28	10,96	0,28	12,08	0,28	9,24	0,28	10,73	0,28	8,78	0,28	10,90	0,28	12,60	0,28	13,81	0,28	9,56	0,28	8,81	0,28	-999,0	0,28	13,08	0,28	10,57	0,28	8,46	0,28	12,08	0,28	11,74	0,28	9,89	0,28	9,77	0,28	9,97
9,83	11,18	8,48	0,30	10,54	0,30	9,41	0,30	11,20	0,30	7,81	0,30	14,23	0,30	9,94	0,30	7,96	0,30	8,91	0,30	17,62	0,30	9,16	0,30	10,67	0,30	10,10	0,30	10,92	0,30	12,03	0,30	9,23	0,30	10,72	0,30	8,77	0,30	10,92	0,30	12,60	0,30	13,80	0,30	9,56	0,30	8,82	0,30	-999,0	0,30	13,10	0,30	10,59	0,30	8,45	0,30	12,11	0,30	11,75	0,30	9,98	0,30	9,83	0,30	10,03
9,82	11,18	8,46	0,32	10,57	0,32	9,43	0,32	11,22	0,32	7,80	0,32	14,26	0,32	9,92	0,32	7,94	0,32	8,89	0,32	17,55	0,32	9,15	0,32	10,65	0,32	10,07	0,32	10,89	0,32	11,98	0,32	9,21	0,32	10,72	0,32	8,77	0,32	10,93	0,32	12,61	0,32	13,79	0,32	9,56	0,32	8,83	0,32	-999,0	0,32	13,12	0,32	10,61	0,32	8,45	0,32	12,14	0,32	11,75	0,32	10,07	0,32	9,89	0,32	10,08
9,81	11,18	8,45	0,33	10,59	0,33	9,44	0,33	11,23	0,33	7,78	0,33	14,30	0,33	9,91	0,33	7,91	0,33	8,87	0,33	17,48	0,33	9,15	0,33	10,63	0,33	10,05	0,33	10,85	0,33	11,92	0,33	9,19	0,33	10,71	0,33	8,77	0,33	10,95	0,33	12,61	0,33	13,78	0,33	9,56	0,33	8,83	0,33	-999,0	0,33	13,14	0,33	10,64	0,33	8,47	0,33	12,17	0,33	11,76	0,33	10,16	0,33	9,95	0,33	10,14
9,80	11,17	8,43	0,35	10,62	0,35	9,46	0,35	11,25	0,35	7,78	0,35	14,33	0,35	9,89	0,35	7,88	0,35	8,85	0,35	17,41	0,35	9,15	0,35	10,62	0,35	10,02	0,35	10,81	0,35	11,87	0,35	9,18	0,35	10,71	0,35	8,77	0,35	10,96	0,35	12,61	0,35	13,78	0,35	9,55	0,35	8,84	0,35	-999,0	0,35	13,16	0,35	10,66	0,35	8,50	0,35	12,20	0,35	11,76	0,35	10,26	0,35	10,00	0,35	10,19
9,79	11,17	8,41	0,37	10,64	0,37	9,48	0,37	11,26	0,37	7,77	0,37	14,37	0,37	9,87	0,37	7,85	0,37	8,83	0,37	17,34	0,37	9,15	0,37	10,60	0,37	9,99	0,37	10,77	0,37	11,81	0,37	9,16	0,37	10,70	0,37	8,77	0,37	10,98	0,37	12,61	0,37	13,77	0,37	9,55	0,37	8,84	0,37	-999,0	0,37	13,17	0,37	10,69	0,37	8,52	0,37	12,23	0,37	11,76	0,37	10,36	0,37	10,06	0,37	10,25
9,77	11,16	8,39	0,38	10,67	0,38	9,50	0,38	11,28	0,38	7,76	0,38	14,37	0,38	9,85	0,38	7,82	0,38	8,81	0,38	17,26	0,38	9,15	0,38	10,59	0,38	9,97	0,38	10,73	0,38	11,76	0,38	9,14	0,38	10,65	0,38	8,77	0,38	11,00	0,38	12,61	0,38	13,76	0,38	9,55	0,38	8,85	0,38	-999,0	0,38	13,18	0,38	10,72	0,38	8,54	0,38	12,25	0,38	11,77	0,38	10,46	0,38	10,13	0,38	10,31
9,75	11,13	8,37	0,40	10,69	0,40	9,53	0,40	11,29	0,40	7,75	0,40	14,37	0,40	9,83	0,40	7,79	0,40	8,79	0,40	17,19	0,40	9,14	0,40	10,57	0,40	9,94	0,40	10,69	0,40	11,70	0,40	9,12	0,40	10,60	0,40	8,77	0,40	11,02	0,40	12,61	0,40	13,75	0,40	9,54	0,40	8,86	0,40	-999,0	0,40	13,19	0,40	10,80	0,40	8,56	0,40	12,28	0,40	11,76	0,40	10,56	0,40	10,19	0,40	10,37
9,73	11,12	8,34	0,42	10,72	0,42	9,55	0,42	11,32	0,42	7,75	0,42	14,38	0,42	9,81	0,42	7,75	0,42	8,77	0,42	17,11	0,42	9,14	0,42	10,56	0,42	9,91	0,42	10,65	0,42	11,65	0,42	9,10	0,42	10,55	0,42	8,77	0,42	11,04	0,42	12,60	0,42	13,74	0,42	9,54	0,42	8,86	0,42	-999,0	0,42	13,20	0,42	10,88	0,42	8,59	0,42	12,30	0,42	11,76	0,42	10,67	0,42	10,25	0,42	10,43
9,71	11,10	8,31	0,43	10,74	0,43	9,57	0,43	11,34	0,43	7,74	0,43	14,40	0,43	9,79	0,43	7,72	0,43	8,75	0,43	17,03	0,43	9,14	0,43	10,55	0,43	9,88	0,43	10,61	0,43	11,59	0,43	9,08	0,43	10,51	0,43	8,75	0,43	11,07	0,43	12,60	0,43	13,73	0,43	9,53	0,43	8,87	0,43	-999,0	0,43	13,21	0,43	10,96	0,43	8,61	0,43	12,32	0,43	11,76	0,43	10,78	0,43	10,32	0,43	10,49
9,68	11,08	8,28	0,45	10,76	0,45	9,59	0,45	11,36	0,45	7,72	0,45	14,41	0,45	9,77	0,45	7,68	0,45	8,73	0,45	16,95	0,45	9,14	0,45	10,53	0,45	9,86	0,45	10,56	0,45	11,53	0,45	9,06	0,45	10,46	0,45	8,74	0,45	11,09	0,45	12,59	0,45	13,72	0,45	9,53	0,45	8,87	0,45	-999,0	0,45	13,23	0,45	11,04	0,45	8,63	0,45	12,34	0,45	11,76	0,45	10,89	0,45	10,38	0,45	10,56
9,66	11,07	8,25	0,47	10,76	0,47	9,61	0,47	11,38	0,47	7,70	0,47	14,42	0,47	9,74	0,47	7,65	0,47	8,70	0,47	16,87	0,47	9,14	0,47	10,52	0,47	9,83	0,47	10,52	0,47	11,47	0,47	9,05	0,47	10,42	0,47	8,72	0,47	11,12	0,47	12,58	0,47	13,72	0,47	9,52	0,47	8,87	0,47	-999,0	0,47	13,27	0,47	11,12	0,47	8,65	0,47	12,35	0,47	11,76	0,47	11,01	0,47	10,45	0,47	10,62
