Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,50	9,69	7,31	0,00	8,98	0,00	9,21	0,00	9,88	0,00	7,58	0,00	12,01	0,00	8,34	0,00	7,04	0,00	7,92	0,00	16,98	0,00	8,27	0,00	9,92	0,00	9,69	0,00	9,67	0,00	11,20	0,00	8,79	0,00	10,27	0,00	7,47	0,00	8,85	0,00	12,66	0,00	11,65	0,00	9,94	0,00	9,40	0,00	6,86	0,00	10,01	0,00	8,79	0,00	8,50	0,00	8,83	0,00	9,36	0,00	9,67	0,00	8,07	0,00	9,02
8,50	9,69	7,31	0,02	8,98	0,02	9,21	0,02	9,88	0,02	7,58	0,02	12,01	0,02	8,34	0,02	7,04	0,02	7,92	0,02	16,97	0,02	8,27	0,02	9,92	0,02	9,69	0,02	9,67	0,02	11,20	0,02	8,79	0,02	10,27	0,02	7,47	0,02	8,85	0,02	12,66	0,02	11,65	0,02	9,94	0,02	9,40	0,02	6,86	0,02	10,02	0,02	8,79	0,02	8,50	0,02	8,83	0,02	9,36	0,02	9,67	0,02	8,07	0,02	9,02
8,49	9,68	7,31	0,03	8,98	0,03	9,21	0,03	9,88	0,03	7,58	0,03	12,02	0,03	8,34	0,03	7,04	0,03	7,92	0,03	16,97	0,03	8,27	0,03	9,92	0,03	9,69	0,03	9,67	0,03	11,19	0,03	8,79	0,03	10,26	0,03	7,47	0,03	8,85	0,03	12,66	0,03	11,64	0,03	9,94	0,03	9,40	0,03	6,85	0,03	10,02	0,03	8,79	0,03	8,50	0,03	8,84	0,03	9,36	0,03	9,67	0,03	8,07	0,03	9,02
8,49	9,68	7,31	0,05	8,99	0,05	9,21	0,05	9,88	0,05	7,58	0,05	12,02	0,05	8,34	0,05	7,04	0,05	7,91	0,05	16,95	0,05	8,27	0,05	9,92	0,05	9,69	0,05	9,68	0,05	11,19	0,05	8,79	0,05	10,25	0,05	7,47	0,05	8,85	0,05	12,66	0,05	11,64	0,05	9,93	0,05	9,40	0,05	6,85	0,05	10,02	0,05	8,79	0,05	8,50	0,05	8,84	0,05	9,36	0,05	9,68	0,05	8,07	0,05	9,02
8,49	9,67	7,31	0,07	8,99	0,07	9,22	0,07	9,88	0,07	7,58	0,07	12,03	0,07	8,34	0,07	7,04	0,07	7,90	0,07	16,92	0,07	8,27	0,07	9,91	0,07	9,69	0,07	9,67	0,07	11,18	0,07	8,79	0,07	10,23	0,07	7,46	0,07	8,85	0,07	12,66	0,07	11,64	0,07	9,93	0,07	9,39	0,07	6,85	0,07	10,02	0,07	8,78	0,07	8,50	0,07	8,84	0,07	9,36	0,07	9,69	0,07	8,08	0,07	9,03
8,48	9,66	7,30	0,08	9,00	0,08	9,22	0,08	9,88	0,08	7,58	0,08	12,04	0,08	8,34	0,08	7,04	0,08	7,89	0,08	16,90	0,08	8,28	0,08	9,91	0,08	9,69	0,08	9,67	0,08	11,18	0,08	8,79	0,08	10,22	0,08	7,45	0,08	8,86	0,08	12,66	0,08	11,64	0,08	9,93	0,08	9,39	0,08	6,85	0,08	10,03	0,08	8,78	0,08	8,50	0,08	8,85	0,08	9,35	0,08	9,70	0,08	8,08	0,08	9,03
8,48	9,65	7,30	0,10	9,00	0,10	9,23	0,10	9,88	0,10	7,58	0,10	12,05	0,10	8,34	0,10	7,04	0,10	7,88	0,10	16,87	0,10	8,28	0,10	9,91	0,10	9,70	0,10	9,67	0,10	11,17	0,10	8,78	0,10	10,21	0,10	7,44	0,10	8,86	0,10	12,66	0,10	11,64	0,10	9,92	0,10	9,39	0,10	6,85	0,10	10,03	0,10	8,78	0,10	8,50	0,10	8,85	0,10	9,35	0,10	9,71	0,10	8,08	0,10	9,04
8,47	9,64	7,30	0,12	9,00	0,12	9,23	0,12	9,88	0,12	7,58	0,12	12,07	0,12	8,34	0,12	7,04	0,12	7,88	0,12	16,84	0,12	8,27	0,12	9,91	0,12	9,70	0,12	9,67	0,12	11,16	0,12	8,77	0,12	10,19	0,12	7,43	0,12	8,87	0,12	12,66	0,12	11,64	0,12	9,92	0,12	9,38	0,12	6,85	0,12	10,03	0,12	8,78	0,12	8,50	0,12	8,86	0,12	9,34	0,12	9,72	0,12	8,09	0,12	9,04
8,46	9,63	7,29	0,13	9,02	0,13	9,24	0,13	9,88	0,13	7,58	0,13	12,09	0,13	8,34	0,13	7,03	0,13	7,87	0,13	16,81	0,13	8,27	0,13	9,91	0,13	9,70	0,13	9,67	0,13	11,14	0,13	8,76	0,13	10,17	0,13	7,42	0,13	8,87	0,13	12,66	0,13	11,64	0,13	9,91	0,13	9,38	0,13	6,86	0,13	10,03	0,13	8,78	0,13	8,50	0,13	8,87	0,13	9,34	0,13	9,74	0,13	8,09	0,13	9,04
8,45	9,62	7,28	0,15	9,04	0,15	9,25	0,15	9,88	0,15	7,58	0,15	12,11	0,15	8,34	0,15	7,02	0,15	7,86	0,15	16,78	0,15	8,26	0,15	9,90	0,15	9,70	0,15	9,67	0,15	11,13	0,15	8,76	0,15	10,15	0,15	7,41	0,15	8,87	0,15	12,66	0,15	11,64	0,15	9,91	0,15	9,38	0,15	6,86	0,15	10,03	0,15	8,78	0,15	8,50	0,15	8,88	0,15	9,33	0,15	9,76	0,15	8,10	0,15	9,05
