Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,28	10,90	5,65	0,00	12,84	0,00	11,50	0,00	15,85	0,00	11,08	0,00	17,09	0,00	12,14	0,00	8,76	0,00	11,91	0,00	21,13	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	4,89	0,00	8,37	0,00	10,93	0,00	8,19	0,00	6,70	0,00	8,48	0,00	4,98	0,00	8,42	0,00	8,10	0,00	6,10	0,00	9,99	0,00	7,31	0,00	8,08	0,00	7,33	0,00	6,28
8,27	10,90	5,65	0,02	12,84	0,02	11,50	0,02	15,85	0,02	11,08	0,02	17,10	0,02	12,14	0,02	8,75	0,02	11,91	0,02	21,13	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	4,89	0,02	8,37	0,02	10,93	0,02	8,19	0,02	6,70	0,02	8,48	0,02	4,98	0,02	8,42	0,02	8,10	0,02	6,10	0,02	9,99	0,02	7,31	0,02	8,08	0,02	7,33	0,02	6,28
8,27	10,89	5,65	0,03	12,85	0,03	11,50	0,03	15,85	0,03	11,08	0,03	17,11	0,03	12,13	0,03	8,75	0,03	11,91	0,03	21,13	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	4,89	0,03	8,37	0,03	10,93	0,03	8,19	0,03	6,70	0,03	8,48	0,03	4,98	0,03	8,42	0,03	8,10	0,03	6,10	0,03	9,99	0,03	7,31	0,03	8,09	0,03	7,34	0,03	6,28
8,27	10,89	5,65	0,05	12,85	0,05	11,50	0,05	15,86	0,05	11,08	0,05	17,13	0,05	12,13	0,05	8,75	0,05	11,93	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	4,89	0,05	8,37	0,05	10,93	0,05	8,19	0,05	6,71	0,05	8,47	0,05	4,98	0,05	8,42	0,05	8,10	0,05	6,11	0,05	9,98	0,05	7,31	0,05	8,09	0,05	7,34	0,05	6,28
8,27	10,89	5,65	0,07	12,84	0,07	11,51	0,07	15,86	0,07	11,08	0,07	17,15	0,07	12,13	0,07	8,74	0,07	11,94	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	4,89	0,07	8,38	0,07	10,92	0,07	8,19	0,07	6,71	0,07	8,47	0,07	4,98	0,07	8,43	0,07	8,11	0,07	6,11	0,07	9,98	0,07	7,31	0,07	8,09	0,07	7,35	0,07	6,29
8,27	10,88	5,65	0,08	12,84	0,08	11,51	0,08	15,87	0,08	11,07	0,08	17,19	0,08	12,12	0,08	8,74	0,08	11,96	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	4,89	0,08	8,38	0,08	10,91	0,08	8,19	0,08	6,71	0,08	8,46	0,08	4,99	0,08	8,44	0,08	8,11	0,08	6,11	0,08	9,97	0,08	7,31	0,08	8,10	0,08	7,36	0,08	6,29
8,26	10,87	5,65	0,10	12,84	0,10	11,51	0,10	15,88	0,10	11,07	0,10	17,23	0,10	12,11	0,10	8,73	0,10	11,97	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	4,89	0,10	8,38	0,10	10,91	0,10	8,19	0,10	6,72	0,10	8,45	0,10	4,99	0,10	8,45	0,10	8,11	0,10	6,12	0,10	9,96	0,10	7,31	0,10	8,11	0,10	7,37	0,10	6,30
8,26	10,86	5,65	0,12	12,84	0,12	11,51	0,12	15,89	0,12	11,07	0,12	17,27	0,12	12,10	0,12	8,72	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	4,89	0,12	8,39	0,12	10,90	0,12	8,19	0,12	6,72	0,12	8,44	0,12	4,99	0,12	8,45	0,12	8,11	0,12	6,12	0,12	9,95	0,12	7,31	0,12	8,12	0,12	7,38	0,12	6,30
8,25	10,85	5,65	0,13	12,84	0,13	11,51	0,13	15,90	0,13	11,06	0,13	17,33	0,13	12,09	0,13	8,71	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	4,89	0,13	8,39	0,13	10,88	0,13	8,19	0,13	6,72	0,13	8,42	0,13	4,99	0,13	8,46	0,13	8,11	0,13	6,13	0,13	9,93	0,13	7,31	0,13	8,14	0,13	7,40	0,13	6,31
8,25	10,85	5,64	0,15	12,84	0,15	11,51	0,15	15,92	0,15	11,06	0,15	17,39	0,15	12,08	0,15	8,70	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	4,89	0,15	8,40	0,15	10,87	0,15	8,19	0,15	6,73	0,15	8,41	0,15	5,00	0,15	8,47	0,15	8,11	0,15	6,14	0,15	9,92	0,15	7,31	0,15	8,15	0,15	7,41	0,15	6,31
