Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,27	9,76	6,78	0,00	7,04	0,00	7,63	0,00	9,13	0,00	6,86	0,00	11,02	0,00	7,82	0,00	6,08	0,00	7,20	0,00	14,88	0,00	7,06	0,00	8,33	0,00	8,30	0,00	8,67	0,00	9,88	0,00	7,72	0,00	9,75	0,00	7,58	0,00	9,87	0,00	12,09	0,00	12,67	0,00	10,04	0,00	8,96	0,00	7,40	0,00	11,06	0,00	10,01	0,00	10,41	0,00	12,78	0,00	10,13	0,00	10,00	0,00	10,33	0,00	8,50
8,27	9,76	6,78	0,02	7,04	0,02	7,64	0,02	9,13	0,02	6,86	0,02	11,02	0,02	7,82	0,02	6,08	0,02	7,20	0,02	14,88	0,02	7,06	0,02	8,33	0,02	8,30	0,02	8,67	0,02	9,88	0,02	7,72	0,02	9,75	0,02	7,58	0,02	9,87	0,02	12,09	0,02	12,67	0,02	10,04	0,02	8,96	0,02	7,40	0,02	11,06	0,02	10,01	0,02	10,41	0,02	12,78	0,02	10,13	0,02	10,00	0,02	10,33	0,02	8,50
8,27	9,76	6,78	0,03	7,04	0,03	7,64	0,03	9,13	0,03	6,86	0,03	11,02	0,03	7,82	0,03	6,08	0,03	7,19	0,03	14,87	0,03	7,06	0,03	8,33	0,03	8,30	0,03	8,67	0,03	9,88	0,03	7,72	0,03	9,75	0,03	7,58	0,03	9,87	0,03	12,09	0,03	12,67	0,03	10,04	0,03	8,96	0,03	7,40	0,03	11,07	0,03	10,01	0,03	10,41	0,03	12,78	0,03	10,13	0,03	10,00	0,03	10,33	0,03	8,49
8,27	9,76	6,78	0,05	7,04	0,05	7,64	0,05	9,13	0,05	6,86	0,05	11,03	0,05	7,82	0,05	6,07	0,05	7,17	0,05	14,87	0,05	7,06	0,05	8,33	0,05	8,31	0,05	8,66	0,05	9,87	0,05	7,72	0,05	9,75	0,05	7,58	0,05	9,87	0,05	12,09	0,05	12,67	0,05	10,04	0,05	8,96	0,05	7,40	0,05	11,08	0,05	10,01	0,05	10,41	0,05	12,78	0,05	10,13	0,05	10,00	0,05	10,33	0,05	8,48
8,27	9,76	6,78	0,07	7,04	0,07	7,64	0,07	9,13	0,07	6,86	0,07	11,03	0,07	7,82	0,07	6,07	0,07	7,16	0,07	14,85	0,07	7,06	0,07	8,33	0,07	8,31	0,07	8,65	0,07	9,86	0,07	7,72	0,07	9,75	0,07	7,58	0,07	9,87	0,07	12,09	0,07	12,67	0,07	10,04	0,07	8,96	0,07	7,40	0,07	11,09	0,07	10,02	0,07	10,41	0,07	12,78	0,07	10,12	0,07	10,01	0,07	10,33	0,07	8,47
8,27	9,76	6,78	0,08	7,05	0,08	7,65	0,08	9,13	0,08	6,86	0,08	11,04	0,08	7,82	0,08	6,07	0,08	7,15	0,08	14,82	0,08	7,07	0,08	8,32	0,08	8,31	0,08	8,64	0,08	9,84	0,08	7,72	0,08	9,75	0,08	7,58	0,08	9,88	0,08	12,09	0,08	12,67	0,08	10,04	0,08	8,96	0,08	7,40	0,08	11,10	0,08	10,03	0,08	10,41	0,08	12,78	0,08	10,12	0,08	10,02	0,08	10,33	0,08	8,46
8,26	9,76	6,77	0,10	7,05	0,10	7,66	0,10	9,13	0,10	6,85	0,10	11,05	0,10	7,82	0,10	6,06	0,10	7,14	0,10	14,80	0,10	7,07	0,10	8,32	0,10	8,31	0,10	8,62	0,10	9,83	0,10	7,72	0,10	9,74	0,10	7,57	0,10	9,88	0,10	12,09	0,10	12,67	0,10	10,04	0,10	8,95	0,10	7,41	0,10	11,11	0,10	10,04	0,10	10,41	0,10	12,78	0,10	10,12	0,10	10,03	0,10	10,32	0,10	8,45
8,26	9,75	6,76	0,12	7,07	0,12	7,67	0,12	9,13	0,12	6,85	0,12	11,07	0,12	7,82	0,12	6,05	0,12	7,13	0,12	14,77	0,12	7,07	0,12	8,32	0,12	8,31	0,12	8,61	0,12	9,81	0,12	7,71	0,12	9,74	0,12	7,57	0,12	9,88	0,12	12,10	0,12	12,67	0,12	10,04	0,12	8,95	0,12	7,42	0,12	11,12	0,12	10,05	0,12	10,41	0,12	12,78	0,12	10,11	0,12	10,04	0,12	10,31	0,12	8,44
8,26	9,75	6,76	0,13	7,09	0,13	7,68	0,13	9,13	0,13	6,85	0,13	11,08	0,13	7,82	0,13	6,05	0,13	7,12	0,13	14,74	0,13	7,07	0,13	8,32	0,13	8,31	0,13	8,60	0,13	9,79	0,13	7,70	0,13	9,74	0,13	7,57	0,13	9,89	0,13	12,10	0,13	12,67	0,13	10,04	0,13	8,95	0,13	7,42	0,13	11,13	0,13	10,06	0,13	10,41	0,13	12,78	0,13	10,11	0,13	10,05	0,13	10,30	0,13	8,43
8,25	9,74	6,76	0,15	7,11	0,15	7,69	0,15	9,13	0,15	6,85	0,15	11,10	0,15	7,82	0,15	6,04	0,15	7,11	0,15	14,71	0,15	7,07	0,15	8,32	0,15	8,31	0,15	8,58	0,15	9,78	0,15	7,68	0,15	9,73	0,15	7,57	0,15	9,89	0,15	12,10	0,15	12,66	0,15	10,04	0,15	8,94	0,15	7,43	0,15	11,14	0,15	10,07	0,15	10,43	0,15	12,78	0,15	10,10	0,15	10,06	0,15	10,29	0,15	8,43
8,24	9,73	6,75	0,17	7,13	0,17	7,70	0,17	9,13	0,17	6,85	0,17	11,12	0,17	7,81	0,17	6,03	0,17	7,10	0,17	14,67	0,17	7,07	0,17	8,32	0,17	8,31	0,17	8,57	0,17	9,76	0,17	7,67	0,17	9,72	0,17	7,56	0,17	9,90	0,17	12,10	0,17	12,66	0,17	10,03	0,17	8,94	0,17	7,44	0,17	11,15	0,17	10,08	0,17	10,44	0,17	12,78	0,17	10,09	0,17	10,07	0,17	10,28	0,17	8,42
8,24	9,73	6,74	0,18	7,15	0,18	7,72	0,18	9,13	0,18	6,85	0,18	11,14	0,18	7,81	0,18	6,02	0,18	7,09	0,18	14,64	0,18	7,07	0,18	8,31	0,18	8,31	0,18	8,55	0,18	9,73	0,18	7,66	0,18	9,71	0,18	7,56	0,18	9,91	0,18	12,10	0,18	12,66	0,18	10,03	0,18	8,94	0,18	7,44	0,18	11,16	0,18	10,09	0,18	10,45	0,18	12,78	0,18	10,09	0,18	10,07	0,18	10,27	0,18	8,42
8,23	9,72	6,74	0,20	7,18	0,20	7,74	0,20	9,13	0,20	6,85	0,20	11,16	0,20	7,80	0,20	6,01	0,20	7,08	0,20	14,60	0,20	7,07	0,20	8,29	0,20	8,32	0,20	8,54	0,20	9,71	0,20	7,65	0,20	9,70	0,20	7,56	0,20	9,91	0,20	12,10	0,20	12,66	0,20	10,03	0,20	8,94	0,20	7,45	0,20	11,17	0,20	10,09	0,20	10,47	0,20	12,78	0,20	10,08	0,20	10,08	0,20	10,27	0,20	8,41
8,22	9,71	6,73	0,22	7,20	0,22	7,77	0,22	9,13	0,22	6,85	0,22	11,18	0,22	7,79	0,22	6,00	0,22	7,07	0,22	14,57	0,22	7,07	0,22	8,26	0,22	8,32	0,22	8,52	0,22	9,69	0,22	7,64	0,22	9,69	0,22	7,55	0,22	9,92	0,22	12,11	0,22	12,66	0,22	10,02	0,22	8,94	0,22	7,45	0,22	11,18	0,22	10,10	0,22	10,48	0,22	12,80	0,22	10,07	0,22	10,08	0,22	10,26	0,22	8,40
8,21	9,70	6,72	0,23	7,24	0,23	7,79	0,23	9,13	0,23	6,85	0,23	11,18	0,23	7,79	0,23	5,99	0,23	7,06	0,23	14,53	0,23	7,07	0,23	8,24	0,23	8,32	0,23	8,51	0,23	9,66	0,23	7,62	0,23	9,67	0,23	7,55	0,23	9,93	0,23	12,11	0,23	12,65	0,23	10,03	0,23	8,94	0,23	7,46	0,23	11,19	0,23	10,11	0,23	10,49	0,23	12,81	0,23	10,05	0,23	10,09	0,23	10,25	0,23	8,40
8,20	9,68	6,72	0,25	7,28	0,25	7,81	0,25	9,14	0,25	6,84	0,25	11,18	0,25	7,79	0,25	5,98	0,25	7,05	0,25	14,49	0,25	7,06	0,25	8,22	0,25	8,32	0,25	8,49	0,25	9,63	0,25	7,61	0,25	9,66	0,25	7,54	0,25	9,94	0,25	12,11	0,25	12,65	0,25	10,03	0,25	8,94	0,25	7,46	0,25	11,20	0,25	10,12	0,25	10,51	0,25	12,83	0,25	10,03	0,25	10,10	0,25	10,24	0,25	8,40
