Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,75	5,21	4,28	0,00	4,14	0,00	4,86	0,00	4,54	0,00	3,13	0,00	6,18	0,00	5,31	0,00	4,28	0,00	4,11	0,00	10,07	0,00	5,93	0,00	5,56	0,00	5,71	0,00	6,07	0,00	5,91	0,00	5,36	0,00	5,31	0,00	4,53	0,00	3,84	0,00	4,62	0,00	4,67	0,00	5,42	0,00	4,64	0,00	3,07	0,00	3,90	0,00	4,13	0,00	5,52	0,00	4,42	0,00	4,30	0,00	5,28	0,00	5,12	0,00	3,49
4,75	5,21	4,28	0,02	4,14	0,02	4,86	0,02	4,54	0,02	3,13	0,02	6,16	0,02	5,31	0,02	4,28	0,02	4,10	0,02	10,07	0,02	5,93	0,02	5,56	0,02	5,71	0,02	6,07	0,02	5,91	0,02	5,36	0,02	5,31	0,02	4,53	0,02	3,84	0,02	4,62	0,02	4,67	0,02	5,42	0,02	4,64	0,02	3,07	0,02	3,90	0,02	4,13	0,02	5,52	0,02	4,41	0,02	4,30	0,02	5,28	0,02	5,12	0,02	3,49
4,75	5,21	4,28	0,03	4,14	0,03	4,87	0,03	4,54	0,03	3,13	0,03	6,15	0,03	5,31	0,03	4,28	0,03	4,10	0,03	10,07	0,03	5,93	0,03	5,56	0,03	5,71	0,03	6,07	0,03	5,91	0,03	5,36	0,03	5,31	0,03	4,53	0,03	3,84	0,03	4,62	0,03	4,67	0,03	5,42	0,03	4,64	0,03	3,07	0,03	3,90	0,03	4,13	0,03	5,53	0,03	4,41	0,03	4,30	0,03	5,28	0,03	5,12	0,03	3,49
4,75	5,21	4,28	0,05	4,14	0,05	4,88	0,05	4,55	0,05	3,13	0,05	6,14	0,05	5,31	0,05	4,28	0,05	4,10	0,05	10,06	0,05	5,94	0,05	5,56	0,05	5,71	0,05	6,07	0,05	5,91	0,05	5,36	0,05	5,31	0,05	4,53	0,05	3,84	0,05	4,62	0,05	4,67	0,05	5,41	0,05	4,64	0,05	3,07	0,05	3,90	0,05	4,13	0,05	5,54	0,05	4,41	0,05	4,30	0,05	5,28	0,05	5,12	0,05	3,49
4,74	5,21	4,27	0,07	4,15	0,07	4,88	0,07	4,56	0,07	3,13	0,07	6,13	0,07	5,31	0,07	4,28	0,07	4,10	0,07	10,06	0,07	5,94	0,07	5,56	0,07	5,70	0,07	6,06	0,07	5,91	0,07	5,36	0,07	5,31	0,07	4,53	0,07	3,83	0,07	4,61	0,07	4,67	0,07	5,41	0,07	4,64	0,07	3,07	0,07	3,90	0,07	4,13	0,07	5,55	0,07	4,42	0,07	4,29	0,07	5,29	0,07	5,12	0,07	3,49
4,74	5,21	4,27	0,08	4,17	0,08	4,89	0,08	4,57	0,08	3,13	0,08	6,12	0,08	5,30	0,08	4,28	0,08	4,09	0,08	10,05	0,08	5,94	0,08	5,56	0,08	5,70	0,08	6,06	0,08	5,91	0,08	5,36	0,08	5,31	0,08	4,52	0,08	3,83	0,08	4,61	0,08	4,67	0,08	5,41	0,08	4,64	0,08	3,07	0,08	3,90	0,08	4,13	0,08	5,56	0,08	4,43	0,08	4,29	0,08	5,29	0,08	5,12	0,08	3,49
4,74	5,20	4,27	0,10	4,18	0,10	4,90	0,10	4,59	0,10	3,12	0,10	6,11	0,10	5,29	0,10	4,28	0,10	4,09	0,10	10,04	0,10	5,94	0,10	5,56	0,10	5,70	0,10	6,06	0,10	5,90	0,10	5,36	0,10	5,31	0,10	4,52	0,10	3,83	0,10	4,61	0,10	4,67	0,10	5,41	0,10	4,64	0,10	3,07	0,10	3,90	0,10	4,13	0,10	5,56	0,10	4,43	0,10	4,29	0,10	5,29	0,10	5,12	0,10	3,49
4,73	5,20	4,27	0,12	4,19	0,12	4,91	0,12	4,61	0,12	3,11	0,12	6,10	0,12	5,28	0,12	4,28	0,12	4,09	0,12	10,03	0,12	5,94	0,12	5,55	0,12	5,70	0,12	6,05	0,12	5,90	0,12	5,36	0,12	5,31	0,12	4,52	0,12	3,83	0,12	4,61	0,12	4,67	0,12	5,40	0,12	4,64	0,12	3,07	0,12	3,90	0,12	4,14	0,12	5,57	0,12	4,44	0,12	4,28	0,12	5,29	0,12	5,12	0,12	3,49
4,73	5,20	4,27	0,13	4,21	0,13	4,92	0,13	4,63	0,13	3,10	0,13	6,09	0,13	5,27	0,13	4,27	0,13	4,09	0,13	10,02	0,13	5,95	0,13	5,55	0,13	5,69	0,13	6,05	0,13	5,89	0,13	5,36	0,13	5,31	0,13	4,52	0,13	3,83	0,13	4,61	0,13	4,67	0,13	5,40	0,13	4,64	0,13	3,07	0,13	3,90	0,13	4,14	0,13	5,58	0,13	4,44	0,13	4,29	0,13	5,29	0,13	5,12	0,13	3,49
4,72	5,18	4,26	0,15	4,22	0,15	4,94	0,15	4,64	0,15	3,09	0,15	6,09	0,15	5,25	0,15	4,26	0,15	4,09	0,15	10,00	0,15	5,95	0,15	5,55	0,15	5,69	0,15	6,04	0,15	5,89	0,15	5,36	0,15	5,30	0,15	4,52	0,15	3,82	0,15	4,61	0,15	4,67	0,15	5,39	0,15	4,64	0,15	3,07	0,15	3,90	0,15	4,15	0,15	5,59	0,15	4,45	0,15	4,29	0,15	5,29	0,15	5,12	0,15	3,49
4,72	5,18	4,26	0,17	4,24	0,17	4,95	0,17	4,66	0,17	3,10	0,17	6,08	0,17	5,24	0,17	4,25	0,17	4,08	0,17	9,98	0,17	5,95	0,17	5,54	0,17	5,69	0,17	6,03	0,17	5,88	0,17	5,36	0,17	5,30	0,17	4,51	0,17	3,82	0,17	4,61	0,17	4,66	0,17	5,39	0,17	4,63	0,17	3,07	0,17	3,90	0,17	4,16	0,17	5,60	0,17	4,45	0,17	4,30	0,17	5,29	0,17	5,12	0,17	3,48
4,72	5,17	4,26	0,18	4,25	0,18	4,96	0,18	4,67	0,18	3,10	0,18	6,07	0,18	5,23	0,18	4,24	0,18	4,08	0,18	9,96	0,18	5,96	0,18	5,54	0,18	5,68	0,18	6,02	0,18	5,88	0,18	5,35	0,18	5,30	0,18	4,51	0,18	3,82	0,18	4,60	0,18	4,66	0,18	5,38	0,18	4,63	0,18	3,07	0,18	3,90	0,18	4,16	0,18	5,60	0,18	4,45	0,18	4,30	0,18	5,29	0,18	5,12	0,18	3,49
4,71	5,17	4,25	0,20	4,27	0,20	4,97	0,20	4,68	0,20	3,10	0,20	6,07	0,20	5,23	0,20	4,23	0,20	4,08	0,20	9,94	0,20	5,96	0,20	5,53	0,20	5,68	0,20	6,01	0,20	5,87	0,20	5,35	0,20	5,30	0,20	4,51	0,20	3,81	0,20	4,60	0,20	4,66	0,20	5,37	0,20	4,63	0,20	3,07	0,20	3,91	0,20	4,17	0,20	5,61	0,20	4,46	0,20	4,30	0,20	5,30	0,20	5,12	0,20	3,50
4,71	5,16	4,25	0,22	4,29	0,22	4,98	0,22	4,69	0,22	3,10	0,22	6,06	0,22	5,22	0,22	4,22	0,22	4,07	0,22	9,92	0,22	5,96	0,22	5,53	0,22	5,67	0,22	6,00	0,22	5,86	0,22	5,35	0,22	5,29	0,22	4,50	0,22	3,81	0,22	4,60	0,22	4,66	0,22	5,37	0,22	4,63	0,22	3,07	0,22	3,91	0,22	4,18	0,22	5,62	0,22	4,46	0,22	4,31	0,22	5,30	0,22	5,12	0,22	3,51
4,71	5,16	4,25	0,23	4,32	0,23	4,98	0,23	4,71	0,23	3,10	0,23	6,06	0,23	5,22	0,23	4,21	0,23	4,06	0,23	9,90	0,23	5,96	0,23	5,52	0,23	5,66	0,23	5,99	0,23	5,85	0,23	5,34	0,23	5,29	0,23	4,50	0,23	3,80	0,23	4,59	0,23	4,66	0,23	5,36	0,23	4,62	0,23	3,06	0,23	3,92	0,23	4,18	0,23	5,62	0,23	4,46	0,23	4,31	0,23	5,30	0,23	5,10	0,23	3,52
4,70	5,16	4,24	0,25	4,34	0,25	4,99	0,25	4,72	0,25	3,10	0,25	6,06	0,25	5,21	0,25	4,20	0,25	4,05	0,25	9,87	0,25	5,97	0,25	5,51	0,25	5,66	0,25	5,98	0,25	5,84	0,25	5,34	0,25	5,28	0,25	4,50	0,25	3,80	0,25	4,59	0,25	4,65	0,25	5,35	0,25	4,62	0,25	3,07	0,25	3,92	0,25	4,19	0,25	5,63	0,25	4,47	0,25	4,31	0,25	5,30	0,25	5,10	0,25	3,53
4,70	5,15	4,24	0,27	4,36	0,27	4,99	0,27	4,73	0,27	3,10	0,27	6,06	0,27	5,21	0,27	4,19	0,27	4,03	0,27	9,84	0,27	5,97	0,27	5,50	0,27	5,65	0,27	5,97	0,27	5,83	0,27	5,34	0,27	5,28	0,27	4,49	0,27	3,79	0,27	4,59	0,27	4,65	0,27	5,34	0,27	4,61	0,27	3,08	0,27	3,93	0,27	4,19	0,27	5,63	0,27	4,47	0,27	4,31	0,27	5,30	0,27	5,11	0,27	3,53
4,69	5,15	4,23	0,28	4,37	0,28	5,00	0,28	4,73	0,28	3,10	0,28	6,06	0,28	5,20	0,28	4,17	0,28	4,02	0,28	9,81	0,28	5,97	0,28	5,50	0,28	5,64	0,28	5,96	0,28	5,82	0,28	5,33	0,28	5,27	0,28	4,49	0,28	3,79	0,28	4,58	0,28	4,65	0,28	5,33	0,28	4,61	0,28	3,08	0,28	3,94	0,28	4,20	0,28	5,64	0,28	4,47	0,28	4,32	0,28	5,30	0,28	5,11	0,28	3,54
4,69	5,15	4,23	0,30	4,38	0,30	5,00	0,30	4,74	0,30	3,10	0,30	6,06	0,30	5,20	0,30	4,16	0,30	4,01	0,30	9,77	0,30	5,98	0,30	5,49	0,30	5,63	0,30	5,94	0,30	5,81	0,30	5,33	0,30	5,27	0,30	4,48	0,30	3,78	0,30	4,58	0,30	4,65	0,30	5,32	0,30	4,60	0,30	3,09	0,30	3,94	0,30	4,20	0,30	5,64	0,30	4,47	0,30	4,32	0,30	5,30	0,30	5,12	0,30	3,55
4,68	5,15	4,22	0,32	4,40	0,32	5,01	0,32	4,75	0,32	3,10	0,32	6,06	0,32	5,21	0,32	4,15	0,32	4,00	0,32	9,73	0,32	5,98	0,32	5,47	0,32	5,62	0,32	5,93	0,32	5,80	0,32	5,32	0,32	5,26	0,32	4,48	0,32	3,78	0,32	4,57	0,32	4,64	0,32	5,31	0,32	4,60	0,32	3,09	0,32	3,95	0,32	4,21	0,32	5,65	0,32	4,47	0,32	4,32	0,32	5,31	0,32	5,12	0,32	3,56
4,68	5,15	4,21	0,33	4,41	0,33	5,02	0,33	4,76	0,33	3,10	0,33	6,05	0,33	5,21	0,33	4,14	0,33	3,99	0,33	9,69	0,33	5,99	0,33	5,46	0,33	5,61	0,33	5,92	0,33	5,78	0,33	5,32	0,33	5,26	0,33	4,47	0,33	3,77	0,33	4,56	0,33	4,64	0,33	5,30	0,33	4,60	0,33	3,10	0,33	3,95	0,33	4,21	0,33	5,65	0,33	4,47	0,33	4,32	0,33	5,32	0,33	5,12	0,33	3,57
4,67	5,14	4,20	0,35	4,42	0,35	5,02	0,35	4,77	0,35	3,10	0,35	6,05	0,35	5,21	0,35	4,13	0,35	3,98	0,35	9,64	0,35	5,99	0,35	5,45	0,35	5,59	0,35	5,90	0,35	5,76	0,35	5,31	0,35	5,25	0,35	4,46	0,35	3,76	0,35	4,56	0,35	4,64	0,35	5,29	0,35	4,60	0,35	3,10	0,35	3,96	0,35	4,22	0,35	5,65	0,35	4,47	0,35	4,31	0,35	5,33	0,35	5,12	0,35	3,58
4,67	5,14	4,20	0,37	4,43	0,37	5,03	0,37	4,77	0,37	3,10	0,37	6,05	0,37	5,21	0,37	4,12	0,37	3,97	0,37	9,60	0,37	5,99	0,37	5,44	0,37	5,58	0,37	5,89	0,37	5,75	0,37	5,31	0,37	5,24	0,37	4,46	0,37	3,75	0,37	4,55	0,37	4,63	0,37	5,27	0,37	4,60	0,37	3,11	0,37	3,96	0,37	4,22	0,37	5,66	0,37	4,47	0,37	4,31	0,37	5,33	0,37	5,12	0,37	3,60
4,66	5,13	4,20	0,38	4,44	0,38	5,04	0,38	4,78	0,38	3,09	0,38	6,05	0,38	5,21	0,38	4,11	0,38	3,96	0,38	9,56	0,38	5,98	0,38	5,42	0,38	5,57	0,38	5,87	0,38	5,73	0,38	5,30	0,38	5,23	0,38	4,45	0,38	3,75	0,38	4,54	0,38	4,63	0,38	5,27	0,38	4,60	0,38	3,11	0,38	3,97	0,38	4,23	0,38	5,66	0,38	4,47	0,38	4,32	0,38	5,34	0,38	5,11	0,38	3,61
4,66	5,13	4,20	0,40	4,45	0,40	5,05	0,40	4,78	0,40	3,09	0,40	6,05	0,40	5,21	0,40	4,11	0,40	3,95	0,40	9,52	0,40	5,98	0,40	5,41	0,40	5,55	0,40	5,85	0,40	5,71	0,40	5,29	0,40	5,22	0,40	4,44	0,40	3,74	0,40	4,54	0,40	4,63	0,40	5,26	0,40	4,60	0,40	3,12	0,40	3,98	0,40	4,23	0,40	5,67	0,40	4,47	0,40	4,33	0,40	5,35	0,40	5,11	0,40	3,62
