Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,03	9,26	4,81	0,00	6,24	0,00	6,15	0,00	7,76	0,00	5,14	0,00	9,15	0,00	6,73	0,00	4,56	0,00	5,35	0,00	14,06	0,00	5,72	0,00	7,43	0,00	6,50	0,00	7,14	0,00	8,12	0,00	6,05	0,00	8,35	0,00	4,95	0,00	7,97	0,00	9,45	0,00	8,80	0,00	6,96	0,00	6,78	0,00	4,88	0,00	10,60	0,00	8,80	0,00	8,79	0,00	8,97	0,00	10,57	0,00	9,49	0,00	9,84	0,00	8,96
7,03	9,26	4,81	0,02	6,24	0,02	6,15	0,02	7,76	0,02	5,14	0,02	9,15	0,02	6,73	0,02	4,56	0,02	5,35	0,02	14,06	0,02	5,72	0,02	7,43	0,02	6,50	0,02	7,14	0,02	8,11	0,02	6,05	0,02	8,35	0,02	4,95	0,02	7,97	0,02	9,45	0,02	8,80	0,02	6,96	0,02	6,78	0,02	4,88	0,02	10,61	0,02	8,80	0,02	8,79	0,02	8,97	0,02	10,57	0,02	9,49	0,02	9,84	0,02	8,96
7,03	9,26	4,81	0,03	6,24	0,03	6,15	0,03	7,76	0,03	5,14	0,03	9,15	0,03	6,73	0,03	4,56	0,03	5,35	0,03	14,06	0,03	5,72	0,03	7,43	0,03	6,49	0,03	7,14	0,03	8,11	0,03	6,05	0,03	8,35	0,03	4,95	0,03	7,97	0,03	9,45	0,03	8,80	0,03	6,97	0,03	6,77	0,03	4,88	0,03	10,61	0,03	8,80	0,03	8,79	0,03	8,97	0,03	10,57	0,03	9,49	0,03	9,84	0,03	8,96
7,03	9,25	4,81	0,05	6,24	0,05	6,15	0,05	7,76	0,05	5,14	0,05	9,16	0,05	6,73	0,05	4,56	0,05	5,35	0,05	14,04	0,05	5,72	0,05	7,44	0,05	6,49	0,05	7,13	0,05	8,11	0,05	6,05	0,05	8,35	0,05	4,95	0,05	7,97	0,05	9,45	0,05	8,80	0,05	6,97	0,05	6,78	0,05	4,89	0,05	10,61	0,05	8,81	0,05	8,79	0,05	8,97	0,05	10,56	0,05	9,49	0,05	9,84	0,05	8,99
7,03	9,25	4,81	0,07	6,24	0,07	6,15	0,07	7,76	0,07	5,14	0,07	9,16	0,07	6,73	0,07	4,56	0,07	5,35	0,07	14,01	0,07	5,72	0,07	7,45	0,07	6,49	0,07	7,13	0,07	8,11	0,07	6,04	0,07	8,35	0,07	4,95	0,07	7,97	0,07	9,45	0,07	8,80	0,07	6,97	0,07	6,79	0,07	4,90	0,07	10,61	0,07	8,81	0,07	8,79	0,07	8,97	0,07	10,56	0,07	9,49	0,07	9,85	0,07	9,01
7,03	9,25	4,81	0,08	6,23	0,08	6,15	0,08	7,76	0,08	5,13	0,08	9,17	0,08	6,72	0,08	4,56	0,08	5,35	0,08	13,99	0,08	5,72	0,08	7,46	0,08	6,49	0,08	7,13	0,08	8,10	0,08	6,04	0,08	8,35	0,08	4,95	0,08	7,97	0,08	9,45	0,08	8,80	0,08	6,97	0,08	6,79	0,08	4,90	0,08	10,62	0,08	8,81	0,08	8,79	0,08	8,97	0,08	10,55	0,08	9,50	0,08	9,85	0,08	9,03
7,02	9,24	4,80	0,10	6,25	0,10	6,15	0,10	7,76	0,10	5,13	0,10	9,17	0,10	6,72	0,10	4,55	0,10	5,35	0,10	13,96	0,10	5,72	0,10	7,47	0,10	6,49	0,10	7,12	0,10	8,09	0,10	6,04	0,10	8,35	0,10	4,95	0,10	7,97	0,10	9,45	0,10	8,79	0,10	6,97	0,10	6,80	0,10	4,91	0,10	10,62	0,10	8,81	0,10	8,79	0,10	8,97	0,10	10,54	0,10	9,50	0,10	9,85	0,10	9,05
7,02	9,24	4,80	0,12	6,27	0,12	6,15	0,12	7,76	0,12	5,12	0,12	9,18	0,12	6,72	0,12	4,55	0,12	5,34	0,12	13,93	0,12	5,72	0,12	7,45	0,12	6,48	0,12	7,12	0,12	8,08	0,12	6,04	0,12	8,36	0,12	4,94	0,12	7,98	0,12	9,45	0,12	8,79	0,12	6,97	0,12	6,80	0,12	4,92	0,12	10,64	0,12	8,81	0,12	8,79	0,12	8,96	0,12	10,53	0,12	9,51	0,12	9,87	0,12	9,08
7,01	9,23	4,80	0,13	6,29	0,13	6,15	0,13	7,76	0,13	5,11	0,13	9,19	0,13	6,72	0,13	4,54	0,13	5,32	0,13	13,90	0,13	5,72	0,13	7,44	0,13	6,48	0,13	7,11	0,13	8,07	0,13	6,04	0,13	8,36	0,13	4,94	0,13	7,98	0,13	9,45	0,13	8,79	0,13	6,98	0,13	6,81	0,13	4,93	0,13	10,66	0,13	8,81	0,13	8,79	0,13	8,96	0,13	10,51	0,13	9,52	0,13	9,89	0,13	9,10
7,01	9,22	4,80	0,15	6,31	0,15	6,15	0,15	7,76	0,15	5,10	0,15	9,20	0,15	6,72	0,15	4,54	0,15	5,31	0,15	13,87	0,15	5,73	0,15	7,42	0,15	6,48	0,15	7,11	0,15	8,06	0,15	6,04	0,15	8,36	0,15	4,94	0,15	7,98	0,15	9,45	0,15	8,79	0,15	6,99	0,15	6,81	0,15	4,94	0,15	10,68	0,15	8,82	0,15	8,79	0,15	8,96	0,15	10,50	0,15	9,53	0,15	9,90	0,15	9,12
