Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,36	4,89	3,83	0,00	3,39	0,00	4,27	0,00	3,75	0,00	2,70	0,00	5,63	0,00	4,45	0,00	3,76	0,00	4,14	0,00	9,61	0,00	5,97	0,00	5,57	0,00	5,82	0,00	5,86	0,00	5,82	0,00	5,56	0,00	5,26	0,00	3,87	0,00	4,79	0,00	5,23	0,00	5,12	0,00	6,05	0,00	5,33	0,00	3,48	0,00	4,52	0,00	4,25	0,00	6,28	0,00	4,81	0,00	4,46	0,00	6,07	0,00	4,75	0,00	3,65
4,36	4,89	3,83	0,02	3,39	0,02	4,27	0,02	3,76	0,02	2,70	0,02	5,63	0,02	4,45	0,02	3,76	0,02	4,14	0,02	9,60	0,02	5,97	0,02	5,57	0,02	5,82	0,02	5,86	0,02	5,82	0,02	5,56	0,02	5,26	0,02	3,87	0,02	4,79	0,02	5,22	0,02	5,12	0,02	6,05	0,02	5,33	0,02	3,48	0,02	4,52	0,02	4,25	0,02	6,28	0,02	4,81	0,02	4,46	0,02	6,07	0,02	4,75	0,02	3,65
4,36	4,89	3,83	0,03	3,39	0,03	4,27	0,03	3,77	0,03	2,69	0,03	5,63	0,03	4,45	0,03	3,76	0,03	4,14	0,03	9,60	0,03	5,97	0,03	5,57	0,03	5,82	0,03	5,85	0,03	5,82	0,03	5,56	0,03	5,26	0,03	3,87	0,03	4,79	0,03	5,22	0,03	5,12	0,03	6,05	0,03	5,33	0,03	3,48	0,03	4,52	0,03	4,25	0,03	6,28	0,03	4,81	0,03	4,46	0,03	6,07	0,03	4,75	0,03	3,65
4,36	4,89	3,83	0,05	3,39	0,05	4,28	0,05	3,79	0,05	2,69	0,05	5,63	0,05	4,45	0,05	3,76	0,05	4,14	0,05	9,59	0,05	5,97	0,05	5,57	0,05	5,82	0,05	5,85	0,05	5,82	0,05	5,56	0,05	5,26	0,05	3,87	0,05	4,79	0,05	5,22	0,05	5,11	0,05	6,05	0,05	5,33	0,05	3,48	0,05	4,52	0,05	4,25	0,05	6,28	0,05	4,81	0,05	4,46	0,05	6,07	0,05	4,75	0,05	3,65
4,36	4,89	3,83	0,07	3,39	0,07	4,28	0,07	3,81	0,07	2,69	0,07	5,63	0,07	4,45	0,07	3,76	0,07	4,14	0,07	9,58	0,07	5,97	0,07	5,57	0,07	5,82	0,07	5,85	0,07	5,82	0,07	5,56	0,07	5,26	0,07	3,87	0,07	4,79	0,07	5,22	0,07	5,11	0,07	6,05	0,07	5,32	0,07	3,48	0,07	4,52	0,07	4,25	0,07	6,27	0,07	4,81	0,07	4,46	0,07	6,07	0,07	4,75	0,07	3,65
4,36	4,89	3,83	0,08	3,39	0,08	4,30	0,08	3,83	0,08	2,69	0,08	5,62	0,08	4,45	0,08	3,76	0,08	4,14	0,08	9,57	0,08	5,97	0,08	5,57	0,08	5,82	0,08	5,85	0,08	5,82	0,08	5,55	0,08	5,26	0,08	3,87	0,08	4,78	0,08	5,22	0,08	5,11	0,08	6,05	0,08	5,32	0,08	3,48	0,08	4,52	0,08	4,24	0,08	6,27	0,08	4,81	0,08	4,46	0,08	6,07	0,08	4,75	0,08	3,65
4,36	4,89	3,83	0,10	3,39	0,10	4,31	0,10	3,84	0,10	2,69	0,10	5,61	0,10	4,45	0,10	3,76	0,10	4,14	0,10	9,56	0,10	5,97	0,10	5,57	0,10	5,81	0,10	5,84	0,10	5,82	0,10	5,55	0,10	5,26	0,10	3,87	0,10	4,78	0,10	5,22	0,10	5,11	0,10	6,04	0,10	5,32	0,10	3,48	0,10	4,52	0,10	4,24	0,10	6,27	0,10	4,81	0,10	4,46	0,10	6,07	0,10	4,75	0,10	3,65
4,36	4,89	3,83	0,12	3,39	0,12	4,32	0,12	3,86	0,12	2,70	0,12	5,61	0,12	4,45	0,12	3,76	0,12	4,14	0,12	9,55	0,12	5,97	0,12	5,57	0,12	5,81	0,12	5,84	0,12	5,81	0,12	5,55	0,12	5,25	0,12	3,87	0,12	4,78	0,12	5,22	0,12	5,11	0,12	6,04	0,12	5,32	0,12	3,48	0,12	4,52	0,12	4,24	0,12	6,27	0,12	4,81	0,12	4,46	0,12	6,07	0,12	4,74	0,12	3,65
4,36	4,89	3,82	0,13	3,41	0,13	4,34	0,13	3,87	0,13	2,71	0,13	5,60	0,13	4,45	0,13	3,76	0,13	4,14	0,13	9,53	0,13	5,97	0,13	5,57	0,13	5,81	0,13	5,83	0,13	5,81	0,13	5,55	0,13	5,25	0,13	3,86	0,13	4,78	0,13	5,22	0,13	5,11	0,13	6,04	0,13	5,31	0,13	3,48	0,13	4,52	0,13	4,23	0,13	6,27	0,13	4,81	0,13	4,46	0,13	6,08	0,13	4,74	0,13	3,65
4,35	4,88	3,82	0,15	3,43	0,15	4,35	0,15	3,88	0,15	2,72	0,15	5,60	0,15	4,44	0,15	3,76	0,15	4,14	0,15	9,52	0,15	5,97	0,15	5,57	0,15	5,81	0,15	5,83	0,15	5,80	0,15	5,55	0,15	5,25	0,15	3,86	0,15	4,77	0,15	5,22	0,15	5,11	0,15	6,03	0,15	5,31	0,15	3,48	0,15	4,52	0,15	4,23	0,15	6,27	0,15	4,81	0,15	4,45	0,15	6,08	0,15	4,74	0,15	3,65
