Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,06	7,72	4,40	0,00	5,70	0,00	6,53	0,00	6,46	0,00	5,46	0,00	8,18	0,00	5,77	0,00	3,92	0,00	4,38	0,00	11,68	0,00	5,14	0,00	5,22	0,00	5,90	0,00	4,61	0,00	6,20	0,00	4,76	0,00	5,98	0,00	-999,0	0,00	6,61	0,00	8,97	0,00	9,33	0,00	6,73	0,00	6,88	0,00	4,96	0,00	6,99	0,00	5,98	0,00	6,92	0,00	6,91	0,00	8,58	0,00	8,13	0,00	8,18	0,00	5,98
6,06	7,72	4,40	0,02	5,70	0,02	6,53	0,02	6,46	0,02	5,46	0,02	8,18	0,02	5,77	0,02	3,92	0,02	4,38	0,02	11,68	0,02	5,14	0,02	5,22	0,02	5,90	0,02	4,61	0,02	6,20	0,02	4,76	0,02	5,98	0,02	-999,0	0,02	6,61	0,02	8,97	0,02	9,33	0,02	6,73	0,02	6,88	0,02	4,96	0,02	6,99	0,02	5,98	0,02	6,92	0,02	6,91	0,02	8,58	0,02	8,13	0,02	8,18	0,02	5,98
6,06	7,72	4,40	0,03	5,71	0,03	6,53	0,03	6,46	0,03	5,46	0,03	8,18	0,03	5,76	0,03	3,92	0,03	4,38	0,03	11,68	0,03	5,14	0,03	5,22	0,03	5,90	0,03	4,61	0,03	6,20	0,03	4,76	0,03	5,98	0,03	-999,0	0,03	6,61	0,03	8,97	0,03	9,33	0,03	6,73	0,03	6,88	0,03	4,96	0,03	6,99	0,03	5,98	0,03	6,92	0,03	6,91	0,03	8,58	0,03	8,14	0,03	8,18	0,03	5,98
6,06	7,72	4,40	0,05	5,72	0,05	6,54	0,05	6,45	0,05	5,46	0,05	8,19	0,05	5,75	0,05	3,92	0,05	4,38	0,05	11,67	0,05	5,14	0,05	5,22	0,05	5,90	0,05	4,61	0,05	6,20	0,05	4,76	0,05	5,98	0,05	-999,0	0,05	6,61	0,05	8,97	0,05	9,33	0,05	6,74	0,05	6,88	0,05	4,96	0,05	6,99	0,05	5,98	0,05	6,93	0,05	6,91	0,05	8,58	0,05	8,14	0,05	8,18	0,05	5,99
6,05	7,71	4,40	0,07	5,73	0,07	6,55	0,07	6,46	0,07	5,46	0,07	8,19	0,07	5,74	0,07	3,92	0,07	4,38	0,07	11,66	0,07	5,14	0,07	5,22	0,07	5,90	0,07	4,61	0,07	6,19	0,07	4,76	0,07	5,98	0,07	-999,0	0,07	6,61	0,07	8,97	0,07	9,33	0,07	6,74	0,07	6,88	0,07	4,96	0,07	6,99	0,07	5,98	0,07	6,94	0,07	6,91	0,07	8,57	0,07	8,14	0,07	8,18	0,07	5,99
6,05	7,71	4,39	0,08	5,74	0,08	6,56	0,08	6,46	0,08	5,46	0,08	8,19	0,08	5,74	0,08	3,91	0,08	4,38	0,08	11,65	0,08	5,14	0,08	5,21	0,08	5,90	0,08	4,61	0,08	6,19	0,08	4,76	0,08	5,97	0,08	-999,0	0,08	6,61	0,08	8,98	0,08	9,33	0,08	6,74	0,08	6,87	0,08	4,96	0,08	6,98	0,08	5,97	0,08	6,95	0,08	6,92	0,08	8,57	0,08	8,15	0,08	8,18	0,08	5,99
6,04	7,70	4,39	0,10	5,74	0,10	6,57	0,10	6,46	0,10	5,46	0,10	8,19	0,10	5,73	0,10	3,91	0,10	4,37	0,10	11,63	0,10	5,14	0,10	5,21	0,10	5,90	0,10	4,61	0,10	6,18	0,10	4,76	0,10	5,97	0,10	-999,0	0,10	6,61	0,10	8,98	0,10	9,33	0,10	6,74	0,10	6,87	0,10	4,96	0,10	6,98	0,10	5,97	0,10	6,96	0,10	6,92	0,10	8,56	0,10	8,15	0,10	8,19	0,10	5,99
6,04	7,70	4,37	0,12	5,75	0,12	6,58	0,12	6,46	0,12	5,47	0,12	8,18	0,12	5,72	0,12	3,90	0,12	4,37	0,12	11,62	0,12	5,15	0,12	5,21	0,12	5,90	0,12	4,61	0,12	6,17	0,12	4,75	0,12	5,96	0,12	-999,0	0,12	6,62	0,12	8,98	0,12	9,32	0,12	6,74	0,12	6,87	0,12	4,95	0,12	6,98	0,12	5,98	0,12	6,97	0,12	6,92	0,12	8,56	0,12	8,16	0,12	8,19	0,12	6,00
6,04	7,70	4,37	0,13	5,76	0,13	6,59	0,13	6,47	0,13	5,47	0,13	8,17	0,13	5,72	0,13	3,90	0,13	4,36	0,13	11,60	0,13	5,15	0,13	5,21	0,13	5,90	0,13	4,61	0,13	6,15	0,13	4,75	0,13	5,96	0,13	-999,0	0,13	6,62	0,13	8,98	0,13	9,32	0,13	6,74	0,13	6,86	0,13	4,95	0,13	6,98	0,13	5,99	0,13	6,98	0,13	6,92	0,13	8,56	0,13	8,16	0,13	8,19	0,13	6,00
6,03	7,70	4,37	0,15	5,77	0,15	6,60	0,15	6,47	0,15	5,47	0,15	8,17	0,15	5,71	0,15	3,90	0,15	4,35	0,15	11,59	0,15	5,15	0,15	5,20	0,15	5,90	0,15	4,61	0,15	6,14	0,15	4,75	0,15	5,95	0,15	-999,0	0,15	6,62	0,15	8,98	0,15	9,32	0,15	6,74	0,15	6,86	0,15	4,95	0,15	6,97	0,15	5,99	0,15	6,99	0,15	6,92	0,15	8,57	0,15	8,17	0,15	8,19	0,15	6,01
