Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,16	8,04	6,29	0,00	6,00	0,00	6,83	0,00	6,74	0,00	-999,0	0,00	8,42	0,00	7,41	0,00	6,17	0,00	6,10	0,00	10,80	0,00	6,69	0,00	6,19	0,00	7,02	0,00	-999,0	0,00	5,86	0,00	5,59	0,00	6,86	0,00	6,65	0,00	6,77	0,00	8,57	0,00	-999,0	0,00	7,28	0,00	7,60	0,00	6,44	0,00	7,44	0,00	7,15	0,00	8,12	0,00	8,54	0,00	8,72	0,00	7,34	0,00	7,85	0,00	7,46
7,16	8,04	6,29	0,02	6,00	0,02	6,83	0,02	6,74	0,02	-999,0	0,02	8,42	0,02	7,42	0,02	6,17	0,02	6,10	0,02	10,80	0,02	6,69	0,02	6,19	0,02	7,02	0,02	-999,0	0,02	5,86	0,02	5,59	0,02	6,86	0,02	6,65	0,02	6,77	0,02	8,57	0,02	-999,0	0,02	7,28	0,02	7,60	0,02	6,44	0,02	7,44	0,02	7,15	0,02	8,12	0,02	8,54	0,02	8,72	0,02	7,35	0,02	7,85	0,02	7,46
7,16	8,04	6,29	0,03	6,00	0,03	6,83	0,03	6,74	0,03	-999,0	0,03	8,41	0,03	7,42	0,03	6,17	0,03	6,10	0,03	-999,0	0,03	6,69	0,03	6,19	0,03	7,02	0,03	-999,0	0,03	-999,0	0,03	5,60	0,03	6,86	0,03	6,65	0,03	6,77	0,03	8,57	0,03	-999,0	0,03	7,28	0,03	7,60	0,03	6,44	0,03	7,44	0,03	7,15	0,03	8,12	0,03	8,54	0,03	8,72	0,03	7,35	0,03	7,85	0,03	7,46
7,16	8,03	6,29	0,05	6,00	0,05	6,83	0,05	6,74	0,05	-999,0	0,05	8,41	0,05	7,42	0,05	6,17	0,05	6,10	0,05	-999,0	0,05	6,69	0,05	6,19	0,05	7,02	0,05	-999,0	0,05	-999,0	0,05	5,60	0,05	6,86	0,05	6,65	0,05	6,77	0,05	8,57	0,05	-999,0	0,05	7,28	0,05	7,60	0,05	6,44	0,05	7,44	0,05	7,15	0,05	8,12	0,05	8,54	0,05	8,71	0,05	7,35	0,05	7,85	0,05	7,46
7,16	8,03	6,29	0,07	6,00	0,07	6,83	0,07	6,75	0,07	-999,0	0,07	8,41	0,07	7,42	0,07	6,17	0,07	6,10	0,07	-999,0	0,07	6,69	0,07	6,19	0,07	7,02	0,07	-999,0	0,07	-999,0	0,07	5,60	0,07	6,86	0,07	6,65	0,07	6,77	0,07	8,57	0,07	-999,0	0,07	7,28	0,07	7,60	0,07	6,44	0,07	7,44	0,07	7,15	0,07	8,12	0,07	8,54	0,07	8,71	0,07	7,36	0,07	7,85	0,07	7,46
7,16	8,03	6,29	0,08	6,01	0,08	6,83	0,08	6,75	0,08	-999,0	0,08	8,41	0,08	7,42	0,08	6,17	0,08	6,10	0,08	-999,0	0,08	6,69	0,08	6,19	0,08	7,02	0,08	-999,0	0,08	-999,0	0,08	5,61	0,08	6,86	0,08	6,64	0,08	6,77	0,08	8,57	0,08	-999,0	0,08	7,27	0,08	7,59	0,08	6,44	0,08	7,44	0,08	7,15	0,08	8,12	0,08	8,53	0,08	8,71	0,08	7,36	0,08	7,86	0,08	7,46
7,16	8,04	6,29	0,10	6,01	0,10	6,83	0,10	6,75	0,10	-999,0	0,10	8,40	0,10	7,42	0,10	6,17	0,10	6,10	0,10	-999,0	0,10	6,70	0,10	6,19	0,10	7,02	0,10	-999,0	0,10	-999,0	0,10	5,61	0,10	6,86	0,10	6,64	0,10	6,77	0,10	8,57	0,10	-999,0	0,10	7,27	0,10	7,59	0,10	6,44	0,10	7,44	0,10	7,15	0,10	8,12	0,10	8,53	0,10	8,72	0,10	7,36	0,10	7,87	0,10	7,46
7,16	8,04	6,29	0,12	6,01	0,12	6,83	0,12	6,75	0,12	-999,0	0,12	8,39	0,12	7,42	0,12	6,17	0,12	6,10	0,12	-999,0	0,12	6,70	0,12	6,19	0,12	7,03	0,12	-999,0	0,12	-999,0	0,12	5,61	0,12	6,86	0,12	6,64	0,12	6,77	0,12	8,57	0,12	-999,0	0,12	7,27	0,12	7,59	0,12	6,44	0,12	7,44	0,12	7,15	0,12	8,12	0,12	8,52	0,12	8,72	0,12	7,37	0,12	7,88	0,12	7,46
7,16	8,04	6,29	0,13	6,02	0,13	6,83	0,13	6,76	0,13	-999,0	0,13	8,38	0,13	7,42	0,13	6,17	0,13	6,09	0,13	-999,0	0,13	6,70	0,13	6,19	0,13	7,03	0,13	-999,0	0,13	-999,0	0,13	5,62	0,13	6,86	0,13	6,64	0,13	6,77	0,13	8,57	0,13	-999,0	0,13	7,27	0,13	7,58	0,13	6,44	0,13	7,44	0,13	7,15	0,13	8,11	0,13	8,52	0,13	8,72	0,13	7,37	0,13	7,90	0,13	7,45
7,16	8,04	6,28	0,15	6,02	0,15	6,83	0,15	6,76	0,15	-999,0	0,15	8,37	0,15	7,43	0,15	6,17	0,15	6,09	0,15	-999,0	0,15	6,70	0,15	6,20	0,15	7,03	0,15	-999,0	0,15	-999,0	0,15	5,62	0,15	6,86	0,15	6,63	0,15	6,77	0,15	8,56	0,15	-999,0	0,15	7,27	0,15	7,58	0,15	6,44	0,15	7,44	0,15	7,15	0,15	8,11	0,15	8,51	0,15	8,72	0,15	7,37	0,15	7,91	0,15	7,44
