Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,80	7,37	4,23	0,00	5,07	0,00	-999,0	0,00	6,62	0,00	5,12	0,00	8,09	0,00	5,26	0,00	4,21	0,00	4,66	0,00	11,54	0,00	5,18	0,00	5,22	0,00	5,81	0,00	4,96	0,00	6,15	0,00	4,30	0,00	6,15	0,00	4,72	0,00	5,74	0,00	7,24	0,00	7,67	0,00	6,07	0,00	5,92	0,00	4,69	0,00	6,92	0,00	5,89	0,00	6,71	0,00	6,88	0,00	8,67	0,00	7,99	0,00	7,05	0,00	8,88
5,80	7,37	4,23	0,02	5,08	0,02	-999,0	0,02	6,62	0,02	5,12	0,02	8,09	0,02	5,26	0,02	4,21	0,02	4,66	0,02	11,54	0,02	5,18	0,02	5,22	0,02	5,81	0,02	4,96	0,02	6,15	0,02	4,30	0,02	6,15	0,02	4,72	0,02	5,74	0,02	7,24	0,02	7,67	0,02	6,07	0,02	5,92	0,02	4,68	0,02	6,92	0,02	5,89	0,02	6,71	0,02	6,88	0,02	8,67	0,02	8,00	0,02	7,05	0,02	8,88
5,80	7,37	4,23	0,03	5,09	0,03	-999,0	0,03	6,62	0,03	5,12	0,03	8,10	0,03	5,26	0,03	4,20	0,03	4,66	0,03	11,53	0,03	5,18	0,03	5,22	0,03	5,81	0,03	4,96	0,03	6,15	0,03	4,30	0,03	6,15	0,03	4,72	0,03	5,74	0,03	7,24	0,03	7,67	0,03	6,07	0,03	5,92	0,03	4,68	0,03	6,92	0,03	5,89	0,03	6,72	0,03	6,88	0,03	8,67	0,03	8,00	0,03	7,05	0,03	8,88
5,80	7,37	4,23	0,05	5,10	0,05	-999,0	0,05	6,62	0,05	5,12	0,05	8,10	0,05	5,26	0,05	4,20	0,05	4,66	0,05	11,53	0,05	5,18	0,05	5,22	0,05	5,81	0,05	4,96	0,05	6,15	0,05	4,31	0,05	6,15	0,05	4,72	0,05	5,74	0,05	7,24	0,05	7,67	0,05	6,07	0,05	5,92	0,05	4,68	0,05	6,92	0,05	5,89	0,05	6,73	0,05	6,88	0,05	8,67	0,05	8,00	0,05	7,05	0,05	8,88
5,79	7,37	4,22	0,07	5,11	0,07	-999,0	0,07	6,62	0,07	5,12	0,07	8,10	0,07	5,25	0,07	4,19	0,07	4,66	0,07	11,52	0,07	5,18	0,07	5,22	0,07	5,81	0,07	4,96	0,07	6,14	0,07	4,31	0,07	6,14	0,07	4,72	0,07	5,75	0,07	7,25	0,07	7,67	0,07	6,07	0,07	5,92	0,07	4,68	0,07	6,92	0,07	5,88	0,07	6,74	0,07	6,87	0,07	8,67	0,07	8,00	0,07	7,05	0,07	8,88
5,79	7,36	4,22	0,08	5,12	0,08	-999,0	0,08	6,62	0,08	5,12	0,08	8,11	0,08	5,25	0,08	4,18	0,08	4,66	0,08	11,51	0,08	5,18	0,08	5,22	0,08	5,81	0,08	4,96	0,08	6,14	0,08	4,32	0,08	6,14	0,08	4,72	0,08	5,75	0,08	7,25	0,08	7,67	0,08	6,06	0,08	5,91	0,08	4,68	0,08	6,92	0,08	5,89	0,08	6,74	0,08	6,88	0,08	8,66	0,08	8,00	0,08	7,05	0,08	8,87
5,79	7,36	4,21	0,10	5,13	0,10	-999,0	0,10	6,62	0,10	5,12	0,10	8,11	0,10	5,25	0,10	4,17	0,10	4,65	0,10	11,49	0,10	5,18	0,10	5,22	0,10	5,81	0,10	4,96	0,10	6,13	0,10	4,32	0,10	6,14	0,10	4,72	0,10	5,75	0,10	7,25	0,10	7,67	0,10	6,06	0,10	5,91	0,10	4,68	0,10	6,91	0,10	5,90	0,10	6,75	0,10	6,88	0,10	8,66	0,10	8,01	0,10	7,05	0,10	8,85
5,78	7,35	4,21	0,12	5,14	0,12	-999,0	0,12	6,61	0,12	5,12	0,12	8,10	0,12	5,24	0,12	4,16	0,12	4,64	0,12	11,48	0,12	5,18	0,12	5,21	0,12	5,81	0,12	4,96	0,12	6,12	0,12	4,33	0,12	6,13	0,12	4,72	0,12	5,75	0,12	7,26	0,12	7,67	0,12	6,06	0,12	5,91	0,12	4,68	0,12	6,91	0,12	5,90	0,12	6,76	0,12	6,89	0,12	8,65	0,12	8,01	0,12	7,06	0,12	8,83
5,78	7,35	4,20	0,13	5,16	0,13	-999,0	0,13	6,61	0,13	5,12	0,13	8,09	0,13	5,24	0,13	4,15	0,13	4,63	0,13	11,46	0,13	5,19	0,13	5,21	0,13	5,81	0,13	4,96	0,13	6,11	0,13	4,34	0,13	6,13	0,13	4,72	0,13	5,76	0,13	7,26	0,13	7,67	0,13	6,06	0,13	5,90	0,13	4,68	0,13	6,91	0,13	5,91	0,13	6,77	0,13	6,89	0,13	8,64	0,13	8,02	0,13	7,06	0,13	8,82
5,77	7,35	4,20	0,15	5,17	0,15	-999,0	0,15	6,62	0,15	5,12	0,15	8,08	0,15	5,24	0,15	4,14	0,15	4,62	0,15	11,44	0,15	5,19	0,15	5,21	0,15	5,81	0,15	4,96	0,15	6,10	0,15	4,34	0,15	6,12	0,15	4,72	0,15	5,76	0,15	7,27	0,15	7,66	0,15	6,06	0,15	5,89	0,15	4,68	0,15	6,91	0,15	5,91	0,15	6,78	0,15	6,90	0,15	8,65	0,15	8,02	0,15	7,06	0,15	8,80
