Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,83	8,45	5,20	0,00	12,09	0,00	9,50	0,00	10,44	0,00	7,88	0,00	13,65	0,00	8,18	0,00	6,98	0,00	6,48	0,00	14,39	0,00	7,59	0,00	8,94	0,00	-999,0	0,00	7,81	0,00	8,82	0,00	6,15	0,00	6,68	0,00	3,86	0,00	7,91	0,00	14,80	0,00	13,84	0,00	8,98	0,00	7,58	0,00	7,01	0,00	10,21	0,00	8,47	0,00	9,17	0,00	9,55	0,00	8,43	0,00	9,36	0,00	9,53	0,00	9,45
6,83	8,45	5,20	0,02	12,09	0,02	9,50	0,02	10,44	0,02	7,88	0,02	13,65	0,02	8,18	0,02	6,98	0,02	6,48	0,02	14,36	0,02	7,59	0,02	8,94	0,02	-999,0	0,02	7,81	0,02	8,82	0,02	6,15	0,02	6,68	0,02	3,86	0,02	7,91	0,02	14,80	0,02	13,84	0,02	8,98	0,02	7,58	0,02	7,01	0,02	10,21	0,02	8,47	0,02	9,17	0,02	9,55	0,02	8,43	0,02	9,37	0,02	9,53	0,02	9,45
6,83	8,45	5,20	0,03	12,09	0,03	9,50	0,03	10,45	0,03	7,88	0,03	13,65	0,03	8,18	0,03	6,98	0,03	6,48	0,03	14,33	0,03	7,59	0,03	8,94	0,03	-999,0	0,03	7,81	0,03	8,82	0,03	6,15	0,03	6,68	0,03	3,86	0,03	7,91	0,03	14,81	0,03	13,84	0,03	8,98	0,03	7,58	0,03	7,01	0,03	10,21	0,03	8,47	0,03	9,17	0,03	9,55	0,03	8,43	0,03	9,37	0,03	9,53	0,03	9,45
6,83	8,45	5,20	0,05	12,09	0,05	9,50	0,05	10,44	0,05	7,88	0,05	13,65	0,05	8,18	0,05	6,98	0,05	6,49	0,05	14,30	0,05	7,59	0,05	8,93	0,05	-999,0	0,05	7,81	0,05	8,81	0,05	6,15	0,05	6,68	0,05	3,86	0,05	7,92	0,05	14,81	0,05	13,84	0,05	8,98	0,05	7,57	0,05	7,02	0,05	10,22	0,05	8,47	0,05	9,17	0,05	9,56	0,05	8,43	0,05	9,38	0,05	9,53	0,05	9,46
6,83	8,46	5,20	0,07	12,10	0,07	9,50	0,07	10,43	0,07	7,88	0,07	13,66	0,07	8,18	0,07	6,99	0,07	6,50	0,07	14,27	0,07	7,59	0,07	8,93	0,07	-999,0	0,07	7,81	0,07	8,80	0,07	6,15	0,07	6,68	0,07	3,86	0,07	7,92	0,07	14,81	0,07	13,83	0,07	8,98	0,07	7,57	0,07	7,03	0,07	10,24	0,07	8,47	0,07	9,17	0,07	9,56	0,07	8,43	0,07	9,40	0,07	9,53	0,07	9,47
6,82	8,45	5,20	0,08	12,10	0,08	9,50	0,08	10,43	0,08	7,87	0,08	13,66	0,08	8,17	0,08	6,99	0,08	6,47	0,08	14,23	0,08	7,58	0,08	8,92	0,08	-999,0	0,08	7,80	0,08	8,79	0,08	6,14	0,08	6,67	0,08	3,86	0,08	7,93	0,08	14,82	0,08	13,83	0,08	8,98	0,08	7,58	0,08	7,04	0,08	10,26	0,08	8,48	0,08	9,17	0,08	9,58	0,08	8,42	0,08	9,42	0,08	9,53	0,08	9,48
6,82	8,45	5,20	0,10	12,11	0,10	9,49	0,10	10,42	0,10	7,87	0,10	13,67	0,10	8,17	0,10	6,99	0,10	6,45	0,10	14,20	0,10	7,57	0,10	8,92	0,10	-999,0	0,10	7,80	0,10	8,78	0,10	6,14	0,10	6,67	0,10	3,86	0,10	7,93	0,10	14,82	0,10	13,83	0,10	8,98	0,10	7,58	0,10	7,05	0,10	10,27	0,10	8,48	0,10	9,17	0,10	9,59	0,10	8,42	0,10	9,44	0,10	9,54	0,10	9,49
6,82	8,44	5,20	0,12	12,12	0,12	9,48	0,12	10,41	0,12	7,87	0,12	13,67	0,12	8,17	0,12	6,99	0,12	6,43	0,12	14,16	0,12	7,56	0,12	8,91	0,12	-999,0	0,12	7,80	0,12	8,77	0,12	6,14	0,12	6,67	0,12	3,87	0,12	7,94	0,12	14,83	0,12	13,82	0,12	8,98	0,12	7,58	0,12	7,06	0,12	10,30	0,12	8,49	0,12	9,16	0,12	9,61	0,12	8,42	0,12	9,46	0,12	9,54	0,12	9,51
6,82	8,44	5,20	0,13	12,13	0,13	9,47	0,13	10,41	0,13	7,87	0,13	13,66	0,13	8,17	0,13	6,99	0,13	6,41	0,13	14,12	0,13	7,55	0,13	8,90	0,13	-999,0	0,13	7,79	0,13	8,76	0,13	6,13	0,13	6,66	0,13	3,87	0,13	7,94	0,13	14,84	0,13	13,81	0,13	8,98	0,13	7,59	0,13	7,07	0,13	10,32	0,13	8,50	0,13	9,16	0,13	9,63	0,13	8,41	0,13	9,49	0,13	9,54	0,13	9,53
6,82	8,44	5,20	0,15	12,14	0,15	9,46	0,15	10,40	0,15	7,87	0,15	13,66	0,15	8,17	0,15	6,98	0,15	6,39	0,15	14,08	0,15	7,55	0,15	8,87	0,15	-999,0	0,15	7,79	0,15	8,74	0,15	6,13	0,15	6,65	0,15	3,87	0,15	7,95	0,15	14,84	0,15	13,81	0,15	8,98	0,15	7,59	0,15	7,08	0,15	10,34	0,15	8,51	0,15	9,16	0,15	9,65	0,15	8,41	0,15	9,53	0,15	9,54	0,15	9,55
