Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,63	7,82	5,44	0,00	7,66	0,00	7,45	0,00	7,17	0,00	6,17	0,00	9,24	0,00	7,19	0,00	5,87	0,00	5,36	0,00	10,30	0,00	5,86	0,00	-999,0	0,00	6,99	0,00	5,17	0,00	6,62	0,00	5,01	0,00	5,96	0,00	5,42	0,00	-999,0	0,00	8,56	0,00	9,18	0,00	7,63	0,00	7,19	0,00	5,91	0,00	5,78	0,00	6,24	0,00	6,88	0,00	7,75	0,00	8,70	0,00	8,48	0,00	7,16	0,00	6,59
6,63	7,82	5,44	0,02	7,66	0,02	7,45	0,02	7,17	0,02	6,17	0,02	9,25	0,02	7,19	0,02	5,87	0,02	5,36	0,02	10,30	0,02	5,87	0,02	-999,0	0,02	6,99	0,02	5,17	0,02	6,62	0,02	5,01	0,02	5,96	0,02	5,42	0,02	-999,0	0,02	8,56	0,02	9,18	0,02	7,63	0,02	7,19	0,02	5,91	0,02	5,78	0,02	6,24	0,02	6,88	0,02	7,75	0,02	8,70	0,02	8,48	0,02	7,16	0,02	6,59
6,63	7,82	5,44	0,03	7,67	0,03	7,45	0,03	7,16	0,03	6,17	0,03	9,25	0,03	7,18	0,03	5,87	0,03	5,36	0,03	10,29	0,03	5,87	0,03	-999,0	0,03	6,99	0,03	5,17	0,03	6,61	0,03	5,01	0,03	5,96	0,03	5,42	0,03	-999,0	0,03	8,56	0,03	9,18	0,03	7,63	0,03	7,18	0,03	5,91	0,03	5,78	0,03	6,24	0,03	6,88	0,03	7,75	0,03	8,70	0,03	8,48	0,03	7,16	0,03	6,59
6,62	7,81	5,44	0,05	7,68	0,05	7,46	0,05	7,16	0,05	6,17	0,05	9,25	0,05	7,18	0,05	5,87	0,05	5,36	0,05	10,29	0,05	5,87	0,05	-999,0	0,05	7,00	0,05	5,17	0,05	6,61	0,05	5,01	0,05	5,96	0,05	5,42	0,05	-999,0	0,05	8,56	0,05	9,17	0,05	7,62	0,05	7,18	0,05	5,91	0,05	5,78	0,05	6,23	0,05	6,88	0,05	7,76	0,05	8,69	0,05	8,48	0,05	7,16	0,05	6,59
6,62	7,81	5,43	0,07	7,70	0,07	7,46	0,07	7,16	0,07	6,17	0,07	9,24	0,07	7,17	0,07	5,87	0,07	5,36	0,07	10,29	0,07	5,87	0,07	-999,0	0,07	7,00	0,07	5,17	0,07	6,60	0,07	5,01	0,07	5,95	0,07	5,42	0,07	-999,0	0,07	8,57	0,07	9,17	0,07	7,61	0,07	7,18	0,07	5,91	0,07	5,78	0,07	6,23	0,07	6,88	0,07	7,77	0,07	8,69	0,07	8,48	0,07	7,16	0,07	6,60
6,62	7,80	5,43	0,08	7,71	0,08	7,47	0,08	7,15	0,08	6,17	0,08	9,23	0,08	7,16	0,08	5,87	0,08	5,36	0,08	10,28	0,08	5,87	0,08	-999,0	0,08	7,00	0,08	5,17	0,08	6,59	0,08	5,01	0,08	5,95	0,08	5,42	0,08	-999,0	0,08	8,57	0,08	9,16	0,08	7,60	0,08	7,18	0,08	5,90	0,08	5,78	0,08	6,23	0,08	6,88	0,08	7,77	0,08	8,68	0,08	8,49	0,08	7,16	0,08	6,60
6,61	7,79	5,43	0,10	7,73	0,10	7,47	0,10	7,15	0,10	6,17	0,10	9,23	0,10	7,15	0,10	5,86	0,10	5,36	0,10	10,28	0,10	5,87	0,10	-999,0	0,10	7,00	0,10	5,17	0,10	6,58	0,10	5,00	0,10	5,95	0,10	5,42	0,10	-999,0	0,10	8,57	0,10	9,16	0,10	7,59	0,10	7,17	0,10	5,90	0,10	5,78	0,10	6,23	0,10	6,89	0,10	7,77	0,10	8,68	0,10	8,49	0,10	7,16	0,10	6,60
6,61	7,79	5,42	0,12	7,74	0,12	7,47	0,12	7,15	0,12	6,17	0,12	9,22	0,12	7,14	0,12	5,85	0,12	5,36	0,12	10,27	0,12	5,87	0,12	-999,0	0,12	7,01	0,12	5,17	0,12	6,57	0,12	5,00	0,12	5,94	0,12	5,42	0,12	-999,0	0,12	8,58	0,12	9,15	0,12	7,57	0,12	7,16	0,12	5,90	0,12	5,78	0,12	6,23	0,12	6,90	0,12	7,78	0,12	8,68	0,12	8,49	0,12	7,15	0,12	6,60
6,60	7,78	5,42	0,13	7,76	0,13	7,47	0,13	7,15	0,13	6,17	0,13	9,21	0,13	7,13	0,13	5,83	0,13	5,36	0,13	10,26	0,13	5,87	0,13	-999,0	0,13	7,01	0,13	5,17	0,13	6,55	0,13	4,99	0,13	5,94	0,13	5,42	0,13	-999,0	0,13	8,58	0,13	9,15	0,13	7,56	0,13	7,15	0,13	5,90	0,13	5,77	0,13	6,22	0,13	6,91	0,13	7,78	0,13	8,67	0,13	8,49	0,13	7,15	0,13	6,60
6,59	7,77	5,41	0,15	7,79	0,15	7,47	0,15	7,15	0,15	6,16	0,15	9,20	0,15	7,13	0,15	5,82	0,15	5,36	0,15	10,24	0,15	5,87	0,15	-999,0	0,15	7,02	0,15	5,17	0,15	6,53	0,15	4,99	0,15	5,93	0,15	5,43	0,15	-999,0	0,15	8,58	0,15	9,14	0,15	7,55	0,15	7,14	0,15	5,90	0,15	5,77	0,15	6,23	0,15	6,92	0,15	7,79	0,15	8,66	0,15	8,50	0,15	7,15	0,15	6,60
6,59	7,76	5,41	0,17	7,80	0,17	7,47	0,17	7,15	0,17	6,16	0,17	9,19	0,17	7,12	0,17	5,81	0,17	5,35	0,17	10,23	0,17	5,87	0,17	-999,0	0,17	7,02	0,17	5,17	0,17	6,51	0,17	4,98	0,17	5,93	0,17	5,43	0,17	-999,0	0,17	8,58	0,17	9,13	0,17	7,54	0,17	7,12	0,17	5,89	0,17	5,77	0,17	6,24	0,17	6,93	0,17	7,79	0,17	8,65	0,17	8,51	0,17	7,14	0,17	6,61
6,58	7,75	5,41	0,18	7,81	0,18	7,47	0,18	7,14	0,18	6,15	0,18	9,18	0,18	7,11	0,18	5,80	0,18	5,34	0,18	10,21	0,18	5,88	0,18	-999,0	0,18	7,03	0,18	5,17	0,18	6,49	0,18	4,97	0,18	5,92	0,18	5,43	0,18	-999,0	0,18	8,58	0,18	9,12	0,18	7,53	0,18	7,11	0,18	5,89	0,18	5,77	0,18	6,25	0,18	6,93	0,18	7,80	0,18	8,64	0,18	8,52	0,18	7,14	0,18	6,61
6,57	7,74	5,40	0,20	7,83	0,20	7,47	0,20	7,13	0,20	6,15	0,20	9,18	0,20	7,10	0,20	5,78	0,20	5,33	0,20	10,19	0,20	5,88	0,20	-999,0	0,20	7,03	0,20	5,16	0,20	6,47	0,20	4,97	0,20	5,91	0,20	5,43	0,20	-999,0	0,20	8,59	0,20	9,12	0,20	7,52	0,20	7,09	0,20	5,88	0,20	5,77	0,20	6,26	0,20	6,94	0,20	7,80	0,20	8,63	0,20	8,53	0,20	7,14	0,20	6,62
6,56	7,73	5,39	0,22	7,85	0,22	7,48	0,22	7,12	0,22	6,15	0,22	9,17	0,22	7,09	0,22	5,77	0,22	5,33	0,22	10,17	0,22	5,88	0,22	-999,0	0,22	7,04	0,22	5,16	0,22	6,44	0,22	4,96	0,22	5,91	0,22	5,43	0,22	-999,0	0,22	8,59	0,22	9,11	0,22	7,50	0,22	7,08	0,22	5,87	0,22	5,77	0,22	6,27	0,22	6,95	0,22	7,80	0,22	8,62	0,22	8,54	0,22	7,13	0,22	6,62
