Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,92	7,58	6,26	0,00	6,39	0,00	6,23	0,00	6,59	0,00	5,71	0,00	7,71	0,00	7,57	0,00	6,15	0,00	5,83	0,00	9,96	0,00	6,27	0,00	5,48	0,00	6,44	0,00	4,71	0,00	6,45	0,00	4,80	0,00	6,77	0,00	6,31	0,00	7,30	0,00	9,93	0,00	8,21	0,00	7,62	0,00	7,64	0,00	5,53	0,00	5,88	0,00	4,95	0,00	6,51	0,00	6,70	0,00	7,79	0,00	6,83	0,00	7,21	0,00	6,17
6,92	7,58	6,26	0,02	6,39	0,02	6,23	0,02	6,59	0,02	5,71	0,02	7,71	0,02	7,57	0,02	6,15	0,02	5,83	0,02	9,96	0,02	6,27	0,02	5,48	0,02	6,44	0,02	4,71	0,02	6,45	0,02	4,80	0,02	6,77	0,02	6,31	0,02	7,30	0,02	9,93	0,02	8,21	0,02	7,62	0,02	7,64	0,02	5,53	0,02	5,88	0,02	4,95	0,02	6,51	0,02	6,70	0,02	7,79	0,02	6,83	0,02	7,21	0,02	6,17
6,92	7,58	6,26	0,03	6,39	0,03	6,23	0,03	6,59	0,03	5,70	0,03	7,71	0,03	7,57	0,03	6,15	0,03	5,83	0,03	9,96	0,03	6,27	0,03	5,48	0,03	6,43	0,03	4,71	0,03	6,44	0,03	4,80	0,03	6,77	0,03	6,31	0,03	7,30	0,03	9,93	0,03	8,19	0,03	7,62	0,03	7,64	0,03	5,53	0,03	5,88	0,03	4,95	0,03	6,51	0,03	6,70	0,03	7,79	0,03	6,83	0,03	7,20	0,03	6,17
6,92	7,58	6,26	0,05	6,39	0,05	6,24	0,05	6,60	0,05	5,69	0,05	7,71	0,05	7,57	0,05	6,15	0,05	5,83	0,05	9,96	0,05	6,27	0,05	5,48	0,05	6,43	0,05	4,71	0,05	6,44	0,05	4,80	0,05	6,77	0,05	6,31	0,05	7,29	0,05	9,93	0,05	8,18	0,05	7,62	0,05	7,64	0,05	5,53	0,05	5,88	0,05	4,95	0,05	6,51	0,05	6,70	0,05	7,79	0,05	6,84	0,05	7,20	0,05	6,17
6,92	7,58	6,26	0,07	6,39	0,07	6,26	0,07	6,61	0,07	5,69	0,07	7,71	0,07	7,57	0,07	6,15	0,07	5,83	0,07	9,95	0,07	6,27	0,07	5,47	0,07	6,43	0,07	4,71	0,07	6,43	0,07	4,80	0,07	6,77	0,07	6,31	0,07	7,29	0,07	9,93	0,07	8,17	0,07	7,60	0,07	7,63	0,07	5,53	0,07	5,88	0,07	4,95	0,07	6,50	0,07	6,70	0,07	7,79	0,07	6,84	0,07	7,20	0,07	6,17
6,92	7,58	6,26	0,08	6,40	0,08	6,27	0,08	6,62	0,08	5,68	0,08	7,70	0,08	7,57	0,08	6,15	0,08	5,83	0,08	9,95	0,08	6,27	0,08	5,47	0,08	6,42	0,08	4,71	0,08	6,42	0,08	4,80	0,08	6,77	0,08	6,31	0,08	7,29	0,08	9,93	0,08	8,15	0,08	7,59	0,08	7,63	0,08	5,52	0,08	5,87	0,08	4,94	0,08	6,50	0,08	6,69	0,08	7,79	0,08	6,85	0,08	7,20	0,08	6,17
6,92	7,58	6,26	0,10	6,40	0,10	6,28	0,10	6,62	0,10	5,67	0,10	7,70	0,10	7,57	0,10	6,15	0,10	5,83	0,10	9,94	0,10	6,27	0,10	5,47	0,10	6,42	0,10	4,71	0,10	6,41	0,10	4,80	0,10	6,77	0,10	6,31	0,10	7,29	0,10	9,91	0,10	8,14	0,10	7,57	0,10	7,63	0,10	5,52	0,10	5,87	0,10	4,94	0,10	6,50	0,10	6,69	0,10	7,79	0,10	6,85	0,10	7,19	0,10	6,17
6,92	7,57	6,26	0,12	6,41	0,12	6,29	0,12	6,62	0,12	5,67	0,12	7,69	0,12	7,57	0,12	6,15	0,12	5,83	0,12	9,93	0,12	6,27	0,12	5,46	0,12	6,41	0,12	4,72	0,12	6,40	0,12	4,80	0,12	6,76	0,12	6,31	0,12	7,29	0,12	9,89	0,12	8,12	0,12	7,55	0,12	7,62	0,12	5,52	0,12	5,87	0,12	4,94	0,12	6,49	0,12	6,69	0,12	7,79	0,12	6,85	0,12	7,19	0,12	6,17
6,91	7,57	6,25	0,13	6,42	0,13	6,30	0,13	6,61	0,13	5,67	0,13	7,68	0,13	7,57	0,13	6,15	0,13	5,83	0,13	9,92	0,13	6,27	0,13	5,46	0,13	6,40	0,13	4,72	0,13	6,39	0,13	4,80	0,13	6,76	0,13	6,30	0,13	7,29	0,13	9,88	0,13	8,11	0,13	7,54	0,13	7,60	0,13	5,52	0,13	5,87	0,13	4,94	0,13	6,49	0,13	6,69	0,13	7,78	0,13	6,86	0,13	7,19	0,13	6,17
6,91	7,57	6,25	0,15	6,43	0,15	6,31	0,15	6,61	0,15	5,67	0,15	7,67	0,15	7,57	0,15	6,15	0,15	5,83	0,15	9,91	0,15	6,27	0,15	5,45	0,15	6,39	0,15	4,72	0,15	6,37	0,15	4,79	0,15	6,76	0,15	6,30	0,15	7,29	0,15	9,86	0,15	8,09	0,15	7,52	0,15	7,58	0,15	5,52	0,15	5,87	0,15	4,94	0,15	6,48	0,15	6,68	0,15	7,77	0,15	6,86	0,15	7,19	0,15	6,17
