Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,14	9,10	5,18	0,00	6,17	0,00	6,98	0,00	8,12	0,00	6,33	0,00	9,57	0,00	6,37	0,00	5,10	0,00	5,88	0,00	13,15	0,00	6,38	0,00	6,97	0,00	6,13	0,00	6,31	0,00	7,48	0,00	5,51	0,00	9,72	0,00	5,29	0,00	6,84	0,00	10,29	0,00	6,86	0,00	6,88	0,00	6,39	0,00	5,25	0,00	8,33	0,00	8,12	0,00	8,10	0,00	7,07	0,00	9,22	0,00	9,03	0,00	8,85	0,00	7,11
7,14	9,10	5,18	0,02	6,17	0,02	6,98	0,02	8,12	0,02	6,33	0,02	9,57	0,02	6,37	0,02	5,10	0,02	5,88	0,02	13,15	0,02	6,38	0,02	6,97	0,02	6,13	0,02	6,31	0,02	7,48	0,02	5,51	0,02	9,72	0,02	5,29	0,02	6,84	0,02	10,29	0,02	6,86	0,02	6,88	0,02	6,39	0,02	5,25	0,02	8,33	0,02	8,12	0,02	8,10	0,02	7,07	0,02	9,22	0,02	9,03	0,02	8,85	0,02	7,11
7,14	9,10	5,18	0,03	6,17	0,03	6,98	0,03	8,12	0,03	6,33	0,03	9,57	0,03	6,37	0,03	5,10	0,03	5,87	0,03	13,14	0,03	6,38	0,03	6,97	0,03	6,13	0,03	6,31	0,03	7,48	0,03	5,51	0,03	9,72	0,03	5,29	0,03	6,85	0,03	10,29	0,03	6,86	0,03	6,88	0,03	6,39	0,03	5,25	0,03	8,34	0,03	8,12	0,03	8,10	0,03	7,07	0,03	9,22	0,03	9,04	0,03	8,85	0,03	7,11
7,14	9,10	5,18	0,05	6,17	0,05	6,98	0,05	8,12	0,05	6,33	0,05	9,58	0,05	6,37	0,05	5,10	0,05	5,86	0,05	13,14	0,05	6,38	0,05	6,96	0,05	6,13	0,05	6,31	0,05	7,47	0,05	5,51	0,05	9,72	0,05	5,29	0,05	6,85	0,05	10,30	0,05	6,86	0,05	6,88	0,05	6,39	0,05	5,25	0,05	8,35	0,05	8,12	0,05	8,10	0,05	7,07	0,05	9,22	0,05	9,04	0,05	8,85	0,05	7,11
7,13	9,09	5,18	0,07	6,18	0,07	6,99	0,07	8,12	0,07	6,33	0,07	9,58	0,07	6,37	0,07	5,10	0,07	5,85	0,07	13,11	0,07	6,38	0,07	6,96	0,07	6,13	0,07	6,32	0,07	7,47	0,07	5,51	0,07	9,71	0,07	5,28	0,07	6,85	0,07	10,30	0,07	6,86	0,07	6,88	0,07	6,39	0,07	5,25	0,07	8,36	0,07	8,13	0,07	8,10	0,07	7,07	0,07	9,21	0,07	9,05	0,07	8,86	0,07	7,11
7,13	9,09	5,18	0,08	6,18	0,08	6,99	0,08	8,12	0,08	6,33	0,08	9,59	0,08	6,37	0,08	5,10	0,08	5,84	0,08	13,09	0,08	6,38	0,08	6,96	0,08	6,13	0,08	6,32	0,08	7,46	0,08	5,50	0,08	9,71	0,08	5,28	0,08	6,85	0,08	10,30	0,08	6,86	0,08	6,88	0,08	6,38	0,08	5,25	0,08	8,37	0,08	8,15	0,08	8,10	0,08	7,08	0,08	9,21	0,08	9,05	0,08	8,86	0,08	7,11
7,13	9,09	5,18	0,10	6,19	0,10	7,00	0,10	8,12	0,10	6,33	0,10	9,60	0,10	6,37	0,10	5,09	0,10	5,83	0,10	13,06	0,10	6,38	0,10	6,96	0,10	6,13	0,10	6,32	0,10	7,45	0,10	5,50	0,10	9,71	0,10	5,28	0,10	6,86	0,10	10,30	0,10	6,87	0,10	6,88	0,10	6,38	0,10	5,25	0,10	8,39	0,10	8,16	0,10	8,10	0,10	7,08	0,10	9,21	0,10	9,06	0,10	8,85	0,10	7,11
7,13	9,08	5,17	0,12	6,20	0,12	7,01	0,12	8,12	0,12	6,32	0,12	9,61	0,12	6,37	0,12	5,08	0,12	5,81	0,12	13,03	0,12	6,39	0,12	6,96	0,12	6,14	0,12	6,32	0,12	7,45	0,12	5,51	0,12	9,70	0,12	5,28	0,12	6,86	0,12	10,30	0,12	6,87	0,12	6,88	0,12	6,38	0,12	5,26	0,12	8,40	0,12	8,17	0,12	8,10	0,12	7,08	0,12	9,20	0,12	9,07	0,12	8,85	0,12	7,11
7,12	9,08	5,17	0,13	6,22	0,13	7,02	0,13	8,12	0,13	6,32	0,13	9,63	0,13	6,37	0,13	5,07	0,13	5,80	0,13	12,99	0,13	6,38	0,13	6,95	0,13	6,14	0,13	6,32	0,13	7,44	0,13	5,51	0,13	9,70	0,13	5,28	0,13	6,87	0,13	10,31	0,13	6,87	0,13	6,88	0,13	6,37	0,13	5,27	0,13	8,41	0,13	8,18	0,13	8,11	0,13	7,08	0,13	9,20	0,13	9,08	0,13	8,85	0,13	7,12
7,12	9,07	5,16	0,15	6,23	0,15	7,03	0,15	8,12	0,15	6,32	0,15	9,64	0,15	6,37	0,15	5,06	0,15	5,79	0,15	12,96	0,15	6,37	0,15	6,95	0,15	6,15	0,15	6,32	0,15	7,42	0,15	5,52	0,15	9,69	0,15	5,28	0,15	6,87	0,15	10,31	0,15	6,87	0,15	6,88	0,15	6,37	0,15	5,27	0,15	8,42	0,15	8,19	0,15	8,13	0,15	7,09	0,15	9,19	0,15	9,10	0,15	8,84	0,15	7,12
7,11	9,07	5,15	0,17	6,25	0,17	7,04	0,17	8,11	0,17	6,32	0,17	9,66	0,17	6,36	0,17	5,05	0,17	5,78	0,17	12,92	0,17	6,36	0,17	6,95	0,17	6,15	0,17	6,32	0,17	7,41	0,17	5,52	0,17	9,69	0,17	5,27	0,17	6,88	0,17	10,31	0,17	6,87	0,17	6,88	0,17	6,37	0,17	5,28	0,17	8,43	0,17	8,20	0,17	8,14	0,17	7,09	0,17	9,18	0,17	9,10	0,17	8,84	0,17	7,13
7,11	9,06	5,15	0,18	6,27	0,18	7,06	0,18	8,11	0,18	6,32	0,18	9,67	0,18	6,36	0,18	5,04	0,18	5,77	0,18	12,89	0,18	6,35	0,18	6,94	0,18	6,16	0,18	6,32	0,18	7,40	0,18	5,52	0,18	9,68	0,18	5,27	0,18	6,89	0,18	10,32	0,18	6,87	0,18	6,87	0,18	6,37	0,18	5,28	0,18	8,44	0,18	8,21	0,18	8,15	0,18	7,09	0,18	9,18	0,18	9,12	0,18	8,84	0,18	7,13
7,10	9,05	5,14	0,20	6,29	0,20	7,08	0,20	8,11	0,20	6,31	0,20	9,69	0,20	6,35	0,20	5,03	0,20	5,75	0,20	12,85	0,20	6,35	0,20	6,93	0,20	6,17	0,20	6,32	0,20	7,38	0,20	5,52	0,20	9,67	0,20	5,27	0,20	6,90	0,20	10,32	0,20	6,87	0,20	6,87	0,20	6,37	0,20	5,29	0,20	8,45	0,20	8,21	0,20	8,16	0,20	7,10	0,20	9,17	0,20	9,13	0,20	8,84	0,20	7,14
7,09	9,04	5,14	0,22	6,31	0,22	7,10	0,22	8,11	0,22	6,31	0,22	9,71	0,22	6,35	0,22	5,02	0,22	5,74	0,22	12,81	0,22	6,34	0,22	6,92	0,22	6,17	0,22	6,32	0,22	7,36	0,22	5,53	0,22	9,66	0,22	5,27	0,22	6,91	0,22	10,32	0,22	6,87	0,22	6,87	0,22	6,37	0,22	5,29	0,22	8,46	0,22	8,22	0,22	8,18	0,22	7,11	0,22	9,16	0,22	9,14	0,22	8,84	0,22	7,15
7,08	9,03	5,13	0,23	6,34	0,23	7,11	0,23	8,11	0,23	6,31	0,23	9,71	0,23	6,34	0,23	5,01	0,23	5,73	0,23	12,77	0,23	6,33	0,23	6,90	0,23	6,18	0,23	6,32	0,23	7,35	0,23	5,53	0,23	9,65	0,23	5,26	0,23	6,92	0,23	10,33	0,23	6,87	0,23	6,87	0,23	6,37	0,23	5,30	0,23	8,47	0,23	8,23	0,23	8,19	0,23	7,12	0,23	9,14	0,23	9,16	0,23	8,84	0,23	7,15
