Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,34	7,34	5,33	0,00	7,99	0,00	7,56	0,00	6,83	0,00	6,24	0,00	9,08	0,00	6,13	0,00	5,13	0,00	5,78	0,00	11,64	0,00	6,23	0,00	6,31	0,00	7,67	0,00	6,11	0,00	7,92	0,00	5,96	0,00	6,77	0,00	5,63	0,00	6,01	0,00	9,67	0,00	10,74	0,00	7,74	0,00	8,68	0,00	6,31	0,00	6,39	0,00	7,05	0,00	7,94	0,00	7,55	0,00	8,03	0,00	8,65	0,00	7,70	0,00	7,11
6,34	7,34	5,33	0,02	7,99	0,02	7,56	0,02	6,83	0,02	6,24	0,02	9,08	0,02	6,13	0,02	5,13	0,02	5,78	0,02	11,64	0,02	6,23	0,02	6,31	0,02	7,67	0,02	6,11	0,02	7,92	0,02	5,96	0,02	6,77	0,02	5,63	0,02	6,01	0,02	9,67	0,02	10,74	0,02	7,74	0,02	8,68	0,02	6,31	0,02	6,39	0,02	7,05	0,02	7,94	0,02	7,55	0,02	8,03	0,02	8,65	0,02	7,70	0,02	7,11
6,33	7,34	5,32	0,03	8,00	0,03	7,56	0,03	6,83	0,03	6,24	0,03	9,08	0,03	6,13	0,03	5,11	0,03	5,78	0,03	11,63	0,03	6,23	0,03	6,31	0,03	7,67	0,03	6,11	0,03	7,91	0,03	5,95	0,03	6,77	0,03	5,63	0,03	6,01	0,03	9,68	0,03	10,74	0,03	7,74	0,03	8,68	0,03	6,31	0,03	6,40	0,03	7,05	0,03	7,95	0,03	7,55	0,03	8,03	0,03	8,66	0,03	7,70	0,03	7,11
6,33	7,34	5,32	0,05	8,02	0,05	7,56	0,05	6,82	0,05	6,24	0,05	9,09	0,05	6,13	0,05	5,10	0,05	5,78	0,05	11,63	0,05	6,23	0,05	6,31	0,05	7,67	0,05	6,10	0,05	7,91	0,05	5,95	0,05	6,77	0,05	5,63	0,05	6,01	0,05	9,68	0,05	10,73	0,05	7,74	0,05	8,68	0,05	6,31	0,05	6,40	0,05	7,05	0,05	7,97	0,05	7,55	0,05	8,02	0,05	8,66	0,05	7,70	0,05	7,11
6,32	7,34	5,31	0,07	8,04	0,07	7,56	0,07	6,82	0,07	6,24	0,07	9,09	0,07	6,12	0,07	5,09	0,07	5,77	0,07	11,62	0,07	6,23	0,07	6,31	0,07	7,68	0,07	6,10	0,07	7,90	0,07	5,95	0,07	6,76	0,07	5,63	0,07	6,01	0,07	9,68	0,07	10,72	0,07	7,73	0,07	8,67	0,07	6,31	0,07	6,40	0,07	7,06	0,07	7,98	0,07	7,55	0,07	8,02	0,07	8,66	0,07	7,70	0,07	7,11
6,32	7,33	5,31	0,08	8,07	0,08	7,56	0,08	6,82	0,08	6,24	0,08	9,10	0,08	6,12	0,08	5,08	0,08	5,77	0,08	11,62	0,08	6,23	0,08	6,30	0,08	7,68	0,08	6,10	0,08	7,89	0,08	5,95	0,08	6,76	0,08	5,63	0,08	6,01	0,08	9,68	0,08	10,71	0,08	7,72	0,08	8,67	0,08	6,31	0,08	6,40	0,08	7,06	0,08	7,99	0,08	7,55	0,08	8,01	0,08	8,67	0,08	7,70	0,08	7,12
6,31	7,33	5,30	0,10	8,10	0,10	7,56	0,10	6,82	0,10	6,24	0,10	9,11	0,10	6,11	0,10	5,07	0,10	5,76	0,10	11,61	0,10	6,23	0,10	6,30	0,10	7,68	0,10	6,10	0,10	7,88	0,10	5,94	0,10	6,75	0,10	5,63	0,10	6,01	0,10	9,68	0,10	10,71	0,10	7,71	0,10	8,66	0,10	6,30	0,10	6,40	0,10	7,07	0,10	8,00	0,10	7,55	0,10	8,01	0,10	8,67	0,10	7,70	0,10	7,12
6,31	7,32	5,30	0,12	8,12	0,12	7,56	0,12	6,82	0,12	6,24	0,12	9,13	0,12	6,10	0,12	5,06	0,12	5,75	0,12	11,60	0,12	6,23	0,12	6,29	0,12	7,68	0,12	6,10	0,12	7,86	0,12	5,94	0,12	6,75	0,12	5,63	0,12	6,01	0,12	9,69	0,12	10,70	0,12	7,70	0,12	8,65	0,12	6,30	0,12	6,40	0,12	7,07	0,12	8,01	0,12	7,56	0,12	8,00	0,12	8,68	0,12	7,70	0,12	7,13
6,30	7,31	5,29	0,13	8,16	0,13	7,57	0,13	6,82	0,13	6,24	0,13	9,12	0,13	6,10	0,13	5,05	0,13	5,74	0,13	11,58	0,13	6,24	0,13	6,28	0,13	7,68	0,13	6,10	0,13	7,85	0,13	5,93	0,13	6,74	0,13	5,63	0,13	6,01	0,13	9,69	0,13	10,69	0,13	7,69	0,13	8,64	0,13	6,30	0,13	6,41	0,13	7,07	0,13	8,01	0,13	7,57	0,13	7,99	0,13	8,69	0,13	7,69	0,13	7,14
6,29	7,30	5,28	0,15	8,19	0,15	7,58	0,15	6,82	0,15	6,24	0,15	9,12	0,15	6,09	0,15	5,03	0,15	5,73	0,15	11,57	0,15	6,24	0,15	6,27	0,15	7,69	0,15	6,10	0,15	7,83	0,15	5,93	0,15	6,73	0,15	5,63	0,15	6,01	0,15	9,69	0,15	10,68	0,15	7,68	0,15	8,62	0,15	6,30	0,15	6,42	0,15	7,08	0,15	8,02	0,15	7,58	0,15	7,98	0,15	8,70	0,15	7,69	0,15	7,14
6,28	7,29	5,27	0,17	8,21	0,17	7,58	0,17	6,82	0,17	6,24	0,17	9,11	0,17	6,08	0,17	5,02	0,17	5,72	0,17	11,54	0,17	6,24	0,17	6,26	0,17	7,69	0,17	6,10	0,17	7,81	0,17	5,92	0,17	6,72	0,17	5,63	0,17	6,02	0,17	9,70	0,17	10,67	0,17	7,67	0,17	8,60	0,17	6,29	0,17	6,43	0,17	7,08	0,17	8,03	0,17	7,58	0,17	7,97	0,17	8,70	0,17	7,69	0,17	7,16
6,28	7,29	5,27	0,18	8,23	0,18	7,59	0,18	6,82	0,18	6,24	0,18	9,11	0,18	6,08	0,18	5,01	0,18	5,71	0,18	11,51	0,18	6,24	0,18	6,25	0,18	7,69	0,18	6,09	0,18	7,78	0,18	5,92	0,18	6,71	0,18	5,63	0,18	6,02	0,18	9,70	0,18	10,65	0,18	7,66	0,18	8,58	0,18	6,29	0,18	6,44	0,18	7,09	0,18	8,04	0,18	7,59	0,18	7,96	0,18	8,71	0,18	7,68	0,18	7,17
6,27	7,28	5,26	0,20	8,26	0,20	7,60	0,20	6,83	0,20	6,23	0,20	9,10	0,20	6,07	0,20	5,00	0,20	5,70	0,20	11,48	0,20	6,24	0,20	6,24	0,20	7,70	0,20	6,09	0,20	7,76	0,20	5,91	0,20	6,70	0,20	5,63	0,20	6,03	0,20	9,71	0,20	10,64	0,20	7,65	0,20	8,57	0,20	6,29	0,20	6,45	0,20	7,09	0,20	8,04	0,20	7,60	0,20	7,95	0,20	8,72	0,20	7,68	0,20	7,18
6,26	7,27	5,26	0,22	8,29	0,22	7,61	0,22	6,84	0,22	6,23	0,22	9,10	0,22	6,06	0,22	4,99	0,22	5,69	0,22	11,44	0,22	6,24	0,22	6,23	0,22	7,70	0,22	6,09	0,22	7,73	0,22	5,91	0,22	6,69	0,22	5,63	0,22	6,03	0,22	9,71	0,22	10,63	0,22	7,64	0,22	8,54	0,22	6,29	0,22	6,46	0,22	7,09	0,22	8,05	0,22	7,60	0,22	7,94	0,22	8,74	0,22	7,68	0,22	7,19
6,26	7,26	5,25	0,23	8,32	0,23	7,61	0,23	6,85	0,23	6,22	0,23	9,10	0,23	6,06	0,23	4,98	0,23	5,68	0,23	11,41	0,23	6,24	0,23	6,22	0,23	7,71	0,23	6,08	0,23	7,70	0,23	5,90	0,23	6,67	0,23	5,64	0,23	6,04	0,23	9,72	0,23	10,62	0,23	7,63	0,23	8,52	0,23	6,29	0,23	6,46	0,23	7,10	0,23	8,06	0,23	7,61	0,23	7,93	0,23	8,76	0,23	7,67	0,23	7,21
