Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,98	7,66	6,31	0,00	5,71	0,00	6,58	0,00	7,64	0,00	5,89	0,00	9,69	0,00	7,92	0,00	6,06	0,00	5,90	0,00	13,84	0,00	6,81	0,00	7,00	0,00	7,40	0,00	6,80	0,00	8,36	0,00	5,97	0,00	7,44	0,00	6,40	0,00	6,80	0,00	9,25	0,00	8,04	0,00	6,74	0,00	7,13	0,00	4,70	0,00	7,25	0,00	6,57	0,00	7,44	0,00	7,62	0,00	7,09	0,00	7,01	0,00	6,67	0,00	5,56
6,98	7,66	6,31	0,02	5,72	0,02	6,58	0,02	7,64	0,02	5,89	0,02	9,69	0,02	7,92	0,02	6,06	0,02	5,90	0,02	13,84	0,02	6,81	0,02	7,00	0,02	7,40	0,02	6,80	0,02	8,36	0,02	5,97	0,02	7,44	0,02	6,40	0,02	6,80	0,02	9,25	0,02	8,04	0,02	6,74	0,02	7,13	0,02	4,70	0,02	7,24	0,02	6,57	0,02	7,45	0,02	7,62	0,02	7,09	0,02	7,01	0,02	6,67	0,02	5,56
6,98	7,66	6,30	0,03	5,73	0,03	6,58	0,03	7,64	0,03	5,89	0,03	9,69	0,03	7,92	0,03	6,05	0,03	5,90	0,03	13,83	0,03	6,81	0,03	7,00	0,03	7,40	0,03	6,80	0,03	8,36	0,03	5,97	0,03	7,44	0,03	6,40	0,03	6,80	0,03	9,25	0,03	8,04	0,03	6,74	0,03	7,13	0,03	4,70	0,03	7,24	0,03	6,57	0,03	7,45	0,03	7,62	0,03	7,09	0,03	7,01	0,03	6,68	0,03	5,56
6,98	7,66	6,30	0,05	5,74	0,05	6,58	0,05	7,64	0,05	5,89	0,05	9,69	0,05	7,92	0,05	6,04	0,05	5,90	0,05	13,83	0,05	6,81	0,05	7,00	0,05	7,40	0,05	6,80	0,05	8,36	0,05	5,97	0,05	7,43	0,05	6,40	0,05	6,80	0,05	9,26	0,05	8,04	0,05	6,74	0,05	7,13	0,05	4,70	0,05	7,24	0,05	6,57	0,05	7,46	0,05	7,61	0,05	7,09	0,05	7,01	0,05	6,68	0,05	5,56
6,97	7,65	6,29	0,07	5,75	0,07	6,59	0,07	7,64	0,07	5,89	0,07	9,70	0,07	7,91	0,07	6,03	0,07	5,90	0,07	13,82	0,07	6,81	0,07	7,00	0,07	7,40	0,07	6,80	0,07	8,35	0,07	5,97	0,07	7,43	0,07	6,40	0,07	6,80	0,07	9,26	0,07	8,04	0,07	6,74	0,07	7,13	0,07	4,70	0,07	7,24	0,07	6,57	0,07	7,47	0,07	7,61	0,07	7,08	0,07	7,02	0,07	6,68	0,07	5,56
6,96	7,64	6,28	0,08	5,77	0,08	6,60	0,08	7,64	0,08	5,89	0,08	9,70	0,08	7,90	0,08	6,02	0,08	5,90	0,08	13,81	0,08	6,81	0,08	7,00	0,08	7,40	0,08	6,80	0,08	8,34	0,08	5,97	0,08	7,42	0,08	6,39	0,08	6,80	0,08	9,26	0,08	8,04	0,08	6,74	0,08	7,12	0,08	4,70	0,08	7,24	0,08	6,57	0,08	7,48	0,08	7,61	0,08	7,08	0,08	7,02	0,08	6,68	0,08	5,56
6,96	7,64	6,28	0,10	5,78	0,10	6,61	0,10	7,64	0,10	5,89	0,10	9,71	0,10	7,90	0,10	6,01	0,10	5,89	0,10	13,79	0,10	6,82	0,10	7,00	0,10	7,40	0,10	6,80	0,10	8,32	0,10	5,97	0,10	7,41	0,10	6,39	0,10	6,80	0,10	9,26	0,10	8,04	0,10	6,74	0,10	7,12	0,10	4,70	0,10	7,23	0,10	6,57	0,10	7,48	0,10	7,61	0,10	7,08	0,10	7,02	0,10	6,68	0,10	5,56
6,95	7,63	6,27	0,12	5,79	0,12	6,62	0,12	7,64	0,12	5,89	0,12	9,72	0,12	7,89	0,12	6,00	0,12	5,88	0,12	13,78	0,12	6,82	0,12	7,00	0,12	7,40	0,12	6,80	0,12	8,30	0,12	5,96	0,12	7,40	0,12	6,39	0,12	6,81	0,12	9,26	0,12	8,03	0,12	6,73	0,12	7,11	0,12	4,70	0,12	7,23	0,12	6,58	0,12	7,49	0,12	7,61	0,12	7,07	0,12	7,03	0,12	6,69	0,12	5,56
6,94	7,62	6,26	0,13	5,81	0,13	6,63	0,13	7,63	0,13	5,89	0,13	9,71	0,13	7,88	0,13	5,98	0,13	5,87	0,13	13,76	0,13	6,82	0,13	7,00	0,13	7,40	0,13	6,80	0,13	8,29	0,13	5,96	0,13	7,39	0,13	6,39	0,13	6,81	0,13	9,27	0,13	8,03	0,13	6,73	0,13	7,11	0,13	4,70	0,13	7,22	0,13	6,58	0,13	7,50	0,13	7,61	0,13	7,06	0,13	7,04	0,13	6,69	0,13	5,55
6,93	7,62	6,25	0,15	5,82	0,15	6,64	0,15	7,63	0,15	5,89	0,15	9,70	0,15	7,88	0,15	5,97	0,15	5,86	0,15	13,74	0,15	6,82	0,15	7,00	0,15	7,41	0,15	6,80	0,15	8,27	0,15	5,96	0,15	7,38	0,15	6,38	0,15	6,81	0,15	9,27	0,15	8,03	0,15	6,73	0,15	7,10	0,15	4,70	0,15	7,23	0,15	6,58	0,15	7,51	0,15	7,60	0,15	7,06	0,15	7,04	0,15	6,69	0,15	5,55
6,92	7,61	6,24	0,17	5,84	0,17	6,66	0,17	7,64	0,17	5,89	0,17	9,69	0,17	7,87	0,17	5,96	0,17	5,85	0,17	13,71	0,17	6,83	0,17	6,99	0,17	7,41	0,17	6,79	0,17	8,24	0,17	5,96	0,17	7,36	0,17	6,36	0,17	6,81	0,17	9,27	0,17	8,03	0,17	6,73	0,17	7,09	0,17	4,70	0,17	7,23	0,17	6,58	0,17	7,52	0,17	7,60	0,17	7,06	0,17	7,05	0,17	6,70	0,17	5,55
6,91	7,60	6,23	0,18	5,85	0,18	6,67	0,18	7,64	0,18	5,89	0,18	9,69	0,18	7,87	0,18	5,95	0,18	5,85	0,18	13,68	0,18	6,83	0,18	6,99	0,18	7,41	0,18	6,79	0,18	8,22	0,18	5,96	0,18	7,35	0,18	6,35	0,18	6,82	0,18	9,28	0,18	8,02	0,18	6,73	0,18	7,08	0,18	4,70	0,18	7,23	0,18	6,58	0,18	7,52	0,18	7,59	0,18	7,05	0,18	7,06	0,18	6,70	0,18	5,55
6,91	7,59	6,22	0,20	5,87	0,20	6,68	0,20	7,65	0,20	5,89	0,20	9,68	0,20	7,86	0,20	5,94	0,20	5,84	0,20	13,64	0,20	6,83	0,20	6,99	0,20	7,41	0,20	6,78	0,20	8,20	0,20	5,95	0,20	7,34	0,20	6,34	0,20	6,82	0,20	9,28	0,20	8,02	0,20	6,72	0,20	7,07	0,20	4,70	0,20	7,23	0,20	6,58	0,20	7,53	0,20	7,59	0,20	7,05	0,20	7,07	0,20	6,70	0,20	5,55
