Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,39	11,74	7,04	0,00	14,51	0,00	9,21	0,00	13,12	0,00	8,62	0,00	16,14	0,00	9,22	0,00	7,49	0,00	9,79	0,00	20,26	0,00	7,84	0,00	10,77	0,00	9,89	0,00	10,53	0,00	11,34	0,00	9,09	0,00	12,67	0,00	6,28	0,00	11,88	0,00	16,27	0,00	17,05	0,00	8,76	0,00	9,01	0,00	7,19	0,00	14,71	0,00	12,05	0,00	9,17	0,00	17,93	0,00	11,27	0,00	11,06	0,00	9,50	0,00	10,10
9,39	11,74	7,04	0,02	14,51	0,02	9,21	0,02	13,12	0,02	8,61	0,02	16,15	0,02	9,22	0,02	7,49	0,02	9,79	0,02	20,25	0,02	7,84	0,02	10,78	0,02	9,89	0,02	10,53	0,02	11,34	0,02	9,09	0,02	12,67	0,02	6,28	0,02	11,88	0,02	16,27	0,02	17,05	0,02	8,76	0,02	9,01	0,02	7,19	0,02	14,71	0,02	12,05	0,02	9,17	0,02	17,93	0,02	11,27	0,02	11,07	0,02	9,50	0,02	10,10
9,39	11,74	7,04	0,03	14,51	0,03	9,21	0,03	13,12	0,03	8,61	0,03	16,15	0,03	9,22	0,03	7,49	0,03	9,80	0,03	20,25	0,03	7,84	0,03	10,71	0,03	9,89	0,03	10,53	0,03	11,34	0,03	9,09	0,03	12,67	0,03	6,28	0,03	11,89	0,03	16,27	0,03	17,05	0,03	8,75	0,03	9,01	0,03	7,19	0,03	14,71	0,03	12,05	0,03	9,17	0,03	17,93	0,03	11,27	0,03	11,08	0,03	9,50	0,03	10,10
9,39	11,74	7,04	0,05	14,50	0,05	9,21	0,05	13,12	0,05	8,61	0,05	16,16	0,05	9,22	0,05	7,49	0,05	9,80	0,05	20,24	0,05	7,84	0,05	10,65	0,05	9,90	0,05	10,52	0,05	11,33	0,05	9,09	0,05	12,67	0,05	6,28	0,05	11,89	0,05	16,27	0,05	17,05	0,05	8,75	0,05	9,01	0,05	7,19	0,05	14,71	0,05	12,06	0,05	9,17	0,05	17,93	0,05	11,28	0,05	11,09	0,05	9,51	0,05	10,11
9,39	11,74	7,04	0,07	14,50	0,07	9,21	0,07	13,12	0,07	8,61	0,07	16,17	0,07	9,21	0,07	7,49	0,07	9,80	0,07	20,23	0,07	7,85	0,07	10,58	0,07	9,88	0,07	10,52	0,07	11,32	0,07	9,08	0,07	12,67	0,07	6,29	0,07	11,89	0,07	16,27	0,07	17,05	0,07	8,75	0,07	9,02	0,07	7,19	0,07	14,71	0,07	12,06	0,07	9,18	0,07	17,93	0,07	11,28	0,07	11,11	0,07	9,52	0,07	10,12
9,39	11,74	7,04	0,08	14,49	0,08	9,21	0,08	13,13	0,08	8,60	0,08	16,19	0,08	9,21	0,08	7,48	0,08	9,80	0,08	20,22	0,08	7,85	0,08	10,52	0,08	9,86	0,08	10,52	0,08	11,31	0,08	9,08	0,08	12,67	0,08	6,30	0,08	11,90	0,08	16,27	0,08	17,04	0,08	8,75	0,08	9,02	0,08	7,19	0,08	14,71	0,08	12,07	0,08	9,18	0,08	17,93	0,08	11,28	0,08	11,14	0,08	9,53	0,08	10,13
9,39	11,74	7,04	0,10	14,46	0,10	9,21	0,10	13,13	0,10	8,60	0,10	16,21	0,10	9,21	0,10	7,48	0,10	9,81	0,10	20,21	0,10	7,85	0,10	10,47	0,10	9,85	0,10	10,51	0,10	11,29	0,10	9,07	0,10	12,67	0,10	6,31	0,10	11,90	0,10	16,27	0,10	17,04	0,10	8,74	0,10	9,02	0,10	7,19	0,10	14,71	0,10	12,08	0,10	9,18	0,10	17,94	0,10	11,28	0,10	11,18	0,10	9,54	0,10	10,15
9,39	11,74	7,04	0,12	14,42	0,12	9,21	0,12	13,14	0,12	8,59	0,12	16,23	0,12	9,21	0,12	7,47	0,12	9,82	0,12	20,19	0,12	7,84	0,12	10,41	0,12	9,83	0,12	10,51	0,12	11,28	0,12	9,07	0,12	12,67	0,12	6,31	0,12	11,91	0,12	16,27	0,12	17,04	0,12	8,74	0,12	9,03	0,12	7,20	0,12	14,71	0,12	12,09	0,12	9,19	0,12	17,94	0,12	11,29	0,12	11,22	0,12	9,56	0,12	10,16
9,39	11,74	7,05	0,13	14,39	0,13	9,21	0,13	13,14	0,13	8,59	0,13	16,26	0,13	9,21	0,13	7,47	0,13	9,82	0,13	20,17	0,13	7,83	0,13	10,36	0,13	9,82	0,13	10,50	0,13	11,26	0,13	9,06	0,13	12,67	0,13	6,33	0,13	11,92	0,13	16,27	0,13	17,05	0,13	8,73	0,13	9,03	0,13	7,20	0,13	14,71	0,13	12,10	0,13	9,19	0,13	17,94	0,13	11,29	0,13	11,27	0,13	9,58	0,13	10,18
9,39	11,74	7,05	0,15	14,35	0,15	9,20	0,15	13,14	0,15	8,58	0,15	16,29	0,15	9,20	0,15	7,46	0,15	9,83	0,15	20,15	0,15	7,83	0,15	10,31	0,15	9,81	0,15	10,47	0,15	11,24	0,15	9,05	0,15	12,67	0,15	6,34	0,15	11,93	0,15	16,27	0,15	17,05	0,15	8,73	0,15	9,03	0,15	7,21	0,15	14,71	0,15	12,11	0,15	9,20	0,15	17,95	0,15	11,30	0,15	11,32	0,15	9,61	0,15	10,21
