Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
11,48	14,49	8,47	0,00	17,88	0,00	11,36	0,00	15,16	0,00	10,58	0,00	18,67	0,00	10,89	0,00	10,70	0,00	10,86	0,00	21,27	0,00	9,83	0,00	12,56	0,00	12,38	0,00	13,24	0,00	14,23	0,00	9,99	0,00	15,71	0,00	6,71	0,00	15,49	0,00	20,29	0,00	20,13	0,00	10,54	0,00	11,15	0,00	7,69	0,00	17,31	0,00	14,58	0,00	9,59	0,00	-999,0	0,00	13,40	0,00	13,97	0,00	10,64	0,00	11,64
11,48	14,49	8,47	0,02	17,88	0,02	11,36	0,02	15,16	0,02	10,58	0,02	18,68	0,02	10,89	0,02	10,70	0,02	10,86	0,02	21,26	0,02	9,83	0,02	12,57	0,02	12,38	0,02	13,24	0,02	14,23	0,02	9,99	0,02	15,71	0,02	6,71	0,02	15,48	0,02	20,29	0,02	20,13	0,02	10,54	0,02	11,15	0,02	7,69	0,02	17,31	0,02	14,58	0,02	9,59	0,02	-999,0	0,02	13,40	0,02	13,97	0,02	10,65	0,02	11,64
11,48	14,49	8,47	0,03	17,85	0,03	11,36	0,03	15,16	0,03	10,58	0,03	18,68	0,03	10,89	0,03	10,70	0,03	10,86	0,03	21,26	0,03	9,83	0,03	12,51	0,03	12,38	0,03	13,24	0,03	14,23	0,03	9,99	0,03	15,71	0,03	6,71	0,03	15,48	0,03	20,29	0,03	20,13	0,03	10,54	0,03	11,15	0,03	7,69	0,03	17,31	0,03	14,58	0,03	9,59	0,03	-999,0	0,03	13,40	0,03	13,98	0,03	10,65	0,03	11,65
11,48	14,49	8,48	0,05	17,81	0,05	11,36	0,05	15,16	0,05	10,59	0,05	18,69	0,05	10,89	0,05	10,69	0,05	10,86	0,05	21,25	0,05	9,84	0,05	12,45	0,05	12,38	0,05	13,23	0,05	14,22	0,05	9,99	0,05	15,71	0,05	6,72	0,05	15,47	0,05	20,29	0,05	20,13	0,05	10,54	0,05	11,15	0,05	7,69	0,05	17,31	0,05	14,58	0,05	9,59	0,05	-999,0	0,05	13,40	0,05	14,00	0,05	10,66	0,05	11,66
11,48	14,49	8,48	0,07	17,78	0,07	11,35	0,07	15,16	0,07	10,59	0,07	18,69	0,07	10,89	0,07	10,69	0,07	10,86	0,07	21,24	0,07	9,84	0,07	12,39	0,07	12,36	0,07	13,23	0,07	14,22	0,07	9,98	0,07	15,71	0,07	6,72	0,07	15,47	0,07	20,29	0,07	20,12	0,07	10,53	0,07	11,15	0,07	7,69	0,07	17,31	0,07	14,58	0,07	9,59	0,07	-999,0	0,07	13,40	0,07	14,02	0,07	10,67	0,07	11,67
11,48	14,49	8,48	0,08	17,75	0,08	11,35	0,08	15,16	0,08	10,59	0,08	18,71	0,08	10,89	0,08	10,68	0,08	10,87	0,08	21,23	0,08	9,85	0,08	12,33	0,08	12,34	0,08	13,23	0,08	14,21	0,08	9,98	0,08	15,71	0,08	6,73	0,08	15,47	0,08	20,28	0,08	20,12	0,08	10,53	0,08	11,16	0,08	7,68	0,08	17,31	0,08	14,57	0,08	9,59	0,08	-999,0	0,08	13,40	0,08	14,05	0,08	10,68	0,08	11,69
11,48	14,49	8,48	0,10	17,71	0,10	11,34	0,10	15,15	0,10	10,59	0,10	18,72	0,10	10,89	0,10	10,68	0,10	10,88	0,10	21,22	0,10	9,84	0,10	12,28	0,10	12,32	0,10	13,22	0,10	14,20	0,10	9,98	0,10	15,71	0,10	6,73	0,10	15,47	0,10	20,26	0,10	20,11	0,10	10,52	0,10	11,16	0,10	7,68	0,10	17,31	0,10	14,58	0,10	9,60	0,10	-999,0	0,10	13,41	0,10	14,08	0,10	10,70	0,10	11,71
11,48	14,49	8,48	0,12	17,68	0,12	11,33	0,12	15,15	0,12	10,59	0,12	18,73	0,12	10,88	0,12	10,67	0,12	10,88	0,12	21,20	0,12	9,84	0,12	12,23	0,12	12,30	0,12	13,22	0,12	14,18	0,12	9,97	0,12	15,71	0,12	6,74	0,12	15,47	0,12	20,25	0,12	20,11	0,12	10,51	0,12	11,16	0,12	7,69	0,12	17,31	0,12	14,58	0,12	9,60	0,12	-999,0	0,12	13,41	0,12	14,12	0,12	10,72	0,12	11,73
11,48	14,48	8,48	0,13	17,64	0,13	11,32	0,13	15,12	0,13	10,59	0,13	18,75	0,13	10,88	0,13	10,66	0,13	10,89	0,13	21,19	0,13	9,84	0,13	12,17	0,13	12,28	0,13	13,18	0,13	14,17	0,13	9,97	0,13	15,71	0,13	6,75	0,13	15,47	0,13	20,24	0,13	20,11	0,13	10,50	0,13	11,17	0,13	7,70	0,13	17,30	0,13	14,58	0,13	9,60	0,13	-999,0	0,13	13,41	0,13	14,17	0,13	10,74	0,13	11,76
11,48	14,48	8,48	0,15	17,61	0,15	11,31	0,15	15,09	0,15	10,59	0,15	18,77	0,15	10,88	0,15	10,65	0,15	10,90	0,15	21,17	0,15	9,83	0,15	12,12	0,15	12,26	0,15	13,14	0,15	14,15	0,15	9,96	0,15	15,70	0,15	6,76	0,15	15,47	0,15	20,23	0,15	20,10	0,15	10,49	0,15	11,17	0,15	7,71	0,15	17,30	0,15	14,58	0,15	9,60	0,15	-999,0	0,15	13,41	0,15	14,23	0,15	10,77	0,15	11,79
