Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,77	6,69	4,85	0,00	4,00	0,00	7,09	0,00	6,40	0,00	5,62	0,00	8,41	0,00	6,24	0,00	-999,0	0,00	5,51	0,00	11,45	0,00	5,75	0,00	5,41	0,00	5,83	0,00	4,36	0,00	7,00	0,00	5,63	0,00	5,65	0,00	4,35	0,00	5,66	0,00	6,60	0,00	8,74	0,00	6,65	0,00	5,59	0,00	4,04	0,00	6,81	0,00	5,59	0,00	6,24	0,00	6,03	0,00	6,83	0,00	6,45	0,00	6,32	0,00	5,21
5,77	6,68	4,85	0,02	4,00	0,02	7,09	0,02	6,40	0,02	5,62	0,02	8,41	0,02	6,23	0,02	-999,0	0,02	5,51	0,02	11,45	0,02	5,75	0,02	5,41	0,02	5,83	0,02	4,36	0,02	6,99	0,02	5,64	0,02	5,65	0,02	4,35	0,02	5,66	0,02	6,60	0,02	8,74	0,02	6,65	0,02	5,59	0,02	4,04	0,02	6,81	0,02	5,59	0,02	6,24	0,02	6,03	0,02	6,83	0,02	6,45	0,02	6,32	0,02	5,21
5,76	6,68	4,85	0,03	4,00	0,03	7,09	0,03	6,40	0,03	5,62	0,03	8,41	0,03	6,22	0,03	-999,0	0,03	5,51	0,03	11,44	0,03	5,75	0,03	5,41	0,03	5,83	0,03	4,36	0,03	6,99	0,03	5,64	0,03	5,65	0,03	4,35	0,03	5,66	0,03	6,60	0,03	8,74	0,03	6,65	0,03	5,59	0,03	4,04	0,03	6,81	0,03	5,59	0,03	6,24	0,03	6,04	0,03	6,83	0,03	6,45	0,03	6,32	0,03	5,21
5,76	6,67	4,84	0,05	4,00	0,05	7,10	0,05	6,40	0,05	5,62	0,05	8,41	0,05	6,20	0,05	-999,0	0,05	5,51	0,05	11,44	0,05	5,75	0,05	5,41	0,05	5,84	0,05	4,36	0,05	6,99	0,05	5,64	0,05	5,65	0,05	4,35	0,05	5,66	0,05	6,60	0,05	8,74	0,05	6,65	0,05	5,59	0,05	4,04	0,05	6,81	0,05	5,59	0,05	6,24	0,05	6,04	0,05	6,83	0,05	6,45	0,05	6,32	0,05	5,21
5,75	6,66	4,84	0,07	4,01	0,07	7,11	0,07	6,40	0,07	5,62	0,07	8,42	0,07	6,19	0,07	-999,0	0,07	5,51	0,07	11,43	0,07	5,75	0,07	5,41	0,07	5,84	0,07	4,36	0,07	6,98	0,07	5,64	0,07	5,65	0,07	4,35	0,07	5,66	0,07	6,60	0,07	8,74	0,07	6,65	0,07	5,59	0,07	4,04	0,07	6,81	0,07	5,59	0,07	6,25	0,07	6,04	0,07	6,82	0,07	6,45	0,07	6,32	0,07	5,22
5,75	6,66	4,84	0,08	4,02	0,08	7,12	0,08	6,40	0,08	5,62	0,08	8,40	0,08	6,18	0,08	-999,0	0,08	5,51	0,08	11,42	0,08	5,75	0,08	5,41	0,08	5,84	0,08	4,35	0,08	6,98	0,08	5,64	0,08	5,64	0,08	4,35	0,08	5,66	0,08	6,61	0,08	8,74	0,08	6,65	0,08	5,58	0,08	4,04	0,08	6,80	0,08	5,59	0,08	6,26	0,08	6,05	0,08	6,82	0,08	6,46	0,08	6,32	0,08	5,22
5,75	6,66	4,84	0,10	4,03	0,10	7,13	0,10	6,39	0,10	5,62	0,10	8,39	0,10	6,17	0,10	-999,0	0,10	5,51	0,10	11,41	0,10	5,76	0,10	5,41	0,10	5,84	0,10	4,35	0,10	6,97	0,10	5,65	0,10	5,64	0,10	4,35	0,10	5,66	0,10	6,61	0,10	8,73	0,10	6,65	0,10	5,58	0,10	4,04	0,10	6,80	0,10	5,59	0,10	6,27	0,10	6,05	0,10	6,83	0,10	6,46	0,10	6,33	0,10	5,22
5,74	6,65	4,84	0,12	4,05	0,12	7,14	0,12	6,40	0,12	5,62	0,12	8,38	0,12	6,16	0,12	-999,0	0,12	5,50	0,12	11,40	0,12	5,76	0,12	5,41	0,12	5,84	0,12	4,35	0,12	6,96	0,12	5,65	0,12	5,64	0,12	4,35	0,12	5,67	0,12	6,61	0,12	8,73	0,12	6,65	0,12	5,58	0,12	4,04	0,12	6,80	0,12	5,58	0,12	6,28	0,12	6,05	0,12	6,83	0,12	6,46	0,12	6,33	0,12	5,22
5,74	6,65	4,83	0,13	4,06	0,13	7,15	0,13	6,40	0,13	5,62	0,13	8,36	0,13	6,14	0,13	-999,0	0,13	5,50	0,13	11,38	0,13	5,76	0,13	5,40	0,13	5,84	0,13	4,35	0,13	6,94	0,13	5,65	0,13	5,64	0,13	4,35	0,13	5,67	0,13	6,61	0,13	8,73	0,13	6,66	0,13	5,57	0,13	4,04	0,13	6,80	0,13	5,59	0,13	6,29	0,13	6,05	0,13	6,83	0,13	6,47	0,13	6,34	0,13	5,22
5,74	6,65	4,83	0,15	4,07	0,15	7,16	0,15	6,40	0,15	5,61	0,15	8,35	0,15	6,13	0,15	-999,0	0,15	5,48	0,15	11,36	0,15	5,76	0,15	5,40	0,15	5,84	0,15	4,36	0,15	6,93	0,15	5,65	0,15	5,63	0,15	4,35	0,15	5,67	0,15	6,62	0,15	8,73	0,15	6,66	0,15	5,57	0,15	4,04	0,15	6,79	0,15	5,60	0,15	6,30	0,15	6,05	0,15	6,84	0,15	6,48	0,15	6,34	0,15	5,22
5,73	6,64	4,82	0,17	4,09	0,17	7,17	0,17	6,41	0,17	5,60	0,17	8,34	0,17	6,12	0,17	-999,0	0,17	5,47	0,17	11,34	0,17	5,76	0,17	5,40	0,17	5,85	0,17	4,36	0,17	6,92	0,17	5,65	0,17	5,63	0,17	4,34	0,17	5,67	0,17	6,62	0,17	8,73	0,17	6,66	0,17	5,57	0,17	4,04	0,17	6,79	0,17	5,60	0,17	6,31	0,17	6,06	0,17	6,84	0,17	6,49	0,17	6,34	0,17	5,22
5,73	6,64	4,82	0,18	4,11	0,18	7,18	0,18	6,41	0,18	5,60	0,18	8,32	0,18	6,11	0,18	-999,0	0,18	5,45	0,18	11,32	0,18	5,77	0,18	5,39	0,18	5,85	0,18	4,36	0,18	6,90	0,18	5,65	0,18	5,62	0,18	4,34	0,18	5,68	0,18	6,62	0,18	8,72	0,18	6,66	0,18	5,56	0,18	4,04	0,18	6,79	0,18	5,61	0,18	6,32	0,18	6,05	0,18	6,84	0,18	6,51	0,18	6,34	0,18	5,22
