Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,33	5,99	4,66	0,00	3,71	0,00	4,31	0,00	4,94	0,00	2,70	0,00	6,05	0,00	5,29	0,00	4,61	0,00	4,26	0,00	10,81	0,00	5,86	0,00	6,36	0,00	-999,0	0,00	6,19	0,00	6,76	0,00	5,92	0,00	6,43	0,00	4,69	0,00	5,79	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	5,76	0,00	5,61	0,00	7,30	0,00	5,65	0,00	3,89
5,33	5,99	4,66	0,02	3,71	0,02	4,31	0,02	4,95	0,02	2,70	0,02	6,05	0,02	5,29	0,02	4,61	0,02	4,26	0,02	10,80	0,02	5,86	0,02	6,36	0,02	-999,0	0,02	6,19	0,02	6,76	0,02	5,92	0,02	6,43	0,02	4,69	0,02	5,79	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	5,76	0,02	5,61	0,02	7,31	0,02	5,65	0,02	3,89
5,32	5,99	4,66	0,03	3,72	0,03	4,31	0,03	4,96	0,03	2,70	0,03	6,05	0,03	5,28	0,03	4,61	0,03	4,25	0,03	10,80	0,03	5,86	0,03	6,36	0,03	-999,0	0,03	6,19	0,03	6,76	0,03	5,92	0,03	6,43	0,03	4,69	0,03	5,79	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	5,75	0,03	5,61	0,03	7,31	0,03	5,65	0,03	3,89
5,32	5,99	4,66	0,05	3,73	0,05	4,31	0,05	4,97	0,05	2,70	0,05	6,05	0,05	5,28	0,05	4,61	0,05	4,25	0,05	10,79	0,05	5,86	0,05	6,36	0,05	-999,0	0,05	6,19	0,05	6,76	0,05	5,92	0,05	6,43	0,05	4,69	0,05	5,79	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	5,75	0,05	5,61	0,05	7,31	0,05	5,65	0,05	3,89
5,32	5,99	4,65	0,07	3,74	0,07	4,31	0,07	4,98	0,07	2,70	0,07	6,05	0,07	5,27	0,07	4,60	0,07	4,25	0,07	10,78	0,07	5,86	0,07	6,36	0,07	-999,0	0,07	6,18	0,07	6,75	0,07	5,92	0,07	6,43	0,07	4,69	0,07	5,79	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	5,75	0,07	5,61	0,07	7,31	0,07	5,65	0,07	3,89
5,32	5,99	4,65	0,08	3,75	0,08	4,32	0,08	4,99	0,08	2,70	0,08	6,06	0,08	5,27	0,08	4,60	0,08	4,25	0,08	10,77	0,08	5,86	0,08	6,35	0,08	-999,0	0,08	6,18	0,08	6,75	0,08	5,92	0,08	6,43	0,08	4,69	0,08	5,79	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	5,75	0,08	5,61	0,08	7,31	0,08	5,65	0,08	3,89
5,31	5,98	4,65	0,10	3,77	0,10	4,35	0,10	5,00	0,10	2,71	0,10	6,05	0,10	5,26	0,10	4,59	0,10	4,25	0,10	10,76	0,10	5,87	0,10	6,35	0,10	-999,0	0,10	6,18	0,10	6,75	0,10	5,92	0,10	6,42	0,10	4,69	0,10	5,79	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	5,75	0,10	5,61	0,10	7,31	0,10	5,64	0,10	3,89
5,31	5,98	4,64	0,12	3,78	0,12	4,37	0,12	5,01	0,12	2,72	0,12	6,04	0,12	5,26	0,12	4,58	0,12	4,25	0,12	10,74	0,12	5,87	0,12	6,35	0,12	-999,0	0,12	6,17	0,12	6,74	0,12	5,92	0,12	6,42	0,12	4,68	0,12	5,78	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	5,74	0,12	5,60	0,12	7,31	0,12	5,64	0,12	3,91
5,30	5,97	4,63	0,13	3,79	0,13	4,39	0,13	5,02	0,13	2,72	0,13	6,03	0,13	5,25	0,13	4,57	0,13	4,24	0,13	10,72	0,13	5,87	0,13	6,34	0,13	-999,0	0,13	6,16	0,13	6,74	0,13	5,91	0,13	6,41	0,13	4,68	0,13	5,78	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	5,74	0,13	5,60	0,13	7,31	0,13	5,64	0,13	3,93
5,30	5,97	4,63	0,15	3,81	0,15	4,41	0,15	5,03	0,15	2,73	0,15	6,03	0,15	5,25	0,15	4,57	0,15	4,23	0,15	10,70	0,15	5,87	0,15	6,34	0,15	-999,0	0,15	6,16	0,15	6,73	0,15	5,91	0,15	6,41	0,15	4,68	0,15	5,78	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	5,74	0,15	5,60	0,15	7,31	0,15	5,64	0,15	3,95
