Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,38	5,84	4,91	0,00	3,21	0,00	3,93	0,00	4,32	0,00	3,73	0,00	6,72	0,00	5,05	0,00	4,80	0,00	4,31	0,00	7,76	0,00	5,47	0,00	5,31	0,00	6,83	0,00	5,44	0,00	6,38	0,00	4,97	0,00	6,17	0,00	5,35	0,00	6,23	0,00	6,36	0,00	3,29	0,00	6,51	0,00	4,94	0,00	4,30	0,00	6,70	0,00	3,19	0,00	4,59	0,00	6,60	0,00	5,51	0,00	5,63	0,00	5,31	0,00	3,30
5,38	5,84	4,91	0,02	3,21	0,02	3,93	0,02	4,33	0,02	3,72	0,02	6,72	0,02	5,05	0,02	4,80	0,02	4,31	0,02	7,76	0,02	5,47	0,02	5,31	0,02	6,82	0,02	5,44	0,02	6,38	0,02	4,97	0,02	6,17	0,02	5,35	0,02	6,23	0,02	6,36	0,02	3,29	0,02	6,51	0,02	4,94	0,02	4,30	0,02	6,70	0,02	3,19	0,02	4,59	0,02	6,60	0,02	5,51	0,02	5,63	0,02	5,31	0,02	3,30
5,38	5,84	4,91	0,03	3,22	0,03	3,93	0,03	4,34	0,03	3,72	0,03	6,72	0,03	5,05	0,03	4,80	0,03	4,31	0,03	7,75	0,03	5,47	0,03	5,30	0,03	6,81	0,03	5,44	0,03	6,38	0,03	4,97	0,03	6,17	0,03	5,35	0,03	6,23	0,03	6,36	0,03	3,29	0,03	6,51	0,03	4,94	0,03	4,30	0,03	6,70	0,03	3,19	0,03	4,58	0,03	6,59	0,03	5,51	0,03	5,63	0,03	5,31	0,03	3,30
5,38	5,84	4,91	0,05	3,22	0,05	3,93	0,05	4,35	0,05	3,72	0,05	6,72	0,05	5,05	0,05	4,80	0,05	4,31	0,05	7,75	0,05	5,47	0,05	5,30	0,05	6,80	0,05	5,44	0,05	6,37	0,05	4,97	0,05	6,17	0,05	5,35	0,05	6,23	0,05	6,36	0,05	3,28	0,05	6,51	0,05	4,94	0,05	4,30	0,05	6,70	0,05	3,19	0,05	4,58	0,05	6,59	0,05	5,52	0,05	5,63	0,05	5,31	0,05	3,30
5,38	5,84	4,91	0,07	3,23	0,07	3,94	0,07	4,37	0,07	3,72	0,07	6,72	0,07	5,05	0,07	4,80	0,07	4,31	0,07	7,75	0,07	5,48	0,07	5,30	0,07	6,79	0,07	5,44	0,07	6,37	0,07	4,96	0,07	6,17	0,07	5,35	0,07	6,23	0,07	6,36	0,07	3,28	0,07	6,51	0,07	4,94	0,07	4,30	0,07	6,70	0,07	3,19	0,07	4,58	0,07	6,59	0,07	5,52	0,07	5,64	0,07	5,30	0,07	3,30
5,38	5,84	4,91	0,08	3,24	0,08	3,94	0,08	4,37	0,08	3,72	0,08	6,71	0,08	5,05	0,08	4,80	0,08	4,31	0,08	7,74	0,08	5,48	0,08	5,30	0,08	6,78	0,08	5,43	0,08	6,37	0,08	4,96	0,08	6,17	0,08	5,35	0,08	6,23	0,08	6,36	0,08	3,28	0,08	6,51	0,08	4,94	0,08	4,30	0,08	6,70	0,08	3,19	0,08	4,58	0,08	6,59	0,08	5,52	0,08	5,64	0,08	5,30	0,08	3,30
5,38	5,84	4,91	0,10	3,25	0,10	3,94	0,10	4,37	0,10	3,72	0,10	6,71	0,10	5,05	0,10	4,80	0,10	4,31	0,10	7,73	0,10	5,48	0,10	5,29	0,10	6,77	0,10	5,42	0,10	6,36	0,10	4,96	0,10	6,17	0,10	5,35	0,10	6,23	0,10	6,36	0,10	3,28	0,10	6,51	0,10	4,93	0,10	4,30	0,10	6,70	0,10	3,19	0,10	4,57	0,10	6,58	0,10	5,52	0,10	5,65	0,10	5,30	0,10	3,30
5,37	5,84	4,91	0,12	3,25	0,12	3,96	0,12	4,38	0,12	3,73	0,12	6,70	0,12	5,05	0,12	4,80	0,12	4,31	0,12	7,72	0,12	5,49	0,12	5,28	0,12	6,76	0,12	5,42	0,12	6,36	0,12	4,96	0,12	6,16	0,12	5,34	0,12	6,23	0,12	6,36	0,12	3,28	0,12	6,50	0,12	4,93	0,12	4,30	0,12	6,69	0,12	3,19	0,12	4,57	0,12	6,58	0,12	5,52	0,12	5,65	0,12	5,29	0,12	3,30
5,38	5,84	4,91	0,13	3,26	0,13	3,98	0,13	4,38	0,13	3,73	0,13	6,70	0,13	5,06	0,13	4,80	0,13	4,31	0,13	7,71	0,13	5,49	0,13	5,27	0,13	6,75	0,13	5,41	0,13	6,36	0,13	4,95	0,13	6,16	0,13	5,34	0,13	6,22	0,13	6,36	0,13	3,28	0,13	6,50	0,13	4,92	0,13	4,30	0,13	6,69	0,13	3,19	0,13	4,57	0,13	6,59	0,13	5,52	0,13	5,66	0,13	5,29	0,13	3,30
5,37	5,84	4,91	0,15	3,27	0,15	3,99	0,15	4,38	0,15	3,73	0,15	6,70	0,15	5,05	0,15	4,80	0,15	4,31	0,15	7,70	0,15	5,49	0,15	5,27	0,15	6,74	0,15	5,40	0,15	6,34	0,15	4,95	0,15	6,16	0,15	5,33	0,15	6,22	0,15	6,36	0,15	3,27	0,15	6,50	0,15	4,92	0,15	4,31	0,15	6,69	0,15	3,19	0,15	4,56	0,15	6,59	0,15	5,52	0,15	5,67	0,15	5,29	0,15	3,31
