Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,90	7,72	6,08	0,00	6,84	0,00	7,03	0,00	7,48	0,00	6,77	0,00	8,53	0,00	7,27	0,00	5,42	0,00	5,52	0,00	11,99	0,00	6,90	0,00	6,53	0,00	7,05	0,00	4,58	0,00	7,80	0,00	5,91	0,00	7,50	0,00	6,62	0,00	6,12	0,00	8,79	0,00	-999,0	0,00	7,58	0,00	7,57	0,00	5,71	0,00	7,26	0,00	2,79	0,00	6,97	0,00	8,20	0,00	7,69	0,00	7,91	0,00	7,45	0,00	6,37
6,90	7,72	6,08	0,02	6,84	0,02	7,03	0,02	7,48	0,02	6,77	0,02	8,53	0,02	7,27	0,02	5,42	0,02	5,52	0,02	11,99	0,02	6,90	0,02	6,53	0,02	7,05	0,02	4,58	0,02	7,80	0,02	5,91	0,02	7,50	0,02	6,62	0,02	6,12	0,02	8,79	0,02	-999,0	0,02	7,58	0,02	7,57	0,02	5,71	0,02	7,26	0,02	2,79	0,02	6,97	0,02	8,20	0,02	7,69	0,02	7,91	0,02	7,45	0,02	6,37
6,90	7,72	6,07	0,03	6,84	0,03	7,04	0,03	7,48	0,03	6,77	0,03	8,53	0,03	7,27	0,03	5,42	0,03	5,52	0,03	11,99	0,03	6,90	0,03	6,53	0,03	7,05	0,03	4,58	0,03	7,79	0,03	5,91	0,03	7,50	0,03	6,61	0,03	6,12	0,03	8,79	0,03	-999,0	0,03	7,58	0,03	7,57	0,03	5,70	0,03	7,26	0,03	2,79	0,03	6,97	0,03	8,20	0,03	7,69	0,03	7,91	0,03	7,45	0,03	6,37
6,89	7,71	6,07	0,05	6,84	0,05	7,05	0,05	7,48	0,05	6,77	0,05	8,52	0,05	7,26	0,05	5,42	0,05	5,52	0,05	11,99	0,05	6,90	0,05	6,53	0,05	7,05	0,05	4,59	0,05	7,79	0,05	5,91	0,05	7,49	0,05	6,60	0,05	6,12	0,05	8,80	0,05	-999,0	0,05	7,58	0,05	7,57	0,05	5,70	0,05	7,25	0,05	2,79	0,05	6,97	0,05	8,20	0,05	7,69	0,05	7,91	0,05	7,45	0,05	6,37
6,89	7,71	6,07	0,07	6,84	0,07	7,06	0,07	7,48	0,07	6,78	0,07	8,51	0,07	7,25	0,07	5,42	0,07	5,52	0,07	11,98	0,07	6,90	0,07	6,53	0,07	7,06	0,07	4,59	0,07	7,79	0,07	5,91	0,07	7,49	0,07	6,59	0,07	6,12	0,07	8,80	0,07	-999,0	0,07	7,58	0,07	7,57	0,07	5,70	0,07	7,25	0,07	2,79	0,07	6,97	0,07	8,21	0,07	7,69	0,07	7,91	0,07	7,45	0,07	6,37
6,88	7,70	6,06	0,08	6,84	0,08	7,07	0,08	7,48	0,08	6,78	0,08	8,50	0,08	7,24	0,08	5,42	0,08	5,52	0,08	11,98	0,08	6,90	0,08	6,53	0,08	7,06	0,08	4,59	0,08	7,78	0,08	5,91	0,08	7,49	0,08	6,57	0,08	6,12	0,08	8,80	0,08	-999,0	0,08	7,58	0,08	7,56	0,08	5,70	0,08	7,25	0,08	2,79	0,08	6,96	0,08	8,21	0,08	7,69	0,08	7,91	0,08	7,45	0,08	6,38
6,88	7,70	6,06	0,10	6,85	0,10	7,07	0,10	7,49	0,10	6,78	0,10	8,49	0,10	7,24	0,10	5,42	0,10	5,51	0,10	11,97	0,10	6,91	0,10	6,53	0,10	7,06	0,10	4,59	0,10	7,77	0,10	5,91	0,10	7,48	0,10	6,56	0,10	6,11	0,10	8,80	0,10	-999,0	0,10	7,58	0,10	7,56	0,10	5,70	0,10	7,25	0,10	2,79	0,10	6,97	0,10	8,21	0,10	7,69	0,10	7,91	0,10	7,45	0,10	6,38
6,87	7,69	6,05	0,12	6,85	0,12	7,08	0,12	7,50	0,12	6,78	0,12	8,49	0,12	7,23	0,12	5,42	0,12	5,51	0,12	11,96	0,12	6,91	0,12	6,52	0,12	7,06	0,12	4,59	0,12	7,76	0,12	5,91	0,12	7,47	0,12	6,55	0,12	6,11	0,12	8,80	0,12	-999,0	0,12	7,58	0,12	7,55	0,12	5,70	0,12	7,24	0,12	2,79	0,12	6,97	0,12	8,21	0,12	7,69	0,12	7,92	0,12	7,45	0,12	6,38
6,87	7,69	6,05	0,13	6,86	0,13	7,09	0,13	7,50	0,13	6,78	0,13	8,48	0,13	7,22	0,13	5,42	0,13	5,51	0,13	11,95	0,13	6,91	0,13	6,52	0,13	7,06	0,13	4,59	0,13	7,75	0,13	5,90	0,13	7,46	0,13	6,54	0,13	6,11	0,13	8,79	0,13	-999,0	0,13	7,58	0,13	7,55	0,13	5,70	0,13	7,24	0,13	2,80	0,13	6,98	0,13	8,21	0,13	7,69	0,13	7,92	0,13	7,46	0,13	6,38
6,86	7,68	6,04	0,15	6,86	0,15	7,09	0,15	7,51	0,15	6,77	0,15	8,47	0,15	7,22	0,15	5,42	0,15	5,51	0,15	11,93	0,15	6,91	0,15	6,52	0,15	7,06	0,15	4,59	0,15	7,74	0,15	5,90	0,15	7,45	0,15	6,53	0,15	6,11	0,15	8,78	0,15	-999,0	0,15	7,58	0,15	7,54	0,15	5,70	0,15	7,23	0,15	2,80	0,15	6,98	0,15	8,21	0,15	7,68	0,15	7,93	0,15	7,46	0,15	6,38
