Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
11,98	16,23	7,73	0,00	19,90	0,00	9,73	0,00	16,80	0,00	9,10	0,00	18,78	0,00	9,09	0,00	8,88	0,00	11,35	0,00	21,62	0,00	8,51	0,00	12,67	0,00	10,19	0,00	11,24	0,00	14,11	0,00	9,26	0,00	18,23	0,00	7,77	0,00	19,89	0,00	21,14	0,00	20,36	0,00	10,04	0,00	14,09	0,00	8,89	0,00	21,04	0,00	19,08	0,00	11,75	0,00	25,34	0,00	15,94	0,00	16,71	0,00	12,14	0,00	13,17
11,98	16,23	7,73	0,02	19,88	0,02	9,73	0,02	16,80	0,02	9,10	0,02	18,78	0,02	9,09	0,02	8,88	0,02	11,35	0,02	21,61	0,02	8,51	0,02	12,67	0,02	10,19	0,02	11,24	0,02	14,11	0,02	9,26	0,02	18,23	0,02	7,77	0,02	19,89	0,02	21,14	0,02	20,36	0,02	10,04	0,02	14,09	0,02	8,89	0,02	21,04	0,02	19,09	0,02	11,76	0,02	25,34	0,02	15,94	0,02	16,71	0,02	12,14	0,02	13,17
11,98	16,23	7,73	0,03	19,85	0,03	9,73	0,03	16,80	0,03	9,10	0,03	18,79	0,03	9,09	0,03	8,87	0,03	11,35	0,03	21,61	0,03	8,51	0,03	12,67	0,03	10,16	0,03	11,24	0,03	14,10	0,03	9,26	0,03	18,23	0,03	7,77	0,03	19,88	0,03	21,14	0,03	20,36	0,03	10,04	0,03	14,09	0,03	8,89	0,03	21,04	0,03	19,09	0,03	11,76	0,03	25,34	0,03	15,94	0,03	16,72	0,03	12,15	0,03	13,18
11,98	16,23	7,73	0,05	19,82	0,05	9,73	0,05	16,79	0,05	9,10	0,05	18,79	0,05	9,09	0,05	8,87	0,05	11,35	0,05	21,61	0,05	8,52	0,05	12,68	0,05	10,14	0,05	11,24	0,05	14,09	0,05	9,26	0,05	18,23	0,05	7,77	0,05	19,87	0,05	21,14	0,05	20,37	0,05	10,04	0,05	14,09	0,05	8,89	0,05	21,04	0,05	19,10	0,05	11,76	0,05	25,33	0,05	15,94	0,05	16,74	0,05	12,16	0,05	13,19
11,98	16,24	7,73	0,07	19,79	0,07	9,72	0,07	16,78	0,07	9,11	0,07	18,80	0,07	9,10	0,07	8,86	0,07	11,36	0,07	21,60	0,07	8,52	0,07	12,69	0,07	10,11	0,07	11,19	0,07	14,08	0,07	9,26	0,07	18,23	0,07	7,78	0,07	19,87	0,07	21,14	0,07	20,38	0,07	10,04	0,07	14,09	0,07	8,89	0,07	21,04	0,07	19,10	0,07	11,76	0,07	25,33	0,07	15,95	0,07	16,77	0,07	12,18	0,07	13,20
11,99	16,24	7,73	0,08	19,76	0,08	9,72	0,08	16,78	0,08	9,11	0,08	18,82	0,08	9,10	0,08	8,86	0,08	11,36	0,08	21,60	0,08	8,53	0,08	12,69	0,08	10,09	0,08	11,15	0,08	14,06	0,08	9,26	0,08	18,23	0,08	7,79	0,08	19,86	0,08	21,14	0,08	20,39	0,08	10,05	0,08	14,09	0,08	8,89	0,08	21,04	0,08	19,11	0,08	11,76	0,08	25,32	0,08	15,95	0,08	16,81	0,08	12,20	0,08	13,22
11,99	16,25	7,74	0,10	19,72	0,10	9,72	0,10	16,77	0,10	9,11	0,10	18,83	0,10	9,10	0,10	8,85	0,10	11,37	0,10	21,59	0,10	8,54	0,10	12,64	0,10	10,07	0,10	11,10	0,10	14,04	0,10	9,26	0,10	18,24	0,10	7,81	0,10	19,86	0,10	21,15	0,10	20,39	0,10	10,05	0,10	14,08	0,10	8,90	0,10	21,03	0,10	19,12	0,10	11,76	0,10	25,31	0,10	15,96	0,10	16,86	0,10	12,22	0,10	13,25
11,99	16,25	7,74	0,12	19,69	0,12	9,71	0,12	16,76	0,12	9,12	0,12	18,85	0,12	9,10	0,12	8,84	0,12	11,38	0,12	21,58	0,12	8,55	0,12	12,58	0,12	10,04	0,12	11,05	0,12	14,02	0,12	9,26	0,12	18,24	0,12	7,82	0,12	19,85	0,12	21,15	0,12	20,40	0,12	10,05	0,12	14,09	0,12	8,90	0,12	21,03	0,12	19,14	0,12	11,76	0,12	25,30	0,12	15,97	0,12	16,91	0,12	12,25	0,12	13,28
12,00	16,25	7,75	0,13	19,65	0,13	9,71	0,13	16,75	0,13	9,12	0,13	18,86	0,13	9,11	0,13	8,83	0,13	11,38	0,13	21,57	0,13	8,56	0,13	12,53	0,13	10,02	0,13	11,00	0,13	14,00	0,13	9,26	0,13	18,23	0,13	7,84	0,13	19,85	0,13	21,16	0,13	20,41	0,13	10,05	0,13	14,10	0,13	8,90	0,13	21,02	0,13	19,15	0,13	11,77	0,13	25,29	0,13	15,98	0,13	16,97	0,13	12,29	0,13	13,32
12,00	16,25	7,75	0,15	19,61	0,15	9,70	0,15	16,72	0,15	9,12	0,15	18,88	0,15	9,11	0,15	8,82	0,15	11,39	0,15	21,56	0,15	8,57	0,15	12,47	0,15	10,00	0,15	10,96	0,15	13,93	0,15	9,26	0,15	18,23	0,15	7,86	0,15	19,85	0,15	21,16	0,15	20,41	0,15	10,04	0,15	14,11	0,15	8,90	0,15	21,01	0,15	19,16	0,15	11,77	0,15	25,28	0,15	15,99	0,15	17,04	0,15	12,33	0,15	13,36
12,01	16,26	7,76	0,17	19,57	0,17	9,70	0,17	16,68	0,17	9,13	0,17	18,90	0,17	9,11	0,17	8,81	0,17	11,40	0,17	21,55	0,17	8,57	0,17	12,42	0,17	9,98	0,17	10,91	0,17	13,87	0,17	9,26	0,17	18,23	0,17	7,88	0,17	19,85	0,17	21,17	0,17	20,42	0,17	10,04	0,17	14,11	0,17	8,90	0,17	21,00	0,17	19,17	0,17	11,77	0,17	25,27	0,17	16,00	0,17	17,12	0,17	12,38	0,17	13,41
12,01	16,26	7,76	0,18	19,52	0,18	9,69	0,18	16,65	0,18	9,13	0,18	18,92	0,18	9,11	0,18	8,80	0,18	11,41	0,18	21,54	0,18	8,57	0,18	12,37	0,18	9,96	0,18	10,86	0,18	13,80	0,18	9,26	0,18	18,23	0,18	7,90	0,18	19,87	0,18	21,18	0,18	20,42	0,18	10,03	0,18	14,12	0,18	8,91	0,18	20,99	0,18	19,18	0,18	11,77	0,18	25,26	0,18	16,01	0,18	17,20	0,18	12,43	0,18	13,47
12,02	16,26	7,77	0,20	19,48	0,20	9,68	0,20	16,61	0,20	9,13	0,20	18,95	0,20	9,12	0,20	8,79	0,20	11,42	0,20	21,52	0,20	8,57	0,20	12,31	0,20	9,95	0,20	10,81	0,20	13,73	0,20	9,26	0,20	18,23	0,20	7,92	0,20	19,89	0,20	21,18	0,20	20,43	0,20	10,03	0,20	14,13	0,20	8,92	0,20	20,98	0,20	19,19	0,20	11,78	0,20	25,24	0,20	16,02	0,20	17,29	0,20	12,49	0,20	13,53
12,02	16,27	7,77	0,22	19,43	0,22	9,67	0,22	16,58	0,22	9,14	0,22	18,97	0,22	9,12	0,22	8,77	0,22	11,43	0,22	21,51	0,22	8,57	0,22	12,26	0,22	9,93	0,22	10,76	0,22	13,66	0,22	9,23	0,22	18,23	0,22	7,94	0,22	19,91	0,22	21,19	0,22	20,43	0,22	10,02	0,22	14,14	0,22	8,92	0,22	20,96	0,22	19,20	0,22	11,78	0,22	25,23	0,22	16,04	0,22	17,39	0,22	12,55	0,22	13,59
12,03	16,28	7,78	0,23	19,38	0,23	9,67	0,23	16,53	0,23	9,14	0,23	19,00	0,23	9,12	0,23	8,76	0,23	11,45	0,23	21,47	0,23	8,57	0,23	12,21	0,23	9,91	0,23	10,71	0,23	13,59	0,23	9,20	0,23	18,23	0,23	7,97	0,23	19,93	0,23	21,20	0,23	20,43	0,23	10,02	0,23	14,14	0,23	8,93	0,23	20,94	0,23	19,21	0,23	11,78	0,23	25,21	0,23	16,06	0,23	17,50	0,23	12,62	0,23	13,67
12,03	16,28	7,78	0,25	19,33	0,25	9,66	0,25	16,49	0,25	9,14	0,25	19,03	0,25	9,12	0,25	8,74	0,25	11,46	0,25	21,43	0,25	8,57	0,25	12,16	0,25	9,90	0,25	10,66	0,25	13,51	0,25	9,17	0,25	18,22	0,25	7,99	0,25	19,96	0,25	21,20	0,25	20,44	0,25	10,01	0,25	14,15	0,25	8,94	0,25	20,94	0,25	19,22	0,25	11,79	0,25	25,19	0,25	16,07	0,25	17,61	0,25	12,69	0,25	13,74
12,03	16,28	7,78	0,27	19,29	0,27	9,65	0,27	16,44	0,27	9,14	0,27	19,05	0,27	9,12	0,27	8,72	0,27	11,48	0,27	21,39	0,27	8,58	0,27	12,12	0,27	9,88	0,27	10,61	0,27	13,44	0,27	9,14	0,27	18,22	0,27	8,02	0,27	19,98	0,27	21,20	0,27	20,44	0,27	10,01	0,27	14,16	0,27	8,95	0,27	20,93	0,27	19,22	0,27	11,79	0,27	25,17	0,27	16,09	0,27	17,73	0,27	12,76	0,27	13,83
12,03	16,27	7,79	0,28	19,21	0,28	9,64	0,28	16,40	0,28	9,13	0,28	19,07	0,28	9,12	0,28	8,70	0,28	11,49	0,28	21,35	0,28	8,58	0,28	12,07	0,28	9,87	0,28	10,56	0,28	13,37	0,28	9,12	0,28	18,18	0,28	8,05	0,28	20,00	0,28	21,21	0,28	20,45	0,28	10,01	0,28	14,16	0,28	8,96	0,28	20,92	0,28	19,23	0,28	11,80	0,28	25,15	0,28	16,11	0,28	17,86	0,28	12,84	0,28	13,92
12,03	16,26	7,81	0,30	19,12	0,30	9,63	0,30	16,35	0,30	9,13	0,30	19,08	0,30	9,13	0,30	8,68	0,30	11,49	0,30	21,30	0,30	8,58	0,30	12,03	0,30	9,86	0,30	10,51	0,30	13,29	0,30	9,09	0,30	18,14	0,30	8,09	0,30	20,03	0,30	21,21	0,30	20,45	0,30	10,00	0,30	14,17	0,30	8,97	0,30	20,92	0,30	19,23	0,30	11,81	0,30	25,13	0,30	16,13	0,30	18,00	0,30	12,93	0,30	14,00
12,03	16,25	7,81	0,32	19,04	0,32	9,62	0,32	16,30	0,32	9,13	0,32	19,10	0,32	9,13	0,32	8,65	0,32	11,49	0,32	21,25	0,32	8,59	0,32	11,99	0,32	9,85	0,32	10,46	0,32	13,22	0,32	9,07	0,32	18,10	0,32	8,12	0,32	20,05	0,32	21,21	0,32	20,46	0,32	10,00	0,32	14,17	0,32	8,98	0,32	20,91	0,32	19,25	0,32	11,82	0,32	25,10	0,32	16,15	0,32	18,14	0,32	13,02	0,32	14,09
