Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,03	4,78	3,28	0,00	3,34	0,00	3,84	0,00	4,82	0,00	3,14	0,00	6,26	0,00	4,19	0,00	2,87	0,00	2,30	0,00	8,53	0,00	4,13	0,00	4,06	0,00	5,47	0,00	4,75	0,00	4,71	0,00	4,19	0,00	4,31	0,00	3,64	0,00	4,45	0,00	5,51	0,00	5,84	0,00	4,52	0,00	4,84	0,00	2,97	0,00	4,94	0,00	3,88	0,00	5,47	0,00	5,49	0,00	5,13	0,00	4,77	0,00	3,84	0,00	5,08
4,03	4,77	3,28	0,02	3,34	0,02	3,84	0,02	4,82	0,02	3,14	0,02	6,26	0,02	4,19	0,02	2,87	0,02	2,30	0,02	8,53	0,02	4,13	0,02	4,06	0,02	5,47	0,02	4,75	0,02	4,71	0,02	4,19	0,02	4,31	0,02	3,64	0,02	4,45	0,02	5,51	0,02	5,84	0,02	4,52	0,02	4,84	0,02	2,97	0,02	4,94	0,02	3,88	0,02	5,47	0,02	5,49	0,02	5,12	0,02	4,77	0,02	3,84	0,02	5,08
4,03	4,77	3,28	0,03	3,34	0,03	3,84	0,03	4,82	0,03	3,14	0,03	6,25	0,03	4,19	0,03	2,87	0,03	2,30	0,03	8,53	0,03	4,13	0,03	4,06	0,03	5,47	0,03	4,75	0,03	4,71	0,03	4,19	0,03	4,31	0,03	3,64	0,03	4,45	0,03	5,51	0,03	5,84	0,03	4,52	0,03	4,84	0,03	2,97	0,03	4,94	0,03	3,88	0,03	5,47	0,03	5,49	0,03	5,12	0,03	4,77	0,03	3,84	0,03	5,08
4,03	4,78	3,28	0,05	3,34	0,05	3,85	0,05	4,83	0,05	3,14	0,05	6,24	0,05	4,20	0,05	2,87	0,05	2,30	0,05	8,52	0,05	4,13	0,05	4,06	0,05	5,47	0,05	4,75	0,05	4,70	0,05	4,19	0,05	4,31	0,05	3,64	0,05	4,45	0,05	5,51	0,05	5,84	0,05	4,52	0,05	4,84	0,05	2,97	0,05	4,94	0,05	3,88	0,05	5,47	0,05	5,50	0,05	5,13	0,05	4,77	0,05	3,83	0,05	5,08
4,03	4,79	3,28	0,07	3,34	0,07	3,85	0,07	4,83	0,07	3,14	0,07	6,23	0,07	4,20	0,07	2,87	0,07	2,30	0,07	8,51	0,07	4,13	0,07	4,06	0,07	5,47	0,07	4,75	0,07	4,70	0,07	4,19	0,07	4,31	0,07	3,64	0,07	4,45	0,07	5,51	0,07	5,84	0,07	4,52	0,07	4,84	0,07	2,97	0,07	4,94	0,07	3,88	0,07	5,47	0,07	5,50	0,07	5,14	0,07	4,77	0,07	3,83	0,07	5,07
4,03	4,79	3,27	0,08	3,35	0,08	3,86	0,08	4,84	0,08	3,13	0,08	6,22	0,08	4,20	0,08	2,87	0,08	2,29	0,08	8,50	0,08	4,13	0,08	4,06	0,08	5,47	0,08	4,75	0,08	4,70	0,08	4,19	0,08	4,31	0,08	3,63	0,08	4,45	0,08	5,51	0,08	5,84	0,08	4,52	0,08	4,84	0,08	2,97	0,08	4,94	0,08	3,88	0,08	5,47	0,08	5,51	0,08	5,15	0,08	4,77	0,08	3,83	0,08	5,07
4,03	4,79	3,27	0,10	3,36	0,10	3,87	0,10	4,84	0,10	3,13	0,10	6,20	0,10	4,20	0,10	2,87	0,10	2,29	0,10	8,49	0,10	4,14	0,10	4,06	0,10	5,46	0,10	4,75	0,10	4,69	0,10	4,19	0,10	4,31	0,10	3,63	0,10	4,44	0,10	5,51	0,10	5,84	0,10	4,52	0,10	4,83	0,10	2,97	0,10	4,94	0,10	3,88	0,10	5,47	0,10	5,52	0,10	5,15	0,10	4,78	0,10	3,83	0,10	5,06
4,03	4,79	3,28	0,12	3,38	0,12	3,88	0,12	4,85	0,12	3,13	0,12	6,19	0,12	4,19	0,12	2,88	0,12	2,29	0,12	8,48	0,12	4,14	0,12	4,06	0,12	5,46	0,12	4,74	0,12	4,68	0,12	4,19	0,12	4,31	0,12	3,63	0,12	4,44	0,12	5,51	0,12	5,84	0,12	4,52	0,12	4,83	0,12	2,97	0,12	4,94	0,12	3,88	0,12	5,47	0,12	5,52	0,12	5,16	0,12	4,79	0,12	3,83	0,12	5,05
4,03	4,79	3,27	0,13	3,40	0,13	3,89	0,13	4,85	0,13	3,12	0,13	6,18	0,13	4,19	0,13	2,88	0,13	2,29	0,13	8,46	0,13	4,14	0,13	4,06	0,13	5,46	0,13	4,74	0,13	4,68	0,13	4,18	0,13	4,30	0,13	3,62	0,13	4,44	0,13	5,51	0,13	5,84	0,13	4,52	0,13	4,83	0,13	2,97	0,13	4,93	0,13	3,88	0,13	5,47	0,13	5,52	0,13	5,16	0,13	4,80	0,13	3,83	0,13	5,04
4,03	4,79	3,27	0,15	3,42	0,15	3,90	0,15	4,85	0,15	3,12	0,15	6,17	0,15	4,19	0,15	2,88	0,15	2,28	0,15	8,44	0,15	4,15	0,15	4,06	0,15	5,46	0,15	4,74	0,15	4,67	0,15	4,18	0,15	4,30	0,15	3,62	0,15	4,44	0,15	5,51	0,15	5,83	0,15	4,52	0,15	4,82	0,15	2,97	0,15	4,93	0,15	3,88	0,15	5,48	0,15	5,53	0,15	5,17	0,15	4,81	0,15	3,83	0,15	5,04
