Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,31	8,57	6,04	0,00	7,36	0,00	7,39	0,00	8,53	0,00	7,41	0,00	10,25	0,00	7,62	0,00	5,57	0,00	5,62	0,00	14,95	0,00	7,12	0,00	7,67	0,00	7,88	0,00	7,01	0,00	8,77	0,00	6,79	0,00	9,34	0,00	6,49	0,00	7,56	0,00	9,06	0,00	10,38	0,00	8,53	0,00	7,86	0,00	6,59	0,00	8,75	0,00	-999,0	0,00	6,78	0,00	8,08	0,00	7,51	0,00	7,87	0,00	7,33	0,00	6,87
7,30	8,56	6,05	0,02	7,36	0,02	7,39	0,02	8,53	0,02	7,41	0,02	10,25	0,02	7,62	0,02	5,57	0,02	5,62	0,02	14,95	0,02	7,12	0,02	7,67	0,02	7,88	0,02	7,01	0,02	8,77	0,02	6,79	0,02	9,33	0,02	6,49	0,02	7,56	0,02	9,06	0,02	10,38	0,02	8,53	0,02	7,86	0,02	6,59	0,02	8,75	0,02	-999,0	0,02	6,78	0,02	8,08	0,02	7,51	0,02	7,87	0,02	7,33	0,02	6,87
7,30	8,56	6,04	0,03	7,36	0,03	7,39	0,03	8,53	0,03	7,41	0,03	10,25	0,03	7,62	0,03	5,57	0,03	5,61	0,03	14,95	0,03	7,12	0,03	7,67	0,03	7,89	0,03	7,01	0,03	8,77	0,03	6,79	0,03	9,32	0,03	6,48	0,03	7,56	0,03	9,06	0,03	10,38	0,03	8,53	0,03	7,85	0,03	6,59	0,03	8,74	0,03	-999,0	0,03	6,78	0,03	8,08	0,03	7,51	0,03	7,87	0,03	7,34	0,03	6,87
7,30	8,55	6,04	0,05	7,36	0,05	7,39	0,05	8,53	0,05	7,41	0,05	10,26	0,05	7,62	0,05	5,57	0,05	5,60	0,05	14,95	0,05	7,12	0,05	7,66	0,05	7,89	0,05	7,01	0,05	8,76	0,05	6,79	0,05	9,31	0,05	6,48	0,05	7,56	0,05	9,06	0,05	10,38	0,05	8,53	0,05	7,85	0,05	6,59	0,05	8,74	0,05	-999,0	0,05	6,78	0,05	8,08	0,05	7,51	0,05	7,88	0,05	7,34	0,05	6,87
7,29	8,55	6,04	0,07	7,37	0,07	7,39	0,07	8,53	0,07	7,41	0,07	10,26	0,07	7,62	0,07	5,56	0,07	5,59	0,07	14,94	0,07	7,12	0,07	7,66	0,07	7,89	0,07	7,01	0,07	8,76	0,07	6,79	0,07	9,30	0,07	6,48	0,07	7,56	0,07	9,07	0,07	10,38	0,07	8,53	0,07	7,85	0,07	6,59	0,07	8,74	0,07	-999,0	0,07	6,78	0,07	8,08	0,07	7,51	0,07	7,88	0,07	7,34	0,07	6,88
7,29	8,54	6,04	0,08	7,38	0,08	7,40	0,08	8,53	0,08	7,40	0,08	10,27	0,08	7,63	0,08	5,56	0,08	5,58	0,08	14,93	0,08	7,13	0,08	7,65	0,08	7,89	0,08	7,01	0,08	8,75	0,08	6,78	0,08	9,29	0,08	6,47	0,08	7,57	0,08	9,07	0,08	10,38	0,08	8,52	0,08	7,85	0,08	6,59	0,08	8,75	0,08	-999,0	0,08	6,79	0,08	8,08	0,08	7,50	0,08	7,89	0,08	7,34	0,08	6,88
7,29	8,54	6,04	0,10	7,40	0,10	7,40	0,10	8,53	0,10	7,40	0,10	10,28	0,10	7,63	0,10	5,56	0,10	5,57	0,10	14,91	0,10	7,13	0,10	7,65	0,10	7,89	0,10	7,01	0,10	8,74	0,10	6,78	0,10	9,28	0,10	6,46	0,10	7,57	0,10	9,07	0,10	10,38	0,10	8,52	0,10	7,84	0,10	6,58	0,10	8,75	0,10	-999,0	0,10	6,79	0,10	8,08	0,10	7,50	0,10	7,90	0,10	7,34	0,10	6,88
7,28	8,53	6,03	0,12	7,41	0,12	7,40	0,12	8,53	0,12	7,40	0,12	10,29	0,12	7,63	0,12	5,55	0,12	5,56	0,12	14,89	0,12	7,13	0,12	7,64	0,12	7,89	0,12	7,01	0,12	8,73	0,12	6,77	0,12	9,27	0,12	6,45	0,12	7,58	0,12	9,08	0,12	10,38	0,12	8,52	0,12	7,84	0,12	6,58	0,12	8,76	0,12	-999,0	0,12	6,80	0,12	8,08	0,12	7,50	0,12	7,91	0,12	7,34	0,12	6,89
7,27	8,52	6,02	0,13	7,42	0,13	7,41	0,13	8,53	0,13	7,40	0,13	10,31	0,13	7,62	0,13	5,55	0,13	5,55	0,13	14,86	0,13	7,14	0,13	7,64	0,13	7,89	0,13	7,00	0,13	8,72	0,13	6,76	0,13	9,26	0,13	6,44	0,13	7,58	0,13	9,08	0,13	10,38	0,13	8,51	0,13	7,83	0,13	6,58	0,13	8,76	0,13	-999,0	0,13	6,81	0,13	8,08	0,13	7,49	0,13	7,93	0,13	7,34	0,13	6,89
7,26	8,51	6,01	0,15	7,43	0,15	7,42	0,15	8,53	0,15	7,39	0,15	10,32	0,15	7,62	0,15	5,54	0,15	5,55	0,15	14,84	0,15	7,14	0,15	7,63	0,15	7,90	0,15	7,00	0,15	8,70	0,15	6,76	0,15	9,25	0,15	6,42	0,15	7,58	0,15	9,09	0,15	10,38	0,15	8,51	0,15	7,82	0,15	6,58	0,15	8,76	0,15	-999,0	0,15	6,81	0,15	8,08	0,15	7,48	0,15	7,94	0,15	7,35	0,15	6,90
7,25	8,50	6,01	0,17	7,45	0,17	7,43	0,17	8,53	0,17	7,39	0,17	10,33	0,17	7,61	0,17	5,54	0,17	5,54	0,17	14,81	0,17	7,14	0,17	7,62	0,17	7,90	0,17	7,00	0,17	8,68	0,17	6,75	0,17	9,23	0,17	6,41	0,17	7,58	0,17	9,09	0,17	10,37	0,17	8,50	0,17	7,82	0,17	6,58	0,17	8,77	0,17	-999,0	0,17	6,82	0,17	8,09	0,17	7,47	0,17	7,95	0,17	7,35	0,17	6,90
7,24	8,49	6,00	0,18	7,46	0,18	7,45	0,18	8,53	0,18	7,38	0,18	10,35	0,18	7,60	0,18	5,53	0,18	5,54	0,18	14,78	0,18	7,14	0,18	7,62	0,18	7,91	0,18	7,00	0,18	8,65	0,18	6,74	0,18	9,22	0,18	6,40	0,18	7,58	0,18	9,10	0,18	10,37	0,18	8,50	0,18	7,81	0,18	6,59	0,18	8,77	0,18	-999,0	0,18	6,82	0,18	8,09	0,18	7,47	0,18	7,97	0,18	7,35	0,18	6,90
7,24	8,47	6,00	0,20	7,48	0,20	7,46	0,20	8,53	0,20	7,38	0,20	10,35	0,20	7,60	0,20	5,53	0,20	5,53	0,20	14,76	0,20	7,14	0,20	7,61	0,20	7,91	0,20	7,00	0,20	8,63	0,20	6,73	0,20	9,20	0,20	6,39	0,20	7,59	0,20	9,10	0,20	10,37	0,20	8,49	0,20	7,80	0,20	6,59	0,20	8,77	0,20	-999,0	0,20	6,83	0,20	8,09	0,20	7,46	0,20	7,99	0,20	7,36	0,20	6,90
7,23	8,46	5,99	0,22	7,49	0,22	7,47	0,22	8,54	0,22	7,38	0,22	10,35	0,22	7,59	0,22	5,52	0,22	5,53	0,22	14,72	0,22	7,14	0,22	7,60	0,22	7,92	0,22	6,99	0,22	8,60	0,22	6,72	0,22	9,19	0,22	6,38	0,22	7,59	0,22	9,10	0,22	10,37	0,22	8,48	0,22	7,79	0,22	6,59	0,22	8,77	0,22	-999,0	0,22	6,84	0,22	8,09	0,22	7,45	0,22	8,01	0,22	7,36	0,22	6,91
7,22	8,45	5,98	0,23	7,51	0,23	7,48	0,23	8,55	0,23	7,37	0,23	10,35	0,23	7,59	0,23	5,52	0,23	5,52	0,23	14,69	0,23	7,14	0,23	7,59	0,23	7,92	0,23	6,99	0,23	8,57	0,23	6,71	0,23	9,17	0,23	6,36	0,23	7,59	0,23	9,10	0,23	10,37	0,23	8,48	0,23	7,79	0,23	6,60	0,23	8,77	0,23	-999,0	0,23	6,84	0,23	8,09	0,23	7,44	0,23	8,03	0,23	7,37	0,23	6,91
7,20	8,44	5,97	0,25	7,52	0,25	7,49	0,25	8,55	0,25	7,37	0,25	10,35	0,25	7,58	0,25	5,51	0,25	5,52	0,25	14,66	0,25	7,14	0,25	7,57	0,25	7,93	0,25	6,98	0,25	8,54	0,25	6,70	0,25	9,15	0,25	6,35	0,25	7,60	0,25	9,10	0,25	10,36	0,25	8,47	0,25	7,78	0,25	6,60	0,25	8,77	0,25	-999,0	0,25	6,85	0,25	8,09	0,25	7,43	0,25	8,05	0,25	7,37	0,25	6,91
7,19	8,42	5,97	0,27	7,54	0,27	7,50	0,27	8,56	0,27	7,35	0,27	10,35	0,27	7,58	0,27	5,50	0,27	5,51	0,27	14,62	0,27	7,14	0,27	7,56	0,27	7,93	0,27	6,97	0,27	8,51	0,27	6,69	0,27	9,13	0,27	6,34	0,27	7,60	0,27	9,10	0,27	10,36	0,27	8,46	0,27	7,78	0,27	6,60	0,27	8,77	0,27	-999,0	0,27	6,85	0,27	8,09	0,27	7,42	0,27	8,07	0,27	7,37	0,27	6,91
7,18	8,41	5,96	0,28	7,55	0,28	7,51	0,28	8,57	0,28	7,35	0,28	10,35	0,28	7,57	0,28	5,49	0,28	5,51	0,28	14,58	0,28	7,14	0,28	7,54	0,28	7,93	0,28	6,96	0,28	8,48	0,28	6,68	0,28	9,11	0,28	6,33	0,28	7,60	0,28	9,10	0,28	10,35	0,28	8,46	0,28	7,77	0,28	6,60	0,28	8,77	0,28	-999,0	0,28	6,86	0,28	8,09	0,28	7,41	0,28	8,10	0,28	7,37	0,28	6,92
7,17	8,39	5,95	0,30	7,57	0,30	7,53	0,30	8,58	0,30	7,34	0,30	10,35	0,30	7,57	0,30	5,48	0,30	5,50	0,30	14,54	0,30	7,15	0,30	7,53	0,30	7,93	0,30	6,96	0,30	8,44	0,30	6,67	0,30	9,09	0,30	6,31	0,30	7,61	0,30	9,10	0,30	10,34	0,30	8,46	0,30	7,77	0,30	6,60	0,30	8,77	0,30	-999,0	0,30	6,86	0,30	8,10	0,30	7,40	0,30	8,13	0,30	7,38	0,30	6,92
7,16	8,38	5,94	0,32	7,59	0,32	7,54	0,32	8,58	0,32	7,33	0,32	10,36	0,32	7,56	0,32	5,48	0,32	5,50	0,32	14,50	0,32	7,15	0,32	7,51	0,32	7,92	0,32	6,95	0,32	8,40	0,32	6,65	0,32	9,07	0,32	6,30	0,32	7,61	0,32	9,09	0,32	10,32	0,32	8,46	0,32	7,76	0,32	6,60	0,32	8,77	0,32	-999,0	0,32	6,87	0,32	8,10	0,32	7,39	0,32	8,16	0,32	7,38	0,32	6,93
7,15	8,36	5,94	0,33	7,61	0,33	7,55	0,33	8,58	0,33	7,31	0,33	10,36	0,33	7,56	0,33	5,47	0,33	5,49	0,33	14,46	0,33	7,15	0,33	7,50	0,33	7,91	0,33	6,94	0,33	8,37	0,33	6,64	0,33	9,04	0,33	6,29	0,33	7,62	0,33	9,09	0,33	10,31	0,33	8,46	0,33	7,75	0,33	6,61	0,33	8,76	0,33	-999,0	0,33	6,87	0,33	8,10	0,33	7,38	0,33	8,18	0,33	7,38	0,33	6,93
