Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,58	7,88	5,29	0,00	4,82	0,00	5,73	0,00	-999,0	0,00	4,78	0,00	8,72	0,00	6,53	0,00	4,62	0,00	5,40	0,00	13,88	0,00	6,29	0,00	7,14	0,00	6,72	0,00	7,07	0,00	-999,0	0,00	6,53	0,00	7,86	0,00	5,81	0,00	7,86	0,00	9,13	0,00	7,46	0,00	6,87	0,00	6,57	0,00	4,87	0,00	8,22	0,00	6,04	0,00	7,08	0,00	6,74	0,00	8,10	0,00	8,06	0,00	6,33	0,00	5,36
6,58	7,88	5,29	0,02	4,82	0,02	5,73	0,02	-999,0	0,02	4,78	0,02	8,72	0,02	6,53	0,02	4,62	0,02	5,39	0,02	13,88	0,02	6,29	0,02	7,14	0,02	6,72	0,02	7,07	0,02	-999,0	0,02	6,54	0,02	7,86	0,02	5,81	0,02	7,86	0,02	9,13	0,02	7,46	0,02	6,87	0,02	6,57	0,02	4,87	0,02	8,22	0,02	6,04	0,02	7,08	0,02	6,74	0,02	8,10	0,02	8,05	0,02	6,33	0,02	5,36
6,58	7,88	5,29	0,03	4,82	0,03	5,74	0,03	-999,0	0,03	4,78	0,03	8,72	0,03	6,53	0,03	4,62	0,03	5,38	0,03	13,88	0,03	6,29	0,03	7,14	0,03	6,72	0,03	7,07	0,03	-999,0	0,03	6,54	0,03	7,86	0,03	5,81	0,03	7,86	0,03	9,13	0,03	7,46	0,03	6,87	0,03	6,57	0,03	4,87	0,03	8,23	0,03	6,04	0,03	7,08	0,03	6,74	0,03	8,10	0,03	8,04	0,03	6,33	0,03	5,36
6,58	7,88	5,29	0,05	4,82	0,05	5,74	0,05	-999,0	0,05	4,78	0,05	8,73	0,05	6,53	0,05	4,62	0,05	5,37	0,05	13,87	0,05	6,29	0,05	7,14	0,05	6,72	0,05	7,07	0,05	-999,0	0,05	6,54	0,05	7,86	0,05	5,81	0,05	7,86	0,05	9,13	0,05	7,46	0,05	6,86	0,05	6,57	0,05	4,87	0,05	8,24	0,05	6,04	0,05	7,08	0,05	6,74	0,05	8,10	0,05	8,03	0,05	6,33	0,05	5,36
6,58	7,88	5,29	0,07	4,83	0,07	5,74	0,07	-999,0	0,07	4,78	0,07	8,73	0,07	6,53	0,07	4,62	0,07	5,36	0,07	13,86	0,07	6,29	0,07	7,14	0,07	6,72	0,07	7,07	0,07	-999,0	0,07	6,54	0,07	7,85	0,07	5,81	0,07	7,86	0,07	9,13	0,07	7,46	0,07	6,86	0,07	6,57	0,07	4,87	0,07	8,25	0,07	6,04	0,07	7,08	0,07	6,74	0,07	8,10	0,07	8,02	0,07	6,34	0,07	5,36
6,58	7,87	5,28	0,08	4,83	0,08	5,75	0,08	-999,0	0,08	4,78	0,08	8,74	0,08	6,53	0,08	4,61	0,08	5,36	0,08	13,84	0,08	6,29	0,08	7,14	0,08	6,72	0,08	7,06	0,08	-999,0	0,08	6,54	0,08	7,85	0,08	5,80	0,08	7,86	0,08	9,13	0,08	7,46	0,08	6,86	0,08	6,57	0,08	4,86	0,08	8,26	0,08	6,05	0,08	7,08	0,08	6,74	0,08	8,09	0,08	8,02	0,08	6,33	0,08	5,37
6,57	7,86	5,28	0,10	4,85	0,10	5,75	0,10	-999,0	0,10	4,78	0,10	8,75	0,10	6,53	0,10	4,61	0,10	5,35	0,10	13,82	0,10	6,30	0,10	7,14	0,10	6,72	0,10	7,06	0,10	-999,0	0,10	6,54	0,10	7,84	0,10	5,80	0,10	7,87	0,10	9,13	0,10	7,46	0,10	6,86	0,10	6,56	0,10	4,87	0,10	8,27	0,10	6,06	0,10	7,08	0,10	6,74	0,10	8,07	0,10	8,01	0,10	6,33	0,10	5,37
6,57	7,86	5,28	0,12	4,88	0,12	5,76	0,12	-999,0	0,12	4,78	0,12	8,76	0,12	6,54	0,12	4,60	0,12	5,34	0,12	13,79	0,12	6,30	0,12	7,14	0,12	6,72	0,12	7,05	0,12	-999,0	0,12	6,54	0,12	7,84	0,12	5,79	0,12	7,87	0,12	9,13	0,12	7,45	0,12	6,86	0,12	6,56	0,12	4,88	0,12	8,28	0,12	6,07	0,12	7,08	0,12	6,74	0,12	8,06	0,12	8,00	0,12	6,33	0,12	5,37
6,56	7,85	5,28	0,13	4,90	0,13	5,77	0,13	-999,0	0,13	4,78	0,13	8,77	0,13	6,54	0,13	4,60	0,13	5,33	0,13	13,76	0,13	6,30	0,13	7,14	0,13	6,72	0,13	7,05	0,13	-999,0	0,13	6,54	0,13	7,83	0,13	5,79	0,13	7,87	0,13	9,13	0,13	7,45	0,13	6,86	0,13	6,55	0,13	4,88	0,13	8,29	0,13	6,07	0,13	7,09	0,13	6,73	0,13	8,05	0,13	8,00	0,13	6,33	0,13	5,37
6,56	7,84	5,28	0,15	4,93	0,15	5,78	0,15	-999,0	0,15	4,77	0,15	8,79	0,15	6,54	0,15	4,60	0,15	5,32	0,15	13,73	0,15	6,30	0,15	7,14	0,15	6,72	0,15	7,04	0,15	-999,0	0,15	6,54	0,15	7,82	0,15	5,79	0,15	7,87	0,15	9,13	0,15	7,45	0,15	6,85	0,15	6,55	0,15	4,89	0,15	8,30	0,15	6,08	0,15	7,10	0,15	6,73	0,15	8,03	0,15	7,99	0,15	6,33	0,15	5,38
