Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,83	8,22	5,44	0,00	8,86	0,00	6,17	0,00	9,51	0,00	7,82	0,00	-999,0	0,00	6,35	0,00	6,76	0,00	6,43	0,00	17,26	0,00	7,61	0,00	7,45	0,00	8,37	0,00	7,67	0,00	10,33	0,00	5,91	0,00	-999,0	0,00	5,19	0,00	10,44	0,00	11,30	0,00	14,97	0,00	6,94	0,00	7,35	0,00	4,77	0,00	12,41	0,00	8,58	0,00	8,92	0,00	11,59	0,00	9,02	0,00	10,32	0,00	9,26	0,00	14,95
6,83	8,22	5,44	0,02	8,86	0,02	6,17	0,02	9,51	0,02	7,82	0,02	-999,0	0,02	6,35	0,02	6,76	0,02	6,43	0,02	17,26	0,02	7,61	0,02	7,45	0,02	8,37	0,02	7,67	0,02	10,33	0,02	5,91	0,02	-999,0	0,02	5,19	0,02	10,44	0,02	11,30	0,02	14,97	0,02	6,94	0,02	7,35	0,02	4,77	0,02	12,41	0,02	8,58	0,02	8,92	0,02	11,59	0,02	9,02	0,02	10,32	0,02	9,26	0,02	14,95
6,83	8,22	5,44	0,03	8,86	0,03	6,17	0,03	9,51	0,03	7,82	0,03	-999,0	0,03	6,35	0,03	6,76	0,03	6,44	0,03	17,25	0,03	7,61	0,03	7,45	0,03	8,37	0,03	7,67	0,03	10,33	0,03	5,91	0,03	-999,0	0,03	5,19	0,03	10,44	0,03	11,30	0,03	14,97	0,03	6,94	0,03	7,35	0,03	4,77	0,03	12,41	0,03	8,59	0,03	8,92	0,03	11,59	0,03	9,02	0,03	10,33	0,03	9,26	0,03	14,95
6,83	8,22	5,44	0,05	8,86	0,05	6,17	0,05	9,51	0,05	7,82	0,05	-999,0	0,05	6,35	0,05	6,75	0,05	6,44	0,05	17,25	0,05	7,60	0,05	7,41	0,05	8,37	0,05	7,67	0,05	10,33	0,05	5,91	0,05	-999,0	0,05	5,19	0,05	10,45	0,05	11,30	0,05	14,96	0,05	6,94	0,05	7,35	0,05	4,77	0,05	12,40	0,05	8,59	0,05	8,92	0,05	11,60	0,05	9,02	0,05	10,34	0,05	9,27	0,05	14,95
6,83	8,22	5,43	0,07	8,86	0,07	6,17	0,07	9,51	0,07	7,82	0,07	-999,0	0,07	6,34	0,07	6,75	0,07	6,44	0,07	17,24	0,07	7,59	0,07	7,36	0,07	8,37	0,07	7,66	0,07	10,32	0,07	5,91	0,07	-999,0	0,07	5,19	0,07	10,45	0,07	11,30	0,07	14,96	0,07	6,94	0,07	7,35	0,07	4,76	0,07	12,40	0,07	8,59	0,07	8,92	0,07	11,61	0,07	9,02	0,07	10,35	0,07	9,28	0,07	14,96
6,83	8,21	5,44	0,08	8,86	0,08	6,17	0,08	9,52	0,08	7,82	0,08	-999,0	0,08	6,34	0,08	6,74	0,08	6,45	0,08	17,23	0,08	7,59	0,08	7,32	0,08	8,37	0,08	7,66	0,08	10,31	0,08	5,91	0,08	-999,0	0,08	5,20	0,08	10,45	0,08	11,30	0,08	14,96	0,08	6,93	0,08	7,35	0,08	4,77	0,08	12,40	0,08	8,60	0,08	8,92	0,08	11,62	0,08	9,02	0,08	10,38	0,08	9,28	0,08	14,96
6,82	8,21	5,43	0,10	8,87	0,10	6,17	0,10	9,52	0,10	7,81	0,10	-999,0	0,10	6,34	0,10	6,73	0,10	6,46	0,10	17,22	0,10	7,58	0,10	7,29	0,10	8,38	0,10	7,66	0,10	10,30	0,10	5,91	0,10	-999,0	0,10	5,20	0,10	10,46	0,10	11,30	0,10	14,96	0,10	6,94	0,10	7,35	0,10	4,77	0,10	12,40	0,10	8,61	0,10	8,92	0,10	11,63	0,10	9,02	0,10	10,40	0,10	9,30	0,10	14,97
6,82	8,21	5,44	0,12	8,85	0,12	6,17	0,12	9,52	0,12	7,81	0,12	-999,0	0,12	6,33	0,12	6,73	0,12	6,46	0,12	17,18	0,12	7,58	0,12	7,25	0,12	8,37	0,12	7,65	0,12	10,29	0,12	5,91	0,12	-999,0	0,12	5,21	0,12	10,46	0,12	11,29	0,12	14,95	0,12	6,94	0,12	7,35	0,12	4,78	0,12	12,39	0,12	8,62	0,12	8,93	0,12	11,64	0,12	9,02	0,12	10,43	0,12	9,31	0,12	14,98
6,82	8,21	5,43	0,13	8,84	0,13	6,17	0,13	9,53	0,13	7,80	0,13	-999,0	0,13	6,33	0,13	6,72	0,13	6,47	0,13	17,14	0,13	7,57	0,13	7,22	0,13	8,36	0,13	7,65	0,13	10,27	0,13	5,91	0,13	-999,0	0,13	5,21	0,13	10,47	0,13	11,29	0,13	14,95	0,13	6,94	0,13	7,35	0,13	4,78	0,13	12,39	0,13	8,63	0,13	8,93	0,13	11,65	0,13	9,02	0,13	10,47	0,13	9,32	0,13	14,99
6,82	8,20	5,43	0,15	8,83	0,15	6,17	0,15	9,54	0,15	7,80	0,15	-999,0	0,15	6,32	0,15	6,71	0,15	6,49	0,15	17,10	0,15	7,57	0,15	7,18	0,15	8,35	0,15	7,64	0,15	10,25	0,15	5,91	0,15	-999,0	0,15	5,22	0,15	10,48	0,15	11,29	0,15	14,94	0,15	6,94	0,15	7,35	0,15	4,78	0,15	12,40	0,15	8,64	0,15	8,93	0,15	11,67	0,15	9,02	0,15	10,51	0,15	9,34	0,15	15,01
6,82	8,20	5,44	0,17	8,82	0,17	6,17	0,17	9,54	0,17	7,79	0,17	-999,0	0,17	6,32	0,17	6,70	0,17	6,50	0,17	17,06	0,17	7,56	0,17	7,15	0,17	8,35	0,17	7,64	0,17	10,23	0,17	5,90	0,17	-999,0	0,17	5,23	0,17	10,48	0,17	11,29	0,17	14,95	0,17	6,94	0,17	7,35	0,17	4,78	0,17	12,41	0,17	8,66	0,17	8,93	0,17	11,69	0,17	9,02	0,17	10,55	0,17	9,36	0,17	15,02
6,81	8,19	5,43	0,18	8,80	0,18	6,17	0,18	9,55	0,18	7,79	0,18	-999,0	0,18	6,31	0,18	6,69	0,18	6,49	0,18	17,01	0,18	7,56	0,18	7,12	0,18	8,34	0,18	7,61	0,18	10,20	0,18	5,90	0,18	-999,0	0,18	5,23	0,18	10,49	0,18	11,29	0,18	14,95	0,18	6,95	0,18	7,35	0,18	4,79	0,18	12,42	0,18	8,67	0,18	8,93	0,18	11,70	0,18	9,02	0,18	10,60	0,18	9,38	0,18	15,02
6,81	8,19	5,43	0,20	8,79	0,20	6,17	0,20	9,56	0,20	7,78	0,20	-999,0	0,20	6,31	0,20	6,68	0,20	6,48	0,20	16,96	0,20	7,55	0,20	7,09	0,20	8,34	0,20	7,58	0,20	10,18	0,20	5,90	0,20	-999,0	0,20	5,24	0,20	10,50	0,20	11,29	0,20	14,96	0,20	6,94	0,20	7,35	0,20	4,79	0,20	12,43	0,20	8,69	0,20	8,93	0,20	11,73	0,20	9,02	0,20	10,65	0,20	9,40	0,20	15,03
6,81	8,19	5,43	0,22	8,78	0,22	6,16	0,22	9,56	0,22	7,78	0,22	-999,0	0,22	6,30	0,22	6,67	0,22	6,47	0,22	16,91	0,22	7,55	0,22	7,07	0,22	8,33	0,22	7,56	0,22	10,15	0,22	5,89	0,22	-999,0	0,22	5,25	0,22	10,51	0,22	11,28	0,22	14,96	0,22	6,94	0,22	7,35	0,22	4,79	0,22	12,45	0,22	8,71	0,22	8,94	0,22	11,75	0,22	9,02	0,22	10,70	0,22	9,43	0,22	15,04
6,81	8,19	5,43	0,23	8,76	0,23	6,16	0,23	9,57	0,23	7,77	0,23	-999,0	0,23	6,30	0,23	6,66	0,23	6,46	0,23	16,86	0,23	7,55	0,23	7,04	0,23	8,33	0,23	7,54	0,23	10,12	0,23	5,89	0,23	-999,0	0,23	5,26	0,23	10,52	0,23	11,29	0,23	14,96	0,23	6,94	0,23	7,35	0,23	4,79	0,23	12,46	0,23	8,74	0,23	8,94	0,23	11,77	0,23	9,02	0,23	10,76	0,23	9,45	0,23	15,05
