Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,35	5,35	5,35	0,00	6,69	0,00	-999,0	0,00	6,51	0,00	5,99	0,00	-999,0	0,00	-999,0	0,00	5,35	0,00	-999,0	0,00	12,07	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	5,03	0,00	-999,0	0,00	6,72	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	9,13	0,00	7,23	0,00	7,49	0,00	-999,0	0,00	7,55	0,00	2,80	0,00	7,03	0,00	7,20	0,00	-999,0	0,00	7,81	0,00	-999,0	0,00	-999,0
5,35	5,35	5,35	0,02	6,69	0,02	-999,0	0,02	6,51	0,02	5,99	0,02	-999,0	0,02	-999,0	0,02	5,35	0,02	-999,0	0,02	12,07	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	5,03	0,02	-999,0	0,02	6,72	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	9,12	0,02	7,23	0,02	7,49	0,02	-999,0	0,02	7,55	0,02	2,80	0,02	7,03	0,02	7,20	0,02	-999,0	0,02	7,81	0,02	-999,0	0,02	-999,0
5,36	5,36	5,36	0,03	6,69	0,03	-999,0	0,03	6,51	0,03	5,98	0,03	-999,0	0,03	-999,0	0,03	5,36	0,03	-999,0	0,03	12,07	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	5,03	0,03	-999,0	0,03	6,71	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	9,12	0,03	7,23	0,03	7,49	0,03	-999,0	0,03	7,55	0,03	2,80	0,03	7,03	0,03	7,20	0,03	-999,0	0,03	7,81	0,03	-999,0	0,03	-999,0
5,36	5,36	5,36	0,05	6,70	0,05	-999,0	0,05	6,51	0,05	5,99	0,05	-999,0	0,05	-999,0	0,05	5,36	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	5,03	0,05	-999,0	0,05	6,71	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	9,12	0,05	7,22	0,05	7,49	0,05	-999,0	0,05	7,55	0,05	2,80	0,05	7,03	0,05	7,20	0,05	-999,0	0,05	7,81	0,05	-999,0	0,05	-999,0
5,36	5,36	5,36	0,07	6,70	0,07	-999,0	0,07	6,52	0,07	5,98	0,07	-999,0	0,07	-999,0	0,07	5,36	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	5,03	0,07	-999,0	0,07	6,71	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	9,12	0,07	7,22	0,07	7,49	0,07	-999,0	0,07	7,55	0,07	2,80	0,07	7,03	0,07	7,20	0,07	-999,0	0,07	7,81	0,07	-999,0	0,07	-999,0
5,36	5,36	5,36	0,08	6,70	0,08	-999,0	0,08	6,53	0,08	5,98	0,08	-999,0	0,08	-999,0	0,08	5,36	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	5,03	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	9,12	0,08	7,22	0,08	7,48	0,08	-999,0	0,08	7,54	0,08	2,80	0,08	7,03	0,08	7,20	0,08	-999,0	0,08	7,81	0,08	-999,0	0,08	-999,0
5,36	5,36	5,36	0,10	6,70	0,10	-999,0	0,10	6,54	0,10	5,97	0,10	-999,0	0,10	-999,0	0,10	5,36	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	5,03	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	9,11	0,10	7,22	0,10	7,48	0,10	-999,0	0,10	7,54	0,10	2,80	0,10	7,02	0,10	7,20	0,10	-999,0	0,10	7,81	0,10	-999,0	0,10	-999,0
5,36	5,36	5,36	0,12	6,71	0,12	-999,0	0,12	6,54	0,12	5,96	0,12	-999,0	0,12	-999,0	0,12	5,36	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	5,02	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	9,11	0,12	7,22	0,12	7,47	0,12	-999,0	0,12	7,54	0,12	2,80	0,12	7,02	0,12	7,20	0,12	-999,0	0,12	7,82	0,12	-999,0	0,12	-999,0
5,36	5,36	5,36	0,13	6,72	0,13	-999,0	0,13	6,55	0,13	5,96	0,13	-999,0	0,13	-999,0	0,13	5,36	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	5,02	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	9,11	0,13	7,22	0,13	7,47	0,13	-999,0	0,13	7,53	0,13	2,80	0,13	7,03	0,13	7,20	0,13	-999,0	0,13	7,83	0,13	-999,0	0,13	-999,0
5,36	5,36	5,36	0,15	6,72	0,15	-999,0	0,15	6,56	0,15	5,96	0,15	-999,0	0,15	-999,0	0,15	5,36	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	5,02	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	9,10	0,15	7,22	0,15	7,46	0,15	-999,0	0,15	7,53	0,15	2,80	0,15	7,03	0,15	7,20	0,15	-999,0	0,15	7,84	0,15	-999,0	0,15	-999,0
