Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
11,63	16,07	7,19	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	10,44	0,00	13,04	0,00	7,22	0,00	16,07	0,00	7,19	0,00	18,80	0,00	22,83	0,00	19,65	0,00	-999,0	0,00	12,51	0,00	8,89	0,00	17,74	0,00	15,69	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0
11,63	16,07	7,19	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	10,44	0,02	13,04	0,02	7,22	0,02	16,07	0,02	7,19	0,02	18,80	0,02	22,83	0,02	19,65	0,02	-999,0	0,02	12,51	0,02	8,89	0,02	17,74	0,02	15,69	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0
11,63	16,07	7,20	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	10,44	0,03	13,04	0,03	7,22	0,03	16,07	0,03	7,20	0,03	18,81	0,03	22,83	0,03	19,64	0,03	-999,0	0,03	12,51	0,03	8,89	0,03	17,74	0,03	15,69	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0
11,63	16,07	7,20	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	10,44	0,05	13,03	0,05	7,22	0,05	16,07	0,05	7,20	0,05	18,81	0,05	22,83	0,05	19,64	0,05	-999,0	0,05	12,51	0,05	8,89	0,05	17,75	0,05	15,70	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0
11,63	16,06	7,20	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	10,43	0,07	13,02	0,07	7,22	0,07	16,06	0,07	7,20	0,07	18,82	0,07	22,82	0,07	19,64	0,07	-999,0	0,07	12,52	0,07	8,89	0,07	17,75	0,07	15,70	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0
11,63	16,06	7,20	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	10,43	0,08	13,01	0,08	7,22	0,08	16,06	0,08	7,20	0,08	18,82	0,08	22,82	0,08	19,63	0,08	-999,0	0,08	12,53	0,08	8,89	0,08	17,75	0,08	15,71	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0
11,63	16,06	7,21	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	10,42	0,10	12,99	0,10	7,22	0,10	16,06	0,10	7,21	0,10	18,83	0,10	22,81	0,10	19,64	0,10	-999,0	0,10	12,54	0,10	8,89	0,10	17,76	0,10	15,72	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0
11,63	16,06	7,21	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	10,36	0,12	12,97	0,12	7,22	0,12	16,06	0,12	7,21	0,12	18,85	0,12	22,80	0,12	19,65	0,12	-999,0	0,12	12,55	0,12	8,90	0,12	17,76	0,12	15,73	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0
11,63	16,05	7,22	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	10,30	0,13	12,95	0,13	7,23	0,13	16,05	0,13	7,22	0,13	18,86	0,13	22,78	0,13	19,66	0,13	-999,0	0,13	12,56	0,13	8,91	0,13	17,77	0,13	15,74	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0
11,63	16,04	7,22	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	10,25	0,15	12,92	0,15	7,23	0,15	16,04	0,15	7,22	0,15	18,86	0,15	22,77	0,15	19,67	0,15	-999,0	0,15	12,58	0,15	8,92	0,15	17,78	0,15	15,74	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0
