Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,92	5,48	4,37	0,00	4,29	0,00	5,30	0,00	5,24	0,00	2,85	0,00	5,33	0,00	4,64	0,00	4,81	0,00	3,90	0,00	10,39	0,00	5,91	0,00	6,06	0,00	5,46	0,00	6,13	0,00	6,02	0,00	5,34	0,00	6,02	0,00	4,53	0,00	5,07	0,00	5,91	0,00	5,48	0,00	5,87	0,00	4,94	0,00	3,17	0,00	5,15	0,00	4,58	0,00	-999,0	0,00	4,64	0,00	4,62	0,00	6,00	0,00	5,11	0,00	3,10
4,92	5,48	4,37	0,02	4,30	0,02	5,30	0,02	5,24	0,02	2,85	0,02	5,33	0,02	4,64	0,02	4,81	0,02	3,90	0,02	10,39	0,02	5,91	0,02	6,06	0,02	5,46	0,02	6,13	0,02	6,02	0,02	5,34	0,02	6,02	0,02	4,53	0,02	5,07	0,02	5,91	0,02	5,48	0,02	5,87	0,02	4,94	0,02	3,17	0,02	5,15	0,02	4,58	0,02	-999,0	0,02	4,64	0,02	4,62	0,02	6,00	0,02	5,11	0,02	3,10
4,92	5,48	4,37	0,03	4,32	0,03	5,31	0,03	5,24	0,03	2,85	0,03	5,33	0,03	4,64	0,03	4,81	0,03	3,90	0,03	10,39	0,03	5,91	0,03	6,06	0,03	5,46	0,03	6,13	0,03	6,02	0,03	5,34	0,03	6,02	0,03	4,53	0,03	5,07	0,03	5,91	0,03	5,48	0,03	5,87	0,03	4,94	0,03	3,17	0,03	5,15	0,03	4,58	0,03	-999,0	0,03	4,64	0,03	4,62	0,03	6,00	0,03	5,11	0,03	3,10
4,92	5,48	4,37	0,05	4,33	0,05	5,31	0,05	5,24	0,05	2,86	0,05	5,32	0,05	4,64	0,05	4,80	0,05	3,90	0,05	10,38	0,05	5,91	0,05	6,06	0,05	5,46	0,05	6,13	0,05	6,02	0,05	5,34	0,05	6,02	0,05	4,53	0,05	5,07	0,05	5,90	0,05	5,48	0,05	5,86	0,05	4,94	0,05	3,17	0,05	5,14	0,05	4,59	0,05	-999,0	0,05	4,64	0,05	4,62	0,05	6,00	0,05	5,11	0,05	3,10
4,92	5,48	4,36	0,07	4,35	0,07	5,31	0,07	5,24	0,07	2,86	0,07	5,33	0,07	4,63	0,07	4,80	0,07	3,90	0,07	10,38	0,07	5,91	0,07	6,06	0,07	5,45	0,07	6,12	0,07	6,01	0,07	5,33	0,07	6,02	0,07	4,53	0,07	5,07	0,07	5,90	0,07	5,48	0,07	5,86	0,07	4,94	0,07	3,17	0,07	5,14	0,07	4,59	0,07	-999,0	0,07	4,64	0,07	4,62	0,07	6,00	0,07	5,10	0,07	3,10
4,92	5,47	4,36	0,08	4,36	0,08	5,32	0,08	5,24	0,08	2,87	0,08	5,33	0,08	4,63	0,08	4,79	0,08	3,90	0,08	10,37	0,08	5,91	0,08	6,06	0,08	5,45	0,08	6,12	0,08	6,01	0,08	5,33	0,08	6,02	0,08	4,52	0,08	5,07	0,08	5,90	0,08	5,48	0,08	5,86	0,08	4,94	0,08	3,16	0,08	5,14	0,08	4,59	0,08	-999,0	0,08	4,64	0,08	4,62	0,08	6,00	0,08	5,10	0,08	3,10
4,91	5,47	4,36	0,10	4,38	0,10	5,33	0,10	5,24	0,10	2,87	0,10	5,33	0,10	4,62	0,10	4,79	0,10	3,89	0,10	10,36	0,10	5,91	0,10	6,05	0,10	5,45	0,10	6,11	0,10	6,01	0,10	5,33	0,10	6,01	0,10	4,52	0,10	5,06	0,10	5,90	0,10	5,48	0,10	5,85	0,10	4,94	0,10	3,16	0,10	5,13	0,10	4,60	0,10	-999,0	0,10	4,64	0,10	4,62	0,10	6,00	0,10	5,10	0,10	3,12
4,91	5,46	4,35	0,12	4,39	0,12	5,34	0,12	5,25	0,12	2,88	0,12	5,33	0,12	4,62	0,12	4,77	0,12	3,89	0,12	10,35	0,12	5,92	0,12	6,05	0,12	5,45	0,12	6,11	0,12	6,00	0,12	5,33	0,12	6,01	0,12	4,52	0,12	5,06	0,12	5,89	0,12	5,48	0,12	5,85	0,12	4,93	0,12	3,16	0,12	5,14	0,12	4,60	0,12	-999,0	0,12	4,64	0,12	4,62	0,12	6,00	0,12	5,10	0,12	3,14
4,90	5,46	4,35	0,13	4,41	0,13	5,35	0,13	5,26	0,13	2,88	0,13	5,33	0,13	4,62	0,13	4,76	0,13	3,89	0,13	10,33	0,13	5,92	0,13	6,05	0,13	5,44	0,13	6,10	0,13	6,00	0,13	5,32	0,13	6,01	0,13	4,52	0,13	5,06	0,13	5,89	0,13	5,47	0,13	5,84	0,13	4,93	0,13	3,16	0,13	5,14	0,13	4,60	0,13	-999,0	0,13	4,64	0,13	4,61	0,13	6,00	0,13	5,10	0,13	3,16
4,90	5,45	4,34	0,15	4,42	0,15	5,36	0,15	5,27	0,15	2,88	0,15	5,33	0,15	4,63	0,15	4,74	0,15	3,88	0,15	10,32	0,15	5,92	0,15	6,04	0,15	5,44	0,15	6,09	0,15	5,99	0,15	5,32	0,15	6,00	0,15	4,51	0,15	5,06	0,15	5,89	0,15	5,47	0,15	5,83	0,15	4,93	0,15	3,15	0,15	5,14	0,15	4,61	0,15	-999,0	0,15	4,64	0,15	4,61	0,15	6,00	0,15	5,10	0,15	3,17
