Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,51	5,03	3,98	0,00	4,52	0,00	4,56	0,00	5,18	0,00	3,08	0,00	5,30	0,00	4,74	0,00	4,43	0,00	4,14	0,00	9,24	0,00	5,43	0,00	5,39	0,00	5,41	0,00	6,00	0,00	5,63	0,00	5,36	0,00	5,21	0,00	3,60	0,00	3,83	0,00	4,24	0,00	4,06	0,00	5,23	0,00	4,22	0,00	2,64	0,00	4,21	0,00	3,17	0,00	5,37	0,00	4,83	0,00	4,56	0,00	5,63	0,00	3,65	0,00	2,61
4,51	5,03	3,98	0,02	4,52	0,02	4,56	0,02	5,18	0,02	3,08	0,02	5,30	0,02	4,74	0,02	4,43	0,02	4,14	0,02	9,24	0,02	5,43	0,02	5,39	0,02	5,41	0,02	6,00	0,02	5,63	0,02	5,36	0,02	5,21	0,02	3,60	0,02	3,83	0,02	4,24	0,02	4,06	0,02	5,22	0,02	4,22	0,02	2,64	0,02	4,21	0,02	3,17	0,02	5,38	0,02	4,83	0,02	4,56	0,02	5,63	0,02	3,65	0,02	2,61
4,51	5,04	3,98	0,03	4,52	0,03	4,57	0,03	5,18	0,03	3,08	0,03	5,30	0,03	4,75	0,03	4,43	0,03	4,14	0,03	9,23	0,03	5,43	0,03	5,39	0,03	5,41	0,03	6,00	0,03	5,63	0,03	5,36	0,03	5,21	0,03	3,60	0,03	3,83	0,03	4,24	0,03	4,06	0,03	5,22	0,03	4,22	0,03	2,64	0,03	4,21	0,03	3,17	0,03	5,39	0,03	4,83	0,03	4,56	0,03	5,63	0,03	3,65	0,03	2,61
4,51	5,03	3,98	0,05	4,52	0,05	4,57	0,05	5,18	0,05	3,07	0,05	5,28	0,05	4,75	0,05	4,43	0,05	4,14	0,05	9,23	0,05	5,43	0,05	5,39	0,05	5,41	0,05	5,99	0,05	5,63	0,05	5,35	0,05	5,21	0,05	3,60	0,05	3,83	0,05	4,24	0,05	4,06	0,05	5,22	0,05	4,21	0,05	2,64	0,05	4,21	0,05	3,17	0,05	5,39	0,05	4,83	0,05	4,55	0,05	5,63	0,05	3,65	0,05	2,61
4,51	5,04	3,98	0,07	4,52	0,07	4,58	0,07	5,18	0,07	3,06	0,07	5,27	0,07	4,76	0,07	4,43	0,07	4,14	0,07	9,22	0,07	5,43	0,07	5,39	0,07	5,41	0,07	5,99	0,07	5,62	0,07	5,35	0,07	5,21	0,07	3,60	0,07	3,83	0,07	4,23	0,07	4,06	0,07	5,22	0,07	4,21	0,07	2,64	0,07	4,21	0,07	3,17	0,07	5,40	0,07	4,83	0,07	4,55	0,07	5,63	0,07	3,65	0,07	2,60
4,51	5,04	3,98	0,08	4,53	0,08	4,59	0,08	5,17	0,08	3,05	0,08	5,25	0,08	4,76	0,08	4,43	0,08	4,14	0,08	9,22	0,08	5,43	0,08	5,39	0,08	5,41	0,08	5,99	0,08	5,62	0,08	5,35	0,08	5,21	0,08	3,60	0,08	3,83	0,08	4,23	0,08	4,06	0,08	5,22	0,08	4,21	0,08	2,63	0,08	4,21	0,08	3,18	0,08	5,41	0,08	4,83	0,08	4,55	0,08	5,63	0,08	3,65	0,08	2,59
4,51	5,04	3,98	0,10	4,53	0,10	4,60	0,10	5,17	0,10	3,04	0,10	5,24	0,10	4,77	0,10	4,43	0,10	4,14	0,10	9,21	0,10	5,43	0,10	5,39	0,10	5,41	0,10	5,98	0,10	5,61	0,10	5,35	0,10	5,21	0,10	3,59	0,10	3,82	0,10	4,23	0,10	4,06	0,10	5,22	0,10	4,20	0,10	2,63	0,10	4,21	0,10	3,19	0,10	5,41	0,10	4,84	0,10	4,54	0,10	5,63	0,10	3,65	0,10	2,60
4,50	5,03	3,98	0,12	4,54	0,12	4,61	0,12	5,17	0,12	3,03	0,12	5,23	0,12	4,76	0,12	4,43	0,12	4,14	0,12	9,20	0,12	5,44	0,12	5,38	0,12	5,40	0,12	5,98	0,12	5,61	0,12	5,35	0,12	5,20	0,12	3,59	0,12	3,82	0,12	4,23	0,12	4,05	0,12	5,21	0,12	4,20	0,12	2,63	0,12	4,20	0,12	3,19	0,12	5,41	0,12	4,84	0,12	4,54	0,12	5,63	0,12	3,65	0,12	2,61
4,50	5,03	3,98	0,13	4,55	0,13	4,61	0,13	5,16	0,13	3,01	0,13	5,22	0,13	4,76	0,13	4,43	0,13	4,14	0,13	9,18	0,13	5,44	0,13	5,38	0,13	5,40	0,13	5,97	0,13	5,60	0,13	5,34	0,13	5,20	0,13	3,59	0,13	3,82	0,13	4,22	0,13	4,05	0,13	5,21	0,13	4,19	0,13	2,63	0,13	4,20	0,13	3,20	0,13	5,42	0,13	4,84	0,13	4,54	0,13	5,62	0,13	3,63	0,13	2,61
4,50	5,03	3,97	0,15	4,56	0,15	4,62	0,15	5,16	0,15	3,00	0,15	5,21	0,15	4,75	0,15	4,43	0,15	4,14	0,15	9,17	0,15	5,44	0,15	5,37	0,15	5,39	0,15	5,97	0,15	5,60	0,15	5,34	0,15	5,19	0,15	3,58	0,15	3,82	0,15	4,22	0,15	4,05	0,15	5,20	0,15	4,19	0,15	2,62	0,15	4,21	0,15	3,20	0,15	5,42	0,15	4,85	0,15	4,54	0,15	5,62	0,15	3,62	0,15	2,62
