Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,47	11,07	7,88	0,00	10,80	0,00	9,21	0,00	11,51	0,00	8,61	0,00	14,26	0,00	9,72	0,00	7,79	0,00	8,32	0,00	18,92	0,00	9,23	0,00	10,72	0,00	10,18	0,00	11,32	0,00	12,50	0,00	9,19	0,00	10,98	0,00	7,50	0,00	10,09	0,00	13,07	0,00	14,71	0,00	9,52	0,00	8,42	0,00	7,35	0,00	11,95	0,00	10,30	0,00	8,79	0,00	13,82	0,00	11,38	0,00	8,75	0,00	9,39	0,00	9,74
9,47	11,07	7,88	0,02	10,80	0,02	9,21	0,02	11,51	0,02	8,61	0,02	14,26	0,02	9,72	0,02	7,79	0,02	8,33	0,02	18,92	0,02	9,23	0,02	10,72	0,02	10,18	0,02	11,32	0,02	12,50	0,02	9,19	0,02	10,98	0,02	7,50	0,02	10,09	0,02	13,07	0,02	14,70	0,02	9,52	0,02	8,42	0,02	7,35	0,02	11,95	0,02	10,30	0,02	8,79	0,02	13,82	0,02	11,38	0,02	8,76	0,02	9,39	0,02	9,74
9,47	11,07	7,88	0,03	10,80	0,03	9,21	0,03	11,51	0,03	8,61	0,03	14,26	0,03	9,72	0,03	7,79	0,03	8,33	0,03	18,92	0,03	9,22	0,03	10,72	0,03	10,18	0,03	11,31	0,03	12,50	0,03	9,19	0,03	10,98	0,03	7,50	0,03	10,09	0,03	13,08	0,03	14,70	0,03	9,52	0,03	8,42	0,03	7,35	0,03	11,95	0,03	10,30	0,03	8,80	0,03	13,82	0,03	11,38	0,03	8,76	0,03	9,39	0,03	9,73
9,47	11,07	7,87	0,05	10,80	0,05	9,21	0,05	11,51	0,05	8,60	0,05	14,27	0,05	9,71	0,05	7,78	0,05	8,33	0,05	18,91	0,05	9,21	0,05	10,72	0,05	10,18	0,05	11,30	0,05	12,50	0,05	9,19	0,05	10,98	0,05	7,50	0,05	10,09	0,05	13,08	0,05	14,70	0,05	9,52	0,05	8,42	0,05	7,35	0,05	11,95	0,05	10,31	0,05	8,80	0,05	13,82	0,05	11,38	0,05	8,77	0,05	9,39	0,05	9,73
9,47	11,06	7,87	0,07	10,81	0,07	9,21	0,07	11,51	0,07	8,60	0,07	14,28	0,07	9,71	0,07	7,78	0,07	8,33	0,07	18,90	0,07	9,20	0,07	10,67	0,07	10,18	0,07	11,30	0,07	12,49	0,07	9,19	0,07	10,97	0,07	7,50	0,07	10,09	0,07	13,08	0,07	14,70	0,07	9,52	0,07	8,43	0,07	7,35	0,07	11,96	0,07	10,31	0,07	8,80	0,07	13,82	0,07	11,38	0,07	8,79	0,07	9,40	0,07	9,73
9,47	11,06	7,88	0,08	10,81	0,08	9,21	0,08	11,51	0,08	8,60	0,08	14,29	0,08	9,71	0,08	7,78	0,08	8,33	0,08	18,89	0,08	9,18	0,08	10,62	0,08	10,17	0,08	11,29	0,08	12,48	0,08	9,19	0,08	10,97	0,08	7,50	0,08	10,10	0,08	13,08	0,08	14,70	0,08	9,52	0,08	8,43	0,08	7,35	0,08	11,96	0,08	10,32	0,08	8,80	0,08	13,82	0,08	11,37	0,08	8,80	0,08	9,39	0,08	9,73
9,46	11,05	7,88	0,10	10,82	0,10	9,21	0,10	11,52	0,10	8,60	0,10	14,30	0,10	9,71	0,10	7,78	0,10	8,34	0,10	18,86	0,10	9,17	0,10	10,58	0,10	10,16	0,10	11,28	0,10	12,47	0,10	9,19	0,10	10,96	0,10	7,50	0,10	10,10	0,10	13,08	0,10	14,69	0,10	9,52	0,10	8,43	0,10	7,36	0,10	11,97	0,10	10,32	0,10	8,80	0,10	13,83	0,10	11,37	0,10	8,83	0,10	9,39	0,10	9,74
9,46	11,05	7,87	0,12	10,82	0,12	9,21	0,12	11,52	0,12	8,60	0,12	14,32	0,12	9,70	0,12	7,77	0,12	8,34	0,12	18,82	0,12	9,16	0,12	10,54	0,12	10,16	0,12	11,27	0,12	12,45	0,12	9,19	0,12	10,96	0,12	7,50	0,12	10,11	0,12	13,08	0,12	14,69	0,12	9,52	0,12	8,43	0,12	7,37	0,12	11,98	0,12	10,33	0,12	8,80	0,12	13,83	0,12	11,36	0,12	8,85	0,12	9,39	0,12	9,74
9,46	11,04	7,87	0,13	10,83	0,13	9,22	0,13	11,53	0,13	8,59	0,13	14,34	0,13	9,70	0,13	7,77	0,13	8,35	0,13	18,78	0,13	9,15	0,13	10,51	0,13	10,14	0,13	11,26	0,13	12,44	0,13	9,19	0,13	10,95	0,13	7,51	0,13	10,11	0,13	13,08	0,13	14,68	0,13	9,52	0,13	8,43	0,13	7,37	0,13	11,99	0,13	10,34	0,13	8,80	0,13	13,84	0,13	11,36	0,13	8,88	0,13	9,38	0,13	9,78
9,45	11,04	7,87	0,15	10,83	0,15	9,22	0,15	11,53	0,15	8,59	0,15	14,36	0,15	9,70	0,15	7,76	0,15	8,36	0,15	18,74	0,15	9,14	0,15	10,47	0,15	10,12	0,15	11,25	0,15	12,42	0,15	9,19	0,15	10,95	0,15	7,51	0,15	10,12	0,15	13,08	0,15	14,68	0,15	9,52	0,15	8,43	0,15	7,38	0,15	12,00	0,15	10,35	0,15	8,81	0,15	13,85	0,15	11,35	0,15	8,91	0,15	9,38	0,15	9,82
