Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
6,91	8,58	5,24	0,00	6,76	0,00	7,01	0,00	8,36	0,00	-999,0	0,00	9,03	0,00	7,76	0,00	5,26	0,00	6,15	0,00	14,53	0,00	6,73	0,00	7,59	0,00	7,15	0,00	7,45	0,00	8,06	0,00	-999,0	0,00	6,99	0,00	5,01	0,00	6,54	0,00	8,04	0,00	7,19	0,00	7,03	0,00	6,61	0,00	5,26	0,00	8,26	0,00	7,08	0,00	7,56	0,00	7,62	0,00	9,53	0,00	8,94	0,00	9,30	0,00	7,58
6,91	8,58	5,24	0,02	6,76	0,02	7,01	0,02	8,36	0,02	-999,0	0,02	9,03	0,02	7,76	0,02	5,26	0,02	6,15	0,02	14,53	0,02	6,73	0,02	7,59	0,02	7,15	0,02	7,45	0,02	8,06	0,02	-999,0	0,02	6,99	0,02	5,01	0,02	6,54	0,02	8,04	0,02	7,19	0,02	7,03	0,02	6,61	0,02	5,27	0,02	8,26	0,02	7,08	0,02	7,56	0,02	7,62	0,02	9,53	0,02	8,94	0,02	9,30	0,02	7,58
6,91	8,58	5,24	0,03	6,76	0,03	7,01	0,03	8,36	0,03	-999,0	0,03	9,03	0,03	7,76	0,03	5,26	0,03	6,15	0,03	14,51	0,03	6,73	0,03	7,59	0,03	7,15	0,03	7,45	0,03	8,06	0,03	-999,0	0,03	6,99	0,03	5,01	0,03	6,54	0,03	8,04	0,03	7,19	0,03	7,03	0,03	6,61	0,03	5,27	0,03	8,26	0,03	7,08	0,03	7,56	0,03	7,62	0,03	9,53	0,03	8,94	0,03	9,30	0,03	7,58
6,91	8,58	5,24	0,05	6,77	0,05	7,01	0,05	8,36	0,05	-999,0	0,05	9,04	0,05	7,76	0,05	5,26	0,05	6,15	0,05	14,49	0,05	6,73	0,05	7,59	0,05	7,15	0,05	7,44	0,05	8,05	0,05	-999,0	0,05	6,98	0,05	5,01	0,05	6,54	0,05	8,03	0,05	7,19	0,05	7,02	0,05	6,61	0,05	5,28	0,05	8,26	0,05	7,08	0,05	7,56	0,05	7,62	0,05	9,53	0,05	8,95	0,05	9,30	0,05	7,58
6,91	8,57	5,24	0,07	6,79	0,07	7,01	0,07	8,36	0,07	-999,0	0,07	9,04	0,07	7,76	0,07	5,26	0,07	6,14	0,07	14,47	0,07	6,74	0,07	7,60	0,07	7,15	0,07	7,44	0,07	8,05	0,07	-999,0	0,07	6,98	0,07	5,01	0,07	6,55	0,07	8,03	0,07	7,19	0,07	7,02	0,07	6,61	0,07	5,29	0,07	8,26	0,07	7,08	0,07	7,56	0,07	7,62	0,07	9,52	0,07	8,95	0,07	9,31	0,07	7,60
6,91	8,57	5,24	0,08	6,80	0,08	7,01	0,08	8,36	0,08	-999,0	0,08	9,05	0,08	7,76	0,08	5,26	0,08	6,13	0,08	14,44	0,08	6,74	0,08	7,60	0,08	7,15	0,08	7,44	0,08	8,04	0,08	-999,0	0,08	6,98	0,08	5,01	0,08	6,55	0,08	8,03	0,08	7,19	0,08	7,02	0,08	6,61	0,08	5,30	0,08	8,28	0,08	7,09	0,08	7,56	0,08	7,62	0,08	9,52	0,08	8,95	0,08	9,31	0,08	7,62
6,90	8,57	5,24	0,10	6,82	0,10	7,02	0,10	8,36	0,10	-999,0	0,10	9,06	0,10	7,76	0,10	5,26	0,10	6,13	0,10	14,41	0,10	6,73	0,10	7,60	0,10	7,15	0,10	7,44	0,10	8,03	0,10	-999,0	0,10	6,98	0,10	5,00	0,10	6,55	0,10	8,03	0,10	7,19	0,10	7,01	0,10	6,62	0,10	5,30	0,10	8,29	0,10	7,09	0,10	7,56	0,10	7,62	0,10	9,51	0,10	8,95	0,10	9,31	0,10	7,64
6,90	8,56	5,24	0,12	6,83	0,12	7,02	0,12	8,36	0,12	-999,0	0,12	9,07	0,12	7,76	0,12	5,26	0,12	6,12	0,12	14,38	0,12	6,73	0,12	7,61	0,12	7,15	0,12	7,43	0,12	8,02	0,12	-999,0	0,12	6,98	0,12	5,00	0,12	6,56	0,12	8,03	0,12	7,19	0,12	7,01	0,12	6,63	0,12	5,31	0,12	8,30	0,12	7,09	0,12	7,56	0,12	7,63	0,12	9,50	0,12	8,96	0,12	9,31	0,12	7,66
6,89	8,56	5,23	0,13	6,85	0,13	7,03	0,13	8,36	0,13	-999,0	0,13	9,08	0,13	7,76	0,13	5,25	0,13	6,11	0,13	14,34	0,13	6,72	0,13	7,61	0,13	7,14	0,13	7,43	0,13	8,01	0,13	-999,0	0,13	6,98	0,13	4,99	0,13	6,56	0,13	8,02	0,13	7,19	0,13	7,01	0,13	6,63	0,13	5,32	0,13	8,32	0,13	7,09	0,13	7,56	0,13	7,63	0,13	9,49	0,13	8,96	0,13	9,33	0,13	7,68
6,89	8,55	5,23	0,15	6,87	0,15	7,04	0,15	8,35	0,15	-999,0	0,15	9,10	0,15	7,76	0,15	5,24	0,15	6,10	0,15	14,31	0,15	6,72	0,15	7,62	0,15	7,14	0,15	7,42	0,15	8,00	0,15	-999,0	0,15	6,98	0,15	4,99	0,15	6,56	0,15	8,02	0,15	7,18	0,15	7,01	0,15	6,63	0,15	5,32	0,15	8,33	0,15	7,10	0,15	7,57	0,15	7,63	0,15	9,48	0,15	8,97	0,15	9,34	0,15	7,70
