Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,39	9,09	5,70	0,00	8,17	0,00	7,90	0,00	9,33	0,00	6,80	0,00	10,78	0,00	-999,0	0,00	6,15	0,00	6,70	0,00	15,60	0,00	7,68	0,00	8,98	0,00	7,96	0,00	8,37	0,00	9,29	0,00	7,24	0,00	7,67	0,00	5,71	0,00	7,71	0,00	10,74	0,00	9,32	0,00	7,53	0,00	7,46	0,00	6,73	0,00	9,83	0,00	8,81	0,00	7,73	0,00	8,89	0,00	10,04	0,00	9,24	0,00	9,03	0,00	9,06
7,39	9,09	5,70	0,02	8,17	0,02	7,90	0,02	9,33	0,02	6,80	0,02	10,78	0,02	-999,0	0,02	6,15	0,02	6,70	0,02	15,60	0,02	7,68	0,02	8,98	0,02	7,96	0,02	8,37	0,02	9,29	0,02	7,24	0,02	7,67	0,02	5,71	0,02	7,71	0,02	10,74	0,02	9,32	0,02	7,53	0,02	7,46	0,02	6,73	0,02	9,84	0,02	8,81	0,02	7,73	0,02	8,89	0,02	10,04	0,02	9,24	0,02	9,03	0,02	9,06
7,39	9,09	5,70	0,03	8,17	0,03	7,90	0,03	9,33	0,03	6,79	0,03	10,78	0,03	-999,0	0,03	6,15	0,03	6,70	0,03	15,60	0,03	7,69	0,03	8,98	0,03	7,96	0,03	8,37	0,03	9,29	0,03	7,24	0,03	7,67	0,03	5,71	0,03	7,72	0,03	10,74	0,03	9,31	0,03	7,53	0,03	7,46	0,03	6,73	0,03	9,84	0,03	8,81	0,03	7,73	0,03	8,89	0,03	10,04	0,03	9,25	0,03	9,03	0,03	9,06
7,39	9,08	5,70	0,05	8,16	0,05	7,90	0,05	9,33	0,05	6,79	0,05	10,79	0,05	-999,0	0,05	6,15	0,05	6,70	0,05	15,58	0,05	7,67	0,05	8,98	0,05	7,96	0,05	8,37	0,05	9,28	0,05	7,24	0,05	7,67	0,05	5,71	0,05	7,72	0,05	10,74	0,05	9,31	0,05	7,53	0,05	7,47	0,05	6,74	0,05	9,84	0,05	8,82	0,05	7,73	0,05	8,89	0,05	10,03	0,05	9,25	0,05	9,03	0,05	9,09
7,39	9,08	5,70	0,07	8,16	0,07	7,90	0,07	9,33	0,07	6,79	0,07	10,79	0,07	-999,0	0,07	6,15	0,07	6,70	0,07	15,55	0,07	7,66	0,07	8,99	0,07	7,96	0,07	8,36	0,07	9,28	0,07	7,23	0,07	7,67	0,07	5,71	0,07	7,72	0,07	10,74	0,07	9,31	0,07	7,53	0,07	7,48	0,07	6,74	0,07	9,84	0,07	8,82	0,07	7,73	0,07	8,89	0,07	10,03	0,07	9,25	0,07	9,04	0,07	9,11
7,39	9,08	5,70	0,08	8,16	0,08	7,90	0,08	9,33	0,08	6,78	0,08	10,79	0,08	-999,0	0,08	6,14	0,08	6,70	0,08	15,52	0,08	7,65	0,08	8,99	0,08	7,95	0,08	8,36	0,08	9,27	0,08	7,23	0,08	7,67	0,08	5,71	0,08	7,72	0,08	10,74	0,08	9,31	0,08	7,53	0,08	7,48	0,08	6,75	0,08	9,85	0,08	8,82	0,08	7,73	0,08	8,89	0,08	10,03	0,08	9,26	0,08	9,04	0,08	9,13
7,38	9,07	5,70	0,10	8,17	0,10	7,90	0,10	9,33	0,10	6,78	0,10	10,80	0,10	-999,0	0,10	6,14	0,10	6,70	0,10	15,50	0,10	7,64	0,10	8,99	0,10	7,95	0,10	8,36	0,10	9,26	0,10	7,23	0,10	7,67	0,10	5,71	0,10	7,72	0,10	10,74	0,10	9,31	0,10	7,53	0,10	7,49	0,10	6,76	0,10	9,86	0,10	8,82	0,10	7,73	0,10	8,89	0,10	10,02	0,10	9,27	0,10	9,04	0,10	9,16
7,38	9,06	5,69	0,12	8,19	0,12	7,90	0,12	9,33	0,12	6,77	0,12	10,81	0,12	-999,0	0,12	6,13	0,12	6,69	0,12	15,47	0,12	7,63	0,12	8,97	0,12	7,94	0,12	8,35	0,12	9,25	0,12	7,23	0,12	7,67	0,12	5,70	0,12	7,72	0,12	10,74	0,12	9,31	0,12	7,53	0,12	7,50	0,12	6,77	0,12	9,86	0,12	8,82	0,12	7,73	0,12	8,89	0,12	10,01	0,12	9,28	0,12	9,07	0,12	9,18
7,38	9,06	5,69	0,13	8,21	0,13	7,90	0,13	9,33	0,13	6,76	0,13	10,82	0,13	-999,0	0,13	6,13	0,13	6,68	0,13	15,44	0,13	7,62	0,13	8,95	0,13	7,94	0,13	8,34	0,13	9,24	0,13	7,23	0,13	7,67	0,13	5,70	0,13	7,73	0,13	10,74	0,13	9,31	0,13	7,54	0,13	7,50	0,13	6,77	0,13	9,88	0,13	8,83	0,13	7,73	0,13	8,90	0,13	10,01	0,13	9,29	0,13	9,10	0,13	9,21
7,38	9,06	5,69	0,15	8,23	0,15	7,90	0,15	9,33	0,15	6,75	0,15	10,83	0,15	-999,0	0,15	6,13	0,15	6,67	0,15	15,40	0,15	7,62	0,15	8,94	0,15	7,93	0,15	8,34	0,15	9,23	0,15	7,23	0,15	7,67	0,15	5,70	0,15	7,73	0,15	10,74	0,15	9,30	0,15	7,54	0,15	7,51	0,15	6,78	0,15	9,89	0,15	8,83	0,15	7,73	0,15	8,90	0,15	10,00	0,15	9,31	0,15	9,13	0,15	9,23
7,37	9,05	5,69	0,17	8,24	0,17	7,91	0,17	9,33	0,17	6,74	0,17	10,84	0,17	-999,0	0,17	6,12	0,17	6,66	0,17	15,37	0,17	7,61	0,17	8,92	0,17	7,92	0,17	8,33	0,17	9,22	0,17	7,23	0,17	7,67	0,17	5,70	0,17	7,74	0,17	10,74	0,17	9,30	0,17	7,55	0,17	7,52	0,17	6,79	0,17	9,91	0,17	8,84	0,17	7,73	0,17	8,90	0,17	9,99	0,17	9,32	0,17	9,16	0,17	9,26
7,36	9,04	5,68	0,18	8,26	0,18	7,91	0,18	9,33	0,18	6,73	0,18	10,85	0,18	-999,0	0,18	6,10	0,18	6,64	0,18	15,33	0,18	7,60	0,18	8,90	0,18	7,91	0,18	8,32	0,18	9,20	0,18	7,22	0,18	7,67	0,18	5,69	0,18	7,74	0,18	10,73	0,18	9,30	0,18	7,55	0,18	7,52	0,18	6,79	0,18	9,92	0,18	8,84	0,18	7,73	0,18	8,90	0,18	9,98	0,18	9,37	0,18	9,19	0,18	9,28
7,35	9,03	5,67	0,20	8,29	0,20	7,92	0,20	9,33	0,20	6,72	0,20	10,87	0,20	-999,0	0,20	6,09	0,20	6,63	0,20	15,29	0,20	7,59	0,20	8,89	0,20	7,90	0,20	8,32	0,20	9,19	0,20	7,22	0,20	7,67	0,20	5,69	0,20	7,75	0,20	10,73	0,20	9,31	0,20	7,55	0,20	7,53	0,20	6,80	0,20	9,94	0,20	8,86	0,20	7,73	0,20	8,90	0,20	9,96	0,20	9,42	0,20	9,23	0,20	9,31
7,34	9,02	5,66	0,22	8,31	0,22	7,93	0,22	9,33	0,22	6,71	0,22	10,88	0,22	-999,0	0,22	6,07	0,22	6,62	0,22	15,25	0,22	7,59	0,22	8,87	0,22	7,88	0,22	8,31	0,22	9,17	0,22	7,22	0,22	7,66	0,22	5,68	0,22	7,75	0,22	10,73	0,22	9,31	0,22	7,55	0,22	7,53	0,22	6,80	0,22	9,95	0,22	8,87	0,22	7,74	0,22	8,91	0,22	9,95	0,22	9,47	0,22	9,26	0,22	9,33
7,33	9,01	5,65	0,23	8,33	0,23	7,93	0,23	9,33	0,23	6,70	0,23	10,90	0,23	-999,0	0,23	6,05	0,23	6,61	0,23	15,20	0,23	7,58	0,23	8,86	0,23	7,87	0,23	8,30	0,23	9,15	0,23	7,22	0,23	7,66	0,23	5,67	0,23	7,76	0,23	10,73	0,23	9,31	0,23	7,56	0,23	7,54	0,23	6,81	0,23	9,97	0,23	8,89	0,23	7,74	0,23	8,91	0,23	9,93	0,23	9,52	0,23	9,29	0,23	9,36
7,33	9,01	5,64	0,25	8,36	0,25	7,94	0,25	9,34	0,25	6,69	0,25	10,92	0,25	-999,0	0,25	6,04	0,25	6,60	0,25	15,15	0,25	7,58	0,25	8,85	0,25	7,86	0,25	8,28	0,25	9,13	0,25	7,21	0,25	7,66	0,25	5,67	0,25	7,76	0,25	10,73	0,25	9,32	0,25	7,56	0,25	7,54	0,25	6,81	0,25	9,99	0,25	8,90	0,25	7,74	0,25	8,92	0,25	9,94	0,25	9,58	0,25	9,32	0,25	9,39
7,32	9,01	5,63	0,27	8,39	0,27	7,95	0,27	9,35	0,27	6,67	0,27	10,94	0,27	-999,0	0,27	6,02	0,27	6,59	0,27	15,10	0,27	7,57	0,27	8,83	0,27	7,85	0,27	8,26	0,27	9,11	0,27	7,21	0,27	7,66	0,27	5,66	0,27	7,77	0,27	10,74	0,27	9,32	0,27	7,56	0,27	7,54	0,27	6,82	0,27	10,00	0,27	8,92	0,27	7,75	0,27	8,92	0,27	9,94	0,27	9,63	0,27	9,36	0,27	9,41
7,31	9,01	5,62	0,28	8,42	0,28	7,96	0,28	9,35	0,28	6,66	0,28	10,97	0,28	-999,0	0,28	6,01	0,28	6,57	0,28	15,04	0,28	7,57	0,28	8,82	0,28	7,83	0,28	8,24	0,28	9,09	0,28	7,21	0,28	7,65	0,28	5,65	0,28	7,78	0,28	10,74	0,28	9,32	0,28	7,56	0,28	7,55	0,28	6,82	0,28	10,02	0,28	8,93	0,28	7,76	0,28	8,93	0,28	9,94	0,28	9,69	0,28	9,39	0,28	9,44
7,30	9,01	5,60	0,30	8,44	0,30	7,97	0,30	9,36	0,30	6,65	0,30	10,99	0,30	-999,0	0,30	5,99	0,30	6,56	0,30	14,99	0,30	7,57	0,30	8,81	0,30	7,82	0,30	8,22	0,30	9,06	0,30	7,20	0,30	7,65	0,30	5,64	0,30	7,79	0,30	10,75	0,30	9,33	0,30	7,56	0,30	7,55	0,30	6,83	0,30	10,04	0,30	8,95	0,30	7,77	0,30	8,93	0,30	9,94	0,30	9,74	0,30	9,43	0,30	9,47
7,29	9,00	5,59	0,32	8,47	0,32	7,99	0,32	9,37	0,32	6,64	0,32	10,99	0,32	-999,0	0,32	5,98	0,32	6,55	0,32	14,93	0,32	7,56	0,32	8,80	0,32	7,81	0,32	8,20	0,32	9,02	0,32	7,20	0,32	7,64	0,32	5,63	0,32	7,80	0,32	10,75	0,32	9,33	0,32	7,56	0,32	7,55	0,32	6,83	0,32	10,06	0,32	8,97	0,32	7,77	0,32	8,96	0,32	9,93	0,32	9,80	0,32	9,46	0,32	9,50
7,29	8,99	5,58	0,33	8,50	0,33	8,00	0,33	9,38	0,33	6,63	0,33	10,99	0,33	-999,0	0,33	5,96	0,33	6,53	0,33	14,87	0,33	7,56	0,33	8,79	0,33	7,80	0,33	8,18	0,33	8,98	0,33	7,20	0,33	7,63	0,33	5,62	0,33	7,81	0,33	10,75	0,33	9,34	0,33	7,56	0,33	7,56	0,33	6,83	0,33	10,08	0,33	8,98	0,33	7,78	0,33	9,00	0,33	9,93	0,33	9,86	0,33	9,49	0,33	9,53
7,28	8,99	5,56	0,35	8,53	0,35	8,02	0,35	9,38	0,35	6,63	0,35	10,99	0,35	-999,0	0,35	5,94	0,35	6,52	0,35	14,80	0,35	7,56	0,35	8,78	0,35	7,78	0,35	8,16	0,35	8,94	0,35	7,20	0,35	7,63	0,35	5,60	0,35	7,82	0,35	10,76	0,35	9,34	0,35	7,56	0,35	7,56	0,35	6,83	0,35	10,10	0,35	9,00	0,35	7,79	0,35	9,03	0,35	9,93	0,35	9,92	0,35	9,53	0,35	9,56
7,26	8,98	5,55	0,37	8,55	0,37	8,04	0,37	9,40	0,37	6,62	0,37	10,99	0,37	-999,0	0,37	5,92	0,37	6,51	0,37	14,74	0,37	7,55	0,37	8,77	0,37	7,77	0,37	8,13	0,37	8,89	0,37	7,19	0,37	7,62	0,37	5,59	0,37	7,84	0,37	10,76	0,37	9,34	0,37	7,56	0,37	7,56	0,37	6,84	0,37	10,11	0,37	9,02	0,37	7,80	0,37	9,06	0,37	9,92	0,37	9,99	0,37	9,57	0,37	9,60
7,25	8,97	5,54	0,38	8,56	0,38	8,06	0,38	9,41	0,38	6,61	0,38	11,00	0,38	-999,0	0,38	5,90	0,38	6,49	0,38	14,67	0,38	7,55	0,38	8,76	0,38	7,76	0,38	8,11	0,38	8,85	0,38	7,18	0,38	7,61	0,38	5,59	0,38	7,85	0,38	10,76	0,38	9,35	0,38	7,56	0,38	7,56	0,38	6,84	0,38	10,13	0,38	9,04	0,38	7,82	0,38	9,10	0,38	9,91	0,38	10,05	0,38	9,60	0,38	9,63
7,25	8,96	5,53	0,40	8,58	0,40	8,08	0,40	9,43	0,40	6,59	0,40	11,02	0,40	-999,0	0,40	5,88	0,40	6,48	0,40	14,60	0,40	7,55	0,40	8,75	0,40	7,74	0,40	8,08	0,40	8,81	0,40	7,17	0,40	7,60	0,40	5,59	0,40	7,87	0,40	10,76	0,40	9,35	0,40	7,56	0,40	7,56	0,40	6,84	0,40	10,15	0,40	9,06	0,40	7,85	0,40	9,13	0,40	9,91	0,40	10,12	0,40	9,64	0,40	9,66
7,24	8,96	5,51	0,42	8,60	0,42	8,10	0,42	9,44	0,42	6,57	0,42	11,03	0,42	-999,0	0,42	5,86	0,42	6,46	0,42	14,53	0,42	7,55	0,42	8,74	0,42	7,73	0,42	8,06	0,42	8,76	0,42	7,16	0,42	7,60	0,42	5,58	0,42	7,88	0,42	10,76	0,42	9,36	0,42	7,56	0,42	7,56	0,42	6,84	0,42	10,17	0,42	9,08	0,42	7,87	0,42	9,16	0,42	9,91	0,42	10,19	0,42	9,68	0,42	9,69
7,23	8,96	5,50	0,43	8,61	0,43	8,11	0,43	9,45	0,43	6,56	0,43	11,05	0,43	-999,0	0,43	5,84	0,43	6,45	0,43	14,46	0,43	7,55	0,43	8,73	0,43	7,71	0,43	8,03	0,43	8,72	0,43	7,15	0,43	7,59	0,43	5,58	0,43	7,90	0,43	10,77	0,43	9,36	0,43	7,55	0,43	7,56	0,43	6,84	0,43	10,19	0,43	9,10	0,43	7,90	0,43	9,19	0,43	9,91	0,43	10,26	0,43	9,71	0,43	9,73
7,22	8,95	5,48	0,45	8,63	0,45	8,12	0,45	9,47	0,45	6,54	0,45	11,07	0,45	-999,0	0,45	5,81	0,45	6,43	0,45	14,39	0,45	7,54	0,45	8,72	0,45	7,70	0,45	8,00	0,45	8,67	0,45	7,14	0,45	7,57	0,45	5,58	0,45	7,92	0,45	10,77	0,45	9,36	0,45	7,55	0,45	7,56	0,45	6,84	0,45	10,21	0,45	9,15	0,45	7,92	0,45	9,22	0,45	9,91	0,45	10,33	0,45	9,75	0,45	9,76
7,21	8,94	5,47	0,47	8,65	0,47	8,14	0,47	9,46	0,47	6,53	0,47	11,09	0,47	-999,0	0,47	5,79	0,47	6,41	0,47	14,31	0,47	7,54	0,47	8,71	0,47	7,68	0,47	7,97	0,47	8,62	0,47	7,13	0,47	7,56	0,47	5,58	0,47	7,93	0,47	10,77	0,47	9,37	0,47	7,55	0,47	7,56	0,47	6,84	0,47	10,23	0,47	9,19	0,47	7,94	0,47	9,25	0,47	9,90	0,47	10,41	0,47	9,79	0,47	9,78
7,19	8,93	5,45	0,48	8,66	0,48	8,15	0,48	9,45	0,48	6,51	0,48	11,10	0,48	-999,0	0,48	5,76	0,48	6,40	0,48	14,24	0,48	7,54	0,48	8,70	0,48	7,67	0,48	7,94	0,48	8,58	0,48	7,12	0,48	7,55	0,48	5,57	0,48	7,95	0,48	10,76	0,48	9,37	0,48	7,55	0,48	7,56	0,48	6,84	0,48	10,24	0,48	9,24	0,48	7,97	0,48	9,28	0,48	9,89	0,48	10,48	0,48	9,83	0,48	9,79
7,18	8,92	5,44	0,50	8,68	0,50	8,16	0,50	9,44	0,50	6,49	0,50	11,12	0,50	-999,0	0,50	5,74	0,50	6,38	0,50	14,16	0,50	7,54	0,50	8,69	0,50	7,65	0,50	7,91	0,50	8,53	0,50	7,11	0,50	7,53	0,50	5,57	0,50	7,97	0,50	10,76	0,50	9,37	0,50	7,55	0,50	7,56	0,50	6,84	0,50	10,26	0,50	9,29	0,50	7,99	0,50	9,31	0,50	9,89	0,50	10,56	0,50	9,87	0,50	9,80
7,17	8,91	5,43	0,52	8,69	0,52	8,18	0,52	9,42	0,52	6,48	0,52	11,14	0,52	-999,0	0,52	5,71	0,52	6,36	0,52	14,08	0,52	7,54	0,52	8,68	0,52	7,63	0,52	7,88	0,52	8,48	0,52	7,11	0,52	7,52	0,52	5,57	0,52	7,99	0,52	10,76	0,52	9,38	0,52	7,55	0,52	7,56	0,52	6,84	0,52	10,30	0,52	9,34	0,52	8,01	0,52	9,34	0,52	9,88	0,52	10,64	0,52	9,91	0,52	9,81
7,16	8,90	5,41	0,53	8,71	0,53	8,19	0,53	9,41	0,53	6,46	0,53	11,16	0,53	-999,0	0,53	5,69	0,53	6,34	0,53	14,00	0,53	7,54	0,53	8,67	0,53	7,62	0,53	7,85	0,53	8,43	0,53	7,11	0,53	7,50	0,53	5,57	0,53	8,01	0,53	10,76	0,53	9,38	0,53	7,55	0,53	7,55	0,53	6,84	0,53	10,35	0,53	9,39	0,53	8,03	0,53	9,38	0,53	9,87	0,53	10,73	0,53	9,93	0,53	9,82
7,15	8,90	5,40	0,55	8,73	0,55	8,19	0,55	9,41	0,55	6,44	0,55	11,17	0,55	-999,0	0,55	5,67	0,55	6,33	0,55	13,92	0,55	7,53	0,55	8,66	0,55	7,60	0,55	7,81	0,55	8,38	0,55	7,11	0,55	7,49	0,55	5,56	0,55	8,04	0,55	10,75	0,55	9,39	0,55	7,55	0,55	7,55	0,55	6,84	0,55	10,39	0,55	9,44	0,55	8,06	0,55	9,41	0,55	9,87	0,55	10,81	0,55	9,96	0,55	9,83
7,13	8,89	5,38	0,57	8,75	0,57	8,21	0,57	9,40	0,57	6,42	0,57	11,18	0,57	-999,0	0,57	5,64	0,57	6,31	0,57	13,84	0,57	7,53	0,57	8,64	0,57	7,58	0,57	7,78	0,57	8,33	0,57	7,11	0,57	7,48	0,57	5,55	0,57	8,06	0,57	10,75	0,57	9,40	0,57	7,55	0,57	7,55	0,57	6,84	0,57	10,43	0,57	9,49	0,57	8,08	0,57	9,44	0,57	9,86	0,57	10,90	0,57	9,98	0,57	9,84
7,13	8,88	5,37	0,58	8,77	0,58	8,22	0,58	9,39	0,58	6,40	0,58	11,20	0,58	-999,0	0,58	5,62	0,58	6,29	0,58	13,75	0,58	7,53	0,58	8,63	0,58	7,56	0,58	7,75	0,58	8,27	0,58	7,11	0,58	7,48	0,58	5,55	0,58	8,09	0,58	10,75	0,58	9,40	0,58	7,55	0,58	7,55	0,58	6,85	0,58	10,48	0,58	9,54	0,58	8,10	0,58	9,47	0,58	9,86	0,58	10,99	0,58	10,00	0,58	9,86
7,12	8,87	5,36	0,60	8,77	0,60	8,24	0,60	9,38	0,60	6,37	0,60	11,21	0,60	-999,0	0,60	5,60	0,60	6,27	0,60	13,67	0,60	7,52	0,60	8,62	0,60	7,54	0,60	7,71	0,60	8,23	0,60	7,11	0,60	7,47	0,60	5,54	0,60	8,12	0,60	10,74	0,60	9,41	0,60	7,55	0,60	7,55	0,60	6,86	0,60	10,52	0,60	9,59	0,60	8,13	0,60	9,50	0,60	9,85	0,60	11,03	0,60	10,03	0,60	9,87
7,10	8,86	5,34	0,62	8,77	0,62	8,26	0,62	9,37	0,62	6,35	0,62	11,21	0,62	-999,0	0,62	5,58	0,62	6,26	0,62	13,58	0,62	7,52	0,62	8,60	0,62	7,52	0,62	7,68	0,62	8,19	0,62	7,11	0,62	7,46	0,62	5,53	0,62	8,14	0,62	10,73	0,62	9,41	0,62	7,56	0,62	7,56	0,62	6,87	0,62	10,56	0,62	9,64	0,62	8,15	0,62	9,54	0,62	9,83	0,62	11,07	0,62	10,05	0,62	9,89
7,09	8,85	5,33	0,63	8,79	0,63	8,27	0,63	9,36	0,63	6,33	0,63	11,20	0,63	-999,0	0,63	5,56	0,63	6,24	0,63	13,49	0,63	7,52	0,63	8,59	0,63	7,50	0,63	7,65	0,63	8,15	0,63	7,12	0,63	7,46	0,63	5,53	0,63	8,18	0,63	10,73	0,63	9,42	0,63	7,56	0,63	7,56	0,63	6,88	0,63	10,61	0,63	9,68	0,63	8,18	0,63	9,57	0,63	9,82	0,63	11,12	0,63	10,08	0,63	9,92
7,08	8,84	5,32	0,65	8,80	0,65	8,29	0,65	9,34	0,65	6,30	0,65	11,20	0,65	-999,0	0,65	5,54	0,65	6,22	0,65	13,41	0,65	7,51	0,65	8,57	0,65	7,48	0,65	7,61	0,65	8,10	0,65	7,13	0,65	7,45	0,65	5,52	0,65	8,21	0,65	10,72	0,65	9,42	0,65	7,56	0,65	7,58	0,65	6,88	0,65	10,65	0,65	9,73	0,65	8,20	0,65	9,60	0,65	9,81	0,65	11,16	0,65	10,10	0,65	9,95
7,06	8,82	5,31	0,67	8,81	0,67	8,30	0,67	9,32	0,67	6,28	0,67	11,19	0,67	-999,0	0,67	5,52	0,67	6,20	0,67	13,32	0,67	7,51	0,67	8,56	0,67	7,46	0,67	7,59	0,67	8,06	0,67	7,13	0,67	7,44	0,67	5,51	0,67	8,24	0,67	10,71	0,67	9,43	0,67	7,57	0,67	7,60	0,67	6,89	0,67	10,69	0,67	9,78	0,67	8,23	0,67	9,63	0,67	9,79	0,67	11,21	0,67	10,13	0,67	9,98
7,05	8,80	5,30	0,68	8,82	0,68	8,31	0,68	9,31	0,68	6,25	0,68	11,18	0,68	-999,0	0,68	5,50	0,68	6,18	0,68	13,23	0,68	7,50	0,68	8,54	0,68	7,43	0,68	7,57	0,68	8,03	0,68	7,14	0,68	7,44	0,68	5,51	0,68	8,28	0,68	10,70	0,68	9,44	0,68	7,57	0,68	7,62	0,68	6,90	0,68	10,73	0,68	9,83	0,68	8,26	0,68	9,66	0,68	9,76	0,68	11,25	0,68	10,17	0,68	10,01
