Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,29	6,72	3,86	0,00	6,74	0,00	7,35	0,00	7,31	0,00	5,45	0,00	7,83	0,00	5,35	0,00	5,46	0,00	3,66	0,00	10,20	0,00	4,13	0,00	3,95	0,00	3,68	0,00	2,60	0,00	5,43	0,00	3,81	0,00	4,59	0,00	3,33	0,00	5,42	0,00	7,32	0,00	8,33	0,00	4,72	0,00	6,00	0,00	4,10	0,00	6,99	0,00	5,47	0,00	8,04	0,00	8,03	0,00	7,72	0,00	8,07	0,00	8,91	0,00	5,60
5,29	6,72	3,85	0,02	6,74	0,02	7,35	0,02	7,31	0,02	5,45	0,02	7,83	0,02	5,34	0,02	5,46	0,02	3,66	0,02	10,20	0,02	4,13	0,02	3,95	0,02	3,68	0,02	2,60	0,02	5,42	0,02	3,81	0,02	4,59	0,02	3,33	0,02	5,42	0,02	7,32	0,02	8,33	0,02	4,72	0,02	6,00	0,02	4,10	0,02	6,99	0,02	5,47	0,02	8,04	0,02	8,03	0,02	7,72	0,02	8,07	0,02	8,91	0,02	5,60
5,29	6,72	3,85	0,03	6,75	0,03	7,35	0,03	7,31	0,03	5,45	0,03	7,83	0,03	5,33	0,03	5,46	0,03	3,66	0,03	10,20	0,03	4,13	0,03	3,95	0,03	3,68	0,03	2,60	0,03	5,42	0,03	3,81	0,03	4,59	0,03	3,33	0,03	5,42	0,03	7,32	0,03	8,33	0,03	4,72	0,03	6,00	0,03	4,10	0,03	6,99	0,03	5,47	0,03	8,04	0,03	8,03	0,03	7,72	0,03	8,07	0,03	8,91	0,03	5,60
5,28	6,71	3,85	0,05	6,74	0,05	7,34	0,05	7,31	0,05	5,44	0,05	7,83	0,05	5,32	0,05	5,46	0,05	3,66	0,05	10,19	0,05	4,13	0,05	3,95	0,05	3,68	0,05	2,60	0,05	5,41	0,05	3,81	0,05	4,59	0,05	3,33	0,05	5,42	0,05	7,32	0,05	8,33	0,05	4,72	0,05	6,00	0,05	4,10	0,05	6,99	0,05	5,47	0,05	8,04	0,05	8,04	0,05	7,71	0,05	8,07	0,05	8,91	0,05	5,60
5,28	6,71	3,85	0,07	6,74	0,07	7,34	0,07	7,31	0,07	5,44	0,07	7,84	0,07	5,31	0,07	5,46	0,07	3,66	0,07	10,19	0,07	4,13	0,07	3,95	0,07	3,68	0,07	2,60	0,07	5,41	0,07	3,81	0,07	4,58	0,07	3,33	0,07	5,43	0,07	7,32	0,07	8,33	0,07	4,72	0,07	5,99	0,07	4,10	0,07	6,99	0,07	5,47	0,07	8,05	0,07	8,05	0,07	7,71	0,07	8,07	0,07	8,91	0,07	5,60
5,27	6,70	3,85	0,08	6,74	0,08	7,34	0,08	7,31	0,08	5,44	0,08	7,83	0,08	5,31	0,08	5,45	0,08	3,66	0,08	10,18	0,08	4,13	0,08	3,95	0,08	3,67	0,08	2,60	0,08	5,40	0,08	3,80	0,08	4,58	0,08	3,33	0,08	5,44	0,08	7,32	0,08	8,33	0,08	4,72	0,08	5,99	0,08	4,10	0,08	6,99	0,08	5,47	0,08	8,06	0,08	8,06	0,08	7,70	0,08	8,08	0,08	8,91	0,08	5,61
5,27	6,70	3,84	0,10	6,74	0,10	7,33	0,10	7,31	0,10	5,44	0,10	7,82	0,10	5,30	0,10	5,44	0,10	3,66	0,10	10,17	0,10	4,13	0,10	3,95	0,10	3,67	0,10	2,60	0,10	5,39	0,10	3,80	0,10	4,58	0,10	3,33	0,10	5,44	0,10	7,32	0,10	8,33	0,10	4,72	0,10	5,98	0,10	4,10	0,10	6,99	0,10	5,47	0,10	8,07	0,10	8,07	0,10	7,70	0,10	8,08	0,10	8,91	0,10	5,61
5,27	6,69	3,84	0,12	6,74	0,12	7,33	0,12	7,31	0,12	5,44	0,12	7,82	0,12	5,29	0,12	5,43	0,12	3,65	0,12	10,15	0,12	4,13	0,12	3,95	0,12	3,67	0,12	2,60	0,12	5,37	0,12	3,80	0,12	4,58	0,12	3,34	0,12	5,45	0,12	7,32	0,12	8,33	0,12	4,72	0,12	5,98	0,12	4,10	0,12	6,98	0,12	5,46	0,12	8,07	0,12	8,08	0,12	7,70	0,12	8,09	0,12	8,91	0,12	5,61
5,27	6,69	3,85	0,13	6,74	0,13	7,33	0,13	7,31	0,13	5,44	0,13	7,81	0,13	5,29	0,13	5,42	0,13	3,65	0,13	10,14	0,13	4,13	0,13	3,94	0,13	3,67	0,13	2,60	0,13	5,36	0,13	3,79	0,13	4,58	0,13	3,35	0,13	5,46	0,13	7,32	0,13	8,32	0,13	4,71	0,13	5,97	0,13	4,09	0,13	6,98	0,13	5,47	0,13	8,08	0,13	8,09	0,13	7,70	0,13	8,10	0,13	8,91	0,13	5,61
5,26	6,68	3,85	0,15	6,74	0,15	7,33	0,15	7,31	0,15	5,44	0,15	7,80	0,15	5,28	0,15	5,41	0,15	3,64	0,15	10,12	0,15	4,13	0,15	3,94	0,15	3,67	0,15	2,60	0,15	5,34	0,15	3,78	0,15	4,58	0,15	3,35	0,15	5,47	0,15	7,32	0,15	8,32	0,15	4,71	0,15	5,97	0,15	4,09	0,15	6,98	0,15	5,47	0,15	8,09	0,15	8,10	0,15	7,69	0,15	8,10	0,15	8,91	0,15	5,62
