Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
10,09	13,22	6,97	0,00	14,39	0,00	10,44	0,00	14,32	0,00	9,29	0,00	17,44	0,00	9,27	0,00	8,29	0,00	9,64	0,00	20,18	0,00	8,47	0,00	11,22	0,00	10,13	0,00	10,32	0,00	11,35	0,00	8,29	0,00	14,53	0,00	5,75	0,00	14,04	0,00	16,54	0,00	17,09	0,00	9,22	0,00	9,93	0,00	9,08	0,00	17,08	0,00	14,92	0,00	10,65	0,00	20,76	0,00	12,62	0,00	12,14	0,00	10,79	0,00	10,21
10,09	13,22	6,97	0,02	14,39	0,02	10,44	0,02	14,32	0,02	9,29	0,02	17,44	0,02	9,27	0,02	8,29	0,02	9,64	0,02	20,18	0,02	8,47	0,02	11,22	0,02	10,13	0,02	10,32	0,02	11,35	0,02	8,29	0,02	14,53	0,02	5,75	0,02	14,04	0,02	16,54	0,02	17,09	0,02	9,22	0,02	9,93	0,02	9,08	0,02	17,08	0,02	14,93	0,02	10,65	0,02	20,76	0,02	12,62	0,02	12,15	0,02	10,79	0,02	10,21
10,09	13,22	6,97	0,03	14,39	0,03	10,44	0,03	14,33	0,03	9,29	0,03	17,45	0,03	9,27	0,03	8,28	0,03	9,65	0,03	20,17	0,03	8,47	0,03	11,22	0,03	10,13	0,03	10,31	0,03	11,34	0,03	8,29	0,03	14,53	0,03	5,76	0,03	14,04	0,03	16,54	0,03	17,09	0,03	9,23	0,03	9,93	0,03	9,08	0,03	17,08	0,03	14,93	0,03	10,65	0,03	20,76	0,03	12,62	0,03	12,16	0,03	10,79	0,03	10,22
10,09	13,22	6,97	0,05	14,39	0,05	10,44	0,05	14,33	0,05	9,29	0,05	17,46	0,05	9,27	0,05	8,28	0,05	9,65	0,05	20,17	0,05	8,48	0,05	11,16	0,05	10,11	0,05	10,31	0,05	11,34	0,05	8,29	0,05	14,53	0,05	5,76	0,05	14,04	0,05	16,54	0,05	17,08	0,05	9,23	0,05	9,93	0,05	9,08	0,05	17,08	0,05	14,94	0,05	10,65	0,05	20,75	0,05	12,62	0,05	12,18	0,05	10,80	0,05	10,22
10,09	13,22	6,97	0,07	14,38	0,07	10,44	0,07	14,33	0,07	9,29	0,07	17,47	0,07	9,27	0,07	8,28	0,07	9,65	0,07	20,16	0,07	8,48	0,07	11,09	0,07	10,09	0,07	10,31	0,07	11,33	0,07	8,30	0,07	14,53	0,07	5,76	0,07	14,05	0,07	16,54	0,07	17,08	0,07	9,23	0,07	9,93	0,07	9,08	0,07	17,08	0,07	14,95	0,07	10,65	0,07	20,75	0,07	12,63	0,07	12,20	0,07	10,81	0,07	10,23
10,09	13,22	6,97	0,08	14,37	0,08	10,44	0,08	14,33	0,08	9,28	0,08	17,48	0,08	9,27	0,08	8,27	0,08	9,65	0,08	20,15	0,08	8,49	0,08	11,03	0,08	10,07	0,08	10,30	0,08	11,32	0,08	8,30	0,08	14,53	0,08	5,77	0,08	14,05	0,08	16,54	0,08	17,08	0,08	9,23	0,08	9,94	0,08	9,08	0,08	17,08	0,08	14,97	0,08	10,66	0,08	20,75	0,08	12,63	0,08	12,24	0,08	10,83	0,08	10,24
10,09	13,22	6,97	0,10	14,37	0,10	10,44	0,10	14,33	0,10	9,28	0,10	17,50	0,10	9,27	0,10	8,26	0,10	9,65	0,10	20,14	0,10	8,50	0,10	10,96	0,10	10,05	0,10	10,30	0,10	11,30	0,10	8,31	0,10	14,53	0,10	5,77	0,10	14,06	0,10	16,54	0,10	17,09	0,10	9,23	0,10	9,95	0,10	9,09	0,10	17,08	0,10	14,99	0,10	10,66	0,10	20,75	0,10	12,64	0,10	12,28	0,10	10,85	0,10	10,26
10,10	13,22	6,97	0,12	14,34	0,12	10,44	0,12	14,34	0,12	9,27	0,12	17,52	0,12	9,26	0,12	8,26	0,12	9,66	0,12	20,12	0,12	8,49	0,12	10,90	0,12	10,03	0,12	10,26	0,12	11,29	0,12	8,31	0,12	14,53	0,12	5,79	0,12	14,06	0,12	16,54	0,12	17,09	0,12	9,23	0,12	9,96	0,12	9,09	0,12	17,07	0,12	15,01	0,12	10,66	0,12	20,74	0,12	12,64	0,12	12,33	0,12	10,87	0,12	10,27
10,10	13,22	6,98	0,13	14,30	0,13	10,44	0,13	14,34	0,13	9,27	0,13	17,55	0,13	9,26	0,13	8,25	0,13	9,66	0,13	20,11	0,13	8,48	0,13	10,84	0,13	10,01	0,13	10,22	0,13	11,28	0,13	8,31	0,13	14,53	0,13	5,80	0,13	14,07	0,13	16,54	0,13	17,10	0,13	9,24	0,13	9,96	0,13	9,09	0,13	17,07	0,13	15,04	0,13	10,67	0,13	20,74	0,13	12,65	0,13	12,39	0,13	10,90	0,13	10,30
10,10	13,22	6,98	0,15	14,27	0,15	10,44	0,15	14,34	0,15	9,27	0,15	17,57	0,15	9,26	0,15	8,24	0,15	9,67	0,15	20,09	0,15	8,48	0,15	10,78	0,15	9,99	0,15	10,18	0,15	11,27	0,15	8,31	0,15	14,53	0,15	5,82	0,15	14,08	0,15	16,54	0,15	17,10	0,15	9,24	0,15	9,97	0,15	9,10	0,15	17,07	0,15	15,06	0,15	10,67	0,15	20,74	0,15	12,66	0,15	12,45	0,15	10,93	0,15	10,32
