Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,16	7,99	6,33	0,00	6,80	0,00	7,45	0,00	7,06	0,00	6,45	0,00	8,73	0,00	7,03	0,00	5,81	0,00	5,63	0,00	12,14	0,00	6,83	0,00	6,62	0,00	7,69	0,00	4,88	0,00	7,78	0,00	6,17	0,00	7,90	0,00	6,90	0,00	6,50	0,00	9,50	0,00	9,84	0,00	7,71	0,00	7,68	0,00	5,38	0,00	7,16	0,00	2,68	0,00	6,55	0,00	7,53	0,00	8,15	0,00	7,19	0,00	7,40	0,00	5,90
7,16	7,99	6,33	0,02	6,80	0,02	7,45	0,02	7,06	0,02	6,45	0,02	8,73	0,02	7,03	0,02	5,81	0,02	5,63	0,02	12,14	0,02	6,83	0,02	6,62	0,02	7,69	0,02	4,88	0,02	7,78	0,02	6,17	0,02	7,90	0,02	6,90	0,02	6,50	0,02	9,50	0,02	9,84	0,02	7,71	0,02	7,68	0,02	5,38	0,02	7,16	0,02	2,68	0,02	6,55	0,02	7,53	0,02	8,15	0,02	7,19	0,02	7,40	0,02	5,90
7,16	7,99	6,33	0,03	6,80	0,03	7,45	0,03	7,06	0,03	6,45	0,03	8,73	0,03	7,02	0,03	5,81	0,03	5,63	0,03	12,13	0,03	6,83	0,03	6,62	0,03	7,69	0,03	4,88	0,03	7,78	0,03	6,17	0,03	7,90	0,03	6,90	0,03	6,49	0,03	9,50	0,03	9,84	0,03	7,71	0,03	7,68	0,03	5,38	0,03	7,16	0,03	2,68	0,03	6,55	0,03	7,54	0,03	8,15	0,03	7,19	0,03	7,40	0,03	5,91
7,15	7,98	6,33	0,05	6,79	0,05	7,46	0,05	7,06	0,05	6,45	0,05	8,73	0,05	7,02	0,05	5,81	0,05	5,63	0,05	12,13	0,05	6,83	0,05	6,62	0,05	7,69	0,05	4,88	0,05	7,78	0,05	6,17	0,05	7,90	0,05	6,90	0,05	6,49	0,05	9,50	0,05	9,83	0,05	7,71	0,05	7,68	0,05	5,38	0,05	7,16	0,05	2,68	0,05	6,55	0,05	7,54	0,05	8,14	0,05	7,19	0,05	7,40	0,05	5,91
7,15	7,98	6,32	0,07	6,80	0,07	7,47	0,07	7,06	0,07	6,45	0,07	8,72	0,07	7,01	0,07	5,81	0,07	5,63	0,07	12,12	0,07	6,84	0,07	6,62	0,07	7,70	0,07	4,88	0,07	7,77	0,07	6,17	0,07	7,90	0,07	6,89	0,07	6,49	0,07	9,50	0,07	9,83	0,07	7,71	0,07	7,68	0,07	5,38	0,07	7,16	0,07	2,68	0,07	6,54	0,07	7,55	0,07	8,14	0,07	7,19	0,07	7,40	0,07	5,91
7,15	7,97	6,32	0,08	6,80	0,08	7,48	0,08	7,06	0,08	6,46	0,08	8,72	0,08	7,00	0,08	5,81	0,08	5,63	0,08	12,12	0,08	6,84	0,08	6,62	0,08	7,70	0,08	4,88	0,08	7,77	0,08	6,16	0,08	7,90	0,08	6,88	0,08	6,49	0,08	9,50	0,08	9,83	0,08	7,71	0,08	7,68	0,08	5,38	0,08	7,16	0,08	2,68	0,08	6,54	0,08	7,55	0,08	8,14	0,08	7,20	0,08	7,40	0,08	5,91
7,14	7,97	6,32	0,10	6,80	0,10	7,48	0,10	7,07	0,10	6,46	0,10	8,71	0,10	6,99	0,10	5,82	0,10	5,63	0,10	12,11	0,10	6,84	0,10	6,61	0,10	7,70	0,10	4,88	0,10	7,76	0,10	6,16	0,10	7,90	0,10	6,87	0,10	6,49	0,10	9,50	0,10	9,83	0,10	7,71	0,10	7,67	0,10	5,38	0,10	7,16	0,10	2,68	0,10	6,55	0,10	7,55	0,10	8,14	0,10	7,20	0,10	7,40	0,10	5,91
7,13	7,96	6,31	0,12	6,81	0,12	7,49	0,12	7,08	0,12	6,46	0,12	8,70	0,12	6,98	0,12	5,81	0,12	5,63	0,12	12,10	0,12	6,84	0,12	6,61	0,12	7,70	0,12	4,88	0,12	7,75	0,12	6,16	0,12	7,89	0,12	6,86	0,12	6,48	0,12	9,49	0,12	9,82	0,12	7,71	0,12	7,67	0,12	5,38	0,12	7,15	0,12	2,68	0,12	6,55	0,12	7,55	0,12	8,13	0,12	7,20	0,12	7,40	0,12	5,91
7,13	7,96	6,30	0,13	6,81	0,13	7,49	0,13	7,09	0,13	6,46	0,13	8,69	0,13	6,98	0,13	5,80	0,13	5,63	0,13	12,08	0,13	6,85	0,13	6,61	0,13	7,70	0,13	4,88	0,13	7,74	0,13	6,16	0,13	7,88	0,13	6,84	0,13	6,48	0,13	9,48	0,13	9,82	0,13	7,71	0,13	7,66	0,13	5,38	0,13	7,15	0,13	2,68	0,13	6,55	0,13	7,56	0,13	8,13	0,13	7,21	0,13	7,40	0,13	5,92
7,12	7,95	6,29	0,15	6,82	0,15	7,50	0,15	7,10	0,15	6,46	0,15	8,68	0,15	6,97	0,15	5,79	0,15	5,62	0,15	12,07	0,15	6,85	0,15	6,60	0,15	7,70	0,15	4,88	0,15	7,72	0,15	6,16	0,15	7,87	0,15	6,83	0,15	6,48	0,15	9,47	0,15	9,81	0,15	7,71	0,15	7,66	0,15	5,37	0,15	7,14	0,15	2,69	0,15	6,56	0,15	7,56	0,15	8,12	0,15	7,22	0,15	7,40	0,15	5,92
