Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,34	11,72	6,95	0,00	13,30	0,00	9,37	0,00	11,77	0,00	9,25	0,00	14,96	0,00	9,14	0,00	8,13	0,00	7,98	0,00	17,96	0,00	7,86	0,00	10,90	0,00	9,74	0,00	9,45	0,00	10,49	0,00	8,53	0,00	11,84	0,00	5,62	0,00	11,79	0,00	14,43	0,00	15,27	0,00	8,99	0,00	9,76	0,00	8,79	0,00	14,43	0,00	11,87	0,00	9,89	0,00	17,44	0,00	11,95	0,00	10,53	0,00	9,06	0,00	10,11
9,34	11,72	6,95	0,02	13,30	0,02	9,37	0,02	11,77	0,02	9,25	0,02	14,96	0,02	9,14	0,02	8,13	0,02	7,98	0,02	17,96	0,02	7,86	0,02	10,83	0,02	9,75	0,02	9,45	0,02	10,49	0,02	8,53	0,02	11,84	0,02	5,62	0,02	11,79	0,02	14,43	0,02	15,27	0,02	8,99	0,02	9,76	0,02	8,79	0,02	14,43	0,02	11,87	0,02	9,89	0,02	17,44	0,02	11,95	0,02	10,54	0,02	9,06	0,02	10,11
9,34	11,72	6,95	0,03	13,30	0,03	9,37	0,03	11,77	0,03	9,25	0,03	14,97	0,03	9,14	0,03	8,13	0,03	7,98	0,03	17,96	0,03	7,86	0,03	10,77	0,03	9,75	0,03	9,45	0,03	10,48	0,03	8,53	0,03	11,84	0,03	5,62	0,03	11,79	0,03	14,43	0,03	15,27	0,03	8,99	0,03	9,76	0,03	8,79	0,03	14,42	0,03	11,87	0,03	9,89	0,03	17,44	0,03	11,95	0,03	10,55	0,03	9,06	0,03	10,12
9,33	11,72	6,95	0,05	13,30	0,05	9,37	0,05	11,77	0,05	9,25	0,05	14,97	0,05	9,14	0,05	8,12	0,05	7,98	0,05	17,95	0,05	7,86	0,05	10,70	0,05	9,75	0,05	9,45	0,05	10,48	0,05	8,53	0,05	11,84	0,05	5,62	0,05	11,80	0,05	14,43	0,05	15,27	0,05	8,99	0,05	9,76	0,05	8,79	0,05	14,42	0,05	11,87	0,05	9,89	0,05	17,44	0,05	11,95	0,05	10,56	0,05	9,07	0,05	10,12
9,33	11,72	6,95	0,07	13,29	0,07	9,37	0,07	11,78	0,07	9,24	0,07	14,99	0,07	9,14	0,07	8,12	0,07	7,98	0,07	17,94	0,07	7,87	0,07	10,64	0,07	9,75	0,07	9,45	0,07	10,47	0,07	8,54	0,07	11,84	0,07	5,62	0,07	11,80	0,07	14,42	0,07	15,26	0,07	8,99	0,07	9,76	0,07	8,79	0,07	14,42	0,07	11,88	0,07	9,89	0,07	17,44	0,07	11,95	0,07	10,59	0,07	9,08	0,07	10,13
9,33	11,72	6,95	0,08	13,29	0,08	9,37	0,08	11,78	0,08	9,24	0,08	15,00	0,08	9,14	0,08	8,11	0,08	7,99	0,08	17,92	0,08	7,86	0,08	10,58	0,08	9,74	0,08	9,44	0,08	10,47	0,08	8,54	0,08	11,84	0,08	5,63	0,08	11,81	0,08	14,42	0,08	15,26	0,08	8,99	0,08	9,77	0,08	8,79	0,08	14,41	0,08	11,89	0,08	9,89	0,08	17,45	0,08	11,95	0,08	10,62	0,08	9,09	0,08	10,14
9,33	11,72	6,95	0,10	13,28	0,10	9,37	0,10	11,79	0,10	9,23	0,10	15,02	0,10	9,13	0,10	8,11	0,10	7,99	0,10	17,91	0,10	7,85	0,10	10,52	0,10	9,72	0,10	9,44	0,10	10,46	0,10	8,54	0,10	11,84	0,10	5,63	0,10	11,81	0,10	14,42	0,10	15,25	0,10	8,99	0,10	9,77	0,10	8,79	0,10	14,41	0,10	11,90	0,10	9,89	0,10	17,45	0,10	11,96	0,10	10,65	0,10	9,11	0,10	10,16
9,33	11,72	6,95	0,12	13,27	0,12	9,37	0,12	11,80	0,12	9,22	0,12	15,04	0,12	9,13	0,12	8,10	0,12	8,00	0,12	17,89	0,12	7,85	0,12	10,47	0,12	9,71	0,12	9,44	0,12	10,46	0,12	8,54	0,12	11,84	0,12	5,64	0,12	11,82	0,12	14,42	0,12	15,26	0,12	8,99	0,12	9,78	0,12	8,79	0,12	14,40	0,12	11,91	0,12	9,89	0,12	17,46	0,12	11,96	0,12	10,70	0,12	9,13	0,12	10,18
9,33	11,72	6,95	0,13	13,27	0,13	9,37	0,13	11,81	0,13	9,22	0,13	15,07	0,13	9,13	0,13	8,09	0,13	8,01	0,13	17,87	0,13	7,84	0,13	10,41	0,13	9,70	0,13	9,43	0,13	10,45	0,13	8,54	0,13	11,84	0,13	5,64	0,13	11,83	0,13	14,42	0,13	15,26	0,13	8,99	0,13	9,78	0,13	8,80	0,13	14,40	0,13	11,92	0,13	9,90	0,13	17,46	0,13	11,96	0,13	10,75	0,13	9,15	0,13	10,20
9,33	11,71	6,95	0,15	13,23	0,15	9,37	0,15	11,82	0,15	9,21	0,15	15,10	0,15	9,12	0,15	8,07	0,15	8,01	0,15	17,82	0,15	7,84	0,15	10,36	0,15	9,69	0,15	9,40	0,15	10,43	0,15	8,54	0,15	11,84	0,15	5,66	0,15	11,84	0,15	14,42	0,15	15,26	0,15	8,99	0,15	9,79	0,15	8,80	0,15	14,39	0,15	11,93	0,15	9,90	0,15	17,47	0,15	11,97	0,15	10,80	0,15	9,17	0,15	10,22
9,33	11,71	6,95	0,17	13,20	0,17	9,37	0,17	11,82	0,17	9,20	0,17	15,13	0,17	9,12	0,17	8,06	0,17	8,02	0,17	17,76	0,17	7,83	0,17	10,31	0,17	9,68	0,17	9,37	0,17	10,42	0,17	8,53	0,17	11,84	0,17	5,67	0,17	11,85	0,17	14,42	0,17	15,26	0,17	8,99	0,17	9,79	0,17	8,81	0,17	14,39	0,17	11,95	0,17	9,90	0,17	17,47	0,17	11,97	0,17	10,86	0,17	9,20	0,17	10,24
9,33	11,71	6,96	0,18	13,17	0,18	9,37	0,18	11,83	0,18	9,19	0,18	15,17	0,18	9,11	0,18	8,05	0,18	8,03	0,18	17,71	0,18	7,83	0,18	10,26	0,18	9,67	0,18	9,34	0,18	10,40	0,18	8,53	0,18	11,84	0,18	5,69	0,18	11,86	0,18	14,43	0,18	15,26	0,18	8,98	0,18	9,80	0,18	8,82	0,18	14,38	0,18	11,96	0,18	9,91	0,18	17,48	0,18	11,98	0,18	10,93	0,18	9,23	0,18	10,27
9,33	11,71	6,96	0,20	13,13	0,20	9,37	0,20	11,84	0,20	9,19	0,20	15,21	0,20	9,11	0,20	8,03	0,20	8,04	0,20	17,65	0,20	7,83	0,20	10,21	0,20	9,66	0,20	9,31	0,20	10,39	0,20	8,53	0,20	11,84	0,20	5,70	0,20	11,88	0,20	14,43	0,20	15,27	0,20	8,98	0,20	9,81	0,20	8,82	0,20	14,39	0,20	11,98	0,20	9,91	0,20	17,48	0,20	11,98	0,20	11,01	0,20	9,26	0,20	10,33
