Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
18,56	26,91	10,22	0,00	24,32	0,00	12,21	0,00	20,74	0,00	10,53	0,00	26,90	0,00	11,39	0,00	10,62	0,00	14,65	0,00	22,87	0,00	9,94	0,00	22,27	0,00	13,01	0,00	15,67	0,00	18,87	0,00	10,47	0,00	28,04	0,00	13,38	0,00	28,91	0,00	27,13	0,00	26,12	0,00	15,85	0,00	22,30	0,00	11,41	0,00	25,94	0,00	28,86	0,00	20,53	0,00	31,58	0,00	29,39	0,00	32,70	0,00	21,53	0,00	21,36
18,56	26,91	10,22	0,02	24,32	0,02	12,21	0,02	20,74	0,02	10,53	0,02	26,90	0,02	11,39	0,02	10,62	0,02	14,65	0,02	22,87	0,02	9,94	0,02	22,27	0,02	13,01	0,02	15,67	0,02	18,86	0,02	10,47	0,02	28,04	0,02	13,38	0,02	28,90	0,02	27,14	0,02	26,12	0,02	15,85	0,02	22,30	0,02	11,41	0,02	25,94	0,02	28,86	0,02	20,53	0,02	31,58	0,02	29,39	0,02	32,70	0,02	21,53	0,02	21,36
18,57	26,91	10,22	0,03	24,31	0,03	12,21	0,03	20,74	0,03	10,53	0,03	26,90	0,03	11,39	0,03	10,62	0,03	14,65	0,03	22,87	0,03	9,95	0,03	22,26	0,03	13,01	0,03	15,67	0,03	18,86	0,03	10,47	0,03	28,04	0,03	13,39	0,03	28,88	0,03	27,16	0,03	26,12	0,03	15,85	0,03	22,30	0,03	11,41	0,03	25,93	0,03	28,86	0,03	20,53	0,03	31,57	0,03	29,39	0,03	32,71	0,03	21,54	0,03	21,37
18,57	26,91	10,22	0,05	24,28	0,05	12,21	0,05	20,73	0,05	10,53	0,05	26,90	0,05	11,39	0,05	10,62	0,05	14,65	0,05	22,86	0,05	9,95	0,05	22,26	0,05	13,01	0,05	15,62	0,05	18,82	0,05	10,47	0,05	28,04	0,05	13,39	0,05	28,87	0,05	27,17	0,05	26,12	0,05	15,85	0,05	22,30	0,05	11,41	0,05	25,93	0,05	28,85	0,05	20,52	0,05	31,56	0,05	29,39	0,05	32,73	0,05	21,56	0,05	21,38
18,56	26,90	10,22	0,07	24,25	0,07	12,20	0,07	20,72	0,07	10,52	0,07	26,91	0,07	11,38	0,07	10,62	0,07	14,65	0,07	22,85	0,07	9,96	0,07	22,26	0,07	13,01	0,07	15,57	0,07	18,78	0,07	10,47	0,07	28,03	0,07	13,39	0,07	28,85	0,07	27,18	0,07	26,12	0,07	15,85	0,07	22,29	0,07	11,42	0,07	25,92	0,07	28,84	0,07	20,51	0,07	31,55	0,07	29,38	0,07	32,75	0,07	21,58	0,07	21,40
18,56	26,90	10,22	0,08	24,22	0,08	12,19	0,08	20,71	0,08	10,52	0,08	26,92	0,08	11,38	0,08	10,61	0,08	14,65	0,08	22,84	0,08	9,97	0,08	22,25	0,08	13,01	0,08	15,52	0,08	18,73	0,08	10,47	0,08	28,02	0,08	13,40	0,08	28,86	0,08	27,18	0,08	26,14	0,08	15,85	0,08	22,29	0,08	11,42	0,08	25,90	0,08	28,83	0,08	20,50	0,08	31,54	0,08	29,37	0,08	32,78	0,08	21,61	0,08	21,42
18,55	26,89	10,22	0,10	24,18	0,10	12,18	0,10	20,70	0,10	10,52	0,10	26,92	0,10	11,38	0,10	10,61	0,10	14,65	0,10	22,83	0,10	9,98	0,10	22,25	0,10	13,02	0,10	15,47	0,10	18,68	0,10	10,47	0,10	28,01	0,10	13,40	0,10	28,86	0,10	27,18	0,10	26,15	0,10	15,85	0,10	22,28	0,10	11,42	0,10	25,89	0,10	28,81	0,10	20,49	0,10	31,52	0,10	29,36	0,10	32,82	0,10	21,64	0,10	21,44
18,55	26,88	10,22	0,12	24,15	0,12	12,17	0,12	20,68	0,12	10,51	0,12	26,93	0,12	11,38	0,12	10,60	0,12	14,65	0,12	22,81	0,12	10,00	0,12	22,24	0,12	13,02	0,12	15,41	0,12	18,63	0,12	10,42	0,12	28,00	0,12	13,41	0,12	28,86	0,12	27,18	0,12	26,17	0,12	15,84	0,12	22,27	0,12	11,43	0,12	25,87	0,12	28,80	0,12	20,48	0,12	31,50	0,12	29,35	0,12	32,87	0,12	21,68	0,12	21,47
18,55	26,87	10,22	0,13	24,11	0,13	12,16	0,13	20,65	0,13	10,51	0,13	26,94	0,13	11,38	0,13	10,60	0,13	14,65	0,13	22,80	0,13	10,01	0,13	22,23	0,13	12,99	0,13	15,35	0,13	18,57	0,13	10,36	0,13	27,99	0,13	13,42	0,13	28,86	0,13	27,18	0,13	26,19	0,13	15,84	0,13	22,26	0,13	11,43	0,13	25,86	0,13	28,78	0,13	20,47	0,13	31,47	0,13	29,34	0,13	32,92	0,13	21,72	0,13	21,51
18,54	26,86	10,23	0,15	24,07	0,15	12,15	0,15	20,61	0,15	10,51	0,15	26,96	0,15	11,38	0,15	10,59	0,15	14,65	0,15	22,78	0,15	10,03	0,15	22,23	0,15	12,97	0,15	15,29	0,15	18,51	0,15	10,31	0,15	27,97	0,15	13,44	0,15	28,86	0,15	27,18	0,15	26,20	0,15	15,85	0,15	22,25	0,15	11,43	0,15	25,84	0,15	28,77	0,15	20,45	0,15	31,44	0,15	29,33	0,15	32,98	0,15	21,77	0,15	21,55
18,53	26,84	10,23	0,17	24,03	0,17	12,13	0,17	20,58	0,17	10,50	0,17	26,97	0,17	11,37	0,17	10,58	0,17	14,65	0,17	22,76	0,17	10,05	0,17	22,22	0,17	12,94	0,17	15,23	0,17	18,45	0,17	10,25	0,17	27,95	0,17	13,46	0,17	28,85	0,17	27,19	0,17	26,21	0,17	15,85	0,17	22,24	0,17	11,44	0,17	25,81	0,17	28,75	0,17	20,44	0,17	31,41	0,17	29,31	0,17	33,04	0,17	21,83	0,17	21,59
18,52	26,82	10,23	0,18	23,99	0,18	12,12	0,18	20,54	0,18	10,50	0,18	26,99	0,18	11,37	0,18	10,57	0,18	14,65	0,18	22,74	0,18	10,08	0,18	22,21	0,18	12,91	0,18	15,16	0,18	18,38	0,18	10,20	0,18	27,91	0,18	13,48	0,18	28,85	0,18	27,19	0,18	26,22	0,18	15,85	0,18	22,23	0,18	11,44	0,18	25,79	0,18	28,73	0,18	20,42	0,18	31,38	0,18	29,29	0,18	33,11	0,18	21,90	0,18	21,65
18,51	26,79	10,24	0,20	23,93	0,20	12,10	0,20	20,50	0,20	10,50	0,20	27,00	0,20	11,37	0,20	10,56	0,20	14,65	0,20	22,72	0,20	10,10	0,20	22,19	0,20	12,89	0,20	15,10	0,20	18,31	0,20	10,15	0,20	27,86	0,20	13,50	0,20	28,84	0,20	27,19	0,20	26,24	0,20	15,86	0,20	22,22	0,20	11,45	0,20	25,77	0,20	28,71	0,20	20,40	0,20	31,34	0,20	29,27	0,20	33,19	0,20	21,97	0,20	21,70
18,50	26,76	10,24	0,22	23,88	0,22	12,08	0,22	20,46	0,22	10,49	0,22	27,02	0,22	11,37	0,22	10,54	0,22	14,65	0,22	22,70	0,22	10,13	0,22	22,16	0,22	12,86	0,22	15,03	0,22	18,23	0,22	10,12	0,22	27,82	0,22	13,53	0,22	28,83	0,22	27,19	0,22	26,25	0,22	15,86	0,22	22,22	0,22	11,46	0,22	25,74	0,22	28,69	0,22	20,38	0,22	31,30	0,22	29,24	0,22	33,28	0,22	22,04	0,22	21,84
