Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,19	5,13	3,25	0,00	3,88	0,00	4,17	0,00	4,20	0,00	3,82	0,00	5,51	0,00	4,49	0,00	3,31	0,00	2,96	0,00	6,01	0,00	3,90	0,00	3,48	0,00	4,12	0,00	2,59	0,00	3,22	0,00	2,85	0,00	3,61	0,00	3,65	0,00	3,91	0,00	7,42	0,00	6,45	0,00	-999,0	0,00	4,36	0,00	3,92	0,00	4,65	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	5,90	0,00	4,96	0,00	5,45	0,00	4,70
4,19	5,13	3,25	0,02	3,88	0,02	4,18	0,02	4,20	0,02	3,82	0,02	5,51	0,02	4,49	0,02	3,31	0,02	2,96	0,02	6,01	0,02	3,90	0,02	3,48	0,02	4,12	0,02	2,59	0,02	3,22	0,02	2,85	0,02	3,61	0,02	3,65	0,02	3,91	0,02	7,42	0,02	6,45	0,02	-999,0	0,02	4,36	0,02	3,92	0,02	4,65	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	5,90	0,02	4,96	0,02	5,45	0,02	4,70
4,19	5,13	3,25	0,03	3,88	0,03	4,18	0,03	4,20	0,03	3,83	0,03	5,51	0,03	4,49	0,03	3,31	0,03	2,96	0,03	6,01	0,03	3,90	0,03	3,48	0,03	4,12	0,03	2,59	0,03	3,22	0,03	2,85	0,03	3,61	0,03	3,65	0,03	3,91	0,03	7,42	0,03	6,45	0,03	-999,0	0,03	4,36	0,03	3,92	0,03	4,65	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	5,90	0,03	4,96	0,03	5,45	0,03	4,70
4,41	5,33	3,49	0,05	3,88	0,05	4,17	0,05	4,20	0,05	3,84	0,05	5,51	0,05	4,49	0,05	-999,0	0,05	2,96	0,05	6,01	0,05	3,90	0,05	3,48	0,05	4,12	0,05	2,59	0,05	3,22	0,05	2,85	0,05	3,61	0,05	3,65	0,05	3,91	0,05	7,41	0,05	6,45	0,05	-999,0	0,05	4,36	0,05	3,92	0,05	4,65	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	5,89	0,05	4,96	0,05	5,46	0,05	4,70
4,41	5,34	3,48	0,07	3,88	0,07	4,17	0,07	4,19	0,07	3,84	0,07	5,51	0,07	4,50	0,07	-999,0	0,07	2,96	0,07	6,01	0,07	3,91	0,07	3,48	0,07	4,12	0,07	2,59	0,07	3,22	0,07	2,84	0,07	3,61	0,07	3,64	0,07	3,90	0,07	7,40	0,07	6,45	0,07	-999,0	0,07	4,36	0,07	3,92	0,07	4,65	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	5,89	0,07	4,95	0,07	5,46	0,07	4,70
4,41	5,33	3,49	0,08	3,87	0,08	4,16	0,08	4,19	0,08	3,85	0,08	5,52	0,08	4,50	0,08	-999,0	0,08	2,96	0,08	6,01	0,08	3,91	0,08	3,48	0,08	4,12	0,08	2,59	0,08	3,22	0,08	2,84	0,08	3,61	0,08	3,64	0,08	3,90	0,08	7,40	0,08	6,44	0,08	-999,0	0,08	4,36	0,08	3,92	0,08	4,65	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	5,88	0,08	4,95	0,08	5,47	0,08	4,71
4,41	5,33	3,49	0,10	3,87	0,10	4,16	0,10	4,18	0,10	3,85	0,10	5,52	0,10	4,50	0,10	-999,0	0,10	2,96	0,10	6,00	0,10	3,91	0,10	3,48	0,10	4,12	0,10	2,59	0,10	3,21	0,10	2,84	0,10	3,61	0,10	3,64	0,10	3,90	0,10	7,39	0,10	6,44	0,10	-999,0	0,10	4,35	0,10	3,92	0,10	4,65	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	5,88	0,10	4,95	0,10	5,47	0,10	4,72
4,40	5,32	3,48	0,12	3,86	0,12	4,15	0,12	4,18	0,12	3,85	0,12	5,52	0,12	4,50	0,12	-999,0	0,12	2,96	0,12	6,00	0,12	3,91	0,12	3,48	0,12	4,12	0,12	2,59	0,12	3,21	0,12	2,84	0,12	3,60	0,12	3,64	0,12	3,90	0,12	7,39	0,12	6,43	0,12	-999,0	0,12	4,35	0,12	3,92	0,12	4,65	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	5,87	0,12	4,96	0,12	5,47	0,12	4,73
4,40	5,32	3,48	0,13	3,86	0,13	4,15	0,13	4,18	0,13	3,85	0,13	5,52	0,13	4,50	0,13	-999,0	0,13	2,96	0,13	5,99	0,13	3,91	0,13	3,48	0,13	4,12	0,13	2,58	0,13	3,20	0,13	2,84	0,13	3,60	0,13	3,63	0,13	3,90	0,13	7,38	0,13	6,42	0,13	-999,0	0,13	4,35	0,13	3,92	0,13	4,65	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	5,86	0,13	4,97	0,13	5,47	0,13	4,73
4,40	5,31	3,48	0,15	3,85	0,15	4,15	0,15	4,18	0,15	3,85	0,15	5,52	0,15	4,51	0,15	-999,0	0,15	2,96	0,15	5,99	0,15	3,91	0,15	3,47	0,15	4,12	0,15	2,58	0,15	3,19	0,15	2,83	0,15	3,60	0,15	3,63	0,15	3,90	0,15	7,37	0,15	6,41	0,15	-999,0	0,15	4,34	0,15	3,92	0,15	4,66	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	5,85	0,15	4,97	0,15	5,48	0,15	4,74
