Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,61	4,68	4,54	0,00	5,81	0,00	3,29	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	2,40	0,00	3,78	0,00	2,44	0,00	4,54	0,00	4,58	0,00	3,25	0,00	6,28	0,00	6,83	0,00	8,03	0,00	2,86	0,00	1,46	0,00	9,87	0,00	4,34	0,00	11,10	0,00	3,62	0,00	4,71	0,00	2,12	0,00	2,80	0,00	2,37
4,61	4,69	4,54	0,02	5,81	0,02	3,29	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	2,40	0,02	3,78	0,02	2,44	0,02	4,54	0,02	4,58	0,02	3,25	0,02	6,28	0,02	6,83	0,02	8,03	0,02	2,86	0,02	1,46	0,02	9,87	0,02	4,34	0,02	11,10	0,02	3,62	0,02	4,72	0,02	2,12	0,02	2,81	0,02	2,37
4,61	4,69	4,53	0,03	5,81	0,03	3,29	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	2,40	0,03	3,77	0,03	2,44	0,03	4,54	0,03	4,57	0,03	3,25	0,03	6,28	0,03	6,83	0,03	8,03	0,03	2,86	0,03	1,47	0,03	9,87	0,03	4,34	0,03	11,10	0,03	3,62	0,03	4,72	0,03	2,12	0,03	2,81	0,03	2,37
4,61	4,70	4,53	0,05	5,81	0,05	3,29	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	2,40	0,05	3,77	0,05	2,44	0,05	4,54	0,05	4,57	0,05	3,25	0,05	6,28	0,05	6,83	0,05	8,03	0,05	2,86	0,05	1,47	0,05	9,87	0,05	4,34	0,05	11,10	0,05	3,62	0,05	4,73	0,05	2,13	0,05	2,81	0,05	2,37
4,61	4,70	4,52	0,07	5,82	0,07	3,30	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	2,40	0,07	3,76	0,07	2,45	0,07	4,53	0,07	4,57	0,07	3,25	0,07	6,28	0,07	6,83	0,07	8,03	0,07	2,86	0,07	1,47	0,07	9,87	0,07	4,34	0,07	11,10	0,07	3,62	0,07	4,73	0,07	2,13	0,07	2,81	0,07	2,37
4,61	4,70	4,52	0,08	5,82	0,08	3,31	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	2,40	0,08	3,76	0,08	2,46	0,08	4,53	0,08	4,57	0,08	3,25	0,08	6,28	0,08	6,83	0,08	8,03	0,08	2,85	0,08	1,47	0,08	9,87	0,08	4,34	0,08	11,10	0,08	3,62	0,08	4,74	0,08	2,14	0,08	2,81	0,08	2,38
4,61	4,70	4,52	0,10	5,82	0,10	3,31	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	2,41	0,10	3,75	0,10	2,47	0,10	4,53	0,10	4,57	0,10	3,25	0,10	6,28	0,10	6,83	0,10	8,02	0,10	2,85	0,10	1,47	0,10	9,87	0,10	4,34	0,10	11,10	0,10	3,62	0,10	4,74	0,10	2,15	0,10	2,81	0,10	2,38
4,61	4,71	4,52	0,12	5,82	0,12	3,32	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	2,42	0,12	3,74	0,12	2,47	0,12	4,53	0,12	4,56	0,12	3,25	0,12	6,28	0,12	6,82	0,12	8,02	0,12	2,85	0,12	1,47	0,12	9,87	0,12	4,34	0,12	11,10	0,12	3,62	0,12	4,75	0,12	2,17	0,12	2,82	0,12	2,38
4,61	4,71	4,51	0,13	5,83	0,13	3,33	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	2,43	0,13	3,74	0,13	2,48	0,13	4,52	0,13	4,56	0,13	3,26	0,13	6,29	0,13	6,82	0,13	8,02	0,13	2,85	0,13	1,47	0,13	9,87	0,13	4,34	0,13	11,10	0,13	3,62	0,13	4,75	0,13	2,18	0,13	2,82	0,13	2,38
4,61	4,72	4,51	0,15	5,84	0,15	3,34	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	2,43	0,15	3,73	0,15	2,49	0,15	4,52	0,15	4,56	0,15	3,26	0,15	6,29	0,15	6,82	0,15	8,02	0,15	2,84	0,15	1,47	0,15	9,87	0,15	4,34	0,15	11,11	0,15	3,62	0,15	4,76	0,15	2,20	0,15	2,83	0,15	2,38
